證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　 預付投資款增加,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他預付款項增加
2478,2015年01月01日至2015年09月30日,,                250035,                250035,,,                336094,                  2715,                  3482,                  3157,                -10899,                  7819,                  1066,                    134,                              0,                 -4282,                  4282,                343568,,,                    719,                 -1956,                 50144,                   -671,                 -8913,                              0,                 31819,                 -2514,                 -6319,               -221835,               -159526,,                              0,                104315,                 10214,                   -878,                -11707,                 -2056,                 99888,                -59638,                283930,                533965,                 12388,                 -3863,                -35544,                506946,,               -223423,                  8373,                              0,                  1392,                -65531,                   -321,                -43501,                -66435,               -389446,,                -50000,                              0,                -56106,                450000,               -350000,                   -444,               -103997,                              0,                -57052,                 -2548,               -170147,                 20563,                -32084,                886530,                854446,                854446,,,,,,,,
2478,2015年01月01日至2015年06月30日,,                124427,                124427,,,                224392,                  1797,                  2035,                  2307,                 -7880,                  5212,                 -1387,                   -727,                              0,                 12923,                  4282,                242954,,,                    727,                  2715,                 76102,                 -3922,                 -5971,                              0,                124267,                 -2721,                 -3815,                -66475,                120907,,                              0,                  6080,                -52146,                   -878,                 -5813,                 -1331,                -54088,                 66819,                309773,                434200,                  9369,                 -2424,                -19974,                421171,,               -115571,                  2278,                              0,                  2000,                 52589,                   -320,                -32186,                -65889,               -157099,,                              0,,                -56106,                250000,               -200000,                   -300,,                              0,                              0,                              0,                 -6406,                -58659,                199007,                886530,              1085537,              1085537,                              0,,,,,,,
2478,2015年01月01日至2015年03月31日,,                 57269,                 57269,,,                114904,                    898,                 -1436,                  1391,                 -2937,                  2606,                  3723,,,                 16769,                  4282,                140200,,,,                 -2601,                 78970,                  6511,                   -150,                              0,                 46309,                 -7002,                    760,                 46198,                168995,,                              0,                -32053,                -29165,                   -878,                -12789,                   -681,                -75566,                 93429,                233629,                290898,                  4426,                 -1122,                 -2512,                291690,,                -67561,                  6917,,                  1981,                 14353,                    -57,                 -3015,                -66435,               -113817,,,                              0,                -56106,                              0,                              0,                   -168,,                              0,,,                -56274,                -39831,                 81768,                886530,                968298,                968298,                              0,                              0,                              0,,,,,
2478,2014年度,,                222086,                222086,,,                459436,                  2527,                 -9978,                  9735,                -14053,                 10425,                    845,                    -51,                              0,                   -514,,,,,                   -431,                 -6728,                 -1220,                  7919,                  4658,                    428,                -61926,                  4125,                 -1279,               -168799,               -223253,,                              0,                -49351,                 80554,                    878,                   -137,,                 29347,               -193906,                264466,                486552,                 12564,                 -4814,                -44496,                449806,,               -307740,                  6960,                              0,                 -2489,                -29373,                   -982,                 -7522,                -11841,               -362267,,                              0,                              0,,                250000,               -246250,                   -707,                -37059,,                -85731,                 -2753,               -122500,                 59492,                 24531,                861999,                886530,                886530,                              0,,                              0,,                458372,                 -2597,                 -9280,
2478,2014年01月01日至2014年09月30日,,                159121,                159121,,,                347620,                  1166,                -10547,                  7881,                 -8987,                  7818,                    902,                              0,                              0,                 16099,                              0,                361952,,,                 -9314,                -18208,                -34360,                  5486,                  2481,                    428,               -122233,                  3791,                   -419,               -253899,               -426247,,                              0,                136883,                 75897,                              0,                  8315,                 -1889,                219206,               -207041,                154911,                314032,                  6970,                 -3563,                -40224,                277215,,               -235958,                  5364,                              0,                   -489,                -28032,                   -346,                -20536,                -11772,               -291769,,                              0,                              0,                              0,                200000,               -196250,                   -556,                -37058,                              0,                              0,                 -2753,                -36617,                  4289,                -46882,                861999,                815117,                815117,,,,,,,,
2478,2014年01月01日至2014年06月30日,,                 87171,                 87171,,,                233748,                    767,                -10469,                  5959,                 -6150,                  5212,                  1020,                              0,                              0,                 20264,                              0,                250351,,,                              0,                -13479,                 11104,                  3623,                    908,                    428,                -24079,                -10430,                    329,               -212359,               -243955,,                              0,                 86417,                 21117,                              0,                  2453,                   -601,                109386,               -134569,                115782,                202953,                  4817,                 -2422,                -30049,                175299,,               -170898,                  5058,                              0,                -17377,                -53158,                   -346,                -11680,                -11797,               -260198,,                              0,,                              0,                150000,               -146250,                   -384,,                              0,                              0,                              0,                  3366,                -50507,               -132040,                861999,                729959,                729959,                              0,,,,,,,
2478,2014年01月01日至2014年03月31日,,                 55559,                 55559,,,                117379,                    368,                 -6899,                  3161,                 -2166,                  2606,                   -175,,,                  8190,                              0,                122464,,,,                -12843,                105436,                  1272,                  2419,                    428,                  7524,                -11825,                   -188,                -34517,                 57706,,                              0,                 -2275,                  4046,                              0,                 12055,                   -567,                 13259,                 70965,                193429,                248988,                  1492,                 -1158,                 -3635,                245687,,                -92633,                    605,,                   -487,                   -621,                   -126,                 -9405,                              0,               -102667,,,                              0,                              0,                 50000,                -26250,                   -190,,                              0,,,                 23560,                -21294,                145286,                861999,              1007285,              1007285,                              0,                              0,                              0,,,,,
2478,2013年度,,                 99043,                 99043,,,                463048,                 10910,                  3328,                 16517,                 -6042,                 10425,                    113,                              0,                  9940,                 24054,,,,,                -12831,                  1413,               -153576,                  4403,                   -813,                   -428,                 -1557,                  1935,                 -1435,               -108759,               -271648,,                              0,                 33401,                 22462,                              0,                 15150,,                 69042,               -202606,                329687,                428730,                  6042,                 -9616,                -39155,                386001,,               -643360,                  1680,                              0,                102435,                 -6344,                              0,                -47300,                 -1457,               -594346,,                              0,                562500,,                720000,             -1136250,                 -1024,                -36332,,                              0,                   -940,                157954,                 48488,                 -1903,                863902,                861999,                861999,                              0,,                 50000,,                532293,                 -1971,                              0,
2478,2013年01月01日至2013年12月31日,,                 99043,                 99043,,,                463048,                 10910,                  3328,                 16517,                 -6042,                 10425,                    113,,                  9940,                 24054,,,,,                -12831,                  1413,               -153576,                  4403,                   -813,                   -428,                 -1557,                  1935,                 -1435,               -108759,               -271648,,                              0,                 33401,                 22462,                              0,                 15150,,                 69042,               -202606,                329687,                428730,                  6042,                 -9616,                -39155,                386001,,               -643360,                  1680,                              0,                102435,                 -6344,                              0,                -47300,                 -1457,               -594346,,                              0,                562500,,                720000,             -1136250,                 -1024,                -36332,                              0,                              0,                   -940,                157954,                 48488,                 -1903,                863902,                861999,                861999,                              0,,                 50000,,                532293,                 -1971,,
2478,2013年01月01日至2013年09月30日,,                103792,                103792,,,                335449,                 10584,                  2145,                 13397,                 -4202,                  7819,                    -31,                   -339,                  6816,                -22118,,,,,                -12926,                  1946,               -119165,                  5364,                 -8992,                              0,                   -119,                -20719,                 -3534,                -43497,               -201642,,                    746,                 46502,                 12887,                              0,                  9511,,                 68177,               -133465,                216055,                319847,                  4202,                 -7922,                -37356,                278771,,               -568098,                  1680,                              0,                102329,                -49282,                              0,                -41678,                              0,               -555049,,                              0,                562500,,                695000,               -982500,                   -801,                -36332,                              0,                              0,                   -940,                236927,                 63766,                 24415,                863902,                888317,                888317,                              0,,,,                349520,                 -1469,,                              0
