證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分投資性不動產,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 短期借款增加,　　 應付短期票券減少,　　 存入保證金減少,　　 其他非流動資產減少,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 其他非流動負債增加
2488,2015年01月01日至2015年09月30日,,                206783,                206783,,,                 23839,                  1022,                  6184,                    748,                 -8427,                 -3806,                    621,                              0,                              0,                    923,                 21104,,,                 27811,                   -824,                -31900,                  4717,               -114297,                -14143,               -128636,,                    608,                     72,                 94291,                 -3858,                 17449,                 -2073,                106489,                -22147,                 -1043,                205740,                 10131,                  3806,                   -820,                -18303,                200554,,                -99216,                              0,                              0,                -10437,                    729,                     -7,                   -181,                              0,                -12050,                    295,               -120867,,               -260865,                              0,                              0,                              0,               -127999,                              0,               -388864,                 21210,               -287967,              1045776,                757809,                757809,,,,,,,,,,
2488,2015年01月01日至2015年06月30日,,                117216,                117216,,,                 15955,                    704,                  3364,                    560,                 -5885,,                      7,                              0,                              0,                    613,                 15318,,,                 -5688,                    417,                 19376,                  1569,                -27625,                -24292,                -36243,,                    571,                    -36,                -17044,                 -8568,                 12929,                   -982,                -13130,                -49373,                -34055,                 83161,                  7883,,                   -634,                 -7809,                 82601,,                -87599,                              0,                              0,                 -5992,                    729,                     28,                   -180,                              0,                 -7543,                    284,               -100273,,               -292170,                  5000,                              0,                              0,,                              0,               -287170,                -16540,               -321382,              1045776,                724394,                724394,,,,,,,,,,
2488,2015年01月01日至2015年03月31日,,                 56749,                 56749,,,                  8094,                    362,                 -1475,                    526,                 -3517,,                    -14,,,                    309,                  4285,,,                -20269,                    403,                 86825,                 10309,                -25877,                -11836,                 39555,,                    579,                    767,                -40293,                -18631,                 -2966,                   -391,                -60935,                -21380,                -17095,                 39654,                  4888,,                   -605,                 -4318,                 39619,,                -56057,,,                 -5063,                     64,                     10,                              0,                              0,                 -3117,                    148,                -64015,,               -246960,                 30000,,                              0,,,               -216960,                 -7145,               -248501,              1045776,                797275,                797275,,,,,,,,,,
2488,2014年度,,                233473,                233473,,,                 39473,                  1168,                  3795,                  3066,                -16046,,                    188,                              0,                 -3900,                  1942,,,,                -24308,                              0,                139788,                 -8427,                  8718,                -22160,                 93611,,                              0,                 -1282,                 26760,                -20148,                -14535,,                 -1519,                 92092,                121778,                355251,                 17067,,                 -3028,                -62801,                306489,,                -11429,                              0,                              0,                 -7144,                     47,                    -36,                 -3632,                              0,                 -4671,                    914,                -25951,,,,                              0,                  1238,               -159998,                    708,               -112229,                 19289,                187598,                858178,              1045776,              1045776,,                 29686,                  7686,                 50823,                 -5000,,,,,
2488,2014年01月01日至2014年09月30日,,                150196,                150196,,,                 29977,                    798,                  9327,                  2224,                -11869,                 -2713,                    188,                              0,                 -4245,                  1778,                 25465,,,                -62248,                    281,                188174,                -17832,                -34013,                 -7848,                 66514,,                              0,                 -1075,                 35559,                -22149,                -18220,                 -2758,                 -8643,                 57871,                 83336,                233532,                 10140,                  2713,                 -2165,                -58763,                185457,,                -70511,                              0,                              0,                 -7293,                     45,                    -14,                 -3629,                              0,                 -2068,                    754,                -82716,,                -13331,                 25000,                              0,                  1237,               -159998,                              0,               -147092,                  6800,                -37551,                858178,                820627,                820627,,,,,,,,,,
2488,2014年01月01日至2014年06月30日,,                100344,                100344,,,                 20032,                    417,                  4657,                  1624,                 -7088,,                    203,                              0,                              0,                  1424,                 21269,,,                -56974,                    417,                172877,                  2120,                 52776,                  2189,                173405,,                              0,                   -976,                -75028,                -25531,                -13390,                 -2180,               -117105,                 56300,                 77569,                177913,                  6421,,                 -1613,                -38100,                144621,,                -76262,                              0,                              0,                 -3988,                     26,                     -1,                 -3603,                              0,                 -1518,                    510,                -84836,,                -76036,                 -5000,                              0,                    450,,                              0,                -80586,                 -8479,                -29280,                858178,                828898,                828898,,,,,,,,,,
2488,2014年01月01日至2014年03月31日,,                 48794,                 48794,,,                 10089,                    110,                   -876,                    969,                 -3391,,                    144,,,                    362,                  7407,,,                -65745,                    417,                211161,                    -42,                -31661,                  4183,                118313,,                              0,                   -302,                -30183,                -32710,                -13704,                 -2591,                -79490,                 38823,                 46230,                 95024,                  2938,,                   -875,                   -112,                 96975,,                -95277,,,                   -838,                      5,                    -12,                   -154,                              0,                              0,                    244,                -96032,,                 37736,                 -5000,,                    450,,,                 33186,                 -2286,                 31843,                858178,                890021,                890021,,,,,,,,,,
2488,2013年度,,                332319,                332319,,,                 38723,                    395,                 -7499,                  1825,                -11910,,                  1108,                  9192,                   -837,                  2434,,,,                 33727,                    -57,                -87393,                 13307,                -81725,                 -5037,               -127178,,                              0,                    -50,                  3351,                 50018,                 18364,,                 71232,                -55946,                -22515,                309804,                 12314,,                 -2020,                 -5189,                314909,,                -74845,                              0,                              0,                -24774,                    828,                   -151,                              0,                              0,                 -9011,                    361,               -107592,,,,               -200000,                   -242,                -48000,                    265,                -31094,                 23254,                199477,                658701,                858178,                858178,,                 33431,                   -451,                211883,                  5000,,,,,
2488,2013年01月01日至2013年09月30日,,                189822,                189822,,,                 28608,                    297,                 -2687,                  1464,                 -8809,,                    242,                              0,                     36,                  1551,,,,                 47852,                    360,               -142153,                 -1729,               -190540,                  9711,               -276499,,                              0,                 -1117,                130730,                 43356,                  9822,,                182952,                -93547,                -72845,                116977,                  7416,,                 -1521,                 -3842,                119030,,                -52413,                              0,                              0,                -18010,                     50,                   -147,                              0,                              0,                 -1031,                    170,                -71381,,                157698,                              0,               -200000,                   -242,                -48000,                    180,                -90364,                 15295,                -27420,                658701,                631281,                631281,,                 20702,                    161,,,,,,,
2488,2013年01月01日至2013年06月30日,,                104481,                104481,,,                 19250,                    198,                     22,                  1135,,,                    -28,                              0,                   -536,                    697,,,,                -81182,                    360,                 28284,                  6487,                -86363,                  6272,               -126142,,                    112,                  1767,                119432,                 21141,                 11498,,                153726,                 27584,                 48322,                152803,,,                 -1319,                 -3235,                148249,,,                              0,                              0,                 -8807,                     78,                   -247,                              0,                              0,                   -405,                    -65,                 -9446,,                141536,,               -200000,                     12,,                    333,                -58119,                 21107,                101791,                658701,                760492,                760492,,                 20738,                   -224,,                              0,,,,,
