證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 支付之股利,　　 償還長期借款,　　　　 金融資產減損迴轉利益,　　 其他非流動資產減少,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付費用（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 處分投資性不動產,　　 其他預付款項增加,　　 發行公司債,　　　　　 其他金融資產（增加）減少,　　 預付設備款減少
2504,2015年01月01日至2015年09月30日,,               -150390,               -150390,,,              1395931,                 50796,                -57376,                274671,                -64837,               -114222,                -11332,                 81434,                              0,                   -643,                    263,                              0,               -148710,              1405975,,,                489517,                              0,                734865,                -14139,              1258060,                  1579,                -60706,               -687781,               -179379,                 37611,              1579627,,               -878763,                 -1161,               -723958,                -40784,                -97059,                 11843,               -183163,                639037,                210749,               -125532,                -92064,             -1280855,                298772,              1704747,              1554357,                 65120,               -257962,               -132684,              1228831,,               -241513,                201706,                              0,                -58486,               -313350,                  3352,                 17207,                 85779,                              0,             -4301956,              1154422,                -60120,                   -314,               -118022,                -69045,                 13389,                177613,             -3509338,,                715291,               -170151,              1442975,               -604212,               -142006,                -54626,              1187271,                105255,               -987981,              8104545,              7116564,              7116564,,,,,,,,,,,,,,,,,,,
2504,2015年01月01日至2015年06月30日,,                 32923,                 32923,,,                925498,                 32054,                -25793,                181491,                -50383,                   -411,                 -5146,                135151,,                    356,                              0,                              0,               -106109,              1087023,,,                354816,                              0,                610312,                -12779,                868028,                    572,                -69300,               -396968,               -115536,                141901,              1381046,,               -647017,                    876,               -646656,                -27843,                197051,                  7722,                 32229,                317999,                176337,               -102430,                -90021,               -781753,                599293,              1686316,              1719239,                 51068,               -167583,,              1491884,,               -241143,                151214,,                -24342,               -294189,                  3300,                 16600,                 78261,                              0,             -2191826,              1052344,                -34232,                              0,                -11968,               -985178,                 18980,                 46640,             -2415539,,              1019191,               -169249,                373539,,,                -54626,              1168855,               -190251,                 54949,              8104545,              8159494,              8159494,                    315,               -110840,                              0,,,,,,,,,,,,,,,,
2504,2015年01月01日至2015年03月31日,,                 81371,                 81371,,,                478046,                 14812,                -26686,                 91114,                -25581,                     -4,                   -995,                384889,,                    437,,,                -55146,                860886,,,                372226,                -34951,                390140,                 -7040,                601779,                  3146,               -396302,               -245125,               -183472,                -94820,                405581,,               -362622,                  3628,               -551343,                  1370,               -128154,                106416,                253505,                 97950,                 59773,                -62889,               -103528,               -685894,               -280313,                580573,                661944,                 25725,                -84367,                -12851,                590451,,                -51414,                 23733,,                 -4463,                              0,                              0,                 16600,                 34783,,               -946099,                217077,                 -3196,                              0,,               -458810,                 12635,,             -1119681,,                518693,               -349511,                 23506,,,               -134626,                378574,                -96709,               -247365,              8104545,              7857180,              7857180,                              0,,                320512,                              0,                 39473,                              0,,,,,,,,,,,,,
2504,2014年度,,              1290375,              1290375,,,              1988220,                 77575,                -89895,                358370,                -74978,                -88678,                -49422,                 45726,                -12868,               -111845,                 11417,                -29058,               -146487,,,,               -439761,                    124,               -449209,                -14634,                 -8094,                 -4135,                106517,,                -91141,               -476412,             -1959392,,                237022,                    966,                 72592,                 55801,                313397,                    -22,                213190,                325133,                -26371,,                  4537,              1182963,               -776429,              1053296,              2343671,                 74926,               -360283,               -204963,              1853351,,               -692767,                770096,                  6133,,                -56013,                  2729,                              0,                108696,              1943807,             -8469664,                188935,                -59259,                -39680,                              0,               -817758,                              0,                202047,             -6518652,,                493335,,              3163232,                              0,,                152098,              6851516,                -98408,              2087807,              6016738,              8104545,              8104545,                277723,,,                              0,               -114457,                129655,,               -326075,              1829725,               -582647,                -13282,               -258057,                              0,                590697,                 13990,                161873,              2913196,,
2504,2014年01月01日至2014年09月30日,,                833648,                833648,,,              1461639,                 57846,               -115585,                283191,                -58197,                -82219,                -44253,                 25600,                    439,               -111845,                289140,                -29058,                -91341,              1585357,,,               -123370,                    124,                267377,                 -6035,                -30796,                -29378,                -45699,               -500569,               -163489,               -261742,               -893577,,                -56912,                  6470,                150081,                 48502,                314030,                    119,                280053,                115428,                167967,                -38354,                 -1103,                986281,                 92704,              1678061,              2511709,                 58433,               -278677,               -226469,              2064996,,               -692767,                770096,                  6133,               -296225,                -56013,                  2729,                              0,                108696,              1943807,             -1934847,                164655,                -18482,                -21691,               -233756,             -5039359,                  7193,                179637,             -5110194,,              1112851,                129401,              1930416,                              0,                              0,                151915,              3324583,                 67900,                347285,              6016738,              6364023,              6364023,,,,,,,,,,,,,,,,,,,
2504,2014年01月01日至2014年06月30日,,                474209,                474209,,,                961146,                 38060,               -115585,                183775,                -35730,                 -4280,                -28009,                -60428,,               -111463,                289140,                -29058,                -31483,              1056085,,,               -164004,                    106,                296556,                -17438,                 13512,                 -3843,                 -3905,               -274235,               -123698,               -199620,               -476569,,                 29665,                  1106,               -443668,                 46974,                332519,                  4155,                     17,                289908,                 -5353,                -27313,                 -8058,                219952,               -256617,                799468,              1273677,                 36097,               -181581,,                980549,,               -692559,                469714,,                -34823,                -55880,                  2729,                              0,                108696,              1943807,             -1013968,                140952,                -15079,                   -551,               -197733,             -3270810,                 23975,                 80443,             -2511087,,                977276,               -169671,              2178725,,,                151915,              2225525,                 -3305,                691682,              6016738,              6708420,              6708420,                              0,               -147644,               -912720,,,,,,,,,,,,,,,,
2504,2014年01月01日至2014年03月31日,,                174163,                174163,,,                456829,                 18902,                -77444,                 72715,                -16745,                              0,                -11811,                -72973,,                -69487,,,                     63,                501946,,,               -204435,                     53,                629472,                   -465,                 47925,                 -2160,                 25728,               -185026,                -71563,               -189504,                 50025,,               -293124,                 10371,               -358981,                 16305,                123977,                   -154,                     13,                 31900,                -94620,                -27235,                    -73,               -591621,               -541596,                -39650,                134513,                 16659,                -70237,                 -4768,                 76167,,                -67002,                116509,,                -39441,                -55880,                  2582,                              0,                              0,,               -267497,                120264,                -12247,                   -551,,             -2010068,                  4738,,             -2291776,,                907618,                              0,              1368115,,,                135951,              1582535,                 53227,               -579847,              6016738,              5436891,              5436891,                219538,,               -958620,                -17641,                -83183,                129471,,,,,,,,,,,,,
2504,2013年度,,              1245820,              1245820,,,              2799025,                 74583,                  3577,                297414,                -75455,                -81262,                -53339,                -35614,                 -3039,               -364323,                233689,                              0,                    -59,,,,               -199472,                   -124,               -775497,                  6075,               -244674,                 -2771,                131145,,                464618,               -333409,             -1124994,,                 65407,                 -2470,                213407,               -151417,                 52130,                    200,                  7232,                158995,                163964,,                -36003,                433057,               -691937,              2102511,              3348331,                 74876,               -245100,               -240639,              2937468,,                -14984,                860522,                              0,,                              0,                  7474,                 27000,                              0,                              0,             -3505545,                107722,                -31713,               -283961,                              0,             -3181174,                              0,                179133,             -5965832,,              1389757,,              2129028,               -303860,,               -211313,              5894784,                 66696,              2933116,              3083622,              6016738,              6016738,                 26121,,,                -26870,                101896,                684489,,                              0,              2794448,               -170885,                -38388,                              0,                 13074,                              0,                  3423,               -248699,              2206683,,
2504,2013年01月01日至2013年09月30日,,                352119,                352119,,,              2118982,                 63459,                     51,                166897,                -69289,                -70321,                 -5398,                   -415,                              0,               -238710,                              0,                              0,                   -593,,,,                247258,                   -178,                288375,                  5463,               -259071,                 -2063,                -64017,               -147417,               -142317,,               -408385,,               -529435,                 -1800,               -254883,               -151932,                467140,                     31,                  7068,                116617,                152332,,                -54440,               -285829,               -694214,              1277249,              1629368,                 69289,               -166897,               -182549,              1349211,,                -14996,                379831,                              0,,                              0,                  7473,,                              0,                              0,             -6028654,                  4603,               -380826,               -283404,               -134702,                              0,                 50370,                147771,             -5757026,,              1529526,,              3056660,               -303860,,               -217771,              4459335,                600443,                651963,              3083622,              3735585,              3735585,                  6800,,,,,                394780,,,              1971463,,                -36527,                -36485,,,,,,               -334418,                531993
2504,2013年01月01日至2013年06月30日,,                 68166,                 68166,,,              1422503,                 39491,,                152452,                -48268,                 -2890,                -22672,                  3986,,               -214866,                              0,                              0,                  1780,,,,                102764,                              0,                -23108,                  5643,               -207928,                 -4440,               -181431,                 88713,               -145217,,               -531641,,                -78032,                  1040,                -56194,               -138114,                268683,                     60,                    -40,                 50807,                124504,,                -25118,                126782,               -404859,                933457,              1001623,                 48268,               -152452,               -145344,                752095,,                -10012,                249169,,,                              0,                  7474,,                              0,                              0,             -4579726,                  4737,               -375345,                   -111,               -167234,               -145501,                 48226,                 54666,             -4939256,,              1301152,                              0,              2370006,,,               -266050,              3715028,                545012,                 72879,              3083622,              3156501,              3156501,                  6800,,                              0,,,                309920,,,              1338316,,                -20814,                -25599,,,,,,               -166637,
