證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應付款增加（減少）,　　 其他金融資產減少,　　 其他投資活動,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分投資性不動產,　　 存入保證金減少,　　 支付之股利,　　 預付設備款減少
2520,2015年01月01日至2015年09月30日,,                271097,                271097,,,                190630,                 12997,                   -969,                181333,                -10893,                 -4795,                   -504,                    732,                              0,                  1183,                369714,,,                 11151,                195452,                -71240,               -176442,                211127,             -1387241,                -24559,                 13655,                315977,                 -2141,               -914261,,                -52998,                -51031,                312678,                -48802,                 -5273,                307439,                 21698,                    329,                -16337,                467703,               -446558,                -76844,                194253,               -145433,,,                 48820,                 48820,,                -70154,                  1930,                -33316,                -20287,                -11527,                 10876,                  4795,               -117683,,              4960287,             -3167488,              1900000,             -1780000,                              0,               -250000,                              0,               -137600,                  3306,               -986331,                              0,               -414918,               -104580,                 22676,                  1409,                -44778,              3035933,              2991155,              2991155,,,,,,,,,,,
2520,2015年01月01日至2015年06月30日,,                215543,                215543,,,                126124,                  8436,                -15480,                118956,                 -8031,                   -660,                 -2084,                 -1094,                              0,                    789,                226956,,,                 10440,                 88238,                215702,               -223792,                212337,             -1071770,                -13739,                 -4318,                499973,                 -2149,               -289078,,               -112532,                -42198,                301356,,                 -1065,                134852,                 26553,                    329,                -12241,                382162,                 93084,                320040,                535583,               -117514,,,,                418069,,                -59953,                  1377,                 -6578,                              0,                 -8875,                  8028,                    660,                -62449,,              2554887,             -2373500,              1100000,               -980000,,,                              0,                -22500,                  4226,,                              0,               -261492,               -104696,                -83075,                 -3975,                268570,              3035933,              3304503,              3304503,                 87108,                  2892,,,,,,,,,
2520,2015年01月01日至2015年03月31日,,                158034,                158034,,,                 63119,                  4048,                 -7525,                 64245,,,                 -2844,                    -51,,                    394,                121386,,,                 -7429,                  3374,                167989,               -142369,                246431,               -342830,                 24263,                -32920,                -98679,                 -2161,               -184331,,               -101841,               -139135,                179269,,                 -1361,               -110094,                   -677,                    329,                 -8169,               -238620,               -422951,               -301565,               -143531,                 -6876,,,,               -150407,,                -37523,                    333,                 -3516,,                 -6429,                  2119,,                -44053,,              1557500,             -1251000,                600000,               -490000,,,,                 -7500,                  2466,,                              0,               -109720,,                301746,                 -1771,                105515,              3035933,              3141448,              3141448,                -56941,,                    963,,,,,,,,
2520,2014年度,,              3337943,              3337943,,,                220904,                 13423,                 -8610,,,                 -3552,                   -792,                    129,                  4278,                199859,,,,                 73583,                 94425,                -85500,               -126142,               -219304,             -1321002,                -27632,                 36505,                 73643,                 -3090,             -1504514,,                -11385,                289147,                -32906,,                  4397,             -1134741,                 -8970,,                -12967,               -899839,             -2404353,             -2027803,              1310140,               -373037,,,,                937103,,               -324192,                              0,                 -9775,                -38772,                -21314,                 11232,                  3552,               -298907,,             10284975,             -9765580,              4010000,             -4235000,              1000000,                              0,                100000,                -95700,                  2863,               -493265,                -46005,               -514318,                -69666,                178304,                  2234,                818734,              2217199,              3035933,              3035933,                  6798,                              0,,,                -49089,                376550,                    788,                 80362,                              0,,
2520,2014年01月01日至2014年09月30日,,              1777497,              1777497,,,                159494,                  9390,                 -2148,                159321,                 -6765,                 -3025,                 -2203,                    129,                  4278,                  1183,                319654,,,                 63811,                 72183,                229435,                -46585,                 -4397,             -2862736,                -60764,                 17779,               -153737,                   -120,             -2745131,,                -55917,               -145395,                 13038,                -33553,                  1975,                -12109,                 13561,                    188,                -15846,               -234058,             -2979189,             -2659535,               -882038,               -314661,,,             -1196699,             -1196699,,               -239088,                              0,                 -9466,                -80564,                -20209,                  6623,                  3025,               -339679,,              9086695,             -7685950,              2740000,             -2365000,              1000000,                              0,                100000,                -95700,                  2434,               -493265,                -15722,               -380839,                -99949,              1792704,                 -2679,                253647,              2217199,              2470846,              2470846,,,,,,,,,,,
2520,2014年01月01日至2014年06月30日,,              1798486,              1798486,,,                103175,                  5615,                  1717,                109854,                 -5407,                 -2420,                 -1019,                              0,                  4278,                    789,                216582,,,                 56597,                 94300,                -56897,                -85300,                -11327,               -476869,                -39435,                 19778,               -174245,                   -123,               -673521,,                699081,                 -4402,                 16757,,                  5596,               -529029,                -17320,                              0,                 -6535,                171162,               -502359,               -285777,              1512709,               -246928,,,,              1265781,,               -146870,                              0,                 -1620,                -83053,                -18219,                  5047,                  2420,               -242295,,              3828475,             -4174550,              1170000,             -1395000,,,                100000,                 -7500,                  1526,,                -43168,               -244219,                -69664,               -834100,                 -7607,                181779,              2217199,              2398978,              2398978,                  7014,                              0,,,,,,,,,
2520,2014年01月01日至2014年03月31日,,              1407999,              1407999,,,                 51753,                  2735,                  2693,                 64470,,,                 -1113,                              0,,                    394,                120932,,,                 28862,                160023,             -1787462,               -168212,                 27434,                824288,                -19532,                 10276,               -133093,                   -129,             -1057545,,                 -2256,                 88667,                 11908,,                  2911,               -828850,                 -8581,                     63,                 -6702,               -843195,             -1900740,             -1779808,               -371809,                -99740,,,,               -471549,,                 -7068,                              0,                 -1320,,                -11976,                  1199,,                -98543,,              2313480,             -1527865,                840000,               -885000,,,,                 -7500,                  1013,,                -12077,               -103126,,                618925,                 -4110,                 44723,              2217199,              2261922,              2261922,               -100355,,                -79378,,,,,,,,
2520,2013年度,,              1378152,              1378152,,,                216573,                 10110,                -20809,,,                 -2551,                   -591,                    -15,                              0,                161904,,,,                 32316,               -320670,                130565,                411370,                 28986,             -2060524,                -23427,                -57388,                 54507,                 17698,             -1786567,,                -25262,                -81903,               -151659,,                 12522,                360272,                -51466,,                 -2924,                 63695,             -1722872,             -1358251,                 19901,               -123879,,,,               -103978,,               -394172,                    240,                -11266,                              0,                 -6329,                 11639,                  2551,               -379048,,             13447167,            -13718384,              4393000,             -4737000,              2000000,                 -3200,                240000,               -150700,                              0,               -490386,                -26149,               -441013,                -81201,                428091,                    945,                -53990,              2271189,              2217199,              2217199,                  4131,                 18289,,,                              0,                364621,                    -16,                              0,                 -4043,,
2520,2013年01月01日至2013年09月30日,,                338446,                338446,,,                164826,                  7459,                -12956,                129919,                 -8094,                 -2505,                 -3502,                    -15,                              0,                  1183,,,,                 22442,                    -76,                564727,                161344,                -25281,             -2910480,                -51863,                -95968,                300908,                 17694,             -2016553,,                -93743,               -401752,               -160974,,                  6125,              1156213,                -28816,,                -12915,                374107,             -1642446,             -1366131,             -1027685,               -117457,,,,             -1635527,,               -303783,                    272,                -11917,                 -1576,                -10630,                  7190,                  2505,               -317939,,             10003167,             -9716750,              3213000,             -3612000,              2000000,,                240000,               -150700,                    285,,                              0,               -323677,                -81949,              1571376,                    812,               -381278,              2271189,              1889911,              1889911,                -91107,,,,,                276315,                  1076,,,               -490385,
2520,2013年01月01日至2013年06月30日,,                347198,                347198,,,                109141,                  4848,                -11201,                 81467,                 -6153,                   -400,                 -2343,,                              0,                    789,,,,                 22442,                -29363,                456601,                 -1288,                 -7725,             -1918884,                -37049,                -43463,                226350,                 17691,             -1314688,,               -170462,               -213037,               -143178,,,                654586,                -44604,,                 -4199,                262595,             -1052093,               -875945,               -528747,                -87911,,,,               -616658,,               -468037,,                -11551,                 -1128,                              0,                  5482,                    400,               -474834,,              7688967,             -7566750,              2408000,             -2557000,              1000000,,                247875,               -127500,                              0,,                              0,               -216940,                -81946,                790023,                  1021,               -300448,              2271189,              1970741,              1970741,                183489,,,,,                176148,,,                 -4683,,
