證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他金融資產增加,　　 發行公司債,　　　　　 應付建造合約款（增加）減少
2537,2015年01月01日至2015年09月30日,,                 39158,                 39158,,,                    407,                     66,                 11372,                 12945,                   -532,                              0,                 -2623,                  8391,                 30026,,,                    171,                   -629,                -38144,                187934,               -810894,               -139500,                -56665,                357903,               -499824,,                 13680,                 22261,                              0,                              0,                              0,                 -7769,                171794,                    129,                200095,               -299729,               -269703,               -230545,                    532,                -40951,                 -6955,               -277919,,                              0,                              0,                  4650,                  4650,,                713024,               -434644,                              0,                 -6400,               -111500,                              0,                              0,                160480,               -112789,                246217,                133428,                133428,,,,,,,
2537,2015年01月01日至2015年06月30日,,                 51008,                 51008,,,                    271,                     44,                  8725,                 12308,                   -482,,,                  5674,                 26540,,,                    132,                   -971,                -38138,                187934,               -612894,                -20696,                -11883,                227490,               -269026,,                 -7386,                              0,                 21089,                              0,                              0,                  3013,                115108,                     53,                131877,               -137149,               -110609,                -59601,                    482,                -25431,                 -6953,                -91503,,                              0,,,                  4651,,                468024,               -247036,                              0,,                              0,,                              0,                220988,                134136,                246217,                380353,                380353,                  4651,,,,,,
2537,2015年01月01日至2015年03月31日,,                 29813,                 29813,,,                    135,                     22,                  2620,                    882,                    -10,,,                  2837,                  6486,,,                     63,                 -3257,                    -12,                -80241,               -271339,                -18454,                    407,                 93713,               -279120,,                 -4846,                              0,                  6216,                              0,                              0,                   -542,                 56030,                  2076,                 58934,               -220186,               -213700,               -183887,                     10,                -11877,                     -1,               -195755,,                              0,                              0,                  4651,                  4651,,                286100,               -125438,,,,,                              0,                160662,                -30442,                246217,                215775,                215775,,                              0,,,,,
2537,2014年度,,                290201,                290201,,,                    457,                     81,                 10714,                 20721,                 -1901,                              0,,                 12245,,,,                    605,                  1277,                133634,               -187934,             -1444894,                -76810,                -26361,                239324,             -1361159,,                 -9236,                              0,                 -4539,                              0,               -293624,                 19758,                 45938,                 -1345,               -243048,             -1604207,             -1561890,             -1271689,                  1901,                -42779,                 -4540,             -1317107,,                 -1318,                201293,                              0,                195876,,                731000,               -698073,                              0,                -12000,                 -9500,                -46005,                698651,                664073,               -457158,                703375,                246217,                246217,                 -4099,,,                 42317,                              0,                              0,
2537,2014年01月01日至2014年09月30日,,                247928,                247928,,,                    321,                     66,                 11417,                  8126,                 -1630,                              0,                              0,                  9409,                 27709,,,                              0,                134481,                              0,                -85757,             -1284491,                -67982,                -19189,                159342,             -1163596,,                 73765,                              0,                              0,                              0,               -293624,                 10320,                 12303,                    977,               -196259,             -1359855,             -1332146,             -1084218,                  1630,                -32037,                 -4477,             -1119102,,                 -1318,                201382,                    970,                201034,,                456000,               -540649,                              0,                -12000,                 -9500,                -46005,                698651,                546497,               -371571,                703375,                331804,                331804,,,,,,,
2537,2014年01月01日至2014年06月30日,,                145819,                145819,,,                    181,                     44,                  8095,                  7487,                 -1419,,,                  6572,                 20960,,,                              0,                  1269,                133636,                              0,             -1043066,                -36916,                 55250,                              0,               -889827,,                -15358,                              0,                -46549,                              0,               -185539,                  1018,                -18097,                 -1340,               -265865,             -1155692,             -1134732,               -988913,                  1419,                -21564,                 -4477,             -1013535,,                 -1294,,,                201058,,                265000,               -413235,                              0,,                 -9500,,                698651,                540916,               -271561,                703375,                431814,                431814,                202352,,,,,,
2537,2014年01月01日至2014年03月31日,,                 97847,                 97847,,,                     88,                     22,                    948,                  6632,                    -82,,,                  3677,                 11285,,,                              0,                  1261,                133636,                              0,               -991194,                -31543,                -18112,                 42718,               -863234,,                  1197,                              0,                -29303,                              0,                -76806,                    607,                -50289,                 -1372,               -155966,             -1019200,             -1007915,               -910068,                     82,                -10981,                     -2,               -920969,,                    -92,                  1270,                     20,                  1198,,                145000,               -285831,,,,,                698651,                557820,               -361951,                703375,                341424,                341424,,                              0,,,,,
2537,2013年度,,                568579,                568579,,,                    327,                     83,                 -1751,                 33809,                 -1990,                  2000,,                  9407,,,,                              0,                 54772,               -132110,                              0,                592855,               -111737,                 -9819,               -198506,                195455,,               -121889,                   -630,                 59107,                 -4858,               -332514,                  8842,                -21058,                  2248,               -410752,               -215297,               -173412,                395167,                  1990,                -35884,                -12900,                348373,,                   -204,                              0,                  2591,               -147941,,                652821,               -836430,                200000,                              0,                              0,                              0,                 51349,                467740,                668172,                 35203,                703375,                703375,                              0,,,                 41885,               -150328,                400000,
2537,2013年01月01日至2013年12月31日,,                568579,                568579,,,                    327,                     83,                 -1751,                 33809,                 -1990,                  2000,,                  9407,,,,                              0,                 54772,               -132110,,                592855,               -111737,               -208325,,                195455,,               -121889,                   -630,                 59107,                 -4858,,                  8842,                -21058,                  2248,               -410752,               -215297,               -173412,                395167,                  1990,                -35884,                -12900,                348373,,                   -204,,,               -147941,,                652821,               -836430,                200000,,,,                 51349,                467740,                668172,                 35203,                703375,                703375,               -147737,,,                 41885,,                400000,               -332514
2537,2013年01月01日至2013年09月30日,,                441934,                441934,,,                    243,                     61,                 -2416,                 23577,                   -912,                              0,,                  6481,,,,                              0,                 55940,                  1496,                              0,                490689,                -70805,               -218231,,                259089,,               -113456,                   -630,                 85359,                 -4816,               -278208,                  3700,                -49020,                  3103,               -353968,                -94879,                -67845,                374089,                    912,                -30501,                 -9501,                334999,,                   -184,,,               -151350,,                484361,               -836430,                200000,                              0,                              0,                              0,                              0,               -152069,                 31580,                 35203,                 66783,                 66783,               -151166,,,                 27034,,,
