證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金增加,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　 現金增資,　　 取得無活絡市場之債務工具投資,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資
2540,2015年01月01日至2015年09月30日,,                104949,                104949,,,                  1268,                    533,                 24074,                 -2005,                     11,                 12900,                 36781,,,                 59953,                223195,                -74532,                -30868,                 -1713,             -1485781,                -72491,                 -2194,                 29239,                     62,             -1355130,,                -83738,                -52258,                   -693,                -73573,                 -6772,                 39135,                    175,                    285,               -177439,             -1532569,             -1495788,             -1390839,                    657,                -26560,                -29292,             -1446034,,                              0,                              0,                -49786,               -100427,                              0,                              0,                 -1570,                              0,                              0,               -151783,,                710510,               -111790,                150000,               -100000,                              0,                    100,               -235349,                413471,             -1184346,              1300709,                116363,                116363,,,,,,,,,,
2540,2015年01月01日至2015年06月30日,,                 34186,                 34186,,,                    838,                    355,                 14129,                 -1787,                     11,                  8600,                 22146,,,                 57514,                113557,                -11018,                -25822,                    186,             -1141055,                -52300,                   -957,                 31498,                     64,             -1028333,,                -86387,               -342089,                329375,                -30080,                -12437,                 18209,                    873,,               -122536,             -1150869,             -1128723,             -1094537,                    633,                -14898,                -19524,             -1128326,,                              0,,                -19332,               -100297,,                              0,                 -1342,,                              0,               -120971,,                650510,               -100404,                100000,                -50000,                              0,,               -235349,                364757,               -884540,              1300709,                416169,                416169,                              0,                              0,,,,,,,,
2540,2015年01月01日至2015年03月31日,,                 39166,                 39166,,,                    417,                    177,                  6512,                   -984,                     11,                  4300,                 10433,,,                 59783,                192047,                   -187,                -40716,                     13,               -264206,                -71363,                 -1664,                 15186,                              0,               -111107,,                -95255,                -51540,                   -720,                -38434,                -15647,                  7663,                   -873,,               -194806,               -305913,               -295480,               -256314,                     58,                 -6672,                     -6,               -262934,,,,                -19270,                    -40,,                              0,                   -381,,                              0,                -19691,,                 94000,,                 50000,                              0,,,               -235349,                -91349,               -373974,              1300709,                926735,                926735,                              0,,                              0,                              0,,,,,,
2540,2014年度,,                 77740,                 77740,,,                  1612,                    528,                 21449,                   -815,                     43,                 16144,,,,                  1413,               -309306,                 17066,               -286113,                 34951,               -822869,               -153451,                    272,                 -9143,                     77,             -1527103,,                121782,               -243068,                -16687,                 44778,                 10108,                 54801,                  1101,,                -27185,             -1554288,             -1515327,             -1437587,                    734,                -20772,                    -73,             -1457698,,,                              0,                -95498,                              0,                 83195,                   -903,                 -9745,,                              0,                -22951,,                491304,               -189374,                203000,               -308500,                602000,                              0,,              2748430,              1267781,                 32928,              1300709,              1300709,,              1950000,,,,                              0,                 38961,                              0,                              0,
2540,2014年01月01日至2014年09月30日,,                104806,                104806,,,                  1195,                    350,                 13783,                 -1190,                     43,                 12738,                 26919,,,                 60583,               -244246,                 17198,               -182237,                 34801,               -325289,               -197819,                   -410,                -34293,                     80,               -871632,,                156829,               -190475,                -17411,                -11105,                   -842,                 46841,                  1436,                 -2000,                -16727,               -888359,               -861440,               -756634,                    118,                -13394,                    -13,               -769923,,                              0,                              0,                -33642,                              0,                 83444,                   -523,                 -4052,                              0,                   -894,                 44333,,                471304,               -160000,                203000,               -258500,                602000,                              0,                              0,                857804,                132214,                 32928,                165142,                165142,,,,,,,,,,
2540,2014年01月01日至2014年06月30日,,                 33444,                 33444,,,                    785,                    221,                  6561,                   -799,                              0,                  7551,                 14319,,,                 57525,               -162155,                 12165,                -70805,                 34999,               -161460,               -145674,                 -2016,                -44312,                     79,               -481654,,                 68942,               -187100,                 -9317,                 -8240,                   -591,                 29821,                  3763,,               -102722,               -584376,               -570057,               -536613,                     78,                 -6181,                     -9,               -542725,,                              0,,                   -457,                 -6401,,                   -219,                   -421,,                   -894,                 -8392,,                381930,                              0,                233000,               -288500,                602000,,                              0,                928430,                377313,                 32928,                410241,                410241,                              0,                              0,,,,,,,,
2540,2014年01月01日至2014年03月31日,,                -43410,                -43410,,,                    388,                    107,                  2357,                   -357,                              0,                  3247,                  5742,,,                 66764,                -93729,                 -7605,                -23215,                 34981,               -149851,                -55307,                     -1,                     12,                     77,               -227874,,                129256,               -214671,                 -9913,                 20707,                 -7876,                 18744,                  1410,,                -62343,               -290217,               -284475,               -327885,                     15,                 -2342,                     -1,               -330213,,,,                    -62,                 -2220,,                    -70,                   -421,,                   -894,                 -3667,,                381930,,                103000,               -105500,,,                              0,                409430,                 75550,                 32928,                108478,                108478,                              0,,                              0,                 30000,,,,,,
2540,2013年度,,                200051,                200051,,,                  1079,                     29,                  3906,                   -483,                              0,                              0,,,,                -75247,                -66367,                -24135,                -62425,                -35912,               -609919,               -120370,                   -434,                -87659,                     77,             -1082391,,                 12725,                392937,                 17424,                 35833,                 22576,                 30681,                  1246,,                513422,               -568969,               -564438,               -364387,                    635,                 -3820,                    -63,               -367635,,,                 -5505,                 -2275,                -89588,                              0,                 -1232,                              0,,               -860000,               -924180,,                              0,                              0,                105000,               -123500,                              0,                    -20,,              1294880,                  3065,                 29863,                 32928,                 32928,,              1313400,,,,                              0,                  4531,                              0,                 34420,
2540,2013年01月01日至2013年09月30日,,                -26798,                -26798,,,                    693,                              0,                  2972,                   -278,                              0,                              0,,,,                              0,                -53365,                 -1000,                              0,                              0,                    264,                 -6282,                   -222,                              0,                    120,                -60485,,                  7352,                 36177,                              0,                              0,                 12894,                    125,                    368,                              0,                 56916,                 -3569,                   -182,                -26980,                    417,                 -3057,                    -83,                -29703,,,                 -5505,                 -2275,,                     72,                              0,                              0,                              0,                              0,                 16732,,                              0,                              0,                112000,               -124000,                              0,,,                 25780,                 12809,                 29863,                 42672,                 42672,                    -20,                 37800,,,,,                  3387,,,                 24440
2540,2013年01月01日至2013年06月30日,,                -10737,                -10737,,,                    393,                              0,                  2013,                   -258,,                              0,,,,                              0,                              0,                              0,                              0,                    -17,                    176,                    345,                              0,                              0,                    156,                    660,,                              0,                              0,                              0,                              0,                  2304,                              0,                   -279,,                  2025,                  2685,                  4833,                 -5904,                    309,                 -2138,                   -109,                 -7842,,,,                    -76,                              0,,                              0,                              0,,                              0,                 34344,,                              0,,                296500,               -306000,                              0,,,                 28280,                 54782,                 29863,                 84645,                 84645,                    -20,                 37800,,,,,                  2148,,,                 34420
2540,2013年01月01日至2013年03月31日,,                 -4207,                 -4207,,,                    197,                              0,                  1011,                   -153,,                              0,,,,                              0,                              0,                              0,                              0,                              0,                     88,                    384,                              0,                              0,                     78,                    550,,                              0,                              0,                              0,                              0,                    369,                              0,                   -371,,                     -2,                    548,                  1603,                 -2604,                    221,                   -902,                    -22,                 -3307,,,,                              0,                              0,,                              0,                              0,,                              0,                 24440,,                              0,,                121000,               -124000,,,,                 -3020,                 18113,                 29863,                 47976,                 47976,                    -20,,,                              0,,,                  1055,,                 24440,
