證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 無活絡市場之債務工具投資到期還本,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 無活絡市場之債務商品投資到期還本
2543,2015年01月01日至2015年09月30日,,                174282,                174282,,,                 63194,                    578,                 50469,                 17573,                -12145,                              0,                 -7068,                              0,                    -26,                              0,                112575,,,                  5503,               -236781,               -458999,                -76419,                  4567,                  2334,                 72881,                 87790,               -599124,,               -159694,                -92251,                              0,                  2858,                 -5391,                 -3178,               -257656,               -856780,               -744205,               -569923,                  5603,                -17466,                -60385,               -642171,,               -190000,                190026,                222376,                -47268,                 11299,                 -1253,                              0,                              0,                185180,,                227798,                              0,                -26822,                              0,                 -5455,                              0,                 -6048,                              0,                189473,               -267518,                344573,                 77055,                 77055,,,,,,
2543,2015年01月01日至2015年06月30日,,                108366,                108366,,,                 43165,                    406,                 50469,                 11980,                -10796,                              0,                 -4167,,                    -14,                              0,                 91043,,,                 13908,               -252709,               -356231,                -83264,                  5186,                -19127,                 79130,                181632,               -431475,,                -59522,               -177197,                              0,                  2155,                 -4450,                    278,               -238736,               -670211,               -579168,               -470802,                 12212,                -11803,                -38535,               -508928,,               -190000,                170014,                225280,                -37323,                  7927,                      4,                              0,                              0,                175902,,                 91723,                              0,                              0,                -18382,                 -7708,                              0,                 -6048,                              0,                 59585,               -273441,                344573,                 71132,                 71132,,,,,,
2543,2015年01月01日至2015年03月31日,,                 67412,                 67412,,,                 21723,                    235,                 -9624,                  5825,                 -2158,                              0,                 -1256,,                     -3,                              0,                 14742,,,                 -2987,               -234673,               -151980,                 10340,                  1856,                 -9230,                 -4301,                 60134,               -330841,,                 -3181,               -106196,                 16073,                -17332,                 -3912,                    514,               -114034,               -444875,               -430133,               -362721,                    597,                 -5754,                    -43,               -367921,,                -20000,                 20003,                 10250,                -10874,                  3678,                              0,                              0,,                  3057,,                134153,,,                -20841,                 -2367,                 -4524,,,                106421,               -258443,                344573,                 86130,                 86130,,,,,,
2543,2014年度,,                349772,                349772,,,                 94859,                    711,                  4281,                 30887,                -19238,,                -11731,                              0,,                              0,,,,                  7037,               -348124,             -1111632,                 60989,                   -787,                -20775,                 40907,               -313340,             -1684119,,                 16666,                300666,                -52879,                -17076,                  6128,,                252715,             -1431404,             -1331661,               -981889,                 22063,                -43215,                 -8000,             -1011041,,                -60000,                 80026,,               -115597,                 16220,                -10253,                   -473,,                982848,,,               -303738,,                -17279,                  5105,                              0,                -33502,                447930,                 98516,                 70323,                274250,                344573,                344573,,                    -26,                 99743,                  1606,                   -790,              1072925
2543,2014年01月01日至2014年09月30日,,                214778,                214778,,,                 72903,                    527,                  4281,                 23836,                -16441,                              0,                 -9401,                              0,                    -21,                              0,                 75684,,,                  8781,               -489079,               -835136,                 62690,                  2246,                -38618,                 34116,                -39084,             -1294084,,                131486,                171308,                -72738,                -27360,                   -768,                   -748,                201180,             -1092904,             -1017220,               -802442,                 15072,                -24030,                 -7352,               -818752,,                -40000,                 60021,                486667,                -85219,                 13585,                -10283,                   -198,                              0,                424573,,                -95407,                              0,                 -6161,                              0,                  5712,                              0,                -26061,                447930,                326013,                -68166,                274250,                206084,                206084,,,,,,
2543,2014年01月01日至2014年06月30日,,                 80668,                 80668,,,                 50473,                    346,                              0,                 17186,                 -9470,                              0,                 -6534,,                    -15,                              0,                 51986,,,                  8207,               -111903,               -574181,                 33808,                 -1056,                -16903,                 30097,                  6311,               -625620,,               -215968,                 74222,                -72738,                -40085,                    659,                   -511,               -254421,               -880041,               -828055,               -747387,                 10708,                -17242,                 -5384,               -759305,,                -20000,                 40015,                274753,                -65133,                  8559,                -10463,                   -159,                              0,                227572,,                              0,               -124303,                  7187,                              0,                  3738,                              0,                -17246,                447930,                317306,               -214427,                274250,                 59823,                 59823,,,,,,
2543,2014年01月01日至2014年03月31日,,                 24692,                 24692,,,                 25693,                    167,                              0,                  8112,                 -4894,                              0,                 -6059,,                    -10,                              0,                 23009,,,                 -7631,               -118541,               -187098,                 54291,                   -155,                 -9586,                 34300,                 18385,               -216035,,                105503,                -39374,                -72738,                -19916,                     87,                   -261,                -26699,               -242734,               -219725,               -195033,                  1185,                 -8379,                   -118,               -202345,,                              0,                 20010,                 17440,                -38890,                  6902,                -10460,                   -159,,                 -5157,,                 18896,,,                 -9905,                  1788,                 -8560,,,                  2219,               -205283,                274250,                 68967,                 68967,,,,,,
2543,2013年度,,                254516,                254516,,,                110955,                    690,                 -6443,                 39446,                -38846,,                -28330,                    141,,                    280,,,,                  6331,               -100833,                194181,                 -1005,                 56699,                 21933,               -318936,                -25086,               -176556,,                143342,                -84714,               -874307,                -72531,                  1989,,               -887456,             -1064012,               -986260,               -731744,                 40990,                -39473,                    344,               -729883,,                -20000,                200145,,               -129045,                 93217,                -38396,                    -85,,                737369,,,               -172380,,                -31007,                148140,                  6700,                              0,                              0,                -48547,                -41061,                315311,                274250,                274250,,                   -141,                 77752,                 -9840,                 -1235,                631533
2543,2013年01月01日至2013年09月30日,,                 43314,                 43314,,,                 85941,                  1354,                  6441,                 30288,                -19610,                              0,                -26495,                    141,                   -141,                              0,,,,                   -475,                -40033,                218842,                  7599,                 -1979,                 17683,               -343066,                -26130,               -167559,,                -77849,               -159757,               -478594,                -87458,                  8324,,               -796329,               -963888,               -885969,               -842655,                 17450,                -30459,                              0,               -855664,,                -50000,                250145,,                -94551,                 89369,                    460,                    -85,                              0,                617847,,                              0,                -72860,                              0,                -17697,                148278,                 15136,,                              0,                 72857,               -164960,                315311,                150351,                150351,,,                 77919,,                   -995,                422509
2543,2013年01月01日至2013年06月30日,,                  1702,                  1702,,,                 59266,                    964,                  6441,                 20309,                -13832,                              0,                -16271,,                   -141,                              0,,,,                -14657,               -183336,                142400,                  2642,                   -228,                 -3939,                -51167,                156332,                 48047,,                  8675,               -173842,               -387759,                -78291,                  3890,,               -627996,               -579949,               -523213,               -521511,                 14946,                -20323,                              0,               -526888,,                -50000,                250145,,                -77715,                 74875,                   -216,                    -85,                     -1,                330928,,                              0,                -23113,                              0,                -24691,                  1422,                 23449,,                              0,                -22933,               -218893,                315311,                 96418,                 96418,,,                 56736,,                   -669,                133925
