證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得避險之衍生金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 預付設備款減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 發行公司債,　　 非控制權益變動,　　　　 投資性不動產公允價值調整損失(利益),　　 取得持有至到期日金融資產
2610,2015年01月01日至2015年09月30日,,              6458812,              6458812,,,             13052784,                 49740,                 35621,               -148628,               -343536,             -1883736,               -389920,                 -8078,                              0,                231732,                294172,              2877530,             13767681,,,                  4625,              1709854,                315888,                203181,               -678480,              1377800,              2932868,,              1397202,                -94317,                625952,               -160021,                139919,               -174816,               -217469,               -100821,              1415629,              4348497,             18116178,             24574990,                339955,              2332974,             -1576476,               -209736,             25461707,,                103975,                -13096,             -4292644,                 13383,               -802955,                763812,            -11738052,              7916479,               -426073,             -8475171,,             13530025,            -17759000,             -1988138,             -8585000,             16123172,            -14184194,                 97479,                -91304,               -157053,                              0,                   -344,            -13014357,                 40921,              4013100,             20468151,             24481251,             24481251,,,,,,,,,,,
2610,2015年01月01日至2015年06月30日,,              3761896,              3761896,,,              8815722,                 31370,                 20579,                 48384,               -224619,               -223050,               -248885,                 -3441,                              0,                160434,                -69532,              1873925,             10180887,,,                 67877,                835849,                 22406,                 36335,               -465113,               -247439,                249915,,                300615,                185679,                894708,                -71823,                932018,               -172380,               -145005,                -57737,              1866075,              2115990,             12296877,             16058773,                218525,                286842,             -1167770,               -125876,             15270494,,                              0,                -13096,             -1868779,                  5753,               -580200,                475316,             -7476675,              5209610,               -368108,             -4616179,,             11270025,            -13820000,             -1098262,             -8585000,             14722951,             -8586225,                 70873,                -79567,               -157063,                              0,,             -6262268,                -76889,              4315158,             20468151,             24783309,             24783309,,,,,,,,,,,
2610,2015年01月01日至2015年03月31日,,              2316352,              2316352,,,              4434260,                 15468,                  5540,                  6885,               -107241,                              0,               -116316,                 -1780,,                 12787,                185775,                914902,              5350280,,,               -107042,               -133376,                162905,                183692,                 31030,                398129,                535338,,                659412,               -141439,               -224138,                -11918,               -697989,                496451,                -56835,                -36627,                -13083,                522255,              5872535,              8188887,                102268,                              0,               -616664,                -16975,              7657516,,,,               -759467,                  1780,               -173806,                223181,             -4333369,,               -268950,             -5310631,,              9030025,            -10520000,               -799165,             -6785000,             11721586,             -4402817,                 12261,                -14203,                              0,,,             -1757313,               -304996,                284576,             20468151,             20752727,             20752727,,,,,,,,,,,
2610,2014年度,,                357709,                357709,,,             17460725,                 55422,                 30021,                -78742,               -441968,                -29522,               -509352,                -52340,                 -6557,                521473,                436912,              3532286,,,,                 55802,             -1513216,               -114621,               -200822,               -412261,               -342329,             -2527447,,               -443447,                119499,             -1755706,               -579081,              2208926,                  9333,,                 59112,               -538801,             -3066248,             17852110,             18209819,                454403,                411683,             -2061008,               -106302,             16908595,,,,             -9920198,                 82451,               -498599,                330518,            -12337340,,               -101223,            -22342913,,              4213633,,              2088138,             -4780000,             39440000,            -34284523,                146335,               -183913,,                200000,,              6735734,                159086,              1460502,             19007649,             20468151,             20468151,,                              0,             20918358,               -157437,                 96862,                  4616,                              0,                              0,               -103936,,
2610,2014年01月01日至2014年09月30日,,             -1378142,             -1378142,,,             13050413,                 40800,                 15133,                -47579,               -340327,                -28190,               -388174,                -33915,                 -2550,                406101,                246044,              2566625,             15484381,,,                100322,               -318297,               -350965,                154563,               -481312,               -251956,             -1147645,,                173886,                462442,             -1015221,               -513866,               -231916,              1216780,               -124126,               -505666,               -537687,             -1685332,             13799049,             12420907,                348483,                323839,             -1550267,                -40064,             11502898,,                  4616,                              0,             -5927634,                 52141,               -299958,                271592,            -10276689,                              0,                  1456,            -16174476,,              2155000,               -196000,              2023631,             -4780000,             26165193,            -22904679,                118269,               -154056,               -103936,                200000,                              0,              2523422,                 50125,             -2098031,             19007649,             16909618,             16909618,,,,,,,,,,,
2610,2014年01月01日至2014年06月30日,,             -2868786,             -2868786,,,              8667215,                 26618,                     88,                  5292,               -238810,                -27964,               -263308,                -27101,                 -2550,                292141,                137610,              1610870,             10180101,,,                125790,               -271263,                -77273,               -228447,                 53796,               -786899,             -1184296,,                -18620,                191754,              1949874,               -545217,                560173,              1410551,                -88186,               -465282,              2995047,              1810751,             11990852,              9122066,                247065,                 42656,             -1010657,                -18138,              8382992,,                  4616,                              0,             -3305738,                 37605,               -174186,                202333,             -7407051,                              0,                 48859,            -10593562,,              6918912,             -3095000,              1823184,             -4780000,             11789343,            -10336437,                104527,               -135501,               -103936,                200000,,              2385092,               -143089,                 31433,             19007649,             19039082,             19039082,,,,,,,,,,,
2610,2014年01月01日至2014年03月31日,,             -2510474,             -2510474,,,              4319427,                 12964,                    297,                -23076,               -124143,                 -3418,               -122927,                -21100,,                117364,                239614,                821454,              5216456,,,                -68320,                -77591,                -34560,                 24012,               -160706,                  6871,               -310294,,               -563513,                107303,               -728247,                -24646,               -592765,              1421693,                -71225,                401133,                -50267,               -360561,              4855895,              2345421,                132071,                  3418,               -616041,                 -4730,              1860139,,,,             -1600129,                 28994,                   -978,                 41853,             -1925753,,                136097,             -3319916,,                103735,                -60000,                 59956,             -1080000,              8987952,             -6113605,                 61134,                -64122,                 -1522,,,              1893528,               -228724,                205027,             19007649,             19212676,             19212676,,,,,,,,,,,
2610,2013年度,,               -361180,               -361180,,,             17244851,                 50723,                     79,               -132701,               -361433,                -65631,               -450361,                 -6008,                              0,                318255,                209433,              1780821,,,,              1411176,               -214653,               -171326,               -133314,                  4080,              1262215,              2158178,,                382372,                177602,              2592128,               -426740,                555208,                 20784,,                 85907,              3222577,              5380755,             23226497,             22865317,                339814,                402805,             -1976580,               -145454,             21485902,,,,             -5966226,                 37458,               -134518,                394101,             -7396503,,                -58829,            -12382231,,             -1466964,,                              0,             -5460000,             15211898,            -26182916,                204648,               -179459,,                              0,,             -1064806,                137653,              8176518,             10831131,             19007649,             19007649,,               -742286,             17845742,               -164684,                              0,                              0,                742286,             16900000,                -92013,,
2610,2013年01月01日至2013年12月31日,,               -361180,               -361180,,,             17244851,                 50723,                     79,               -132701,               -361433,                -65631,               -450361,                 -6008,                              0,                318255,                209433,              1780821,,,,              1411176,               -214653,               -171326,               -133314,                  4080,              1262215,              2158178,,                382372,                177602,              2592128,               -426740,                555208,                 20784,,                 85907,              3222577,              5380755,             23226497,             22865317,                339814,                402805,             -1976580,               -145454,             21485902,,,,             -5966226,                 37458,               -134518,                394101,             -7396503,,                -58829,            -12382231,,             -1466964,,,             -5460000,             15211898,            -26182916,                204648,               -179459,,                              0,,             -1064806,                137653,              8176518,             10831131,             19007649,             19007649,,               -742286,             17845742,               -164684,                              0,                              0,                742286,             16900000,                -92013,,
2610,2013年01月01日至2013年09月30日,,                644284,                644284,,,             12935461,                 38029,                    145,               -109782,               -250109,                 -3406,               -333333,                 -6152,                              0,                258722,                297711,              2320362,,,,              1395328,                334680,               -270548,               -147946,                -57515,              1634382,              2888381,,                -15974,                253739,                685313,               -396155,               -355951,                162110,,                141263,                323435,              3211816,             17780449,             18424733,                248599,                312447,             -1466051,                -66471,             17453257,,                              0,,             -4394614,                 24636,                -65358,                358618,             -5753155,,                -27820,             -9857693,,              1275000,                              0,              1099158,             -5460000,              7925000,            -18408353,                158003,               -135813,                -92013,                              0,,             -2739018,                 20163,              4876709,             10831131,             15707840,             15707840,,,             14568633,               -150910,,,,             10900000,,               -579015,
