證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他金融負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產減少,　　　　 攤銷費用,　　 取得無形資產,　　 其他金融負債減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　 其他籌資活動,　　　　　 應計退休金負債增加（減少）,　　 發行公司債
2612,2015年01月01日至2015年09月30日,,                293496,                293496,,,                541692,                 16922,                 99943,                -14388,                 52916,                -25521,                 32273,                703837,,,                  1666,                 10713,                 37307,                 -5343,                  6349,                 50692,,                 -7012,                -21343,                              0,                 -7177,                -21856,                   -395,                -57783,                 -7091,                696746,                990242,                 12806,                 43173,               -113129,                -71794,                861298,,                              0,                              0,                 -2267,                              0,               -228000,                148811,               -254425,                 48304,                 54982,                  4575,                  2679,                              0,               -225341,,                200126,                              0,                              0,               -632003,                      2,               -333412,               -765287,                158798,                 29468,              4610003,              4639471,              4639471,,,,,,,,,,,,,,,
2612,2015年01月01日至2015年06月30日,,                177884,                177884,,,                357707,                 16565,                 65868,                -11356,                 38387,                -21476,,                472218,,,                    234,                  6221,                 40792,                -22189,                  8782,                 33602,,                 -1403,                -35586,,                 -9717,                -13543,,                -59819,                -26217,                446001,                623885,                  9216,,                -86353,                -50255,                496493,,                              0,,                              0,                              0,                134337,,                -82776,                 34121,                 64488,,,                  4333,                154718,,               -209904,,                              0,               -467662,                     -5,,               -677571,               -105086,               -131446,              4610003,              4478557,              4478557,                              0,                 26523,                   -238,                              0,                    430,                    215,,,,,,,,,
2612,2015年01月01日至2015年03月31日,,                158733,                158733,,,                178314,                -30243,                 33491,                 -4479,                  9496,                -14792,                 14527,                187461,,,                   -729,                 -1031,                 40323,                -32029,                 11012,                 17546,,                 -3840,                -22180,,                 -7266,                -43271,                     10,                -76547,                -59001,                128460,                287193,                  5273,,                -24517,                   -116,                267833,,,,                              0,                              0,                              0,                 86983,                -39644,                 19652,                -18935,,                  2709,,                 56978,,               -120318,,                              0,               -160769,                     -3,,               -281090,                -47599,                 -3878,              4610003,              4606125,              4606125,,,,,,,                  1147,                  6213,                              0,,,,,,
2612,2014年度,,                396764,                396764,,,                697253,,                193310,                -52746,                 49727,                -64703,,,,,                 -1312,                    997,                   -949,                 -1055,                  4109,                  2131,,                 -1412,                 16816,,                -40388,                  5145,                              0,                -19839,                -17708,                834617,              1231381,                 58092,                 63434,               -223332,                -25958,              1103617,,              1073741,             -1060547,                122975,                -12500,                -18600,                502481,               -617303,                107388,,                -51500,,                 -7732,                 38403,,              1059600,             -2000000,                              0,               -701449,,               -384711,             -2026713,                247894,               -636799,              5246802,              4610003,              4610003,                 25561,,,                  1646,,,                  3923,,,,                852325,                 -1305,                   -153,,
2612,2014年01月01日至2014年09月30日,,                283580,                283580,,,                521700,                   -151,                151696,                -42868,                 40899,                -58664,                 33330,                645942,,,                   -780,                -17188,                 15919,                -14583,                 -6306,                -22938,,                 -5480,                 -2373,                              0,                -49446,                -23700,                  1331,                -79668,               -102606,                543336,                826916,                 48250,                 63434,               -174666,                -19334,                744600,,             -1060547,                515932,                -10301,                -12500,                -18600,                443944,               -403721,                 85486,                              0,                  4039,                -64477,                              0,               -520745,,                230000,                              0,                              0,               -350725,                   -208,               -384711,               -505644,                -85984,               -367773,              5246802,              4879029,              4879029,,,,,,,,,,,,,,,
2612,2014年01月01日至2014年06月30日,,                167097,                167097,,,                346373,                     32,                102216,                -30004,                 22968,                -32507,,                432047,,,                 -2375,                -23726,                 14568,                -26067,                   -330,                -38967,,                  2789,                -14495,,                -50384,                -40528,,               -102241,               -141208,                290839,                457936,                 33751,,                -80122,                -12284,                399281,,               -981537,,                122975,                -12500,                386191,,               -352107,                 53327,                              0,,,                  4861,               -813507,,                249779,,                              0,               -350725,                   -209,,               -101155,                 10738,               -504643,              5246802,              4742159,              4742159,                              0,                 22969,                 -1339,                    302,                    377,                -34717,,,,,,,,,
2612,2014年01月01日至2014年03月31日,,                 74685,                 74685,,,                172036,                    197,                 50427,                -16162,                 10166,                -26242,                 13046,                204453,,,                 -1766,                -26163,                 18280,                  3030,                 -1961,                 -8580,,                 -5292,                -10984,,                -35430,                -35779,                 -1263,                -88748,                -97328,                107125,                181810,                 15615,,                -28981,                   -205,                168239,,,,                -24721,                -12500,                              0,                296218,               -156566,                 45716,                              0,,                -26616,,                127092,,                              0,,                              0,               -174054,                   -207,,               -174261,                 97343,                218413,              5246802,              5465215,              5465215,,,,,,,                    985,                  5561,                              0,,,,,,
2612,2013年度,,                423781,                423781,,,                665876,,                216728,                -45624,                    853,                -89448,,,,,                  5894,                -37308,                -19916,                  3962,                 55268,                  8148,,                   -305,                 15103,,               -138223,                -16516,                   -147,               -140088,               -131940,                622673,              1046454,                 42312,                 76246,               -224005,               -141711,                799296,,                              0,                              0,                -95504,                -12500,                              0,                 38195,             -1389782,                151505,,                -43284,,                 -4238,             -1355608,,                 50000,             -1000000,                942626,               -688258,,               -256473,               -952687,                116621,             -1392378,              6639180,              5246802,              5246802,                  2305,,,                    384,,,                  3923,,,,                754613,                   -136,                   -582,,
2612,2013年01月01日至2013年12月31日,,                423781,                423781,,,                665876,,                216728,                -45624,                    853,                -89448,,,,,                  5894,                -37308,                -19916,                  3962,                 55268,                  8148,,                   -305,                 15103,,               -138223,                -16516,                   -147,               -140088,               -131940,                622673,              1046454,                 42312,                 76246,               -224005,               -141711,                799296,,,,                -95504,                -12500,                              0,                 38195,             -1389782,                151505,,                -43284,,                 -4238,             -1355608,,                 50000,             -1000000,                942626,               -688258,,               -256473,               -952687,                116621,             -1392378,              6639180,              5246802,              5246802,                  2305,,,                    384,,,                  3923,,,,                754613,                   -136,                   -582,,                              0
2612,2013年01月01日至2013年09月30日,,                354942,                354942,,,                496980,,                168008,                -33750,                -13322,                -70061,,,,,                  3979,                -27638,                 21234,                 -2850,                -84641,                -90113,,                 -4430,                -15869,                              0,               -123757,                -18172,                   -676,               -162904,               -253017,                297142,                652084,                 33750,                 76246,               -197927,               -141539,                422614,,                              0,                              0,                -93354,                              0,                              0,                 38195,             -1352414,                109112,                -78848,,,                -13462,             -1390771,,                 40000,             -1000000,                944055,               -342131,                   -344,               -256473,               -614893,                -88761,             -1671811,              6639180,              4967369,              4967369,,                  2304,,,,,,,,,                550159,                   -197,,,
2612,2013年01月01日至2013年06月30日,,                214280,                214280,,,                321822,,                111306,                -18951,                -31536,                 -8453,,,,,                    807,                -21475,                  2154,                -27127,                -75644,               -119424,,                 -6978,                -12458,,                -85544,                -24816,,               -130703,               -250127,                126363,                340643,                 18951,,               -130813,               -128787,                 99994,,                              0,,                -94729,                              0,                 38195,,             -1069864,                 12269,                -40170,,,                -11879,             -1166178,,                 30000,,                941927,               -346423,                    -81,,                625423,                152517,               -288244,              6639180,              6350936,              6350936,                              0,                  2302,                  1861,                              0,,,,,,,                376490,,,                   -907,
2612,2013年01月01日至2013年03月31日,,                131384,                131384,,,                142841,,                 53707,                 -8953,                -27424,                 -3427,                  2305,,,,                  2052,                -18937,                 12998,                  3629,                 12121,                 11863,,                 -3859,                -14467,,                -53110,                -28537,                    932,                -99041,                -87178,                 72871,                204255,                  8953,,                -23123,                   -777,                189308,,,,                -92609,                              0,                              0,                 38195,             -1002942,                  2651,                 -7017,,,,             -1061722,,                 30000,,                956913,               -218496,                     24,,                768441,                111062,                  7089,              6639180,              6646269,              6646269,,,,,,,                  1000,,                              0,,                160049,,,,
2612,2012年01月01日至2012年12月31日,,                725149,                725149,,,                557180,,                207127,                -32270,                -25669,                -57405,,,,,                 18481,                 -7253,                   -881,                  7371,                -38661,                -82810,,                 -8912,                -17925,,               -337275,                -27909,                 -1676,               -393697,               -476507,                186410,                911559,                 32270,                156573,               -196681,                -44986,                858735,,,,                -27471,                              0,               -202944,                193571,             -2679886,                346681,,                -83873,,                  9949,             -2443973,,             -1364680,                              0,              2590002,               -514215,,               -512946,              2998133,               -194720,              1218175,              5421005,              6639180,              6639180,                 10889,,,                  7449,,,                  3065,,,,                662917,                -69316,                    -28,,              2800000
2612,2012年01月01日至2012年09月30日,,                535769,                535769,,,                418460,,                147599,                -19773,                -29493,                 31382,,,,,                 23022,                -25644,                  4425,                -39551,                -22010,               -128836,,                 -3454,                -19021,                              0,               -274133,                -12328,                    137,               -312303,               -441139,                118667,                654436,                 19773,                156573,               -158769,                -34258,                637755,,,,                -56899,,               -202944,                151734,             -2467820,                222927,               -129176,,,                -11024,             -2493202,,             -1364680,                              0,              2492637,               -460706,                    -28,               -512947,              2954276,               -144612,                954217,              5421005,              6375222,              6375222,,                 11631,,,,,,,,,                559806,                -69078,,                 -3504,              2800000
2612,2012年01月01日至2012年06月30日,,                387495,                387495,,,                257569,,                 94745,                -13285,                -26149,                 -8670,,,,,                 19907,                -15988,                  2766,                 27087,                 45828,                -23744,,                  3358,                -18683,,               -165734,                -20264,,               -204576,               -228320,                 76615,                464110,                 13285,,                -94023,                -28692,                354680,,,,                -29769,,               -202944,,             -1383354,                 12857,                -77355,,,                -37515,             -1718080,,             -1364680,,              1481152,               -181691,                              0,,              2734781,               -147920,              1223461,              5421005,              6644466,              6644466,,                    725,                 -3344,,,,,,,,                304935,               -100000,,                 -3253,              2800000
