證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票處分,　　 處分子公司股權（未喪失控制力）,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他投資活動,　　　　　 遞延借項（增加）減少
2613,2015年01月01日至2015年09月30日,,                  6093,                  6093,,,                 81641,                  9389,                              0,                 18570,                 -3444,                   -705,                 20856,                              0,                126307,,,                  2914,                -17913,                  3756,                 -7970,                 -2177,                -27779,                              0,                -49169,,                 16045,                -24373,                  2463,                -43739,                -49604,                -98773,                 27534,                 33627,                  3425,                    705,                -18720,                -20690,                 -1653,,               -132871,                    279,                 -1079,               -332493,               -466164,,                368818,                              0,                -14202,                  3355,                              0,                357971,               -109846,                378887,                269041,                269041,,,,,,,
2613,2015年01月01日至2015年06月30日,,                 20149,                 20149,,,                 52772,                  6259,,                 11772,                 -2341,,                    756,                              0,                 69218,,,                  2514,                 -6949,                  1296,                   -260,                    385,                -12163,                              0,                -15177,,                 13045,                -17018,                  2343,                -35168,                -36798,                -51975,                 17243,                 37392,                  2308,                              0,                -11722,                -16797,                 11181,,                -78564,                    279,                 -1282,               -162241,               -241808,,                145000,                              0,,                  3355,                              0,                148355,                -82272,                378887,                296615,                296615,                              0,,,,,,
2613,2015年01月01日至2015年03月31日,,                 -6870,                 -6870,,,                 26820,                  3130,,                  5866,                 -1066,,                              0,,                 34750,,,                  3315,                 38645,                  2807,                    -20,                 -2763,                -21703,,                 20281,,                 -6601,                -43542,                  2536,                 -4429,                -52036,                -31755,                  2995,                 -3875,                    979,,                 -5837,                    -13,                 -8746,,                -37345,                              0,,                -91368,               -128454,,                 30000,,,                  1822,,                 31822,               -105378,                378887,                273509,                273509,                    259,,,,,,
2613,2014年01月01日至2014年09月30日,,                103705,                103705,,,                 87174,                  9389,                              0,                 18123,                 -3306,                   -547,                      5,                              0,                110838,,,                  2556,                -43214,                  3461,                   -728,                 -9625,                 -6053,                              0,                -53603,,                 -1660,                -19487,                  2026,                -14943,                -34064,                -87667,                 23171,                126876,                  3402,                    547,                -18170,                -10906,                101749,,               -109807,                              0,                -31673,                              0,               -141480,,                 40000,                              0,                -11160,                 24259,                              0,                 53099,                 13368,                330865,                344233,                344233,,,,,,,
2613,2014年01月01日至2014年06月30日,,                 59586,                 59586,,,                 56829,                  6259,,                 12045,                 -2208,,                      5,                              0,                 72930,,,                    967,                -23123,                  2990,                 -3525,                 -5128,                 -9694,                              0,                -37513,,                -13499,                -18245,                  2573,                -10970,                -40141,                -77654,                 -4724,                 54862,                  1829,                              0,                -12018,                 -4591,                 40082,,                -69254,                              0,                              0,                -27667,                -94023,,                100000,                              0,,                 22326,                              0,                122326,                 68385,                330865,                399250,                399250,                  2898,,,,,,
2613,2014年01月01日至2014年03月31日,,                  7852,                  7852,,,                 28310,                  3130,,                  5977,                 -1061,,                   -131,,                 36225,,,                  3039,                 27838,                  4016,                    385,                 -2382,                -11682,,                 21214,,                -23120,                -48558,                  2946,                 -7007,                -75739,                -54525,                -18300,                -10448,                    865,,                 -5974,                    -97,                -15654,,                -23045,                    136,,                 -2880,                -24326,,                 30000,,,                 22326,,                 52326,                 12346,                330865,                343211,                343211,                  1463,,,,,,
2613,2013年01月01日至2013年12月31日,,                 92770,                 92770,,,                104369,                 24240,                    511,                 25330,                 -4619,                   -415,                    -18,                              0,,,,                  4038,                -10256,                 -7062,                   -273,                 -3408,                    209,                 -5618,                -22370,,                 22403,                 11135,                  6803,,                 26140,                  3770,                153168,                245938,                  4589,                    415,                -25370,                 -7486,                218086,,               -102655,                     26,,,               -102629,,                -45000,                -38000,,                 44754,                     20,                -38226,                 77231,                253634,                330865,                330865,,,                149398,                    370,                -14571,,                              0
2613,2013年01月01日至2013年09月30日,,                 49831,                 49831,,,                 77293,                  9389,                    506,                 19135,                 -3372,                   -415,                    -19,,,,,                  6126,                  7282,                 -3551,                   -852,                 -3682,                -10630,,                 -5307,,                  1423,                 -4193,                 -1109,,                -14503,                -19810,                 82707,                132538,                  3361,                    415,                -19162,                 -5336,                111816,,                -75673,                     26,                  4650,                              0,                -70997,,                 -5000,                -38000,                              0,                              0,                     20,                -42980,                 -2161,                253634,                251473,                251473,,,                102517,                    304,                -10928,,
2613,2013年01月01日至2013年06月30日,,                 32930,                 32930,,,                 51514,,                    511,                 12852,                 -2296,,                      6,,,,,                  1394,                 -6763,                 -2428,                 -1082,                     41,                -10285,,                -19123,,                 -1800,                 -9514,                  1872,,                -16435,                -35558,                 27029,                 59959,                  2131,,                -12898,                 -2833,                 46359,,                -43004,,,                              0,                -33014,,                 -5000,,,                              0,,                 -5000,                  8345,                253634,                261979,                261979,,,                 62587,                    304,                 -7297,                  9990,
2613,2013年01月01日至2013年03月31日,,                  1571,                  1571,,,                 25764,,,                  6466,                 -1058,,                              0,,,,,                 10400,                  8990,                   -488,                    -68,                 -2320,                 -9622,,                  6892,,                  4845,                -44520,                  1036,,                -33360,                -26468,                  4704,                  6275,                    997,,                 -6453,                    -15,                    804,,                -21128,                              0,,                              0,                -17122,,                 10000,,,                              0,,                 10000,                 -6318,                253634,                247316,                247316,,,                 31172,                     16,                  5263,                  4006,
2613,2012年01月01日至2012年12月31日,,                 54743,                 54743,,,                100073,                 27561,                    447,                 26930,                 -4266,                   -666,                     27,                              0,,,,                 -4138,                -52953,                  6184,                    123,                 -1570,                 -2901,                   -617,                -55872,,                   -768,                 18444,                 -6566,,                  2949,                -52923,                 97183,                151926,                  4247,                    666,                -27134,                 -6090,                123615,,               -133483,                              0,,,               -133483,,                 70000,                -38000,,                              0,                              0,                 32000,                 22132,                231502,                253634,                253634,,,                150106,                    104,                 -8265,,                              0
2613,2012年01月01日至2012年09月30日,,                 20836,                 20836,,,                 74566,                 20471,                    447,                 20317,                 -3021,,                     25,                              0,,,,                  4753,                -50240,                  4551,                 -2354,                    303,                 -9142,                  1678,                -50451,,                 10053,                 -4382,                  1543,,                  1277,                -49174,                 63631,                 84467,                  3079,,                -20573,                 -3589,                 63384,,               -109113,                              0,,,               -109113,,                 70000,                -38000,,,                              0,                 32000,                -13729,                231502,                217773,                217773,,,                112805,                    400,                 -6337,,                              0
2613,2012年01月01日至2012年06月30日,,                   -823,                   -823,,,                 49215,                 13265,                    451,                 13566,                 -1961,,                     15,                              0,,,,                  1125,                -33210,                    688,                 -3368,,                -11013,                              0,                -45778,,                  1147,                 -6452,                  2237,,                 -7808,                -53586,                 20965,                 20142,                  1798,,                -13731,                 -2342,                  5867,,                -86667,,                  3961,,                -82706,,                 70000,,,,,                 70000,                 -6839,                231502,                224663,                224663,,,                 74551,                      5,                 -4745,,
2613,2012年01月01日至2012年03月31日,,                -18992,                -18992,,,                 24607,                  6495,,                  6776,                   -884,,                     14,                              0,,,,                  4490,                 -1692,                  2050,                 -4711,,                -18323,                              0,                -18186,,                  1899,                -32963,                  2810,,                -30014,                -48200,                -11192,                -30184,                    803,,                 -7148,,                -36529,,                -61155,,                  5873,,                -55282,,                              0,,,,,                              0,                -91811,                231502,                139691,                139691,,,                 37008,                    -42,                 -1718,,
