證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付費用（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 現金增資,　　 其他金融資產增加,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　　　　 其他營業負債增加（減少）,　　　　　 其他營業資產（增加）減少
2642,2015年01月01日至2015年09月30日,,                124371,                124371,,,                 49303,                  2634,                    372,                 -5267,                -10295,                    194,                -33211,                  3730,,,                 14517,                 -6680,                  1679,                  7011,                  3362,                    269,                 -3396,                   -210,                 16552,,                 -1218,                    573,                 14120,                   -223,                -32483,                 -3542,                   -575,                -23348,                 -6796,                 -3066,                121305,                  5267,                 10295,                -26346,                110521,,                 59387,               -151349,                    117,                 -1914,                   -669,                -94428,,                    161,               -105014,               -104853,                    210,                -88550,              1049303,                960753,                960753,,,,,,,,,,,,,,,
2642,2015年01月01日至2015年06月30日,,                115889,                115889,,,                 30480,                  1697,                    144,                 -3621,                -10295,                     32,                -33211,                -14774,,,                    -11,                  1924,                 21099,                  2435,                  2103,                    464,,                    -72,                 16050,,                 -1323,                    121,                  8946,                    -81,                -18430,                 -3151,                    156,                -13599,                  2451,                -12323,                103566,                  3621,                 10295,                -12297,                105185,,                 59387,                -82920,                     90,                    -24,                -15189,                -38656,,,,                     32,                   -283,                 66278,              1049303,              1115581,              1115581,                -11892,                    163,                              0,                     32,,,,,,,,,,,
2642,2015年01月01日至2015年03月31日,,                 51327,                 51327,,,                 14829,                    830,                    340,                 -1713,,                     17,,                 14303,,,                -18480,                  4491,                 28558,                  8402,                  1343,                    405,,                    -46,                  9899,,                 -1156,                   -157,                 -5206,                     25,                -30257,                  2228,                    549,                -33893,                -23994,                 -9691,                 41636,                  1713,,,                 43349,,,                -33176,                     29,                   -114,,                -33044,,,,                   -300,                   -285,                  9720,              1049303,              1059023,              1059023,                -14774,                     81,                    217,                   -300,,,,,,,,,,,
2642,2014年度,,                183485,                183485,,,                 53988,                  2630,                    655,                 -6973,                 -5236,                    418,                -21548,,,,                  5426,                 -3775,                -23755,                 11753,                  4812,                     90,                 -4998,                    398,                -10049,,                 -6811,                    -98,                  8537,                    -29,                 -8070,                  3018,                  1569,                 -1656,                -11705,                 12229,                195714,                  6973,                  5236,                -32380,                175543,,                 40889,                -45455,                     48,                 -3939,                -10648,                -19105,,,               -143201,               -143201,                    526,                 13763,              1035540,              1049303,              1049303,,,                              0,                              0,,                              0,                 23934,                              0,                    228,                              0,,,,,
2642,2014年01月01日至2014年09月30日,,                118608,                118608,,,                 40062,                  1840,                    395,                 -5083,                 -5236,                    478,                              0,                 32456,,,                  4972,                 -6764,                 -7760,                 13427,                  2787,                   -163,                 -7357,                    310,                   -548,,                 -8028,                    831,                 13561,                    185,                -19374,                   -533,                  1228,                -12130,                -12678,                 19778,                138386,                  5083,                  5236,                -32191,                116514,,                              0,                -41989,                     45,                 -1889,                -53128,                -96961,,                    700,               -143201,               -142501,                     93,               -122855,              1035540,                912685,                912685,,,,,,,,,,,,,,,
2642,2014年01月01日至2014年06月30日,,                 96655,                 96655,,,                 26214,                  1147,                    108,                 -3416,                 -5236,                    420,                              0,                 19237,,,                  8225,                  2933,                 -4115,                  6162,                  5557,                    218,,                   -137,                  8236,,                 -8139,                  2553,                 -3744,                     21,                -15299,                 -3005,                  1496,                -26117,                -17881,                  1356,                 98011,                  3416,                  5236,                -16606,                 90057,,                              0,                -33365,                     15,                              0,                              0,                -30835,,,,                              0,                   -156,                 59066,              1035540,              1094606,              1094606,                -10607,                              0,                  2515,                              0,,,,,,,,,,,
2642,2014年01月01日至2014年03月31日,,                 51634,                 51634,,,                 12692,                    545,                    335,                 -1446,,                     31,,                 12157,,,                -27175,                  1946,                 32734,                 21565,                  2413,                    420,,                    -86,                 18431,,                 -3639,                  4384,                 -7623,                    399,                -42703,                   -966,                   -139,                -50287,                -31856,                -19699,                 31935,                  1446,,,                 33381,,,                -14750,                              0,                              0,,                -10390,,,,                              0,                    -93,                 22898,              1035540,              1058438,              1058438,                -13386,                              0,                  4360,                              0,,,,,,,,,,,
2642,2013年度,,                222232,                222232,,,                 53781,                  1726,                  2632,                 -4643,                 -5864,                   -522,                              0,,,,                 -2214,                  1661,                  2803,                 12458,                 -2905,                     -7,                 -1187,                   -135,                 10474,,                 -1015,                   -289,                -18017,                    509,                -21372,                -25038,                 -1853,                -71968,                -61494,                -14297,                207935,                  4643,                  5864,                -39282,                179160,,                              0,               -109355,                  1281,                 -3056,                              0,                -17930,,,               -149697,                247517,                 -2763,                405984,                629556,              1035540,              1035540,,,                 93200,                   -400,,                     87,                 47197,                 -5000,                    107,                397614,,,,,
2642,2013年01月01日至2013年12月31日,,                222232,                222232,,,                 55507,,                  2632,                 -4643,                 -5864,                   -522,,,,,                 -2214,                  1661,                  2803,                 12458,                 -2927,                     -7,                 -1187,                   -135,                 10452,,                 -1015,                   -289,                -18017,,                -22742,                -24529,                  4470,                -67015,                -56563,                 -9366,                212866,                  4643,                  5864,                -39282,                184091,,,               -109355,                  1281,                 -3056,,                -22861,,,               -149697,                247517,                 -2763,                405984,                629556,              1035540,              1035540,,,                 93200,                   -400,,                     87,                 47197,                 -5000,                    107,                397614,                 -4931,                              0,                              0,,
2642,2013年01月01日至2013年09月30日,,                159721,                159721,,,                 41796,,                    715,                 -3372,                 -5864,                   -694,,,,,                 -1133,                 -3461,                  8512,                 21988,                 -9979,                     84,                 -6899,                    175,                  9287,,                 -1841,                    234,                 -7043,                    449,                -51484,                -25404,                 -1186,                -91198,                -81911,                -49330,                110391,                  3372,                  5864,                -39155,                 80472,,,               -101086,                  1081,                 -3056,                              0,                -20534,,                              0,               -149697,               -150097,                    -36,                -90195,                629556,                539361,                539361,,,                 82527,                   -400,,,                 32581,                 -5000,                     77,,,,,,
2642,2013年01月01日至2013年06月30日,,                125663,                125663,,,                 26765,,                    368,                 -2443,                 -5864,                   -899,,,,,                -11564,                  5181,                 22302,                 11736,                 -6623,                     96,                -11203,                    204,                 10129,,                  2970,                  1001,                 -7104,                    447,                -45955,                -28974,                 -3741,                -86306,                -76177,                -58250,                 67413,                  2443,                  5864,                -18042,                 57678,,,                -90094,                  1048,                   -586,,                 -7331,,,               -149697,               -150097,                    130,                -99620,                629556,                529936,                529936,,,                 82301,                   -400,,,                 17927,                 -5000,                     50,,,,,,
