證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 出售及攤銷不良債權之損失,　　　　 處分承受擔保品損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 處分不動產及設備,　　 交割結算基金增加,　　 存出保證金增加,　　 取得無形資產,　　 處分承受擔保品,　　 取得投資性不動產,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付商業本票增加,　　 發行公司債,　　 發行金融債券,　　 存入保證金增加,　　 其他負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　 交割結算基金減少,　　 存出保證金減少,　　 應付商業本票減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 其他各項負債準備淨變動,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 其他資產減少,　　 償還金融債券,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分無形資產
2838,2015年01月01日至2015年09月30日,,              2670063,              2670063,,,              1234913,                 34110,                -71574,               -232845,              3016631,             -7668303,               -229361,                    253,                -17585,                -68051,                120000,                -15157,                              0,                 -6593,             -3903562,,,             -2024561,              7204854,                131252,            -19681719,             -8778453,             -2138137,             -4809546,            -30096310,,             -2346675,               -383464,             -1101503,              2421474,             19660311,                  5986,                 -2531,             18253598,            -11842712,            -15746274,            -13076211,              7572576,                234172,             -2885534,                -41181,             -8196178,,               -198537,                    770,                   -557,               -149736,               -117484,                 21750,                              0,             -1656850,             -2100644,,                163365,                607246,              2200000,                121859,                 63446,               -637242,                -26715,              2491959,                451815,             -7353048,             86061535,             78708487,             10987447,             48320023,             19401017,,,,,,,,,,,,,,,,,,,,,,
2838,2015年01月01日至2015年06月30日,,              1640180,              1640180,,,                808610,                 20350,                -22923,               -147241,              1992608,             -5054932,                -18155,                    195,                -12065,                -71900,,                -14440,                              0,                 -7060,             -2526953,,,                973084,             -4574917,               -210528,            -12370731,             -2444399,             -1236367,             -2276513,            -22140371,,              2646638,               -399458,                986354,             -1954659,             13772907,                  6841,                 -2625,             15055998,             -7084373,             -9611326,             -7971146,              5005510,                 18605,             -2001457,                 -5551,             -4954039,,                -95758,                     57,                              0,                -98330,                -74336,                 21500,,             -1231176,             -1453600,,                180675,                559132,              2200000,                 92200,                  8822,,                              0,              3040829,               -213710,             -3580520,             86061535,             82481015,              8489762,             49125456,             24865797,                 24443,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,
2838,2015年01月01日至2015年03月31日,,                857912,                857912,,,                395279,                  8433,                -27231,                107179,                976157,             -2512603,                 -3242,                    156,                 -2351,                 -8000,,                -14440,,                 -7060,             -1087723,,,              2629017,                212280,                707851,            -15615419,               -764492,               -486180,             -1017367,            -14334310,,             -1275955,               -509482,                 -5862,             -1703985,              6928259,                 -5079,                 -2718,              3425178,            -10909132,            -11996855,            -11138943,              2471392,                  3242,               -898290,                 -8423,             -9571022,,                -67189,                     37,                   -557,               -139171,                 -2887,                 21500,,               -590924,               -779191,,,                574631,,                  2478,                 -8306,,,                529705,               -116150,             -9936658,             86061535,             76124877,              8142047,             49000000,             18982830,,,                -39098,                              0,,,,,,,,,,,,,,,,,,
2838,2014年度,,              3737796,              3737796,,,              1599068,                 35304,               -494806,               -321564,              3730345,             -9675323,                -94819,                  6791,                -19553,               -112978,                    654,                              0,                 65897,                              0,,,,               -386401,             -6452067,               -727754,            -27579651,             -4957962,,             -2691160,            -42794995,,              1433686,             -1655522,              7208619,              1335606,             31767822,               -182930,                    129,             39907410,             -2887585,             -8168569,             -4430773,              9721290,                 97168,             -3706634,               -219951,              1461100,,             -2591118,                909030,                   -845,                -75616,                -22316,                              0,               -929569,                              0,                990192,,                519120,,                              0,                 10381,                 41000,                 -8962,                -17745,                543794,                502267,              3497353,             82564182,             86061535,              9590048,             50100000,             26371487,                              0,                              0,,,,                              0,                              0,                              0,             -5280984,                              0,                123178,             -5686328,              9274723,               -361555,                264962,                 -6000,                  8884,                 18411,                 64351,                              0,,
2838,2014年01月01日至2014年09月30日,,              2864140,              2864140,,,              1204995,                 26905,               -434731,               -166491,              2761233,             -7201042,                -85014,                  6940,                 -9593,                -29307,                              0,                              0,                 65897,                              0,             -3860208,,,              2522734,             -9521804,               -273099,            -24723512,             -2137447,                111709,              6498764,            -27522655,,                561083,               -650094,             10361601,                413414,             18877501,                 -1224,                  1807,             29564088,              2041433,             -1818775,              1045365,              7203502,                 86282,             -2626442,               -101992,              5606715,,               -185910,                    798,                   -845,                -61161,                -14299,                              0,               -975216,             -1058819,             -2295452,,                499610,                              0,                              0,                 11002,                 77218,                 -8962,                -17745,                561123,                153089,              4025475,             82564182,             86589657,              7952063,             57700000,             20937594,,,,,,,,,,,,,,,,,,,,,,
2838,2014年01月01日至2014年06月30日,,              1891668,              1891668,,,                807547,                 18552,               -283143,               -160770,              1817970,             -4757042,                -26227,                  3739,                 -3163,                -14534,,                              0,                 65897,                              0,             -2531174,,,              3610382,             -9025647,                -44958,            -18289656,             -2596737,                157421,              2232386,            -23956809,,              3034566,               -438754,              7475515,               -282792,             11368027,                 31650,                  1565,             21189777,             -2767032,             -5298206,             -3406538,              4812303,                 13126,             -1807688,                -60863,               -449660,,               -145304,                   -229,                   -845,                              0,                 -9202,                              0,,               -687922,               -819203,,                              0,                              0,                              0,                              0,                 19730,,                -17745,               -151536,                -11552,             -1431951,             82564182,             81132231,              7196373,             56900000,             17035858,                              0,                 24299,               -129867,                -23654,,,,,,,,,,,,,,,,,,
2838,2014年01月01日至2014年03月31日,,                880648,                880648,,,                406655,                  9579,                -35306,                -57809,                891761,             -2353385,                 -2696,                  2259,                 -2391,                  1614,,                              0,,                              0,             -1139719,,,              2062105,             -8287931,                474306,            -12040689,               -645516,                198689,              3270686,            -14968350,,              4187355,               -215197,              5311708,               -671083,              8300092,                -44898,                     63,             16868040,              1899690,                759971,              1640619,              2368528,                  2696,               -811503,                -24934,              3175406,,               -102097,                      5,                   -845,                   -135,                 -2393,                              0,,               -350450,               -455915,,,                              0,,                              0,                 -7772,,,               -158788,                176393,              2737096,             82564182,             85301278,              9471640,             57900000,             17929638,,,               -140016,                -11000,,,,,,,,,,,,,,,,,,
2838,2013年度,,              3408358,              3408358,,,              1618132,                 42654,                -95868,               -701895,              3399120,             -9239639,                -85742,                    196,                 10037,                121477,                              0,                -51593,                              0,                -10353,,,,             -3495138,             -2426448,                528115,            -28249753,              2206520,,             -3197525,            -34634229,,             -1107571,                298333,             -3706692,             -2282445,             27523515,               -104533,                -25319,             20595288,            -14038941,            -19101009,            -15692651,              9243507,                 86272,             -3515599,               -145876,            -10024347,,             -2249136,                663444,                              0,                              0,                -36649,                162555,                              0,                              0,             -4369514,,              1000022,,              3000000,                 66354,                 83155,               -181042,                              0,              3168489,                251127,            -10974245,             93538427,             82564182,              8227163,             54100000,             20237019,                  1228,                179974,,,,                              0,                -68594,                              0,             -5062068,                              0,              1000102,            -29391008,             24850343,               -217883,                614805,                              0,                    211,                 35319,                 17181,               -800000,,
2838,2013年01月01日至2013年12月31日,,              3408358,              3408358,,,              1618132,                 42654,                -95868,               -701895,              3399120,             -9239639,                -85742,                    196,                 10037,                121477,                              0,                -51593,,                -10353,,,,             -3495138,             -2426448,                528115,            -28249753,              2206520,,             -3197525,            -34634229,,             -1107571,                298333,             -3706692,             -2282445,             27523515,               -104533,                -25319,             20595288,            -14038941,            -19101009,            -15692651,              9243507,                 86272,             -3515599,               -145876,            -10024347,,             -2249136,                663444,,                              0,                -36649,                162555,,                              0,             -4369514,,              1000022,,              3000000,                 66354,                 83155,               -181042,,              3168489,                251127,            -10974245,             93538427,             82564182,              8227163,             54100000,             20237019,                  1228,                179974,,,,                              0,                -68594,                              0,             -5062068,                              0,              1000102,            -29391008,             24850343,               -217883,                614805,                              0,                    211,                 35319,                 17181,               -800000,,
2838,2013年01月01日至2013年09月30日,,              2518146,              2518146,,,              1208534,                 32600,                 46947,               -516615,              2532034,             -6898676,                -82816,                    239,                  2048,                113654,                              0,                -51592,                              0,                -10358,,,,                858261,             -2545418,                 98276,            -31681745,              2622306,,             -2491640,            -33139960,,             -1090650,                173061,             -3485714,             -1497501,             23736885,                -37854,                -29120,             17769107,            -15370853,            -19063449,            -16545303,              6911599,                 83346,             -2561892,               -142951,            -12255201,,             -1715104,                467998,                              0,                              0,                -25025,                162559,                              0,                -35966,             -3902673,,              2600126,,                              0,                106662,                 72253,               -181042,                              0,              2597999,                162773,            -13397102,             93538427,             80141325,              7029578,             55000000,             18111747,                  1228,                170644,                              0,,,,                -68595,                              0,             -3692596,                              0,              1461937,            -27641901,             22809896,               -201909,                609629,                              0,                    211,                 33130,                              0,                              0,,
