證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 保證責任準備淨變動,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產及設備,　　 處分不動產及設備,　　 營業保證金增加,　　 交割結算基金增加,　　 交割結算基金減少,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付商業本票增加,　　 應付商業本票減少,　　 取得避險之衍生金融資產,　　 發行金融債券,　　 償還金融債券,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損迴轉利益,　　　　 處分承受擔保品損失（利益）,　　 處分承受擔保品,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 概括承受他公司之淨現金收取數,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 支付之股利,　　 以成本衡量之金融資產減資退回股款,　　　　　 避險之衍生金融負債增加（減少）,　　 預付投資款增加
2884,2015年01月01日至2015年09月30日,,             11988615,                              0,             11988615,,,                690728,                243954,              2769707,             -6075432,              9346764,            -22307093,               -209828,                 17597,                274522,                   -469,                              0,               -272042,                 35824,                     89,                 75859,            -15409820,,,             -7249739,            -44977587,            -16761768,             -1094006,            -11247919,            -69465027,                859702,              5725088,               -189243,           -144400499,,             12061422,             10341939,             -5131470,              9139304,            127157841,                   -941,               -721080,                302117,            153149132,              8748633,             -6661187,              5327428,             25850366,                217162,             -9019507,               -985771,             21389678,,                              0,             -5968183,                  2194,                              0,                -10100,                     54,             -3374077,                  5705,               -151099,               -235174,                              0,                 -6760,             -9737440,,                388609,                              0,             -1200803,                              0,              8750000,             -7300000,                329640,                              0,                -83021,             -3173850,                              0,             -2289425,              1424210,             10787023,             32061680,             42848703,             35129820,              7718883,                              0,                              0,,,,,,,,,,,,,,,,
2884,2015年01月01日至2015年06月30日,,              7650314,,              7650314,,,                456381,                162310,              2027794,             -2248250,              6171117,            -14558984,                -34674,                 -4070,                175326,                   -286,,               -296849,                 18624,,                 78712,             -8053005,,,             -2974921,            -22407684,            -36567448,               -737699,            -14598152,            -53565351,                880698,             -5571455,                -41084,           -135583096,,              9364581,              9039099,             -5950046,                -70033,            110108307,                   -620,               -236327,                213297,            122468258,            -13114838,            -21167843,            -13517529,             17077061,                 10645,             -6351501,               -628956,             -3410280,,                              0,             -4233558,                  1527,                              0,                -10100,                              0,                 -9482,                936800,                -63537,               -207069,,                 -3132,             -3588551,,                454565,                922033,,,              5000000,             -7300000,                              0,                              0,               -142508,,                              0,             -1065910,              1067324,             -6997417,             32061680,             25064263,             23219866,              1844397,,,                   -156,,,,,,,,,,,,,,,
2884,2015年01月01日至2015年03月31日,,              3699371,,              3699371,,,                226345,                 79960,                998725,               -900833,              3042235,             -7174195,                     -6,                 -2588,                 83798,                   -166,,               -230702,                 18624,,                 85948,             -3772855,,,              1443361,            -29123946,             -9327956,               -246822,             -4458239,             -6202646,                192696,             14521464,               -899081,            -34101169,,               -847980,              3177970,             -3587593,              2836456,             26625257,                   -331,               -819902,                -38227,             27345650,             -6755519,            -10528374,             -6829003,              8632886,                      6,             -2566151,                -78084,               -840346,,                              0,               -357460,                    169,                              0,                 -9955,                              0,               -683804,                    270,                -25097,               -207069,,                 -2761,             -1285707,,                 33000,              2007024,,,                              0,             -2300000,                              0,               -133764,,,,               -393740,               -955137,             -3474930,             32061680,             28586750,             25929079,              2552003,                105668,,,                              0,                              0,,,,,,,,,,,,,
2884,2014年度,,             12771067,,             12771067,,,                837795,                252007,              2031915,             -3140078,             11662630,            -27147256,               -121367,                  1774,                549238,                 -8886,                  1384,               -482573,                 80591,                              0,               -108027,,,,             -1096468,             -5553468,            -13626359,                -17861,             -8702922,           -108656664,              2639585,            -35186045,                 37636,           -170162566,,             10554000,             13529746,              6863232,              2239471,            129900866,                 -1136,                -38197,                -25588,            163022394,             -7140172,            -22728413,             -9957346,             30123542,                198802,            -11444813,             -1454522,              7465663,,                -80026,             -2500172,                 60980,                -35000,                 -3988,                     53,             -1193124,                    744,               -239194,,                  8479,                 -4522,             -3980560,,,,                846948,,              3500000,             -7200000,                 97632,                228973,                              0,             -1786647,             10500000,              5686906,                264767,              9436776,             22624904,             32061680,             29547360,              2379423,                134897,,                   -314,                  2926,                  5210,,            -15588241,,,                              0,                              0,                              0,                              0,               -500000,,,,
2884,2014年01月01日至2014年09月30日,,             10314213,                              0,             10314213,,,                612993,                184497,              1190064,             -2771487,              8691872,            -20000373,               -166114,                  5071,                484187,                 -8976,                  1297,               -460717,                 62491,                  4616,                -49899,            -12220478,,,              2827742,               -229168,            -14289582,                              0,             -8841368,            -82593988,              1399963,            -35799129,               -653245,           -138178775,,             20564201,             11133317,             10230590,              5678921,             77069582,                 -8194,                -43209,                 27372,            124652580,            -13526195,            -25746673,            -15432460,             21965729,                166112,             -8321641,             -1189522,             -2761782,,                -80026,             -1513650,                 60966,                -35000,                 -3942,                     54,               -571024,                    744,                -54566,                              0,                  8567,                 -4024,             -2191901,,                              0,              1347119,                              0,                              0,              3500000,             -5200000,                 97632,                400034,                              0,             -1786647,             10500000,              8858138,               -219549,              3684906,             22624904,             26309810,             20716271,              5573325,                 20214,                              0,,,,,,,,,,,,,,,,
2884,2014年01月01日至2014年06月30日,,              6801352,,              6801352,,,                403452,                119662,                546278,             -2649612,              5706489,            -12967491,                -13522,                  4533,                409910,                 -8663,,               -425733,                 18001,,                 -6790,             -8863486,,,              3652341,              3059530,            -23308248,                              0,             -7558926,            -57159683,                263901,            -38797451,                 40467,           -119808069,,             36668808,              1201814,             11248865,             -1721672,             62162973,                 -5433,                471168,                 85604,            110112127,             -9695942,            -18559428,            -11758076,             13948903,                 14199,             -5771065,               -575196,             -4141235,,                -80026,               -945605,                 60644,                -35000,                 -3776,                     54,             -1204032,                    464,                -32475,                              0,,                 -3344,             -2243096,,                              0,              1087065,,,              3500000,             -4700000,                 97632,                205441,                              0,,             10500000,             10690138,               -739853,              3565954,             22624904,             26190858,             24254687,              1936171,,,                              0,,,,,,,,,,,,,,,
2884,2014年01月01日至2014年03月31日,,              3588720,,              3588720,,,                201518,                 63166,                373661,             -1319887,              2722464,             -6220881,                     -5,                    461,                 76863,                  2102,,               -163733,                              0,,                -50787,             -4315058,,,              1463603,            -16679985,             -5427079,                              0,              1352395,            -21272800,                240547,            -28991807,                -54958,            -69370084,,             22280578,              2522228,              3215726,                626539,             36276606,                 -2718,              1365592,                -35113,             66249438,             -3120646,             -7435704,             -3846984,              6986643,                      5,             -2166523,                -84795,                888346,,                -80026,               -441841,                    914,                -10000,                 -3776,                              0,             -1191000,                    300,                 -8064,                              0,,                   -672,             -1734165,,                              0,              1349927,,,              3500000,             -1000000,                 97632,                  9164,,,,              3956723,               -975809,              2135095,             22624904,             24759999,             20372848,              4387151,                              0,,,                              0,                              0,,,,,,,,,,,,,
2884,2013年度,,             10214297,,             10214297,,,                745755,                219478,              1672454,             -4212153,              9539118,            -22573791,               -100787,                 34068,                234781,                   -327,                -11643,               -483447,                168384,                  1589,                -48376,,,,             -4995222,           -221303846,              4010952,                              0,            -13861540,            -88595557,            202433018,            -11092159,               -148256,           -133552610,,                395795,                642805,              1296566,             -4960637,            119288991,                 -4612,                537840,                234239,            117430987,            -16121623,            -30928193,            -20713896,             25926151,                117131,             -9853202,             -1985297,             -6509113,,                733910,             -1519854,                  2594,                              0,                 -5828,                 21062,               -129088,                    557,               -161463,,                102665,                 -2310,               -938339,,,,              1200772,,              6500000,             -6000000,                268092,                 10568,                              0,             -1503210,                              0,                476222,              1043572,             -5927658,             28552562,             22624904,             21344052,              1280852,                              0,,                              0,                  8327,                 19416,,            -14806570,,,                              0,                              0,                              0,                              0,                              0,,,,
2884,2013年01月01日至2013年12月31日,,             10214297,,             10214297,,,                745755,                219478,              1672454,             -4212153,              9539118,            -22573791,               -100787,                 34068,                234781,                   -327,                -11643,               -483447,                168384,                  1589,                -48376,,,,             -4995222,           -221303846,              4010952,,            -13861540,            -88595557,            202433018,            -11092159,               -148256,           -133552610,,                395795,                642805,              1296566,             -4960637,            119288991,                 -4612,                537840,                234239,            117430987,            -16121623,            -30928193,            -20713896,             25926151,                117131,             -9853202,             -1985297,             -6509113,,                733910,             -1519854,                  2594,                              0,                 -5828,                 21062,               -129088,                    557,               -161463,,                102665,                 -2310,               -938339,,,,              1200772,,              6500000,             -6000000,                268092,                 10568,                              0,             -1503210,                              0,                476222,              1043572,             -5927658,             28552562,             22624904,             21344052,              1280852,                              0,,                              0,                  8327,                 19416,,            -14806570,,,                              0,                              0,                              0,                              0,                              0,,,,
2884,2013年01月01日至2013年09月30日,,              7979353,,              7979353,,,                552518,                143814,              1259383,             -3484458,              7016485,            -16703600,                -95502,                 28902,                171608,                   -315,                -11954,               -465904,                147386,                  9749,                -24633,,,,             -2325983,           -204298181,              3788999,,             -5765156,            -72220247,            202268892,             -7651772,               -809351,            -87012799,,             14043528,              1829741,               -823284,             -1631357,             59937300,                 -1243,                304936,                333444,             73993065,            -13019734,            -24470409,            -16491056,             18864617,                105403,             -7253502,             -1779985,             -6554523,,                733910,             -1049372,                  2051,                              0,                 -1934,                  1062,               -125497,                    557,                -55684,,                 74137,                 -2074,               -407264,,,                882000,,,              5000000,             -6000000,                              0,                 14886,,             -1503210,                              0,             -1606324,                712731,             -7855380,             28552562,             20697182,             16818977,              3878205,                              0,,,                  5846,                 15580,,            -11450675,,,,,,,,,,,
