證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 不動產及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分待出售資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得待出售資產,　　 處分待出售資產,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 處分無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付商業本票增加,　　 應付商業本票減少,　　 發行公司債,　　 償還公司債,　　 發行金融債券,　　 償還金融債券,　　 其他借款增加,　　 附買回票券及債券負債增加,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 其他負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　　 金融資產減損迴轉利益,　　 其他投資活動,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 附買回票券及債券負債減少,　　　　　 附買回票券及債券負債增加（減少）,　　 其他借款減少,　　 因合併產生之現金流入
2885,2015年01月01日至2015年09月30日,,             12507840,             12507840,,,                796221,                860026,                 49050,              6493772,            -18445173,             -1317424,             14213741,               -112597,                 12222,                              0,                -72800,                    -24,                -36150,                  1778,                134266,                  8896,                 55304,              2641108,,,               -409584,            -74193227,            -16634285,                              0,              4883409,            -33180119,                 34033,            -26294917,            -35705894,             -4422148,           -185922732,,             10001929,             14496504,             17265771,             61666067,               -381197,             12990283,                887591,            116926948,            -68995784,            -66354676,            -53846836,             18258208,              1261775,             -6121989,             -1107804,            -41556646,,                              0,               -459437,                668279,                603389,                              0,                 69246,             -3599818,                 82292,               -103985,                  1294,                -30864,                967828,             -1801776,,                              0,            -13791416,              1304194,             -4129630,             10000000,                              0,             16726445,             49787882,              2602265,                              0,             -6449718,                              0,               -525188,             55524834,               -587552,             11578860,            128948729,            140527589,             44592451,             72145787,             23789351,,,,,,,,,
2885,2015年01月01日至2015年06月30日,,              8763360,              8763360,,,                542058,                605528,                 -4521,              4386105,            -12194003,               -398688,              6068835,                -71715,                 12259,                              0,               -304236,,                -36150,                  1761,                 73890,                  7302,                 55263,             -1256312,,,               -320513,            -63152471,            -11532494,                              0,            -46222322,            -24058885,                 87283,            -15634044,            -23225066,             -2612537,           -186671049,,             20911267,              4158497,             45776533,             43738604,               -330078,              7488688,             -1585469,            120158042,            -66513007,            -67769319,            -59005959,             11795180,                259162,             -4418204,               -617518,            -51987339,,,               -322120,                547337,                603389,,                 69246,             -3236838,                 36120,,,                 -2731,              1041213,             -1313910,,              3096133,,                              0,             -2829230,                              0,                              0,             11474831,             33214011,              2602265,,,                              0,               -648008,             46910002,             -1491506,             -7882753,            128914454,            121031701,             36729476,             64056654,             20245571,                              0,                -49526,,,,,,,
2885,2015年01月01日至2015年03月31日,,              4689301,              4689301,,,                276618,                343308,             -1108793,              2125139,             -5916785,               -180119,              1683844,                  1353,                  6811,                              0,                -47454,,                -36150,,                 60991,                              0,                 42982,             -2748627,,,                293489,            -47279595,             -4552545,                              0,            -35798847,             -5672215,                 10520,             -7461662,             -9231314,                606260,           -109085909,,               -759460,                788031,             15060729,             31767783,               -278126,              2433519,              3295461,             52307937,            -56777972,            -59526599,            -54837298,              5753068,                 24465,             -2085985,                107015,            -51038735,,                              0,               -264856,                 53826,                              0,                              0,                 69246,               -353674,                 17927,                -19185,,                 -2775,                271559,               -227932,,             21200276,,                              0,                              0,                              0,                              0,              8205674,             28559215,              2606415,,,                              0,               -162090,             60409490,               -567845,              8574978,            128914454,            137489432,             42442407,             69081813,             25965212,,,                   -372,,,,,,
2885,2014年度,,             17887822,             17887822,,,              1125583,              1214185,               -467104,              6494033,            -20008841,             -1909896,             10045027,                 17384,                    714,                    756,             -1333002,,               -149159,,                206547,                174275,             -6735966,,,,             -2135619,            -50921522,             -9594123,              6865366,            -19629240,            -34749945,                 35940,            -16044265,            -12890366,             -3918778,           -142982552,,             -7391475,             29708503,             61170207,             25779163,             -4425164,             -3015799,             -1325645,            100499790,            -42482762,            -53808226,            -35920404,             17009740,              1868321,             -5431291,             -2667201,            -25140835,,              1455246,                              0,                  1515,              5092403,,              1309941,               -733750,                112851,               -119329,                193831,               -283370,              4849679,             11879017,,              6080925,,              5030000,             -9931860,              8000000,                              0,             -1626414,             41279488,,,             -7021912,                              0,                -48775,             41761452,                444544,             28944178,             99970276,            128914454,             47061183,             64210064,             17643207,,,,,            -11325464,                              0,,,
2885,2014年01月01日至2014年09月30日,,             15286316,             15286316,,,                834900,                868234,               -873929,              4338853,            -14379153,             -1878828,              7832449,                 16963,                 -2196,                    160,               -130183,                              0,                    -95,                              0,                 19681,                135330,             -5548286,             -8766100,,,             -2068621,            -45986341,             -1657980,             -2232388,            -31257541,            -15176024,                 51903,               -808332,             -7938420,             -1886073,           -108959817,,             -3144324,             10056804,             67794743,              5998862,             -3826576,             -1056084,              4079526,             79902951,            -29056866,            -37822966,            -22536650,             12796755,              1773192,             -2271329,             -2652464,            -12890496,,              1455246,                              0,                              0,              5092403,                   -590,                  1238,               -476457,                 52812,               -100762,                104507,               -282610,                363994,              6209781,,             14660093,                              0,                              0,             -9931860,              6300000,                              0,              5771822,             19033557,                              0,                              0,             -6430920,                              0,               -631296,             28771396,               -458986,             21631695,             99970276,            121601971,             36993504,             83960156,                648311,,,,,,,,,
2885,2014年01月01日至2014年06月30日,,             12778827,             12778827,,,                532222,                509457,                545322,              2309013,             -8799193,               -288614,              1506755,                 28079,                 -1089,                  6579,                -98775,,                    -95,                              0,                              0,                137687,             -5578985,             -9191985,,,             -2187909,            -18290836,                322283,             -4936430,            -21751214,             -6914480,                -73070,                379912,             -6701175,               -655044,            -60807963,,              3502748,              3388181,             -6530290,             56596773,              4003187,             -5129855,             -9536344,             46294400,            -14513563,            -23705548,            -10926721,              7148980,                362420,               -152556,               -904571,             -4472448,,,                              0,                              0,              5092403,,                  1238,               -324981,                 37242,,,               -260437,                171502,              4682778,,             14023424,,                              0,             -9931860,                              0,                              0,             12393849,              6647749,                              0,,,                              0,               -338651,             22794511,                -30811,             22974030,             99970276,            122944306,             32447610,             90496696,                              0,                   -348,                -34189,,,,,,,
2885,2014年01月01日至2014年03月31日,,              4248693,              4248693,,,                253908,                242014,                591126,              1036316,             -4220057,                -11590,              1564787,                 20840,                  1870,                     16,                -13533,,                              0,,                    281,                165055,             -1219579,             -1588546,,,               -381269,            -15635477,             -1414002,                              0,             -5844589,             -6468706,                -69831,               -280618,             -8315027,             -1535213,            -39944732,,                117512,              3130827,             -6129212,             29926742,                -15678,             -1795114,             -3447932,             21787145,            -18157587,            -19746133,            -15497440,              4273130,                 11590,               -838273,                -68550,            -12119543,,              1455246,                              0,                              0,              1277787,                              0,                              0,               -133433,                 18781,                   -822,,               -255716,                 27435,              2389278,,              9340000,,                              0,                              0,                              0,                              0,                844073,              8649781,                              0,,,                              0,                -52310,             18781544,                351587,              9402866,             99970276,            109373142,             26702618,             82467641,                202883,,,                              0,,,,,,
2885,2013年度,,              9096871,              9096871,,,              1065528,                972775,              1329710,              4003258,            -13584232,             -1672546,                              0,                123359,                  2919,                              0,                  3799,,                              0,,                 26415,                -34819,               -486042,,,,               -942360,              3129845,             -6922375,                              0,            -12943862,            -22804828,                              0,                206942,             -3748425,               -376749,            -44401812,,                  2140,              7500074,             11925956,             35106199,                -50501,             -5192502,             -3616038,             45675328,              1273516,             -6976360,              2120511,             13688255,              1804662,             -4098783,             -1945886,             11568759,,                              0,               -460568,                              0,                              0,,                230560,               -716844,                 24615,                 -8774,                 19199,               -312934,                111705,             -1113041,,              3079000,,                              0,                              0,                              0,                              0,             -1232149,                              0,,,             -5441548,             -1115865,               -314567,            -12263697,                503017,             -1304962,            101275238,             99970276,             27229111,             72490441,                250724,,,,,             -8249876,             -7238568,,,
2885,2013年01月01日至2013年09月30日,,              6713318,              6713318,,,                811615,                735280,                996737,              3001908,            -10078425,             -1216286,                              0,                101653,                -13090,                              0,                 -3872,,                              0,,                    805,                -26178,               -736896,,,,               -652644,               -829233,             21722052,                              0,            -13156979,            -12777279,                              0,             -4779513,            -28104912,               -457049,            -39035557,,             -4416932,              7490368,              9878954,             31228232,               -429156,             -3486279,              2173328,             34423288,             -4612269,            -11039018,             -4325700,             10355750,              1077067,             -2927909,             -1864248,              2314960,,                              0,               -460568,,                              0,                              0,                              0,               -432849,                 33999,                 -4940,                 21325,               -312766,                101923,             -1053876,,              4298000,,,                              0,                              0,,                              0,                              0,,,             -5441548,             -1115865,               -314901,             -4036288,                790039,             -1985165,            101275238,             99290073,             20826472,             75124858,              3338743,,,,,             -6426749,,             -8015227,             -1461974,
2885,2013年01月01日至2013年06月30日,,              4044362,              4044362,,,                546279,                491837,                659831,              1988746,             -6602511,               -161128,                              0,                 76316,                    814,                              0,                  9787,                 21325,                              0,,                    805,                -16461,               -574638,,,,               -314366,              7528281,            -10776586,                              0,             -9818105,             -4236492,                              0,                205511,             -4782747,             -1252700,            -23447204,,              5653771,              4760984,                 72649,             14638138,               -454514,             -1570720,             -7421729,              5620605,            -17826599,            -21385597,            -17341235,              6478392,                 83416,             -1949614,             -1080104,            -13809145,,                              0,               -460568,,                              0,                              0,                              0,               -350747,                 10318,                 -6558,,               -264736,                 29802,             -1042489,,              8583000,,,                              0,,,,                              0,,,,             -1115865,               -282963,              6841004,              1173031,             -6837599,            101275238,             94437639,             24237628,             67080016,              3119995,,,,,             -3558998,,            -10057974,               -343168,
