證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 因合併產生之現金流入,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資增加,　　 應付商業本票增加,　　 發行金融債券,　　 償還金融債券,　　 其他借款增加,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分投資性不動產,　　 其他投資活動,　　　　 未實現外幣兌換損失（利益）,　　 應付商業本票減少,　　 央行及同業融資減少,　　　　 處分採用權益法之投資損失（利益）,　　 處分子公司,　　 發行公司債,　　 償還公司債,　　 其他籌資活動,　　　　　 員工福利負債準備增加（減少）,　　 停業單位稅前淨利（淨損）,　　　　 處分及報廢不動產及設備損失（利益）,　　 營業保證金增加,　　 交割結算基金增加,　　 存出保證金增加,　　 存入保證金增加
2887,2015年01月01日至2015年09月30日,,             13076467,             13076467,,,                529046,                142932,                533807,             -3843667,              8714971,            -22014517,               -238992,                 -3201,             -2110089,               -282164,                 22807,                              0,                -43835,            -18592902,,,            -11729853,            -17671339,            -43682563,                              0,             -5298311,            -33841107,                              0,                248004,            -10551354,           -122526523,,               -929145,             -3785516,              7500257,             12383245,             80884988,                -12580,                849549,                 -8198,             96882600,            -25643923,            -44236825,            -31160358,             21668524,                647095,             -8558638,             -1884017,            -19287394,,                300000,                              0,               -696111,                    280,               -162749,                              0,                              0,               -558580,,              6198133,              1813646,             20000000,                              0,              1980546,             -1795807,                              0,                 71811,                              0,             28268329,                 14926,              8437281,             24758204,             33195485,             19869157,             12124548,              1201780,,,,,,,,,,,,,,,,,,,
2887,2015年01月01日至2015年06月30日,,              9550150,              9550150,,,                336244,                102840,                 56454,             -3207128,              5736744,            -14507150,                -64284,                 18447,             -1363398,               -262489,                  9457,                              0,              1611932,            -11532331,,,              2210351,             -5480481,            -22841688,                              0,             -2873743,            -21205599,                              0,                 75744,              6613226,            -43502190,,             -1080178,            -12895443,              7111203,             -2290973,             19386264,                 -9871,              1870573,               -253523,             11838052,            -31664138,            -43196469,            -33646319,             14755867,                 89884,             -5855736,               -888712,            -25545016,,,                 14989,               -426753,                              0,               -149698,                              0,,               -561462,,              7338848,                423595,              9100000,,              1552652,,                              0,                 53507,,             18468602,                -39545,             -7677421,             24758204,             17080783,             14611542,              2464243,                  4998,,,,,,,,,,,,,,,,,,,
2887,2015年01月01日至2015年03月31日,,              5099548,              5099548,,,                164406,                 62589,                -76491,             -1894533,              2870049,             -7206513,                 -2278,                  7175,               -660667,                -93025,                  9457,,                 55887,             -6763944,,,              2707440,            -12747980,            -26377134,                              0,              6927414,            -15122586,                              0,              2874632,              3026223,            -38711991,,             -1069616,             -4885370,              7577107,             -5235792,             21058100,                 -2050,               -237163,                 12106,             17217322,            -21494669,            -28258613,            -23159065,              7034273,                  2278,             -2635647,                 -9654,            -18767815,,,,               -240335,                              0,                -63188,                              0,,               -303523,,             13981248,                229769,,,              1110827,,                              0,                 37144,,             15358988,                -25726,             -3738076,             24758204,             21020128,             18044408,              2744695,                231025,,,,,,,,,,,,,,,,,,,
2887,2014年度,,             13168412,             13168412,,,              1171127,                390611,               -750255,             -7938189,             22087679,            -55785260,               -552955,                207221,               -131470,               -962327,                 25735,                 -3372,             13471266,,,,               -788598,             18723975,            -38800066,                747606,            -15264995,           -177604489,             45590001,            -43184173,            -15163238,           -225743977,,            -14448879,             -4776472,             37250290,             12229031,            152413086,                -63580,             20611162,              1162935,            204377573,            -21366404,            -50136593,            -36968181,             54592691,                599663,            -20376775,             -3609609,             -5762211,,,                 39439,             -1151162,                  1432,               -720408,                145448,                   -133,           -108664929,,             21435703,                499389,             18000000,             -5000000,              3898166,             -4392824,              5988154,                278880,             -3588810,             37118658,                318491,            -76989991,            101748195,             24758204,             23089267,              1395592,                273345,,            -28770189,                 83500,           -107063045,,,,,,,,,,,,,,,
2887,2014年01月01日至2014年09月30日,,             22690834,             22690834,,,                905980,                294053,             -1357275,             -5265917,             17201694,            -43310090,               -551569,                202898,                -18387,               -175891,                  9425,                 -3372,                345740,            -31722711,,,              2957933,             26026582,            -44811704,                747606,            -15175343,           -146356887,             44180090,            -45937094,             -6357526,           -184726343,,                477922,             -8948109,             37144076,              5903146,             82067704,                -70913,             16567945,                707556,            133849327,            -50877016,            -82599727,            -59908893,             43004200,                596636,            -15842254,             -3231325,            -35381636,,                              0,                 38657,               -890541,                  1432,               -661163,                145448,                   -133,             -1366300,,             31154135,              1359926,             18000000,             -5000000,              3439939,             -4392824,              5988154,                167562,             -3588810,             47128082,                149737,             10529883,            101748195,            112278078,             59526258,             51626790,              1125030,,,,,,,,,,,,,,,,,,,
2887,2014年01月01日至2014年06月30日,,             15681169,             15681169,,,                600707,                190017,             -1231341,             -4107835,             11328166,            -28280179,                -91338,                172747,                -12580,                -89789,                  9425,                 -3372,                284829,            -21230543,,,              3099027,             16247541,            -28752347,                747606,             -9521933,           -112393572,             44389908,            -57146211,            -12343043,           -155673024,,              1544256,             -6721069,             25917528,              2634972,             43921349,                -48808,             19871512,                416075,             87535815,            -68137209,            -89367752,            -73686583,             27240437,                107773,            -10937359,               -746846,            -58022578,,,                  2333,               -673378,                  1394,               -616116,                145448,,             -1140319,,             29940032,                410687,             18000000,,              2118802,,              5988154,                116033,,             56573708,               -219296,             -2808485,            101748195,             98939710,             53505258,             45080139,                354313,,,,,,,,,,,,,,,,,,,
2887,2014年01月01日至2014年03月31日,,              8438961,              8438961,,,                305608,                 88639,                 -2504,             -3754750,              5504574,            -13839605,                 -2198,                126495,                 -5971,                -70526,                              0,,              1319667,            -10330571,,,             -2127675,             10828790,              3144577,                747606,              5735403,            -77191324,             46024029,            -43181011,            -10934306,            -66953911,,               -678598,             -2343284,              5203361,                686276,             25692968,               -109513,             11529045,                372640,             40352895,            -26601016,            -36931587,            -28492626,             13477063,                  2198,             -4355208,                 69266,            -19299307,,,,               -393066,                      6,               -494549,                145448,,               -742161,,             14170392,                119553,,,                534011,,              1509269,                 70682,,             16403907,                 77670,             -3559891,            101748195,             98188304,             56896180,             37004689,              4287435,,,,,,,,,,,,,,,,,,,
2887,2013年度,,             25403452,             25403452,,,              1178241,                302723,               -546409,            -10480790,             19252887,            -50532658,               -508512,                105484,                 -1565,             -2758603,                236284,                              0,                612348,,,,             -8022402,             19700128,             22799549,               -747606,             -1446237,            -57953631,            -56292882,            -33384319,                422370,           -114925030,,             -3198813,            -21794604,            -18601472,             -7647627,            110930172,               -370784,             17768159,                747831,             77832862,            -37092168,            -80232738,            -54829286,             50575411,                554231,            -19737249,               -988231,            -24425124,,,                656652,               -953057,                  6731,               -127951,                              0,               -124757,               -505071,,             26966053,                 -7000,              4879000,            -11700000,              1707319,             -2833671,                              0,                249331,               -559005,             18702027,                351249,             -5876919,            107625114,            101748195,             61516953,             31508420,              8722822,,            -43140570,                 37311,                              0,,,,,,,,,,,,,,,
2887,2013年01月01日至2013年12月31日,,             25403452,             25403452,,,              1178241,                302723,               -546409,            -10480790,             19252887,            -50532658,               -508512,                105484,                 -1565,             -2758603,                236284,,                 32487,,,,             -8022402,             19700128,             22799549,               -747606,             -1446237,            -57953631,            -56292882,            -33384319,                422370,           -114925030,,             -3198813,            -21794604,            -18601472,             -7647627,            110930172,               -370784,             17768159,                747831,             77832862,            -37092168,            -80232738,            -54829286,             50575411,                554231,            -19737249,               -988231,            -24425124,,,                656652,               -953057,                  6731,               -127951,,               -124757,               -505071,,             26966053,,              4879000,            -11700000,              1707319,             -2833671,,                249331,               -559005,             18702027,                351249,             -5876919,            107625114,            101748195,             61516953,             31508420,              8722822,,            -43140570,                 37311,,                579861,                 -7000,,                              0,                              0,                              0,                              0,                              0,,,,,,,
2887,2013年01月01日至2013年09月30日,,             20961280,             20961280,,,                884339,                227736,             -1072236,             -7538976,             14209353,            -37446325,               -501819,                 77820,                -15499,             -2781635,                147764,                              0,                -60342,,,,              3555888,              5106086,              6935308,             -5214421,              6967470,            -45252824,            -15771899,            -21730382,              1315228,            -64089546,,             -4115644,            -17531880,              6312300,             -4965127,             60928256,               -271326,             12901459,                751624,             54009662,            -10079884,            -44207198,            -23245918,             37725927,                545914,            -14038393,               -695347,                292183,,,                575628,               -614893,                  2322,                -80907,                              0,                   -470,                -94789,,             25824829,                              0,              4879000,            -11700000,              1051780,             -2833671,                              0,                 69161,               -559005,             16725094,                235920,             17158408,            107625114,            124783522,             42264749,             74525800,              7992973,,            -34127314,                 23531,,               -257494,                 -7000,,,,,,,,,,,,,
