證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產及設備,　　 處分不動產及設備,　　 營業保證金減少,　　 交割結算基金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資增加,　　 應付商業本票增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　　　 其他各項負債準備淨變動,　　 存出保證金增加,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 應付款項減少,　　 停業單位稅前淨利（淨損）,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　 交割結算基金減少,　　 處分投資性不動產,　　 其他負債減少,　　　　 其他項目,　　 存入保證金減少,　　 其他負債增加
2889,2015年01月01日至2015年09月30日,,              1537418,              1537418,,,                 55117,                 22093,                196284,                803945,             -2191851,               -166783,                -71812,                  4004,                  2444,             -1346559,,,             12001530,            -16815377,                129913,              3237995,               -692519,               -478663,                 -2923,             -2620044,,                 16757,             -8261115,              1629811,                 -2908,                  2234,                237882,                -37748,             -6415087,             -9035131,            -10381690,             -8844272,              1919346,                229567,               -770404,               -494005,             -7959768,,               -140508,                -49364,                      3,                120000,                -12503,                -19705,                 -8268,                255300,                 -5753,                139202,,             10848867,             -2431300,               -764837,               -204902,                 -9884,              7437944,                 45384,               -337238,              2501517,              2164279,              2164260,                     19,,,,,,,,,,,,,,,,,,
2889,2015年01月01日至2015年06月30日,,              1088143,              1088143,,,                 37274,                 14831,                177649,                545469,             -1501418,                -33272,                -42137,                  4000,                  2444,               -793663,,,              1407473,             -7352489,                172908,               -254974,               -394913,               -457261,                 28861,             -6850395,,                125845,               -960194,                274581,                 -1049,,                236738,                 20614,               -303465,             -7153860,             -7947523,             -6859380,              1302207,                 12023,               -518044,               -385075,             -6448269,,                -23153,                -43313,                      3,                120000,                -12503,                -19705,                 -4284,                260300,                 -5317,                272028,,              7274182,                566327,,,                 -9886,              7830623,                -50000,              1604382,              2501517,              4105899,              2795842,              1310057,                  1497,,,,,,,,,,,,,,,,,
2889,2015年01月01日至2015年03月31日,,                594805,                594805,,,                 18701,                  7472,                 30247,                272373,               -752029,,                -21242,                      5,                  2444,               -441279,,,              1068728,             -5653844,                 19970,             -1578014,               -196631,               -287690,               -602098,             -7229579,,                132202,             -5457802,                188059,                   -272,,                164677,                -29762,             -5002898,            -12232477,            -12673756,            -12078951,                537569,,               -265650,                -60323,            -11867355,,                -20407,                -17730,,                120000,                -12651,,                 -1038,,                 -4123,                223880,,             10046437,              1602735,,,                              0,             11649172,                -22348,                -16651,              2501517,              2484866,              2484770,                     96,                    750,                  4529,                155300,,,,,,,,,,,,,,,
2889,2014年度,,              2072093,              2072093,,,                 74133,                 28247,                 80720,              1019546,             -2659871,               -104812,                -66299,                -16215,                106278,,,,              3998624,             -8135469,               -120153,                530894,,                 82802,                234215,             -3409087,,               -113639,                848407,             -2757902,                 -3118,                -52066,               -109799,                 95037,             -2093080,             -5502167,             -7040440,             -4968347,              2562739,                168170,             -1012453,               -212677,             -3462568,,                -77264,                -53417,                 28207,                 15000,                 -8805,                 -4853,                -13580,               -358200,                 -4193,               -477105,,             -1737581,              5546355,               -592956,                              0,                  2579,              3218397,                 69853,               -651423,              3152940,              2501517,              2501497,                     20,,,,,                              0,             -1538273,                              0,                              0,                              0,,,,,,,,,
2889,2014年01月01日至2014年09月30日,,              1760263,              1760263,,,                 55775,                 20939,                 67777,                780592,             -2145557,               -104542,                -48951,                -16215,                 24537,             -1365645,,,             -1167606,             -6844726,               -320219,               -323518,                              0,                 37551,               -551591,             -9170109,,                -84133,              3309119,               -492323,                 -1636,                -52684,                -88670,                209072,              2798745,             -6371364,             -7737009,             -5976746,              1874768,                159532,               -742208,                -78796,             -4763450,,                -33818,                -34060,                 28207,                 15000,                 -7839,                  2927,                -10836,                -96900,                 -1836,               -139155,,               -718912,              5352270,               -592956,                              0,                  1804,              4042206,                 13468,               -846931,              3152940,              2306009,              2305961,                     48,,,,,,,,,,,,,,,,,,
2889,2014年01月01日至2014年06月30日,,              1315843,              1315843,,,                 37673,                 13691,                 16848,                498848,             -1382081,                -14252,                -31165,                -16047,                 24537,               -905391,,,             -1088807,             -9247424,               -558841,             -1619752,                              0,                 26118,                250290,            -12238416,,               -134454,              6528700,                 13532,                 -1092,,                -34143,                 29921,              6402464,             -5835952,             -6741343,             -5425500,              1161049,                 75258,               -468951,               -251403,             -4909547,,                -32180,                -21460,                 28039,                              0,                 -7853,                  3178,                 -5326,                -96900,                 -1396,               -133898,,                 37360,              4297762,,,                  1804,              4336926,                -17162,               -723681,              3152940,              2429259,              2429174,                     85,                -53443,,,,,,,,,,,,,,,,,
2889,2014年01月01日至2014年03月31日,,                758020,                758020,,,                 19291,                  6921,                 16455,                249618,               -686422,,                -15954,                      1,                              0,               -464296,,,             14468694,             -5270277,                  9793,               -300920,                              0,                 20021,                278061,              9205372,,                -87192,            -17642913,               -940888,                   -530,,                 32737,                -12124,            -18650910,             -9445538,             -9909834,             -9151814,                598693,,               -247395,               -106990,             -8907506,,                -17702,                -11731,,                              0,                 -7179,,                 -2322,,                    -57,               -120938,,              6789376,              1131821,,,                 -2629,              7918568,                 -1109,             -1110985,              3152940,              2041955,              1841951,                200004,                -54206,                -10547,                -71400,,,,,,,,,,,,,,,
2889,2013年度,,              1647920,              1647920,,,                 81609,                 27409,                 22722,              1114504,             -2603726,                -67219,               -142383,                    511,                 46573,,,,            -12104943,              5862248,               -204800,             -4377149,,                219230,                103950,            -10501464,,                 42496,              2425504,              2578485,                 -6215,                -37743,                 60193,                 78633,              5141353,             -5360111,             -6880207,             -5232287,              2213286,                 95096,             -1110347,                 14646,             -4019606,,               -196056,                -42603,                  6892,                129404,                  8509,                187911,                -14093,                              0,                              0,                114662,,              5024451,              1005304,               -450536,               -216320,                 -1124,              5303033,                 27366,              1425455,              1727485,              3152940,              1722845,              1430095,,,,,                    -96,             -1520096,                  3698,                 31000,                -58742,,,,,,,,,
2889,2013年01月01日至2013年12月31日,,              1647920,              1647920,,,                 81609,                 27409,                 22722,              1114504,             -2603726,                -67219,               -142383,                    511,                 46573,,,,            -12104943,              5862248,               -204800,             -4377149,,                323180,,            -10501464,,                 42496,              2425504,              2578485,                 -6215,,                138826,,              5179096,             -5322368,             -6880207,             -5232287,              2213286,                 95096,             -1110347,                 14646,             -4019606,,               -196056,                -42603,                  6892,                129404,,                187911,                -14093,,,                114662,,              5024451,              1005304,               -450536,               -216320,                 -1124,              5303033,                 27366,              1425455,              1727485,              3152940,              1722845,              1430095,                -37743,,,,                    -96,             -1557839,                  3698,                 31000,,                              0,                              0,                              0,                  8509,                              0,                -58742,,,
2889,2013年01月01日至2013年09月30日,,              1047258,              1047258,,,                 60156,                 19600,                 18307,                858121,             -1950168,                -61095,                -36518,                  5451,                 30368,,,,            -18548333,             10089285,             -1453544,             -2804500,,                157109,               -553392,            -13113375,,                407172,              3607767,              1749181,                 -6092,                -42125,                 60260,                249536,              6025699,             -7087676,             -8143454,             -7096196,              2156118,                 82978,               -867438,                127088,             -5597450,,                -75632,                -22730,                  1658,                 55000,                  9450,                126315,                -11613,               -111000,                  5195,                -21607,,              5326224,              1059003,               -450536,               -216320,                  1861,              5661490,                 14952,                 57385,              1727485,              1784870,              1584822,                200048,,,,,,             -1055778,                  1750,,                -58742,,,,,,,,,
