證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 其他金融資產減少,　　 其他非流動負債減少,　　 庫藏股票處分,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無形資產,　　 存入保證金增加,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　　 其他營業資產（增加）減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 其他非流動資產增加,　　 取得子公司股權,　　 除列避險之衍生金融負債,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2906,2015年01月01日至2015年09月30日,,                192922,                192922,,,                 21975,                  2444,                 17150,                  2532,                -18688,                -17891,                 -2415,                    185,                -90993,                116109,                 30408,,,                              0,                 46051,                 37914,                 36070,                -63050,                 56985,,                  1287,                -98658,                  2177,                   -487,                -95681,                -38696,                 -8288,                184634,                 17440,                 17891,                 -2429,                -48051,                169485,,                              0,               -134665,                271036,                  2527,                              0,                 62897,                  7854,                -32820,                 39348,                 -9563,                    638,                  6395,                 16454,                  9220,                239321,,                657751,               -490049,                 -3638,                -88753,               -190784,                              0,                 38930,                -76543,                -33800,                298463,              1286381,              1584844,              1584844,,,,,,,,,,,,,,,,,,,
2906,2015年01月01日至2015年06月30日,,                191394,                191394,,,                 15636,                  1948,                 13988,                  1877,                -12053,                   -747,                 -3501,                     -1,                -13471,,                -83933,,,                    -12,                235697,                 30575,                 44264,                -85040,                225484,,                   -169,               -109273,                 27544,                   -885,                -82783,                142701,                 58768,                250162,                 11317,                    747,                 -1858,                 -7412,                252956,,                              0,               -114899,                104249,                  2527,,                 62897,                  7605,,                 51000,                 -5331,                    245,                 19797,,                  2467,                147011,,                -59427,,                    -38,,,,                 38930,               -109288,                -57567,                233112,              1286381,              1519493,              1519493,                -87609,                 16454,                -88753,                              0,,,,,,,,,,,,,,,
2906,2015年01月01日至2015年03月31日,,                 51691,                 51691,,,                  9147,                  1226,                  8069,                    960,                 -6102,,                 -1872,                      9,                -12460,,                 -9228,,,                    -12,                172619,                 37326,                 45855,                -29450,                226338,,                  2854,               -145197,                -41969,                    383,               -183929,                 42409,                 33181,                 84872,                  4522,,                   -955,                -47601,                 40838,,,                -58219,                 62376,,,                 62897,,,,                 -1918,                    235,                 16977,,                  9780,                 98544,,                159320,,                    -38,                 35134,,                              0,                -39313,                155103,                -43883,                250602,              1286381,              1536983,              1536983,                 -8205,                  6416,,,,,,,,,,,,,,,,,
2906,2014年度,,                280060,                280060,,,                 38044,                 10468,                  6697,                  3414,                -23537,                 -7251,                 -8675,                  1693,               -101082,                              0,,,,                              0,                140890,                 18011,                -27698,                    485,                131688,,                  1170,                -23780,                 13624,,                -23617,                108071,                158416,                438476,                 22632,                  7251,                 -3447,                -21896,                443016,,                              0,               -481291,                485926,                  1818,                -30000,,                    105,,                              0,                -27107,                  7963,                 12749,                 -6666,                -12626,                -49176,,,                238853,,                 12119,               -148387,                -35403,                -10933,                 53927,                 39479,                487246,                799135,              1286381,              1286381,,,,,,                130574,                              0,                 50345,                -14631,                    -47,                 -2322,,,,,,,,
2906,2014年01月01日至2014年09月30日,,                185997,                185997,,,                 29028,                  6418,                  2363,                  2358,                -18520,                 -7249,                 -5920,                    923,                -32771,                 72455,                 49085,,,                              0,                -14950,                 62735,                -39474,                  2286,                 10597,,                  1554,                -74574,                   -985,                -15117,                -89122,                -78525,                -29440,                156557,                 18332,                  7249,                 -2353,                 -8589,                171196,,                              0,               -346915,                386122,                  1818,                -30000,                              0,                    105,                              0,                              0,                -19490,                  7000,                  4649,                    -30,                  1416,                  4675,,                354801,                              0,                 -2322,                 -1461,               -148387,                -35403,                              0,                167228,                 -5449,                337650,                799135,              1136785,              1136785,,,,,,,,,,,,,,,,,,,
2906,2014年01月01日至2014年06月30日,,                 70530,                 70530,,,                 20075,                  4936,                    352,                  1581,                -11668,                   -498,                 -6745,                  1350,                -29129,,                 60492,,,                              0,                204025,                 22408,                  7354,                -20230,                213557,,                  3304,               -147145,                -12889,                -15601,               -172331,                 41226,                101718,                172248,                 11480,                    498,                 -1576,                 -6292,                176358,,                              0,               -296774,                359911,                  1818,,                              0,                              0,,                              0,                 -7379,                  5889,                    549,,                  2362,                 66592,,                392564,,                 -2322,,,,                              0,                345654,                 -8782,                579822,                799135,              1378957,              1378957,                 80238,                    216,                 -9185,                -35403,,,,,,,,,,,,,,,
2906,2014年01月01日至2014年03月31日,,                 34142,                 34142,,,                 10972,                  2495,                     79,                    857,                 -4508,,                 -3670,                    673,                -23203,,                 42314,,,                     -3,                109564,                -21773,                -44994,                  8781,                 51575,,                  6482,                  6896,                -28905,                -16070,                -31597,                 19978,                 62292,                 96434,                  3018,,                   -883,                  1863,                100432,,,               -274160,                328905,,,                              0,,,,                 -2171,                  1047,                    619,,                    -93,                 54185,,                395823,,                 -2922,                 -6285,,                -35403,                              0,                351213,                 10518,                516348,                799135,              1315483,              1315483,                 58619,                     38,,,,,,,,,,,,,,,,,
2906,2013年度,,                143539,                143539,,,                 61892,                 19346,                   -298,                  2588,                -10543,                 -7213,                 -8464,                    236,                -20444,                 18956,,,,                     75,                202541,                106546,                 22105,                 10828,                342095,,                 -1240,                -58811,                -24932,,               -117163,                224932,                302165,                445704,                  9566,                  7213,                 -2603,                -20473,                439407,,                 30245,               -368675,                321754,                              0,                              0,,                 14774,,                  2948,                -22365,                  4081,                  7411,                 -9788,                    391,                -19224,,,                -78697,,                 33706,               -142046,               -130573,                              0,               -314688,                 13437,                118932,                680203,                799135,                799135,,,,,,                 -1222,                 22399,                 77233,                -32180,                              0,                  2922,,,,,,,,
2906,2013年01月01日至2013年12月31日,,                143539,                143539,,,                 61892,                 19346,                   -298,                  2588,                -10543,                 -7213,                 -8464,                    236,                -21666,                 18956,,,,                     75,                202541,                106546,                 22105,                 10828,                342095,,                 -1240,                -58811,                -24932,,               -117163,                224932,                302165,                445704,                  9566,                  7213,                 -2603,                -20473,                439407,,                 30245,               -368675,                321754,,,                              0,                 14774,,                  2948,                -22365,                  4081,                  7411,,                    391,                -19224,,,                -78697,,                 33706,               -142046,               -130573,                              0,               -314688,                 13437,                118932,                680203,                799135,                799135,,                 -9788,,,,,                 22399,                 77233,                -32180,                              0,                  2922,,                              0,                              0,                              0,,,,
2906,2013年01月01日至2013年09月30日,,                 61099,                 61099,,,                 50024,                 14153,                  2872,                  2270,                 -6299,                 -7213,                 -6955,                    396,                  1090,,,,,                     75,                 37113,                172758,                -27151,                  6220,                189015,,                   -976,               -135409,                -41495,,               -180473,                  8542,                 58880,                119979,                  6561,                  7213,                 -2319,                 -6214,                125220,,                 30245,               -243922,                261584,                              0,                              0,,                 13500,,,                -12071,                  1781,                  4179,                 -9616,                  3763,                 49443,,                326640,,                              0,                 12883,               -142046,                -51840,,                145637,                 16421,                336721,                680203,              1016924,              1016924,,,,,,,,                 50338,                 -2593,,,,,,,,,,
2906,2013年01月01日至2013年06月30日,,                  5864,                  5864,,,                 34450,                  9475,                    270,                  1557,                 -4258,                 -1231,                 -9696,                    419,,,,,,                    247,                296431,                 74853,                  8221,                 10637,                390389,,                    778,               -205085,                -40896,,               -248549,                141840,                178784,                184648,                  4428,                  1231,                 -1501,                 -5779,                183027,,                 30245,               -284878,                232608,                              0,,,                 13500,,,                -11901,                  1100,                    318,,                  4135,                -14873,,                 50504,,                              0,                 17954,,                -51840,,                 16618,                 16270,                201042,                680203,                881245,                881245,                 10750,                              0,,,,,,                 36944,                 -3346,,,                 -4792,,,,,,,
2906,2013年01月01日至2013年03月31日,,                  6653,                  6653,,,                 17294,                  4786,                   -406,                    549,                   -832,,                 -2075,                   -295,                 -4863,,,,,                     84,                201426,                 44231,                    802,                  5178,                252062,,                  4906,               -159633,                -29416,,               -184062,                 68000,                 82808,                 89461,                  1494,,                   -576,                -14865,                 75514,,,               -175979,                222679,,,,,,,                -10231,                  1100,                    447,,                  5423,                 43439,,                 50352,,                              0,                  3251,,                -51840,,                  1763,                 16625,                137341,                680203,                817544,                817544,                    650,                              0,,,,,,                 14808,                     81,,,,                    341,,,,,,
2906,2012年01月01日至2012年12月31日,,                130284,                130284,,,                 68726,                 15236,                 -1958,                  1862,                 -7425,                -18155,                -19605,                    836,                -54344,                 16153,,,,                     45,                558731,                -55996,                  2691,                -22511,                483206,,                 -3053,                -95724,                 -5013,,                -99543,                383663,                384989,                515273,                  7425,                 18155,                 -2601,                -94257,                443995,,                              0,               -231238,                397263,,,                143595,                  7484,,                              0,                -69044,                 15910,                 17040,,                 -6287,                179608,,,               -329409,,                 -4140,               -303005,                -12395,                 36627,               -615388,                 -4275,                  3940,                676263,                680203,                680203,,                  8516,,,,,                              0,                  1326,                  4247,                -36830,                 -3066,,                    246,                -30245,                -36556,,,,
