證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他應收款減少,　　 取得子公司股權,　　 應付短期票券減少,　　　　　 其他營業資產（增加）減少,　　 現金增資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 負債準備增加（減少）
2910,2015年01月01日至2015年09月30日,,                 64108,                 64108,,,                 39321,                  2367,                 25064,                   -526,                 -2360,                 -3754,                  8097,                -11217,                              0,                 56992,,,                 90505,                   -794,                -22316,                 -8070,                -77923,                -22544,                  2398,                -38744,,                 -2812,                 76506,                   -135,                  6860,                 35228,                    555,                116202,                 77458,                134450,                198558,                    652,                  2360,                -26279,                -30506,                144785,,                -16313,                 20460,               -140051,                148189,                    368,                 55598,                -14269,                              0,                              0,                   -801,               -268599,               -215418,,                235500,                 18759,              2760000,             -2852851,                     50,               -122782,                  8642,                 47318,                -23315,                 99767,                 76452,                 76452,,,,,,,,,,,,,,,
2910,2015年01月01日至2015年06月30日,,                 54240,                 54240,,,                 26521,                  3186,                 16331,                   -407,                   -176,                 -2771,                      2,                -10804,,                 31882,,,                 74270,                 -1105,                  1161,                 15551,                 -1878,                 -6885,                  1598,                 82712,,                 13815,                -13518,                   -970,                 -5737,                  2470,                    366,                 -3574,                 79138,                111020,                165260,                    436,                     92,                -16100,                -15572,                134116,,                -11466,                 18626,                -94255,                 93999,                    368,,                 -5960,,                     19,,               -268599,               -267268,,,,              2050000,             -2172851,                     50,,                  8642,                121341,                -11811,                 99767,                 87956,                 87956,                235500,,,,,,,,,,,,,,
2910,2015年01月01日至2015年03月31日,,                 25952,                 25952,,,                 13216,                    633,                  8100,                   -208,                    -38,                   -967,                              0,                 -1122,,                 19614,,,                 52435,                   -968,                    146,                 -1318,                -25269,                 -1759,                    799,                 24066,,                 10842,                 17250,                   -799,                 -5754,                 23983,                    181,                 45703,                 69769,                 89383,                115335,                    238,                     38,                 -7869,                    -17,                107725,,                 -4472,                              0,                 -4370,                 14335,                    368,,                 -3063,,                     19,,                              0,                  2817,,,,                810000,               -850000,                     50,,                    123,               -104827,                  5715,                 99767,                105482,                105482,                -65000,,,,,,,,,,,,,,
2910,2014年度,,                200611,                200611,,,                 46318,                 -2597,                 31512,                   -849,                 -6832,                 -3077,                     22,                 -1882,                   -395,,,,                 68024,                   -234,                 -1191,                 11392,                184540,                  5074,                  3197,                270802,,                -10627,                 -8676,                    552,                    446,                -16286,,                -33749,                237053,                299273,                499884,                    793,                  6832,                -31392,                -28236,                447881,,                -11203,                 12360,,,,                 45634,                -40043,                     37,                     17,,               -498572,               -495941,,                              0,                              0,              4516000,             -4226460,                  1870,               -122484,                  9190,                 37116,                -10944,                110711,                 99767,                 99767,               -141000,,                              0,                 62220,                    842,                              0,                -79651,                 75480,                              0,                              0,,,,,
2910,2014年01月01日至2014年09月30日,,                164112,                164112,,,                 34319,                   -315,                 23704,                   -605,                 -6074,                 -2879,                      8,                 -1673,                   -395,                 46090,,,                 38300,                 -1094,                    -23,                  7613,                117596,                 -4989,                  2398,                159801,,                 -5772,                 60018,                    -51,                  1209,                 60954,                    707,                117065,                276866,                322956,                487068,                    616,                  6074,                -23786,                -28219,                441753,,                -10383,                  8696,                -79651,                 70480,                              0,                 36639,                -17691,                      4,                     86,                              0,               -425820,               -417640,,                149000,                              0,              2456000,             -2529460,                  1820,               -122483,                  9064,                -36059,                -11946,                110711,                 98765,                 98765,,,,,,,,,,,,,,,
2910,2014年01月01日至2014年06月30日,,                134362,                134362,,,                 22647,                  1087,                 15681,                   -443,                   -154,                 -2193,                      3,                   -842,,                 35786,,,                 83890,                 -1260,                   -828,                  7086,                196498,                  5251,                  1598,                292235,,                 -5691,                    -39,                    429,                 -2042,                -14158,                    423,                -21078,                271157,                306943,                441305,                    376,                    154,                -15890,                -13451,                412494,,                 -9577,                  5754,                -68336,                 59300,                              0,,                -15110,,                     66,,               -425820,               -453723,,,,              1896000,             -1917460,                  1427,,                              0,                 19967,                -21262,                110711,                 89449,                 89449,                 40000,,,,,,,,,,,,,,
2910,2014年01月01日至2014年03月31日,,                 65553,                 65553,,,                 11337,                    584,                  7790,                   -161,                    -18,                   -683,                      3,                   -453,,                 18399,,,                138675,                   -786,                 -6531,                  4460,                 29881,                    501,                    799,                166999,,                 -8034,                 29719,                    558,                 -3505,                    117,                    210,                 19065,                186064,                204463,                270016,                     78,                              0,                 -7788,                     -8,                262298,,                 -4602,                     65,                -15001,                              0,                              0,,                 -3022,,                              0,,               -121480,               -144040,,,,                562000,               -656680,                    866,,                              0,               -123814,                 -5556,                110711,                105155,                105155,                -30000,,,,,,,,,,,,,,
2910,2013年度,,                128760,                128760,,,                 40365,                  2126,                 22686,                   -617,                 -3929,                 -3395,                     15,                 -4181,                              0,,,,                -42156,                   -150,                 15571,                -12216,               -234715,                -16199,                  2442,               -287423,,                -24940,                 -5844,                   -268,                   -207,                 16029,,                -14389,               -301812,               -246242,               -117482,                    523,                  3929,                -23045,                -52525,               -188600,,                    -52,                              0,,,,                 70646,                -52750,                              0,                 -1704,,               -281098,               -261391,,                240000,                 45000,              3303274,             -2942000,                    297,               -174976,                              0,                468595,                 18604,                 92107,                110711,                110711,                              0,,                  2500,                 55570,                    841,                              0,                              0,                              0,                  3567,                 -3000,,,,,
2910,2013年01月01日至2013年12月31日,,                128760,                128760,,,                 40365,                  2126,                 22686,                   -617,                 -3929,                 -3395,                     15,                 -4181,,,,,                -42156,                   -150,                 15571,                -12216,               -234715,                -16199,                  2442,               -287423,,                -24940,                 -5844,                   -268,                   -207,                 16029,,                -14389,               -301812,               -246242,               -117482,                    523,                  3929,                -23045,                -52525,               -188600,,                    -52,                              0,,,,                 70646,                -52750,                              0,                 -1704,,               -281098,               -261391,,                240000,                 45000,              3303274,             -2942000,                    297,               -174976,,                468595,                 18604,                 92107,                110711,                110711,                              0,,                  2500,                 55570,                    841,                              0,,,                  3567,                 -3000,,                              0,                              0,,
2910,2013年01月01日至2013年09月30日,,                 99251,                 99251,,,                 27860,                  2559,                 14376,                   -431,                 -3808,                 -3201,                              0,                 -3167,                              0,,,,                 41989,                 -3726,                  5445,                 -1804,               -284255,                -20280,                  1642,               -260989,,                 18917,                 56307,                    626,                  5699,                 95850,,                178025,                -82964,                -48776,                 50475,                    451,                  3782,                -14673,                -53209,                -13174,,                    -52,                              0,,,,                 37583,                -70824,                              0,                 -1694,,               -251961,               -283381,,                240000,                 30000,              1999716,             -1780000,                              0,               -174976,                              0,                311740,                 15185,                 92107,                107292,                107292,,,,                 34188,                    626,                              0,                              0,                              0,                  3567,                 -3000,,,,,
2910,2013年01月01日至2013年06月30日,,                 72976,                 72976,,,                 17747,                  3260,                  7258,                   -285,                 -3268,                 -2527,                              0,                 -2254,,,,,                102531,                 -1549,                 10646,                -38581,               -162836,                -10922,                    843,                -99868,,                 17558,                -10772,                   -139,                  6422,                  2000,,                 15483,                -84385,                -64454,                  8522,                    211,                  3268,                 -7613,                -37123,                -32735,,                    -52,                              0,,,,                 33585,                -36475,,                 -1674,,               -154729,               -132845,,                              0,,              1548918,             -1350000,                              0,,,                175918,                 10338,                 92107,                102445,                102445,,,,                 19931,                    414,                              0,                              0,                              0,                 26500,,                -23000,,,,
2910,2013年01月01日至2013年03月31日,,                 42413,                 42413,,,                  8717,                    744,                  3549,                   -140,                    -10,                   -669,                              0,                 -1744,,,,,                 11327,                 -1983,                 -5637,                    441,               -109066,                -12152,                     44,               -117026,,                 39569,                 25763,                    -72,                   -197,                 14594,,                 79862,                -37164,                -26717,                 15696,                    103,                     10,                 -3954,                     -4,                 11851,,                              0,                              0,,,,,                 -8840,,                 -1600,,                -27336,                 -9276,,,,                465454,               -430000,                              0,,,                 35454,                 38029,                 92107,                130136,                130136,                              0,,,                 10447,                    205,                              0,                              0,,                 28500,,,,,,
2910,2012年01月01日至2012年12月31日,,                175235,                175235,,,                 37242,                 -2935,                 12937,                   -596,                 -7233,                 -3301,                   -327,                 -1952,,,,,                -10910,                    -22,                -10923,                 -9737,               -150880,                 -3086,                   -381,               -185646,,                -45750,                 10047,                   -468,                   -390,                   -585,,                -35745,               -221391,               -172556,                  2679,                    653,                  7233,                -11878,                -18922,                -20235,,                    -29,                  5329,,,,                 36881,                -17209,                    523,                    244,,                -79841,                -39970,,                              0,                -30000,              1660037,             -1360000,                  1733,               -174976,,                 54394,                 -5811,                 97918,                 92107,                 92107,                -45400,,                 15000,                 48835,                  1401,                              0,,,                 14132,                              0,,                    293,                  3000,,
2910,2012年01月01日至2012年09月30日,,                126928,                126928,,,                 28302,                   -941,                  8934,                   -395,                 -4418,                 -3116,                     17,                 -1184,,,,,                -66218,                 -1462,                -11386,                  8871,               -187151,                 -4467,                 -1154,               -262967,,                -34300,                 76559,                   -315,                  2579,                 89890,,                135061,               -127906,                -90707,                 36221,                    490,                  4418,                 -8613,                -18908,                 13608,,                    -28,                  5329,,,,                 36813,                -13040,,                              0,,                -79174,                -59632,,                              0,                              0,              1646434,             -1360000,,               -174976,,                 69058,                 23034,                 97918,                120952,                120952,                -45400,,                 10000,                 37199,                    648,,,,                 -9532,                              0,,,                  3000,                              0,
2910,2012年01月01日至2012年06月30日,,                 90768,                 90768,,,                 19161,                   -336,                  5806,                   -292,                 -3622,                 -2256,                     17,                   -429,,,,,                 24331,                     20,                     -6,                 10588,                -85416,                 -4162,                 -1926,                -56571,,                -22665,                -10346,                   -231,                 -1729,                    216,,                -34327,                -90898,                -62849,                 27919,                    277,                  3622,                 -5614,                 -8198,                 18006,,                    -29,,,,,                  5950,                 -2399,,                              0,,                -79174,                -50238,,,,              1013173,               -930000,,,,                 46773,                 14541,                 97918,                112459,                112459,                -36400,,                 10000,                 28049,                    428,                              0,,,                 25414,,                              0,,,,
2910,2012年01月01日至2012年03月31日,,                 55495,                 55495,,,                 10035,                 -1894,                  2818,                   -135,                    -25,                   -633,                      5,                   -419,,,,,                 56466,                 -1282,                -10770,                  5309,                -46005,                   -834,                 -2698,                    186,,                -48696,                 17401,                    -95,                 -3273,                 11839,,                -22613,                -22427,                -12675,                 42820,                    156,                     26,                 -2432,                    -16,                 40554,,,,,,,                  5950,                 -1398,,                              0,,                -79174,                -60122,,,,                321903,               -310000,,,,                  1503,                -18065,                 97918,                 79853,                 79853,                -10400,,,                  9752,                    211,,,,                 14500,,,,,,                              0
