證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 發行公司債,　　 發放現金股利,　　 其他籌資活動,　　 取得子公司股權,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 庫藏股票處分,　　　　 非金融資產減損損失
2911,2015年01月01日至2015年09月30日,,                -95637,                -95637,,,                187515,                 14646,                    304,                    851,                 37806,                 -4532,                   -440,                  1134,                 22486,                -33995,                -14858,                  2832,                213749,,,                  7796,                 -7230,                141506,                 32441,                 37019,               -572960,                 28597,                   -103,               -332934,,                  8990,                422306,                 -5330,               -212699,                -17079,                -17535,                  6538,                  2483,                  3141,                190815,               -142119,                 71630,                -24007,                  4532,                -30712,                -12117,                -62304,,                  2637,                    254,               -136886,                 48155,                 -1865,                              0,                -10661,                              0,                 42252,                  1351,                -54763,,                336417,                 20000,                -25000,                735000,             -1082899,                 10465,                -85985,                 -7454,                -99456,                  1428,               -215095,                849033,                633938,                633938,,,,,,,,,,,,,
2911,2015年01月01日至2015年06月30日,,                -92525,                -92525,,,                125961,                  9711,                    518,                    876,                 27181,                 -3236,                     -1,                    752,                 14458,                  5867,                   -741,                  1887,                183233,,,                  7776,                  2496,                277987,                 30326,                 39652,                227144,                 13675,                    610,                599666,,                    752,               -147016,                 -1154,               -148418,                -14436,                 42256,                  9468,                  4826,                  1971,               -251751,                347915,                531148,                438623,                  3236,                -22727,                 -7374,                411758,,                              0,                              0,               -106774,                  1556,,                  3598,                 -6937,                              0,                 42189,                    912,                -65456,,               -110135,                              0,                -25000,                365000,               -776841,                  7428,                 -6989,                 -6174,               -552711,                -32194,               -238603,                849033,                610430,                610430,,,,,,,,,,,,,
2911,2015年01月01日至2015年03月31日,,                 58413,                 58413,,,                 63897,                  4936,                   -148,                   -441,                 14966,                 -1547,,                    380,                  3398,                    942,                              0,                    953,                 87336,,,                              0,                  4358,                    -91,                 29879,                 35640,                155889,                 29098,                   -484,                254289,,                 -1820,                 91657,                  6961,               -156484,                  4115,                 12513,                  4521,                  2211,                  2479,                -33847,                220442,                307778,                366191,                  1547,                -12405,                 -5137,                350196,,,,                -58336,                    859,,                    743,                 -3494,                              0,                     86,,                -60142,,                -29210,                              0,                 -4999,                130000,               -214061,                    223,,,               -118047,                -11630,                160377,                849033,              1009410,              1009410,                              0,,,,,,,,,,,,
2911,2014年度,,               -142528,               -142528,,,                270596,                 16652,                  3108,                 -1856,                 60976,                 -5859,                 -1529,                    885,                 12433,                  8903,                    579,                  3709,,,,                  5332,                 -3524,                -17551,                -15354,                -37898,                -84688,                 32303,                    384,               -120996,,                     -5,                230538,                -34128,                 98184,                    639,                  5030,                -19956,,                  3759,                296634,                175638,                544235,                401707,                  5859,                -50838,                -13497,                343231,,                  4430,                 47298,               -136655,                  1481,,                  4113,                -23027,                 -3031,,                 11987,                -93404,,                 56617,                 24988,,                560000,               -613373,                  8872,,                 -6174,                 30930,                 45771,                326528,                522505,                849033,                849033,,,                368597,                 12573,                              0,                              0,                              0,                              0,,,,,
2911,2014年01月01日至2014年09月30日,,               -276037,               -276037,,,                204054,                 11109,                  1746,                   -270,                 44600,                 -3940,                 -1499,                  1396,                 12419,                  7373,                 -4599,                  2765,                275154,,,                -54791,                  6823,                130539,                 -7350,                 -7129,               -301232,                 51050,                    232,               -181858,,                    -44,                678942,                -32210,                -34829,                -18806,                 -6328,                -17563,                  9281,                  3473,                581916,                400058,                675212,                399175,                  3940,                -37425,                -13096,                352594,,                  4430,                 47298,                -93290,                  1356,                              0,                  6420,                -12539,                 -1366,                              0,                 11957,                -35734,,               -106846,                 24973,                              0,                465000,               -512304,                  4900,                              0,                 -6174,               -130451,                  8011,                194420,                522505,                716925,                716925,,,,,,,,,,,,,
2911,2014年01月01日至2014年06月30日,,               -262479,               -262479,,,                135742,                  7210,                  1621,                    228,                 30361,                 -2545,                     -1,                    932,                  8858,                  3816,                 -1217,                  1847,                186852,,,                  5209,                  1379,                315626,                 -1941,                -12242,                318988,                 14050,                    589,                641658,,                   -667,                -39286,                  5991,               -104560,                -19197,                 12306,                -21101,                  5911,                  2085,               -158518,                483140,                669992,                407513,                  2545,                -25718,                 -6883,                377457,,                  1021,                  3142,                -59737,                  1314,,                  6953,                 -9471,                 -1366,                              0,                  2209,                -55935,,               -117785,                 24993,                              0,                350000,               -299945,                  1146,                              0,                 -6174,                -47765,                -23117,                250640,                522505,                773145,                773145,,,,,,,,,,,,,
2911,2014年01月01日至2014年03月31日,,                -96655,                -96655,,,                 67566,                  3456,                  1126,                    410,                 15923,                 -1116,,                    467,                  2183,                  2892,                    -87,                    906,                 93726,,,                 -5913,                  6668,                208991,                  2507,                  3811,                175967,                  4853,                    -24,                396860,,                 -7124,                117108,                  1003,               -125662,                 -2183,                 -9734,                -24380,                  3033,                  3397,                -44542,                352318,                446044,                349389,                  1116,                 -8993,                   -595,                340917,,,,                -14680,                    129,,                  5551,                 -5882,                   -146,                              0,,                -15028,,               -133916,                 49868,                              0,                 85000,               -160057,                              0,,,               -159729,                  2891,                169051,                522505,                691556,                691556,                   -624,,,,,,,,,,,,
2911,2013年度,,               -111547,               -111547,,,                259375,                 13331,                    101,                    316,                 66724,                 -5308,                    -41,                  1810,                 -5017,                  9204,                   -432,                  3660,,,,                  5432,                  3695,                 49633,                   -302,                -14481,                284788,                  5766,                  1655,                336186,,                  3001,               -133254,                 -9010,                -50528,                  4021,                 -4677,                  5482,,                    875,               -172756,                163430,                507153,                395606,                  5308,                -59381,                -42750,                298783,,                              0,                              0,               -404245,                  7338,,                  2411,                 -8862,                 -2423,,                  2431,               -405172,,               -527987,                              0,,                645000,               -694592,                 16225,,                 14548,                -96913,                 64434,               -138868,                661373,                522505,                522505,,,                343723,                 11334,                 -1822,                603000,               -147907,                 -5200,,,,,
2911,2013年01月01日至2013年12月31日,,               -111547,               -111547,,,                259375,                 13331,                    101,                    316,                 66724,                 -5308,                    -41,                  1810,                 -5017,                  9204,                   -432,                  3660,,,,                  5432,                  3695,                 49633,                   -302,                -14481,                284788,                  5766,                  1655,                336186,,                  3001,               -133254,                 -9010,                -50528,                  4021,                 -4677,                  5482,,                    875,               -172756,                163430,                507153,                395606,                  5308,                -59381,                -42750,                298783,,,,               -404245,                  7338,,                  2411,                 -8862,                 -2423,,                  2431,               -405172,,               -527987,,                              0,                645000,               -694592,                 16225,,                 14548,                -96913,                 64434,               -138868,                661373,                522505,                522505,                              0,,                343723,                 11334,                 -1822,                603000,               -147907,                 -5200,,                              0,                              0,                              0,
2911,2013年01月01日至2013年09月30日,,               -201210,               -201210,,,                195000,                 10473,                     25,                    337,                 47916,                 -3594,                    -41,                  1427,                 -5795,                 10536,                    -27,                  2747,,,,                    248,                  8639,                187651,                 14798,                -31563,                -26289,                 42660,                 -1397,                194747,,                 -2880,                336371,                 -9153,               -131017,                -12459,                  3151,                -20488,,                  1760,                174113,                368860,                627864,                426654,                  3594,                -41851,                -40918,                347479,,                              0,                              0,               -257365,                  2260,,                  6147,                 -7591,                   -966,,                  2431,               -256906,,               -277787,                  9983,,                560000,               -590195,                 14323,,                              0,                166210,                 43933,                300716,                661373,                962089,                962089,,,                259004,                  8828,                 -1822,                603000,               -147907,                 -5200,                     -7,,,,
