證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款增加,　　 處分投資性不動產,　　 其他金融資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無形資產,　　 取得子公司股權,　　 存出保證金減少,　　 其他應收款減少,　　 其他金融資產減少,　　　　 其他項目,　　　　　 應收票據（增加）減少,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損損失,　　 現金增資
2923,2015年度,,              7581937,              7581937,,,                134976,                 31473,                   -233,                 -4121,              1805569,               -133600,                  3746,                   -480,                              0,                -10848,             -3274523,             -1448041,,,                 68381,                 -1737,                465198,                -38242,               -670377,               -176777,,                  4121,               -193550,                234954,                353409,                106367,                -13578,                406500,                898223,                721446,               -726595,              6855342,             -1819569,             -1819020,              3216753,,               -111651,                  1073,               -103833,                 -3827,                  5033,             -1877241,                125193,             -1965253,,                 56163,              9646003,             -9704064,               -382865,                              0,               -384763,                -93844,                772893,              4926339,              5699232,              5699232,,,,,,,,,,,,,
2923,2015年01月01日至2015年09月30日,,              4627474,              4627474,,,                101145,                 23454,                   -292,                 -4121,              1372402,                -94089,                  3177,,,                 -9176,             -1353044,                 39456,,,                -67754,                -21277,                641504,                -59034,               -576670,                -83231,,                  4121,                195299,                 79594,                393470,                 97717,                -38075,                342940,              1075066,                991835,              1031291,              5658765,             -1404887,             -1712254,              2541624,,                -87160,                  1069,                -39088,                   -849,,               -514904,                 91322,               -549610,,                 56003,              9463459,             -8943329,               -382865,                              0,                193268,                 81267,              2266549,              4926339,              7192888,              7192888,                              0,,,,,,,,,,,,
2923,2015年01月01日至2015年06月30日,,              3061507,              3061507,,,                 67579,                 15605,                   -292,                 50097,                919412,                -60123,                  3095,,,                 16113,             -1353044,               -341558,,,                -31452,                 -8547,                -38175,               -100734,                 30450,               -148458,,                    860,               -473849,                 -6617,                683431,                 59466,                -24388,                 15550,                254453,                105995,               -235563,              2825944,               -980525,               -764094,              1081325,,                -50226,                  1266,                 -6014,                     -2,,              1122412,                 54801,              1122237,,                 53748,              3729457,             -2381901,,,              1401304,               -115129,              3489737,              4926339,              8416076,              8416076,,,,,,,,,,,,,
2923,2015年01月01日至2015年03月31日,,              1078536,              1078536,,,                 35499,                  7865,                   -309,,                464222,                -32598,                  1805,,,                  5141,,                481625,,,                  1506,                 -1796,                238805,                 33652,                -40315,                231852,,,               -463303,                -10869,               -516639,                 27978,                -12368,                -25972,             -1001173,               -769321,               -287696,                790840,               -544615,               -349880,               -103655,,                -35257,                              0,                 -3976,                              0,,              1057971,                 34161,              1052899,,                183502,              1568138,             -1875023,,,               -123383,                -46438,                779423,              4926339,              5705762,              5705762,,,,,,,,,,,,,
2923,2014年度,,              7087941,              7087941,,,                114772,                 30461,                 -6326,                              0,              2028463,                -86606,                    265,                              0,                 12022,                  5141,             -4572518,             -2474326,,,                -76791,                 -7979,             -3793945,                823411,                141810,             -2913494,,                              0,                109846,                -69642,                884507,                 53817,                 -9861,                 -4795,                963872,             -1949622,             -4423948,              2663993,             -1989589,             -1442232,               -767828,,               -104845,                     90,                 -4271,                     16,                              0,             -1761769,                 96069,             -1774710,,                236170,             15284699,            -14165428,               -352902,               -468359,                534180,                256033,             -1752325,              6678664,              4926339,              4926339,,,             -2474326,                              0,                              0,,,,,,,,
2923,2014年01月01日至2014年09月30日,,              3725547,              3725547,,,                 84455,                 20711,                 -6344,                              0,              1494636,                -62337,                    234,,,                  9639,             -2319403,               -778409,,,                 -6134,                -17886,             -3910500,                577414,                281628,             -3075478,,                              0,               -458012,               -107480,              1148012,                 31805,                -40599,                -24537,                549189,             -2526289,             -3304698,                420849,             -1550775,               -600443,             -1730369,,                -88621,                     89,                 -5575,                      4,,               -529727,                 66554,               -557276,,                148543,             13533083,            -13540271,               -352902,               -468359,               -679906,                 40856,             -2926695,              6678664,              3751969,              3751969,                              0,,,,,,,,,,,,
2923,2014年01月01日至2014年06月30日,,                919999,                919999,,,                 53967,                 13580,                 -6548,                              0,              1006368,                -40003,                    106,,,                  9572,                              0,              1037042,,,                 29027,                 -3420,             -3228280,                229043,                291555,             -2682075,,                              0,               -381330,                -75296,                455575,                  6319,                -26381,                -61390,                -82503,             -2764578,             -1727536,               -807537,             -1094532,               -503104,             -2405173,,                -66485,                     90,                 19179,                     -5,,               -806018,                 52073,               -801166,,                              0,             13158624,            -13041974,,,                116650,               -126655,             -3216344,              6678664,              3462320,              3462320,,,,,,,,,,,,,
2923,2014年01月01日至2014年03月31日,,                427590,                427590,,,                 27371,                  6890,                 -6645,,                508591,                -18066,                     30,,,                  7611,,                525782,,,                  3120,                 -1804,             -1636369,               -418611,                299453,             -1754211,,,               -367068,                -53355,                 59270,                 -1705,                -13420,                -14673,               -390951,             -2145162,             -1619380,             -1191790,               -595870,               -114184,             -1901844,,                -31274,                    116,                 17405,                     -1,,                199097,                 30085,                215428,,                              0,             12806171,            -12710508,,,                 95663,                 -5448,             -1596201,              6678664,              5082463,              5082463,,,,,,,,,,,,,
2923,2013年度,,              5427049,              5427049,,,                 96578,                 10681,                  6506,,              1996614,               -166002,                    320,,                 23465,                  4233,             -2385017,,,,                 41506,                986291,             -3439582,               -559290,                316714,             -2654361,,,               -695983,                 -1166,             -1528886,                 14914,                 62834,                 39513,             -2108774,             -4763135,             -5175757,                251292,             -2031632,             -1016794,             -2797134,,                -85449,                      7,                111203,                      8,,              1024471,                159446,              1137404,,                              0,              6091850,             -8012480,               -207388,                              0,             -2473263,                537936,             -3595057,             10273721,              6678664,              6678664,,,               -412622,                -72282,               -345245,,,,,,,,
2923,2013年01月01日至2013年12月31日,,              2302357,              2302357,,,                637415,                208812,                  6506,,              1996614,               -166002,                    320,,                 23465,                  4233,,,,,                 41506,                986291,             -3438875,               -559290,                316714,             -2653654,,,               -695983,                 -1166,             -1528886,                 14914,                 62834,                 39513,             -2108774,             -4762428,             -2051065,                251292,             -2031632,             -1016794,             -2797134,,                -85449,                      7,                111203,                      8,,              1024471,                159446,              1137404,,,              6091850,             -8012480,               -207388,,             -2473263,                537936,             -3595057,             10273721,              6678664,              6678664,,,              2711363,                -72282,               -345245,,,,,,                              0,                              0,                              0
