證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付票據－關係人增加（減少）,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他應收款－關係人增加
3002,2015年01月01日至2015年09月30日,,                 33410,                 33410,,,                  9526,                    349,                  4000,                              0,                -14787,                 -2293,                              0,                   -982,                              0,                 -9774,                 10546,                 10405,                  6990,,,                              0,                              0,                 20057,                 13779,                    -36,                     16,                 23432,                  3592,                     15,                 60855,,                 -1089,                -17269,                -16677,                 -4341,                 -1796,                    563,                     33,                -40576,                 20279,                 27269,                 60679,                -10081,                 50598,,               -394175,                222846,                  4916,                 -4843,                    -36,                -31331,                   -575,                 10276,                  2293,               -190629,,                -81600,                -81600,                  6865,               -214766,                522206,                307440,                307440,,,,,,
3002,2015年01月01日至2015年06月30日,,                 26111,                 26111,,,                  6640,                    235,                  3987,                              0,                 -8667,                   -399,                              0,                    -54,                              0,                 -8911,,                 -2539,                 -9708,,,,                   -178,                 21264,                 -3022,                 -1021,                     10,                 22401,                 -2746,                     16,                 36724,,                 -1143,                -14514,                  4633,                 -4373,                    376,                    444,                     24,                -14553,                 22171,                 12463,                 38574,                 -7270,                 31304,,               -336607,                129256,,                 -3243,                    -35,,                   -164,                  5557,                    399,               -232727,,,,                 -9760,               -211183,                522206,                311023,                311023,                              0,                -27890,,,,
3002,2015年01月01日至2015年03月31日,,                 13965,                 13965,,,                  3372,                    118,                   -337,                              0,                 -3371,                              0,                              0,                    532,                              0,                 -4128,,                  3495,                   -319,,,,                    -63,                 33360,                    488,                 -1114,                      4,                 14261,                  4865,                      5,                 51806,,                 -1286,                -28183,                 -2867,                 -8386,                     36,                  1362,                     14,                -39310,                 12496,                 12177,                 26142,                 -1448,                 24694,,                -53399,                 52172,,                 -2401,                    -12,,                    528,                  2786,                              0,                   -829,,,,                 -5327,                 18538,                522206,                540744,                540744,                              0,                   -503,,,,
3002,2014年度,,                 93220,                 93220,,,                 14052,                    448,                    200,                   -978,                -12558,                 -4088,                   -149,                 -4148,                     80,                -39082,,                 -2231,,,,                              0,                    897,                -16496,                 14475,                  1958,                     27,                 10722,                 -1279,                     -1,                 10303,,                    183,                 -2964,                 -4898,                 -6597,                    666,                    798,,                -12728,                 -2425,                -50879,                 42341,                 -3799,                 38542,,               -393969,                458378,,                 -5413,                    -60,                -19267,                    376,                 11753,                  4088,                 55886,,               -102000,               -102000,                 26786,                 19214,                502992,                522206,                522206,                              0,,,                -48454,                     84,                              0
3002,2014年01月01日至2014年09月30日,,                 76510,                 76510,,,                 10659,                    333,                   -131,                   -972,                 -9427,                 -3705,                   -149,                 -3474,                     80,                -38253,                              0,                 -4751,                -49790,,,                              0,                    829,                 11633,                    403,                  1988,                    -55,                 25800,                  4059,                      3,                 44660,,                 -1021,                -13865,                  2470,                 -6180,                    614,                  2050,                     58,                -15874,                 28786,                -21004,                 55506,                 -3594,                 51912,,               -299761,                411474,                              0,                 -4526,                    -60,                 -1607,                   -911,                  8617,                  3705,                116931,,               -102000,               -102000,                  9276,                 76119,                502992,                579111,                579111,,,,,,
3002,2014年01月01日至2014年06月30日,,                 52472,                 52472,,,                  7295,                    222,                     43,                   -895,                 -6314,                   -793,                    121,                 -4362,                     80,                -19403,,                   -704,                -24710,,,,                    897,                 -7214,                 -1286,                  2156,                    -60,                 34644,                  5687,                    -13,                 34811,,                 -1090,                -23204,                    972,                 -8497,                    602,                     46,                     35,                -31136,                  3675,                -21035,                 31437,                 -1523,                 29914,,               -227282,                263322,,                 -2326,                              0,,                    263,                  5927,                    793,                 37646,,,,                   -301,                 67259,                502992,                570251,                570251,                              0,                 -3051,,,,
3002,2014年01月01日至2014年03月31日,,                 38862,                 38862,,,                  3681,                    111,                    -27,                   -192,                 -2521,                   -405,                    293,                 -2421,                     80,                -16509,,                  6511,                -11399,,,,                    897,                  1150,                  4084,                 -4849,                    -39,                 25432,                  3143,                    -12,                 29806,,                   -840,                -13134,                 -8744,                -10039,                    494,                    727,                     19,                -31517,                 -1711,                -13110,                 25752,                   -213,                 25539,,               -128593,                115192,,                 -1411,                              0,,                   -307,                  3203,                    405,                -15764,,,,                  7752,                 17527,                502992,                520519,                520519,                              0,                 -4253,,,,
3002,2013年度,,                 61305,                 61305,,,                 13317,                    409,                    281,                    958,                -10599,                 -3790,                  1714,                 -6765,                              0,                -15358,,                     15,,,,                 31480,                   -213,                 -6666,                 11076,                 -1396,                     22,                -14232,                 -6094,                    -11,                 13966,,                 -4940,                  5136,                 -1979,                 11258,                    461,                  1952,,                 11777,                 25743,                  5925,                 67230,                 -6518,                 60712,,               -152903,                190899,,                -14997,                   -377,                 41363,                   -734,                 10968,                  3790,                 73009,,                -40800,                -40800,                 10134,                103055,                399937,                502992,                502992,                   -190,,,                -19818,                     79,                 -5000
3002,2013年01月01日至2013年12月31日,,                 61305,                 61305,,,                 13317,                    409,                    281,                    958,                -10599,                 -3790,                  1714,                 -6765,,                -15358,                              0,                     15,,,,                 31480,                   -213,                 -6666,                 11076,                 -1396,                     22,                -14232,                 -6094,                    -11,                 13966,,                 -4940,                  5136,                 -1979,                 11258,                    461,                  1952,,                 11777,                 25743,                  5925,                 67230,                 -6518,                 60712,,               -152903,                190899,,                -14997,                   -377,                 41363,                   -734,                 10968,                  3790,                 73009,,                -40800,                -40800,                 10134,                103055,                399937,                502992,                502992,                   -190,,,                -19818,                     79,                 -5000
3002,2013年01月01日至2013年09月30日,,                 52288,                 52288,,,                  9838,                    300,                    314,                  1433,                 -7368,                 -3417,                  1885,                 -6774,                              0,                -13636,,                    258,,,,                 -3028,                    684,                -11347,                  6103,                   -542,                     45,                 -1853,                 -1243,                    -29,                -11210,,                 -5729,                 -7491,                    768,                  2502,                    154,                  1171,,                 -8753,                -19963,                -37130,                 15158,                 -4449,                 10709,,               -114065,                149264,,                -11902,                   -377,                 59534,                 -1460,                  8300,                  3417,                 92711,,                -40800,                -40800,                  3550,                 66170,                399937,                466107,                466107,                   -190,,,                -17167,                     62,                              0
