證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他非流動資產減少
3004,2015年01月01日至2015年09月30日,,                195935,                195935,,,                 91273,                  4204,                    150,                   -513,                  8501,                    -48,                              0,                    318,                 10184,                114069,,,                  2746,                 -1290,                 -1431,                    203,                  9574,                 -6581,                 15701,                 18922,,                -92756,                -44098,                              0,                -45312,                -15776,                              0,                    -32,               -197974,               -179052,                -64983,                130952,                     48,                 -8998,                -32510,                 89492,,               -145360,                  2771,                              0,                    248,                 -2985,                              0,               -145326,,              1394619,             -1206159,                 60000,                -50000,                379000,               -864859,                              0,                350000,                    844,                 63445,                    665,                  8276,                106051,                114327,                114327,,,
3004,2015年01月01日至2015年06月30日,,                114321,                114321,,,                 59911,                  2633,                    176,                   -681,                  6060,                    -32,                              0,                    346,                  3948,                 72361,,,                  2953,                 -7308,                 -1412,                    820,                  8506,                 -4048,                 17028,                 16539,,                -89721,                -47621,                              0,                   -191,                 -3701,,                    -44,               -141278,               -124739,                -52378,                 61943,                     32,                 -6450,                -19117,                 36408,,               -124829,                  2511,                   -239,,                 -2278,                              0,               -124835,,                732346,               -642346,                 60000,                -50000,                339000,               -669551,,                350000,                    844,                120293,                 -4791,                 27075,                106051,                133126,                133126,,,
3004,2015年01月01日至2015年03月31日,,                 55981,                 55981,,,                 29963,                  1033,                    177,                   -798,                  3344,                     -5,                              0,                     35,                    470,                 34219,,,                  2590,                -11430,,                   -206,                 -5443,                    846,                    607,                -13036,,                -91213,                -40743,                              0,                 -8332,                -11197,,                     13,               -151472,               -164508,               -130289,                -74308,                      5,                 -3733,                    -17,                -78053,,                -52315,                    593,,                    191,                     48,,                -51483,,                407346,               -327346,                 60000,                -50000,                219000,               -524751,,                350000,                    844,                135093,                    297,                  5854,                106051,                111905,                111905,,,
3004,2014年度,,                -16489,                -16489,,,                108210,                  3888,                     19,                    751,                 18260,                   -230,                 16260,                     38,                  1204,,,,                 -2920,                -96647,,                   -776,                -88958,                  2882,                   -411,               -186830,,                 90316,                 68318,                   -170,                 87348,                  4130,                -54323,                151692,                347311,                160481,                308881,                292392,                    230,                -18501,                 -4328,                269793,,               -165095,,                   -198,,                 -2115,                 -4270,               -171678,,                472000,               -472000,                120000,                -70000,                400595,               -554343,                -41844,,                  6646,               -138946,                 -1844,                -42675,                148726,                106051,                106051,,                148400,
3004,2014年01月01日至2014年09月30日,,                -32976,                -32976,,,                 80665,                  2902,                     18,                    603,                 13882,                   -141,                    389,                     38,                 19418,                117774,,,                     33,                -84812,                              0,                   -884,                -59985,                 -2154,                 10411,               -137391,,                 -1644,                 64221,                   -146,                 22836,                  3009,                198942,                   -358,                286860,                149469,                267243,                234267,                    141,                -14203,                 -4328,                215877,,               -130476,                              0,                   -198,                              0,                              0,                 -1000,               -131674,,                372000,               -332000,                 60000,                -60000,                317800,               -439716,                -41844,                              0,                  4906,               -118854,                    -61,                -34712,                148726,                114014,                114014,,,
3004,2014年01月01日至2014年06月30日,,                120052,                120052,,,                 53329,                  1940,                     18,                     70,                  9660,                   -131,                    389,                     38,                  6481,                 71794,,,                   -118,                -57884,                              0,                 -1222,                 -6181,                 -1648,                  9258,                -57795,,                 -1818,                 39553,                   -170,                  5890,                  3559,,                    -33,                 46981,                -10814,                 60980,                181032,                    131,                 -9957,                 -4267,                166939,,                -81226,                              0,                   -198,,                              0,                 -1000,                -82424,,                122000,                -92000,                 60000,                              0,                167800,               -351731,,                              0,                  4484,                -89447,                 -1539,                 -6471,                148726,                142255,                142255,,,
3004,2014年01月01日至2014年03月31日,,                 74463,                 74463,,,                 26784,                    922,                    679,                    244,                  5118,                    -21,                    194,                              0,                  6054,                 39974,,,                     33,               -100165,,                   -197,                 18337,                    696,                 14769,                -66527,,                 -2699,                 14185,                   -170,                  2222,                    436,,                     15,                 13989,                -52538,                -12564,                 61899,                     21,                 -5173,                              0,                 56747,,                -40913,                              0,,                      7,                 -1023,,                -41929,,                 72000,                -52000,                 60000,                              0,                 79800,               -206854,,                              0,                              0,                -47054,                   -248,                -32484,                148726,                116242,                116242,,,
3004,2013年度,,                139346,                139346,,,                 91383,                  3571,                  1203,                     -9,                 20216,                   -216,                    794,                      6,                 19956,,,,                    146,                 88887,,                  2754,                 41339,                 -7508,                  5778,                131396,,                   -297,                -34461,                   -800,                 -5836,                 -9628,                   -459,                    427,                -51054,                 80342,                217246,                356592,                    216,                -20154,                   -138,                336516,,               -253190,,                 -2493,,                 -7949,                    214,               -263418,,              1291419,             -1478674,                              0,                -80000,                390610,               -142114,                -41513,,                  3552,                -56720,                 -1219,                 15159,                133567,                148726,                148726,,                136904,
3004,2013年01月01日至2013年12月31日,,                139346,                139346,,,                 91383,                  3571,                  1203,                     -9,                 20216,                   -216,                    794,                      6,                 19956,,,,                    146,                 88887,                              0,                  2754,                 41339,                 -7508,                  5992,                131610,,                   -297,                -34461,                   -800,                 -3804,                 -4370,                   -459,                    427,                -43764,                 87846,                224750,                364096,                    216,                -20154,                   -138,                344020,,               -260480,                              0,                 -2493,,                 -7949,,               -270922,,              1291419,             -1478674,                              0,                -80000,                390610,               -142114,                -41513,,                  3552,                -56720,                 -1219,                 15159,                133567,                148726,                148726,,                136904,
3004,2013年01月01日至2013年09月30日,,                100355,                100355,,,                 65695,                  2686,                  1203,                     61,                 14621,                    -95,                  1262,                              0,                  8003,,,,                   -301,                 99665,,                  1108,                 51139,                 -3590,                 10871,                158892,,                    453,                -39677,                   -844,                -17297,                 -9750,                              0,                    266,                -66849,                 92043,                185479,                285834,                     95,                -14418,                   -138,                271373,,               -228450,,                              0,                  2493,                 -6629,                              0,               -232586,,                140000,               -287255,                              0,                -80000,                390610,                -88101,                -41513,,                  3250,                 36991,                 -1397,                 74381,                133567,                207948,                207948,,                 93436,
