證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 以成本衡量之金融資產減資退回股款,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 處分備供出售金融資產,　　 員工執行認股權,　　　　　 其他流動資產（增加）減少
3005,2015年01月01日至2015年09月30日,,              1295558,              1295558,,,                774213,                 19934,                -14741,                 -1621,                 24298,                -89750,                -10871,                -16596,                 17183,                  5368,               -231497,                 98307,                574227,,,                  1862,                271481,                  5798,                 67141,               -209013,               -117357,                 19912,,                -92756,               -345903,                 -2936,                190864,                 17972,                 -5362,                -47728,               -285849,               -265937,                308290,              1603848,                 93294,                122210,                -26305,               -357775,              1435272,,                              0,                -98070,                              0,                -25000,                 17199,              1139269,               -364593,                 32447,                -12547,                              0,                 -5584,               -338598,                              0,                -92116,                 15547,                267954,,                              0,             -1034366,                 60000,                -50000,                379000,               -864859,                  3390,               -756646,                -93329,                              0,                236860,             -2119950,                 77091,               -339633,              5583026,              5243393,              5243393,,,,,,,,,
3005,2015年01月01日至2015年06月30日,,                909810,                909810,,,                522638,                 12945,                 -1162,                  5667,                 17011,                -62925,,                -20317,                  1269,,               -231497,                 60212,                303841,,,                  2708,                766124,                  1975,                 51078,                 -6271,                 -7917,                807697,,                -89721,               -770736,                 -4799,                -25274,                 -2546,               -126427,                -48005,             -1067508,               -259811,                 44030,                953840,                 66033,                109154,                -17419,               -266684,                844924,,                              0,,                              0,,                 17199,                891694,               -281831,                 19127,                -11848,                              0,                 -2953,                -83358,,                -91881,                 16713,                472862,,               -213985,,                 60000,                -50000,                339000,               -669551,                  3510,,,                              0,                236860,               -294166,                -19999,              1003621,              5583026,              6586647,              6586647,                              0,,,,,,,,
3005,2015年01月01日至2015年03月31日,,                524995,                524995,,,                270614,                  6239,                    184,                -12485,                  9222,                -27924,,                -13342,                 -1859,,               -231497,                 44600,                 43752,,,                  2375,                700978,                 19619,                 41296,                 41163,                  7837,                813268,,                -91213,               -512214,                 -4060,               -258039,                 17474,                -59472,                    448,               -907076,                -93808,                -50056,                474939,                 24927,,                 -9411,                -35758,                454697,,,,                              0,,,                891694,                -95957,                 13568,                -11165,                              0,                   -468,                              0,                104389,                              0,                    711,                902772,,               -198507,,                 60000,                -50000,                219000,               -524751,                  2003,,,,                236860,               -255395,                -45475,              1056599,              5583026,              6639625,              6639625,                              0,,,,,,,,
3005,2014年度,,              1202939,              1202939,,,              1040515,                 26987,                   -453,                 -4127,                 47884,                -86083,                -10458,                -48270,                 -1173,,               -509900,                107599,,,,                 20968,               -947147,                 84427,                -42884,               -300615,                115462,             -1069789,,                 90316,                410903,                 -8997,                262078,                 17338,                278170,                150837,              1200645,                130856,                693377,              1896316,                 92409,                 33142,                -49738,               -144401,              1827728,,                -25000,                              0,                  9746,,,,               -721845,                176987,,                  4348,                -15648,                              0,                 39321,                -10917,,               -543008,,                362754,                              0,                 50000,                              0,                400595,               -554343,,               -582036,,                161902,                -18083,               -184105,                212680,              1313295,              4269731,              5583026,              5583026,                 -4894,,                562521,                              0,,,,,
3005,2014年01月01日至2014年09月30日,,                404893,                404893,,,                751030,                 20847,                 -1782,                 -3010,                 37480,                -62955,                -10448,                -56483,                 -2841,                              0,                              0,                103159,                774997,,,                 23235,                  1871,                 70887,                 10613,               -168396,                 85521,                 23731,,                 -1644,               -120691,                 -5421,                -81145,                217295,                 94440,                 -1451,                101383,                125114,                900111,              1305004,                 67024,                 33132,                -39476,               -121441,              1244243,,                -25000,                              0,                  9746,                              0,                              0,                              0,               -540432,                126830,                              0,                  4803,                -14139,                              0,                 42020,                   -971,                              0,               -397143,,                251531,                              0,                              0,                              0,                317800,               -439716,                  8396,               -606765,                              0,                161902,                  4906,               -301946,                 56109,                601263,              4269731,              4870994,              4870994,,,,,,,,,
3005,2014年01月01日至2014年06月30日,,                364173,                364173,,,                509882,                 14773,                  1647,                 -6475,                 25922,                -41134,,                -10053,                -11807,,                              0,                 59073,                541828,,,                 23665,                107836,                 87789,                -13489,                150374,                 94371,                450546,,                 -1818,               -518408,                 -6872,               -352505,                 -5207,                 51954,                 -1334,               -834190,               -383644,                158184,                522357,                 45140,                              0,                -26916,                -76384,                464197,,                -25000,,                  9746,,                              0,                              0,               -375975,                101412,                              0,                  4664,                 -8640,               -343020,,                   -939,                              0,               -637752,,                175045,,                 60000,                              0,                167800,               -351731,                              0,,,                 84922,                  4484,                140151,                  8705,                -24699,              4269731,              4245032,              4245032,                   -369,,,,,,,,
3005,2014年01月01日至2014年03月31日,,                 90009,                 90009,,,                257316,                  6641,                 -1139,                 -3574,                 13497,                -20766,,                     36,                 -3670,,                              0,                 29847,                278188,,,                 14762,                110169,                 78992,                  1721,                 65206,                -30067,                240783,,                 -2699,               -227959,                 -8377,               -295314,                 16671,                  6475,                 -1443,               -512646,               -271863,                  6325,                 96334,                 26023,,                -13711,                -16912,                 91734,,,,                  9746,,,                              0,               -189503,                 27100,                              0,                  9597,                 -1023,                -14758,                              0,                    -91,                              0,               -158932,,                100448,,                 60000,                              0,                 79800,               -206854,                              0,,,,                              0,                 29764,                 39882,                  2448,              4269731,              4272179,              4272179,                 -3630,,,,,,,,
3005,2013年度,,                608409,                608409,,,              1153075,                 34640,                  3462,                  2347,                 45962,                -61763,                -13441,                -35196,                123477,,                              0,                 22653,,,,                -23231,                689755,                -47806,                 55531,                 39367,                -17573,                696043,,                -36287,               -131946,                  6499,               -111200,                 30378,                 22293,                  1170,               -219093,                476950,              1752166,              2360575,                 46123,                 18892,                -46494,               -123433,              2255663,,                -25000,                -60000,                              0,,,,               -746103,                183385,,                  7414,                -12741,               -693834,                              0,                   -416,,             -1307455,,                              0,               -572372,                              0,                -80000,                390610,               -142114,,               -291018,,                              0,                -18733,               -715949,                113174,                345433,              3924298,              4269731,              4269731,                 -2322,,              1275216,                 39840,,,,,
3005,2013年01月01日至2013年12月31日,,                608409,                608409,,,              1153075,                 34640,                  3462,                  2347,                 45962,                -61763,                -13441,                -35196,                123477,,,                 22653,,,,                -23231,                689755,                -47806,                 55531,                 39367,                -17573,                696043,,                -36287,               -131946,                  6499,               -111200,                 30378,                 22293,                  1170,               -219093,                476950,              1752166,              2360575,                 46123,                 18892,                -46494,               -123433,              2255663,,                -25000,                -60000,,,,,               -746103,                183385,                              0,                  7414,                -12741,               -693834,                              0,                   -416,                              0,             -1307455,,,               -572372,                              0,                -80000,                390610,               -142114,,               -291018,,,                -18733,               -715949,                113174,                345433,              3924298,              4269731,              4269731,                 -2322,,              1275216,                 39840,                              0,                              0,                              0,                              0,
3005,2013年01月01日至2013年09月30日,,                386805,                386805,,,                907425,                 27091,                  2960,                    118,                 34728,                -44367,                -13443,                -19039,                 21244,,,                 76851,,,,                -11553,                931879,                -59972,                 62970,                215386,                -91444,              1047266,,                -35537,               -441256,                 -5344,               -207529,                 43138,                 17094,                  1371,               -628063,                419203,              1412771,              1799576,                 31745,                 18894,                -37798,               -115954,              1696463,,                              0,                -60000,                              0,,,,               -612947,                 94820,,                  8086,                -11212,,                  7248,,                   -325,               -534489,,               -580211,,                -80000,,                390610,                -88101,                              0,               -291018,,                              0,                -19035,               -668062,                 78494,                572406,              3924298,              4496704,              4496704,                   -307,,                993568,                 39841,,,,,
