證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 現金減資,　　 員工執行認股權,　　 庫藏股票買回成本,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 按攤銷後成本衡量之金融資產到期還本,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　　　　 應付票據增加（減少）
3014,2015年度,,                417138,                417138,,,                 18811,                 28656,                              0,                     75,                              0,                -16438,                 -6628,                 34288,                              0,                   -128,                 -1865,                              0,                 33926,                 90697,,,               -228135,                 -3469,                -11270,                    146,                 42718,                 -1440,                   -173,               -201623,,                 20219,                 18919,                 19735,                  9961,                 -1283,                 67551,               -134072,                -43375,                373763,                 17383,                              0,                -98288,                292858,,                              0,                              0,                -20000,                 -1356,                -12698,                    700,                   -968,                 -7637,                              0,                  6628,                -35331,,                              0,               -315871,                              0,                  1435,                -85895,                              0,               -400331,                   -654,               -143458,              2492709,              2349251,              2349251,,,,,,,
3014,2015年01月01日至2015年09月30日,,                305063,                305063,,,                 14109,                 21580,,                    144,                              0,                -12572,                    -76,                 26042,                              0,                   -154,                 -1671,                              0,                 27630,                 75032,,,                 21671,                 -2569,                -88068,                   -244,                 75795,                  1733,                   -138,                  8180,,                -31368,                -29153,                 17412,                 -4061,                   -968,                -48138,                -39958,                 35074,                340137,                 13051,                              0,                -59020,                294168,,,                              0,                -20000,,                -11044,                    700,                   -865,                 -7653,                              0,                     76,                -38786,,                              0,               -315871,,                  1435,                -82333,                              0,               -396769,                   -585,               -141972,              2492709,              2350737,              2350737,                              0,,,,,,
3014,2015年01月01日至2015年06月30日,,                167165,                167165,,,                  9441,                 14382,,                   -262,                              0,                 -8451,,                 17823,                              0,                   -173,                   -643,,                 27630,                 59747,,,               -389357,                 -1028,                 56802,                    -13,                 33650,                 17466,                   -104,               -282584,,                -58937,                 13951,                 -3964,                 -6049,                   -649,                -55648,               -338232,               -278485,               -111320,                  9453,                              0,                -33471,               -135338,,,                              0,                -20000,,                 -9224,                    700,                   -207,                 -7620,,,                -36351,,,,,                  1435,                   -300,,                  1135,                    312,               -170242,              2492709,              2322467,              2322467,                              0,,,,,,
3014,2015年01月01日至2015年03月31日,,                117136,                117136,,,                  4780,                  7186,,                   -305,,                 -4180,,                  9489,,                   -173,,,                              0,                 16797,,,               -260000,                 -1978,                 23760,                     20,                  7806,                 -2278,                    -85,               -232755,,                 -4836,                 -2296,                 -1235,                   -636,                   -317,                 -9320,               -242075,               -225278,               -108142,                  4676,,                   -625,               -104091,,,,                              0,,                 -1403,,                     -5,                -19991,,,                -21399,,,,,                  1435,                   -100,,                  1335,                    157,               -123998,              2492709,              2368711,              2368711,,                              0,,,,,
3014,2014年度,,                473882,                473882,,,                 34976,                 27742,                              0,                    453,                    606,                -16830,                 -6279,                 32101,                              0,                      5,                    -57,                              0,                 55053,                127770,,,               -169943,                   -914,                158737,                  2096,                 -3850,                  2794,                    128,                -10952,,                -97461,                  3349,                 -2432,                 -2018,                 -1276,                -99838,               -110790,                 16980,                490862,                 15942,                   -606,                -81201,                424997,,                 10000,                -15835,                -52860,                              0,                -12173,                    405,                 -5092,                   -942,                              0,                  6279,                -70218,,                    366,               -184502,                              0,                 43035,                 -1220,                 30000,               -112321,                    185,                242643,              2250066,              2492709,              2492709,,,,                127770,                 -1276,                -15835,
3014,2014年01月01日至2014年09月30日,,                428049,                428049,,,                 28686,                 20762,,                   -747,                    606,                -12494,                 -2613,                 22577,                              0,                      4,                              0,                              0,                 27979,                 84760,,,               -130000,                 -2823,                 62486,                  1299,                   -778,                  5065,                     51,                -64700,,                 12411,                -13308,                -10502,                 -5634,                   -982,                -18015,                -82715,                  2045,                430094,                 11457,                   -606,                -52551,                388394,,,                -15225,                -40860,,                 -7117,                    405,                   -343,                   -179,                              0,                              0,                -75319,,                    366,               -184502,,                 41669,                   -500,                 30000,               -112967,                      8,                200116,              2250066,              2450182,              2450182,                -12000,,,,,,
3014,2014年01月01日至2014年06月30日,,                271023,                271023,,,                 19837,                 13968,,                   -547,                    439,                 -8327,,                 12816,                              0,                    -12,                              0,,                 20360,                 58534,,,                -40000,                  2220,                 29891,                  1434,                    728,                 -2930,                    120,                 -8537,,                 -5340,                 27910,                -12009,                   -402,                   -678,                  9481,                    944,                 59478,                330501,                  7407,                   -439,                -30633,                306836,,,                -14922,                -40860,,                 -4061,                    400,                   -311,                 -1376,,,               -101130,,,,,                 37473,                   -300,,                 37173,                   -128,                242751,              2250066,              2492817,              2492817,                -40000,,,,,,
3014,2014年01月01日至2014年03月31日,,                119950,                119950,,,                 10079,                  7089,,                   -527,,                 -4053,,                  6985,,                              0,,,                  7500,                 27073,,,                              0,                  2957,                 95428,                  1335,                 27062,                 10260,                    128,                137170,,                -77331,                 -9446,                  5783,                   -991,                   -318,                -82303,                 54867,                 81940,                201890,                  3367,,                   -335,                204922,,,,                   -360,,                 -1405,,                   -293,                   -458,,,                -17753,,,,,                              0,                   -150,,                   -150,                     -5,                187014,              2250066,              2437080,              2437080,,                -15237,,,,,
3014,2013年度,,                277619,                277619,,,                 41395,                 86762,                     37,                   -704,                    559,                -20135,                 -2148,                 35775,                    358,                   -196,                              0,                   -167,                  3872,,,,                              0,                 -1929,                -68172,                 -1569,                 82182,                -16066,                   -127,                 -5681,,                 -9972,                 14709,                 -6356,                  4087,,                    725,                 -4956,                140452,                418071,                 22174,                              0,                -16794,                423451,,                              0,,                -50798,,                 -4895,                  1206,                 -4048,                              0,                     85,                  2148,                -56302,,                              0,               -247133,               -514740,                              0,                 -7267,                              0,               -769140,                    965,               -401026,              2651092,              2250066,              2250066,,,,                145408,                 -1743,                              0,
3014,2013年01月01日至2013年12月31日,,                277619,                277619,,,                 41395,                 86762,                     37,                   -704,                    559,                -20135,                 -2148,                 35775,                    358,                   -196,,                   -167,                  3872,,,,,                 -1929,                -68172,                 -1569,                 82182,                -16066,                   -127,                 -5681,,                 -9972,                 14709,                 -6356,                  4087,,                    725,                 -4956,                140452,                418071,                 22174,,                -16794,                423451,,,,                -50798,,                 -4895,                  1206,                 -4048,,                     85,                  2148,                -56302,,,               -247133,               -514740,,                 -7267,                              0,               -769140,                    965,               -401026,              2651092,              2250066,              2250066,,,,                145408,                 -1743,,                              0
