證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 應付租賃款減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融資產（增加）減少,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 存出保證金增加,　　 處分無形資產,　　 其他籌資活動,　　　　 非金融資產減損迴轉利益,　　 收取之股利,　　 預付設備款減少,　　 其他金融負債增加
3019,2015年01月01日至2015年09月30日,,                447455,                447455,,,                938074,                  5956,                 73444,                     45,                 37183,                -30962,                 37489,                  1258,                              0,                  6688,                 25896,                  3996,                 12015,              1111082,,,                    166,                  1377,                 16305,                 26123,                116997,                160968,,                -20170,                 43461,                213451,                 51865,                 -7444,                 19918,                301081,                462049,              1573131,              2020586,                 30962,                -30417,                -79492,              1941639,,                -80000,                104757,                -26157,               -262282,                  7960,                  5244,                 -8170,               -127662,                   -406,               -386716,,                              0,               -926032,                              0,                              0,                              0,               -433580,             -1359612,                194979,                390290,              6846598,              7236888,              7236888,,,,,,,,,,,,,,,,,
3019,2015年01月01日至2015年06月30日,,                123417,                123417,,,                638529,                  3899,                  1436,                   -129,                 27747,                -22994,                 22340,                    402,                              0,                    -48,                 24431,                  2806,                  8061,                706480,,,                    522,                 64431,                 38445,                 46711,                -25825,                124284,,                -18826,                -27551,                151269,                 74913,                 -4879,,                174926,                299210,              1005690,              1129107,                 22994,                -23257,                -49823,              1079021,,                -40000,                 40048,                -26157,               -227200,                  1117,                  2626,                 -4310,,                   -450,               -254326,,                              0,               -612669,                              0,                              0,                              0,               -137639,               -750308,               -125554,                -51167,              6846598,              6795431,              6795431,                              0,                              0,,,,,,,,,,,,,,,
3019,2015年01月01日至2015年03月31日,,                -22879,                -22879,,,                327000,                  1987,,                              0,                 13576,                -12783,                  5246,                   -202,                              0,                    -21,                 14844,                -32366,                  3874,                321155,,,                   -529,                308768,                 63527,                 53284,                -18768,                400766,,                 -8266,               -478079,                138755,                 37589,                 -2368,,               -312369,                 88397,                409552,                386673,                 12783,                -11347,                -15893,                372216,,                -20000,                 20021,                -26157,                -84866,                  1124,                  2568,                    -98,,,               -107408,,                              0,               -283707,,,                              0,,               -283707,                -64494,                -83393,              6846598,              6763205,              6763205,                 -5516,,,,,,,,,,,,,,,,
3019,2014年度,,               -109385,               -109385,,,              1404537,                  8647,                 14986,                  1321,                 70095,                -64771,                 57775,                  5899,                    224,                    -39,                114088,                -40403,                 14297,,,,                 -1077,                657455,                195475,                 26425,                 23040,                901318,,                 -6100,               -632561,             -1579675,                374861,,,             -1863111,               -961793,                574792,                465407,                 64771,                -49916,                -88506,                391756,,                -85306,                 85344,                              0,               -176499,                 15607,                              0,                -10288,,               -133445,               -220224,,                              0,                -81825,                445000,             -2003800,                   -127,               -309565,               -949108,                293264,               -484312,              7330910,              6846598,              6846598,,,,                -50071,                              0,              1536585,                -19636,                 86788,                              0,                              0,                 -2708,                    283,              1001209,,,,
3019,2014年01月01日至2014年09月30日,,                 37542,                 37542,,,              1056748,                  6624,                 15657,                  1316,                 57687,                -51972,                 26883,                  3713,                    225,                   -216,                 29921,                -12084,                 11168,              1145670,,,                -16975,                436403,                334951,                 32722,                 -7999,                779102,,                 -7987,               -743087,             -1439255,                377663,                -21227,                              0,             -1833893,             -1054791,                 90879,                128421,                 51972,                -39738,                -73965,                 66690,,                -60064,                 60280,                              0,               -135526,                  7871,                  2450,                 -9871,              1002900,               -102905,                765135,,                  9038,                              0,                445000,             -2003800,                   -128,               -227871,             -1777761,                 73447,               -872489,              7330910,              6458421,              6458421,,,,,,,,,,,,,,,,,
3019,2014年01月01日至2014年06月30日,,                -23943,                -23943,,,                704344,                  4420,                  5940,                 19042,                 42092,                -36993,                -12518,                  3639,                    195,                    -20,                  8769,                  6434,                  7357,                752701,,,                   -789,                695551,                258212,                  1381,                 -8840,                866996,,                 -7214,               -643517,               -941590,                 -5450,                -13324,,             -1611095,               -744099,                  8602,                -15341,                 36993,                -26425,                -16158,                -20931,,                -30094,                 15020,                              0,               -100422,                  2398,                  2646,                 -7760,,                -20287,                861501,,                154056,                              0,                445000,             -2000000,                   -112,                              0,             -1401056,                 -8644,               -569130,              7330910,              6761780,              6761780,                -78519,              1000000,,,,,,,,,,,,,,,
3019,2014年01月01日至2014年03月31日,,                -80943,                -80943,,,                356307,                  2226,,                    758,                 21367,                -17967,                 -8280,                    627,                    193,                    -20,                  5799,                 -1145,                  3633,                363498,,,                 -1856,                577573,                182830,                 -4414,                 -1749,                752384,,                -13154,               -821182,               -186012,                 24127,                 -6967,,             -1003188,               -250804,                112694,                 31751,                 17967,                -12874,                  4079,                 40923,,                -15000,                 15020,                              0,                -55464,                     74,                  2654,                   -855,,,                -53571,,                  9081,                              0,,,                    -75,,                  9006,                 93987,                 90345,              7330910,              7421255,              7421255,                              0,,,,,,,,,,,,,,,,
3019,2013年度,,               -714015,               -714015,,,              1375569,                 10833,                 31772,                 -6300,                 75168,                -22879,                 -5194,                    984,                              0,                              0,                  5306,                 -8171,               -400840,,,,                  1172,                851128,               -154193,                139285,                 22562,                859954,,                 13038,               -772621,                617008,               -228706,,,               -381947,                478007,              1546212,                832197,                 22879,                -32651,                -74157,                748268,,                              0,                              0,                -29976,             -1063946,                140518,                    628,                 -2963,,                -10788,             -1579274,,                103399,                              0,                              0,               -200061,                   -313,              3813536,              3414611,                282951,              2866556,              4464354,              7330910,              7330910,,,,                              0,                 11957,              1068205,                -10666,                              0,                -61945,               -550802,                              0,                              0,               -301950,,,,
3019,2013年01月01日至2013年12月31日,,               -714015,               -714015,,,              1375569,                 10833,                 31772,                 -6300,                 75168,                -22879,                 -5194,                    984,                              0,                              0,,                 -8171,               -400840,,,,                  1172,                851128,               -154193,                139285,                 22562,                859954,,                 13038,               -772621,               -379523,                767825,,,               -381947,                478007,              1546212,                832197,                 22879,                -32651,                -74157,                748268,,                              0,                              0,                -29976,             -1063946,                140518,                    628,                 -2963,,                -10788,             -1579274,,                103399,,                              0,               -200061,                   -313,              3813536,              3414611,                282951,              2866556,              4464354,              7330910,              7330910,,,,,                 11957,              1068205,                -10666,                              0,                -61945,               -550802,,,,                  5306,,,               -301950
3019,2013年01月01日至2013年09月30日,,                299098,                299098,,,              1013481,                  8285,                     11,                 -7157,                 58609,                -15498,                -29645,                -11521,                              0,                    -43,                              0,                  7574,               -404792,,,,                    973,                332327,               -210877,                152372,                 18341,                293136,,                434582,               -453261,               -435483,               -210799,,,               -680063,               -386927,                241470,                540568,                 15498,                -24601,                -67844,                463621,,                -20000,                 20043,                -30022,               -920431,                 82622,                  3546,                 -2738,               -400000,                 -2077,             -1803350,,                109514,,                              0,               -200061,                   -237,                581298,                490514,                 37773,               -811442,              4464354,              3652912,              3652912,,                              0,,,                 11957,                628397,                -15102,,               -551646,,,,,                 -2864,                 17353,,
