證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 存入保證金減少,　　 停業單位稅前淨利（淨損）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 其他預付款項增加,　　 庫藏股票買回成本,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他金融資產增加,　　 支付之股利,　　 預付設備款增加,　　 存出保證金增加,　　 其他投資活動,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加
3024,2015年01月01日至2015年09月30日,,               -251018,               -251018,,,                 90174,                 10103,                 -2976,                  2434,                 24573,                -10605,                 -2486,                  1114,                  2668,                  1638,                    -85,                              0,                116552,,,                 44946,                 -3422,                526959,                 13489,                 22500,                -45488,                 -7349,                              0,                551635,,                  4415,               -423419,                -13877,                    456,                 19948,                -11920,               -424397,                127238,                243790,                 -7228,                  9207,                  2486,                -17216,                 14147,                  1396,,                              0,               -173930,                  1177,                -12942,                    -60,                  7451,               -178304,,                430861,                              0,                  7424,               -573063,               -134778,                 33215,               -278471,                891197,                612726,                612726,,,,,,,,,,,,,,,,,,,,,,
3024,2015年01月01日至2015年06月30日,,               -117554,               -117554,,,                 60570,                  6751,                 -1606,                  2608,                 15322,                 -6497,                 -2400,                    547,                    177,                    132,                    -85,                              0,                 75519,,,                 81431,                    590,                301909,                 16974,               -118794,                 12326,                   -595,                              0,                293841,,                 18341,               -185527,                -25532,                   -741,                 17814,                 -9821,               -185466,                108375,                183894,                 66340,                  5942,                  2400,                -15455,                 -4165,                 55062,,               -344672,                -82509,                    387,                   -983,                    -60,                  3445,               -424392,,                189508,                              0,                  4575,                 -6362,                187721,                 10929,               -170680,                891197,                720517,                720517,                              0,                              0,,,,,,,,,,,,,,,,,,,,
3024,2015年01月01日至2015年03月31日,,                -66220,                -66220,,,                 30775,                  3391,                 -2834,                  1527,                  6682,                 -2694,                              0,                     82,                     62,                              0,                    -85,,                 36906,,,                 10919,                 -1465,                562581,                 11957,               -125693,                    862,                   -914,                              0,                458247,,                 -5408,               -346144,                -47570,                 -2728,                 33956,                 -4546,               -372440,                 85807,                122713,                 56493,                  2808,                              0,                 -6355,                 -2099,                 50847,,               -557406,                -57542,                    460,                   -156,                              0,                 20299,               -594345,,                317753,                              0,                  1657,                              0,                319410,                 37065,               -187023,                891197,                704174,                704174,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
3024,2014年度,,               -313952,               -313952,,,                124266,                 24121,                    944,                  1006,                 20049,                -12456,                   -117,,                 -7163,                    342,                   -789,,,,,                -91037,                  3414,               -282243,                 71873,                 67892,                -10893,                 -1218,                -11539,               -253751,,                 -1608,                462067,                -90978,               -100504,                 -1071,                -34043,                233863,                -19888,                157052,               -156900,                 13040,                    117,                -21344,                  7528,               -157559,,,               -119609,                 30050,                  4403,                   -779,,                381454,,               -689712,                 -9917,                  3013,                -96957,               -793573,                 38185,               -531493,              1422690,                891197,                891197,,,                              0,                  5256,                 21481,                              0,                              0,                              0,                 13848,                              0,,                              0,,                176940,                453541,,,,,,,
3024,2014年01月01日至2014年09月30日,,               -130558,               -130558,,,                 92273,                 17152,                   -339,                  1921,                 22839,                -17236,                   -117,                              0,                 -7948,                     16,                   -621,                              0,                107940,,,               -159621,                 -1219,                117858,                 17314,                -17502,                -32297,                -23187,                -10512,               -109166,,                  2463,                115063,                -94972,                -67617,                 28209,                -29067,                -45921,               -155087,                -47147,               -177705,                 16027,                    117,                -23925,                 20452,               -165034,,                   -181,                -70633,                 29321,                  5372,                   -588,                499340,                462631,,               -649446,                 -9917,                   -738,               -100461,               -760562,                 -9335,               -472300,              1422690,                950390,                950390,,,,,,,,,,,,,,,,,,,,,,
3024,2014年01月01日至2014年06月30日,,               -124951,               -124951,,,                 63323,                  8960,                   -311,                    250,                 15959,                -12483,                              0,                              0,                -12928,                              0,                    888,                     -9,                 63649,,,               -231647,                   -979,                160930,                -17890,                -54556,                  6214,                   -896,                -17673,               -156497,,                  8908,                107031,               -105498,                -48236,                    474,                -33595,                -70916,               -227413,               -163764,               -288715,                  9594,                              0,                -16872,                 -1365,               -297358,,                              0,                -62767,                 29450,                  2906,                              0,                347633,                317222,,                              0,                 -9917,                              0,                -93407,               -636093,                -11057,               -627286,              1422690,                795404,                795404,               -531586,                 -1183,,,,,,,,,,,,,,,,,,,,
3024,2014年01月01日至2014年03月31日,,                -88208,                -88208,,,                 31348,                  4647,                   -966,                   -137,                 10509,                 -8187,                              0,                              0,                -11791,                              0,                    948,,                 26371,,,               -172130,                  6818,                408359,                 -1999,               -141696,                 15317,                   -162,                 -8248,                106259,,                 -1476,                -91653,               -107513,                -16771,                -12168,                 -9144,               -238725,               -132466,               -106095,               -194303,                  6319,                              0,                -11255,                 -5352,               -204591,,                              0,                -60465,                 29323,                   -176,                              0,                285600,                254282,,                              0,                 -9917,                              0,                              0,               -332176,                 13040,               -269445,              1422690,              1153245,              1153245,               -322128,                   -131,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
3024,2013年度,,               -635884,               -635884,,,                151455,                 19957,                 24025,                -11390,                 27695,                -35996,                 -1257,,                 17678,                              0,                 -6460,,,,,                103046,                 -4815,                886011,                -51323,                -40654,                -13576,                    685,                -20366,                859008,,                  5228,               -247915,                -90770,                -57839,                              0,                -25680,               -416976,                442032,                656212,                 20328,                 34128,                  1257,                -27316,                -15758,                 12639,,,               -395117,                 13832,                     31,                 -1656,,               -737885,,                 91409,                 -1623,                    422,                 17845,                106040,                 60687,               -558519,              1981209,              1422690,              1422690,,,                              0,                              0,                 28473,                 50000,                              0,                 -2156,                              0,                    500,,                 -2013,,                214180,               -403319,,,,,,,
3024,2013年01月01日至2013年12月31日,,               -635884,               -635884,,,                151455,                 19957,                 24025,                -11390,                 27695,                -35996,                 -1257,,                 17678,,                 -6460,                 59510,,,,                103046,                 -4815,                886011,                -51323,                -40654,                -13576,                    685,                -20366,                859008,,                  5228,               -247915,               -150280,                -57839,,                -25680,               -476486,                382522,                656212,                 20328,                 34128,                  1257,                -27316,                -15758,                 12639,,,               -395117,                 13832,,                 -1656,,               -737885,,                 91409,                 -1623,                    422,                 17845,                106040,                 60687,               -558519,              1981209,              1422690,              1422690,,,,,                 28473,                 50000,,                 -2156,,                    500,,                 -2013,,                273690,               -403319,,,                     31,                              0,,,
3024,2013年01月01日至2013年09月30日,,               -407116,               -407116,,,                101543,                 35558,                  7153,                 -6004,                 21850,                -23606,                              0,,                  2787,                              0,                -10896,,,,,                141963,                -16935,                994912,                 21141,               -129973,                -10752,                 -2079,                 -3591,                994686,,                 33331,               -173320,                -99595,                -55211,                              0,                 -7927,               -302722,                691964,                820349,                413233,                 23606,,                -18396,                -33810,                384633,,,               -222665,                  8214,                  1011,                   -482,,               -417866,,               -377616,                 -1212,                    856,                 -4048,               -384033,                 19364,               -397902,              1981209,              1583307,              1583307,,,,,,,,                 -2156,,                    500,,                 -2013,,                128385,               -202288,                              0,                              0,,,,,
