證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 員工執行認股權
3034,2015年01月01日至2015年09月30日,,              5599944,              5599944,,,                184747,                150650,                 23608,               -119867,                 -8982,                              0,                              0,                230156,,,                 31823,              2158655,                 59018,                632302,                -47266,              2834532,,             -1039851,               -269880,             -1055297,                  1838,                 -2984,             -2366174,                468358,                698514,              6298458,                119195,             -1075162,              5342491,,                              0,               -805194,                 -6027,               -196040,                -17886,                  8982,             -1016165,,                              0,             -1562630,             -6085115,                -24973,             -7672718,                 20193,             -3326199,             20013371,             16687172,             16687172,,,,,,,,,,,,
3034,2015年01月01日至2015年06月30日,,              3645657,              3645657,,,                126291,                102392,                 16200,                -84004,,                              0,,                160879,,,                 31823,              2987491,                146702,               -139083,                 -1646,              3025287,,             -1244406,                 65810,             -1506461,                 10359,                 -1989,             -2676687,                348600,                509479,              4155136,                 84601,             -1004239,              3235498,,,               -669251,                              0,               -160355,                -10334,,               -839675,,                              0,             -1609210,,                -19075,             -1628285,                -14259,                753279,             20013371,             20766650,             20766650,                    265,                              0,,,,,,,,,,
3034,2015年01月01日至2015年03月31日,,              1935277,              1935277,,,                 63871,                 50110,                  8356,                -41851,,                              0,,                 80486,,,                 31823,              2006882,                 43596,               -820209,                 14583,              1276675,,               -943621,                 30465,                252847,                  2200,                 -1003,               -659112,                617563,                698049,              2633326,                 39366,                 -3658,              2669034,,,                -28162,                              0,               -153641,                              0,,               -181612,,                              0,               -665050,,                -10618,               -675668,                 -2260,              1809494,             20013371,             21822865,             21822865,                    191,                              0,,,,,,,,,,
3034,2014年度,,              8277477,              8277477,,,                264914,                155898,                 51845,               -170244,                -18111,                 13174,                   -720,,,,                 -8787,             -3315395,               -100989,             -1798140,                  5474,             -5217837,,              1461075,                575453,                934825,                 -5908,,              2961887,             -2255950,             -1959034,              6318443,                170613,               -740264,              5748792,,                 32152,               -146000,                 -1229,               -224150,                -23512,                 18111,               -344628,,                 13185,                              0,             -3651069,                -51494,             -3689378,                  6237,              1721023,             18292348,             20013371,             20013371,,                              0,,                              0,                              0,                              0,                    160,                              0,                296916,                 -3558,                              0,                              0
3034,2014年01月01日至2014年09月30日,,              5859862,              5859862,,,                199542,                115229,                 39854,               -129383,                 -7111,                  8664,                   -720,                226075,,,                 23036,             -3882517,                -83097,             -2314199,                 45353,             -6211424,,              1915821,                561421,                958460,                  8696,                 -2548,              3441850,             -2769574,             -2543499,              3316363,                129958,               -736021,              2710300,,                 12140,               -103474,                   -131,                -89445,                -13666,                  7111,               -187465,,              1956195,                              0,             -3651069,                -39298,             -1734172,                  1930,                790593,             18292348,             19082941,             19082941,,,,,,,,,,,,
3034,2014年01月01日至2014年06月30日,,              3450399,              3450399,,,                134181,                 75953,                 25701,                -84592,,                  8664,,                159907,,,                 -1005,             -1568520,                -95527,             -2042604,                 25049,             -3682607,,              1045590,                369362,                240338,                  5077,                 -1732,              1658635,             -2023972,             -1864065,              1586334,                 86126,               -680337,                992123,,,                -32561,                    -23,                -56242,                 -9922,,                -98748,,              1715085,                              0,,                -24191,              1690894,                   -537,              2583732,             18292348,             20876080,             20876080,                              0,                              0,,,,,,,,,,
3034,2014年01月01日至2014年03月31日,,              1444409,              1444409,,,                 67783,                 39279,                 12856,                -41273,,                  8664,,                 87309,,,                 23036,               -230282,                -61215,             -1110137,                 24707,             -1353891,,                658468,                274288,                300170,                  1239,                   -876,              1233289,               -120602,                -33293,              1411116,                 39070,                 -4430,              1445756,,,                -11767,                    -91,                -17947,                 -4500,,                -34305,,                324465,                              0,,                -12447,                312018,                    891,              1724360,             18292348,             20016708,             20016708,                              0,                              0,,,,,,,,,,
3034,2013年度,,              5683286,              5683286,,,                262294,                176380,                 42357,               -160927,                 -9368,                 12206,                              0,,,,                  6669,                180324,                 38444,               -499561,                -30945,               -305069,,             -1332875,                993734,                -82024,                   -947,,               -426167,               -731236,               -416632,              5266654,                160655,               -546936,              4880373,,                              0,               -154347,                 -1694,               -167735,                -64670,                  9368,               -356778,,                              0,               -998655,             -3397138,                -38059,             -4354706,                    785,                169674,             18122674,             18292348,             18292348,,                              0,,                              0,                              0,                              0,                    225,                 -8563,                314604,                 -4055,                 22300,                 79146
3034,2013年01月01日至2013年12月31日,,              5683286,              5683286,,,                262294,                176380,                 42357,               -160927,                 -9368,                 12206,                              0,,,,                  6669,                180324,                 38444,               -499561,                -30945,               -305069,,             -1332875,                993734,                -82024,                   -947,,               -426167,               -731236,               -416632,              5266654,                160655,               -546936,              4880373,,                              0,               -154347,                 -1694,               -167735,                -64670,                  9368,               -356778,,,               -998655,             -3397138,                -38059,             -4354706,                    785,                169674,             18122674,             18292348,             18292348,                              0,                              0,,                              0,                              0,                              0,                    225,                 -8563,                314604,                 -4055,                 22300,                 79146
3034,2013年01月01日至2013年09月30日,,              4257758,              4257758,,,                196338,                132305,                 31479,               -122899,                 -9368,                 12206,                              0,,,,                 29705,                175273,                -21441,             -1363654,                 10108,             -1170009,,             -1249578,                948431,                279505,                  5605,,                -19085,             -1189094,               -949033,              3308725,                124329,               -539685,              2893369,,                              0,               -115299,                   -650,               -142578,                -38041,                  9368,               -287200,,                              0,               -250320,             -3397138,                -28278,             -3605506,                    268,               -999069,             18122674,             17123605,             17123605,,,,,,,,,                240061,                 -3048,,                 70230
