證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 現金減資,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 其他非流動負債減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他應收款－關係人（增加）減少,　　　　 股份基礎給付酬勞成本,　　　　　 其他營業負債增加（減少）,　　 取得採用權益法之投資,　　 短期借款增加,　　 存入保證金減少,　　 其他金融資產增加,　　 其他非流動負債增加,　　 非控制權益變動,　　 預付投資款增加
3035,2015年01月01日至2015年09月30日,,                646279,                646279,,,                 60680,                206487,                 -6328,                    295,                              0,                -24489,                 30058,                              0,                -34206,                 36288,                 -2600,                266185,,,                 -5760,                    -76,                -95519,                -28107,                -34747,               -289389,                 51464,               -402134,,                  1370,                -42283,                171558,                -56585,                -92536,                 -1664,                -20140,               -422274,               -156089,                490190,                 24986,                              0,                -60674,                454502,,                              0,                132422,                              0,                 67177,                              0,                -21497,                              0,                    -45,               -171543,                              0,                  6514,,                              0,                  1257,               -621376,             -1657002,                              0,               -140449,             -2417570,                  8039,             -1948515,              4312675,              2364160,              2364160,,,,,,,,,,,,,,,,,,,,,
3035,2015年01月01日至2015年06月30日,,                437887,                437887,,,                 40787,                136832,                 -2427,                 -4510,                              0,                -18517,                 18553,                              0,                -36293,                 29940,                  1540,                165905,,,                  3788,                    772,               -202413,                -44356,                -10057,               -212431,                 55661,               -409036,,                    948,                -84977,                220126,                -25548,                  1108,                 -1100,                110557,               -298479,               -132574,                305313,                 17502,                              0,                -19066,                303749,,                              0,                  1695,,                 60991,,                -17076,                              0,,                -81216,                              0,                -35211,,,                    936,,,                              0,                -19983,                -19047,                -16064,                233427,              4312675,              4546102,              4546102,                    395,,,,,,,,,,,,,,,,,,,,
3035,2015年01月01日至2015年03月31日,,                226259,                226259,,,                 20330,                 69360,                 -2097,                 -7780,                              0,                 -9162,                 15611,                              0,                  1723,,                    640,                 88625,,,                 -3974,                    134,                -69547,                 -3947,                    -27,                -87477,                 87534,                -77304,,                    246,                245817,,                -29960,                -84429,                   -569,                131105,                 53801,                142426,                368685,                  7486,                              0,                 -5547,                370624,,                              0,                  1695,,,,                 -3789,                              0,,                -78520,                              0,                -80821,,,                    472,,,                              0,,                    472,                -13605,                276670,              4312675,              4589345,              4589345,                   -207,,,,,,,,,,,,,,,,,,,,
3035,2014年度,,                803792,                803792,,,                 81878,                262759,                  5897,                 -1908,                    211,                -37337,                 14508,                  1352,                  8236,                 82265,                 -1865,,,,                 -3015,                  5524,                111745,                 -2862,                -21234,                -93830,               -121661,               -125333,,,                -12638,,                -73790,                 37512,,                -51466,               -176799,                148366,                952158,                 37821,                   -211,               -154213,                840146,,               -194850,                100530,                -43798,                              0,                   -109,                -37733,                    193,                  2233,               -380496,                    939,               -451886,,                -10000,                 -9953,               -822158,,                122859,,               -719252,                 23434,               -307558,              4620233,              4312675,              4312675,,,                 -4591,                -86240,                325165,                 -2550,                  4591,                  7155,                 94050,                              0,                              0,,,,,,,,,,
3035,2014年01月01日至2014年09月30日,,                603698,                603698,,,                 61585,                191388,                    756,                   -296,                    211,                -29429,                  5956,                   -157,                  9795,                              0,                 -1220,                238589,,,                   -924,                  6094,               -162812,                    532,                -53959,               -217302,                -39119,               -467490,,                              0,                 23486,                              0,               -133709,                   -862,                 -1879,               -112964,               -580454,               -341865,                261833,                 28204,                   -211,               -127710,                162116,,               -163900,                 69812,                -43798,                              0,                   -109,                -35483,                    193,                  1908,               -375117,                    939,               -545555,,                -10000,                 -4790,               -822158,                              0,                103455,                              0,               -733493,                  8989,             -1107943,              4620233,              3512290,              3512290,,,,,,,,,,,,,,,,,,,,,
3035,2014年01月01日至2014年06月30日,,                438798,                438798,,,                 41051,                120715,                 -7548,                 -7258,                    128,                -20490,                 -8283,                   -193,                   -355,                              0,                   -120,                117647,,,                   -422,                  6296,               -131245,                    115,                  2994,               -180595,                -93901,               -396758,,                  1663,                132704,                              0,                -16742,                -12614,                 -1288,                103723,               -293035,               -175388,                263410,                 20009,                   -128,                -86130,                197161,,               -113900,                 69812,,                              0,,                -29896,                    193,,                -88020,                    939,               -160890,,,                     -4,,,                 67260,                              0,                 67256,                  3653,                107180,              4620233,              4727413,              4727413,                    -18,,,,,,,,,,,,,,,,,,,,
3035,2014年01月01日至2014年03月31日,,                201776,                201776,,,                 20671,                 60549,                    192,                 -3417,                     76,                 -9364,                 11592,                   -193,                 -1025,,                 -1226,                 77855,,,                 -3993,                  6296,                -31663,                  1786,                -10003,                -37572,                -36639,               -111788,,                     44,                136645,,                -97402,                109168,                   -673,                147782,                 35994,                113849,                315625,                  7731,                    -76,                 -4274,                319006,,                -73900,                 64268,,,,                -21815,                    193,,                -86201,                -15000,               -132673,,,                    268,,,                 62638,,                 62906,                  4653,                253892,              4620233,              4874125,              4874125,                   -218,,,,,,,,,,,,,,,,,,,,
3035,2013年度,,                992891,                992891,,,                 87733,                249700,                 -2343,                  6729,                    344,                -26436,                 18568,                    148,                -11017,                 40000,                 -1640,,,,                  4024,                 -5822,                489468,                 -1971,                 40428,                272663,                 78354,                877144,,,               -356928,,                -39777,                 92102,,               -307193,                569951,                928125,              1921016,                 24625,                   -344,               -112717,              1835904,,                -80000,                213656,                              0,                 12543,                              0,                -13096,                    136,                  1088,               -191171,                              0,                -56844,,                 -2000,                  7910,               -812640,,                 86065,,               -726083,                 16597,              1069574,              3550659,              4620233,              4620233,,,                 -3324,                   -288,                358174,                 -2590,                  3324,                              0,                              0,                 -5418,                              0,,,,,,,,,,
3035,2013年01月01日至2013年12月31日,,                992891,                992891,,,                 87733,                249700,                 -2343,                  6729,                    344,                -26436,                 18568,                    148,                -11017,                 40000,                 -1640,,,,                  4024,                 -5822,                489468,                 -1971,,                272663,                119425,                877144,,,               -356928,,                -39777,                 92102,,               -307193,                569951,                928125,              1921016,                 24625,                   -344,               -112717,              1835904,,                -80000,                213656,                              0,                 12543,,                -13096,                    136,                  1088,               -191171,                              0,                -56844,,                 -2000,                  7910,               -812640,,                 86065,,               -726083,                 16597,              1069574,              3550659,              4620233,              4620233,,,                 -3324,                   -288,                358174,                 -2590,                  3324,,,                 -5418,,                   -643,                              0,                              0,                              0,                              0,                              0,,,,
3035,2013年01月01日至2013年09月30日,,                727148,                727148,,,                 66177,                189184,                 -3300,                 -1294,                    258,                -18508,                  8417,                     25,                 -9798,                 30000,                              0,,,,                  3546,                    474,                178444,                 -8108,               -121613,                 64103,                197339,                314185,,                     32,               -172796,,                -99714,                 70428,,               -204245,                109940,                367489,              1094637,                 17842,                   -258,               -101844,              1013701,,                -50000,                 30632,                              0,                 12462,                              0,                -10650,                              0,                  1705,               -153995,                              0,               -169846,,                 -1000,                  7021,               -812640,,                 56747,,               -755290,                 13281,                101846,              3550659,              3652505,              3652505,,,                 -3324,                   -288,                257549,                 -2195,                  3324,,,                 -5418,,,,,,,,,,,
3035,2013年01月01日至2013年06月30日,,                480832,                480832,,,                 44405,                126814,                    339,                  4301,                    169,                -11748,                   -614,                              0,                   -632,,                              0,,,,                  2162,                    295,                353051,                -11920,,                -87818,                 56534,                312304,,                    147,               -310720,,                 49598,                -54485,,               -317040,                 -4736,                156933,                637765,                 11994,                   -169,                -91832,                558835,,                -50000,                 30632,,,,                 -9788,                              0,,               -119721,                              0,               -146259,,                   -500,                  7039,,,                 44058,,                 45179,                 15403,                473158,              3550659,              4023817,              4023817,                  2618,,                 -1077,                   -288,                161669,                 -1580,                  1077,,,                 -5418,,                              0,,,,,,,,,
3035,2013年01月01日至2013年03月31日,,                237968,                237968,,,                 22304,                 63419,                 -1160,                  5168,                     84,                 -4220,                  8761,                              0,                              0,,                 -1600,,,,                 -6084,                    128,                268304,                -19406,,               -149853,                -31024,                 62065,,                     44,                -97401,,                 -5982,                -11874,,               -115852,                -53787,                 38969,                276937,                  4014,                    -84,                 -1370,                279497,,                -30000,                              0,,,,                 -4881,                              0,,                -92151,                              0,               -124989,,,                  6338,,,                 42078,,                 42998,                 11218,                208724,              3550659,              3759383,              3759383,                  2043,,,,                 92756,                   -639,,,,                 -5418,,                              0,,,,,,,,,
3035,2012年01月01日至2012年12月31日,,              1175408,              1175408,,,                 89304,                243706,                 -1600,                 -2799,                    321,                -21424,                 36720,                    536,                 -1342,                  8325,                  1901,,,,                 -2305,                   -474,               -284321,                 31047,,               -305883,               -100040,               -661976,,,                279486,,                246568,                 14410,,                535915,               -126061,                223683,              1399091,                 19322,                   -321,                -98731,              1326103,,               -221140,                165832,                -23928,                              0,,                -42532,                              0,                  4254,               -304854,                    -33,               -428461,,                              0,                              0,               -603465,,                124341,,               -496945,                 -7684,                393013,              3157646,              3550659,              3550659,,,                 -6742,                              0,                349744,                 -4035,                  6742,,,                  2058,,                              0,                  2838,                   -514,                 -6060,                  2000,                -21879,,,,
3035,2012年01月01日至2012年09月30日,,                934421,                934421,,,                 67091,                179824,                 13930,                 -4025,                    211,                -15759,                 24671,                              0,                   -534,                  8325,,,,,                  2492,                 -1523,               -691061,                 19615,,               -145573,                -42693,               -858743,,                     21,                575201,,                166243,                -41410,,                697068,               -161675,                106121,              1040542,                 14907,                   -231,                -87676,                974284,,               -171965,                 60534,                -23928,                              0,,                -30244,,                  1953,               -285864,                    -25,               -455599,,                              0,                              0,               -603465,,                111408,,               -494224,                -10656,                 13805,              3157646,              3171451,              3171451,,,                 -6742,                    804,                267796,                 -2987,                  6742,,,                 -3874,,,,,                 -6060,                  2000,                   -293,,,,
3035,2012年01月01日至2012年06月30日,,                580472,                580472,,,                 44602,                119776,                  7836,                    346,                    134,                -10264,                 19735,,                   -534,                  2325,,,,,                  2492,                              0,               -353072,                 15854,,               -242436,                  4399,               -572763,,                     20,                314570,,                 48165,                   -720,,                360105,               -212658,                -27898,                552574,                  9487,                   -154,                -82572,                479335,,               -127000,                 60534,,,,                -17563,,,               -230333,,               -318189,,                              0,                              0,,,                 93027,,                 96922,                 -3701,                254367,              3157646,              3412013,              3412013,                  2258,,                              0,                    804,                184760,                 -1930,                              0,,,                              0,,,,,                 -6060,                  2000,                    -66,                    -25,                  1960,                      1,
