證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 現金減資,　　 處分子公司股權（未喪失控制力）,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據（增加）減少,　　 取得無活絡市場之債券投資,　　 處分採用權益法之投資,　　 取得投資性不動產,　　 其他非流動資產減少,　　 收取之股利,　　 發放現金股利,　　 非控制權益變動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損損失,　　 其他非流動資產增加,　　 存出保證金增加,　　 取得以成本衡量之金融資產,　　 短期借款減少,　　 存入保證金減少,　　 按攤銷後成本衡量之金融資產到期還本
3040,2015年01月01日至2015年06月30日,,                119659,                119659,,,                  7403,                              0,                     35,                 -7063,                 -5813,                      3,                    -77,                -15584,                 -1484,                -79238,               -101818,,,                     77,                   -821,                   -310,                 13836,                 -8447,                  4335,,                 -2839,                 -1244,                   -119,                  7268,                  3066,                  7401,                -94417,                 25242,                  7046,                    -35,                 -5760,                 26493,,                              0,                -50227,                 23545,                   -559,                      1,                     15,                 66883,                 39658,,                              0,                    175,               -270000,                    499,               -269326,                 -1451,               -204626,                582286,                377660,                377660,,,,,,,,,,,,,,,,,,,,
3040,2015年01月01日至2015年03月31日,,                 13139,                 13139,,,                  3728,,                     17,                 -3507,                 -2301,                              0,                    -32,                -15734,                   -978,                  3353,                -15454,,,                     32,                 -3172,                 -4267,                 14750,                  4513,                 11856,,                 -3539,                 -1061,                  4181,                  6731,                  6312,                 18168,                  2714,                 15853,                  5337,                    -17,                   -608,                 20565,,                              0,                  1573,,                   -156,                              0,                      9,                  9649,                 11075,,,                    773,               -270000,,               -269227,                   -743,               -238330,                582286,                343956,                343956,,,,,,,,,,,,,,,,,,,,
3040,2014年01月01日至2014年09月30日,,                557928,                557928,,,                 16525,                  1034,                    884,                 -5250,                 -5478,                -31559,                   -798,                 -2494,                   -448,                  9898,,,,                    244,                  5701,                  2671,                 16097,                  1265,                 25978,,                 -2384,                 18503,                 -9327,                    992,                  7784,                 33762,               -489048,                 68880,                  2427,                   -900,                 -8721,                 61686,,                  2708,,,                 -1219,                 36967,                  3884,                663694,                318501,,                -85000,                  2618,,,               -172382,                  2749,                210554,                257479,                468033,                468033,,               -505124,                              0,               -522810,                              0,               -388594,                              0,                              0,                              0,                  1061,                -90000,                              0,                              0,,,,,,,
3040,2014年01月01日至2014年06月30日,,                 43310,                 43310,,,                 11056,                  1378,                    678,                 -2736,                 -3382,                -31601,                   -681,                -10691,                   -103,                  6618,                -29464,,,                    127,                   -845,                  1687,                 16884,                  1771,                 19624,,                 -2870,                  3118,                 -9356,                   -100,                 -9208,                 10416,                -19048,                 24262,                  1595,                   -597,                 -6948,                 18312,,                  2707,                              0,                              0,                   -949,                  4110,                  3838,                              0,                  9706,,                 35000,                  4585,                              0,                              0,                 39585,                 -1769,                 65834,                257479,                323313,                323313,,,,,,,,,,,,,,,,,,,,
3040,2014年01月01日至2014年03月31日,,                  9891,                  9891,,,                  5561,,                    304,                 -1225,                 -1360,                     60,                   -608,                   -757,                 -1025,                  3329,                  4279,,,                     54,                   -165,                  2834,                    983,                 -2423,                  1283,,                   -816,                   -622,                 -5949,                  1766,                 -5621,                 -4338,                    -59,                  9832,                    367,                   -288,                              0,                  9911,,                  2707,                              0,,                    -23,                      2,                  3817,                              0,                  6503,,,                  2253,                              0,,                  2253,                  3172,                 21839,                257479,                279318,                279318,,,,,,,,,,,,,,,,,,,,
3040,2013年01月01日至2013年12月31日,,                 42242,                 42242,,,                 22612,,                  1257,                 -4080,                 -3871,                     15,                -19411,                 -6059,                    -17,                 12897,,,,                    815,                 22236,                 -2839,                  3104,                 -6429,                 16887,,                  1437,                  5039,                  8313,                   -492,                 14297,                 31184,                 34527,                 76769,                  4727,                 -1299,                -10631,                 69566,,                 10646,,,                 -1839,                      1,,,                 49044,,,                  8066,               -138659,,               -149923,                  7617,                -23696,                281175,                257479,                257479,,,,                  3343,,                 18213,                 22530,                   -693,                    186,                              0,                -20773,                  1443,                              0,,,,                              0,                              0,                              0,
3040,2013年01月01日至2013年09月30日,,                 41783,                 41783,,,                 17150,                              0,                    942,                 -2799,                 -3126,                     15,                 -3195,                 -4077,                    577,                  9654,,,,                    747,                 25661,                   -919,                  6292,                 -3463,                 28318,,                    582,                  4040,                 -1981,                  3727,                  6368,                 34686,                 33646,                 75429,                  5261,                   -919,                 -8696,                 71075,,                 10646,,,                 -1695,                      1,                              0,                              0,                 49300,,                              0,                  4614,,,                -14716,                  4458,                110117,                281175,                391292,                391292,,                              0,                -16181,                 -1040,                              0,                 18291,                 22530,                   -693,                    220,                              0,                -20773,                  1443,                              0,,,,,,,
3040,2013年01月01日至2013年06月30日,,                 35153,                 35153,,,                 11664,                              0,                    623,                 -1862,                 -1932,                     15,                -18243,                 -3047,                    357,                  6395,,,,                    491,                 22697,                 -1925,                 10607,                    200,                 32070,,                   -795,                  4515,                  4686,                 -2662,                  5744,                 37814,                 31784,                 66937,                  4742,                   -652,                 -6036,                 64991,,                  7790,,,                   -294,                      1,,,                 -3048,,                              0,                  3444,,,                  3444,                  6462,                 71849,                281175,                353024,                353024,,,,                 -6030,,                -32899,                 22530,,,,,,,                              0,                   -176,,,,,
3040,2013年01月01日至2013年03月31日,,                 17189,                 17189,,,                  6229,,                    308,                   -652,                   -749,                      3,                -11841,                   -590,                    488,                  3159,,,,                    222,                 19903,                 -4240,                  4512,                   -222,                 20175,,                   -506,                  2919,                   -682,                  1435,                  3166,                 23341,                 19696,                 36885,                  3669,                   -295,,                 40259,,                              0,,,                   -211,                              0,                              0,,                 12403,,,                  2547,,,                  2547,                  3341,                 58550,                281175,                339725,                339725,,,,                 -3645,,                 -2646,                 15277,,,,,,,,,                    -17,,,,
3040,2012年01月01日至2012年12月31日,,                 61997,                 61997,,,                 29881,,                  2094,                 -3657,                 -1934,                 -2397,                -44178,                 -6690,                  1139,                 41620,,,,                    395,                 13649,                 22144,                 35325,                 20770,                 92283,,                -19100,                 -9911,                 14326,                    522,                -14163,                 78120,                 93998,                155995,                  2959,                 -1780,                   -739,                156435,,                              0,,,                 -1035,                  2427,,,                  8584,,,                              0,                              0,,               -115862,                 -5427,                 43730,                237445,                281175,                281175,,,,                 15878,,                    924,                 63504,                -62399,                    344,                  4842,                -41546,                              0,                              0,,,,                    -23,                -74184,                   -132,
