證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 償還公司債,　　 短期借款增加,　　 其他非流動負債減少,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 其他金融資產減少,　　 存入保證金增加,　　 其他籌資活動,　　 取得無形資產,　　 其他金融資產增加,　　 其他投資活動
3043,2015年01月01日至2015年09月30日,,                -27634,                -27634,,,                 34318,                     33,               -181110,                              0,                    -76,                 -1860,                     70,                              0,                 11939,                              0,                 13850,               -122836,,,                  1575,                 65395,                 68012,                 -2276,                              0,                104084,                -19845,                -14524,                              0,                202421,,                  5493,                -75618,                 -7780,                 48418,                    815,                 -7845,                              0,                  3467,                   -797,                -33847,                168574,                 45738,                 18104,                     77,                -12644,                 -2303,                  3234,,                              0,                              0,                  8494,                              0,                 -3607,                    800,                              0,                 -1867,                              0,                              0,                  3820,,                -17682,                -57086,                   -352,                              0,                -75120,                  1642,                -66424,                138190,                 71766,                 71766,,,,,,,,,,,,,,,,,,,
3043,2015年01月01日至2015年06月30日,,                -25794,                -25794,,,                 22944,                     25,                -68415,                              0,                    -54,                 -3030,                    -17,                              0,                 11939,                              0,                -71903,               -108511,,,                    175,                100185,                 47730,                -11318,                              0,                114231,                 -5819,                -17817,                              0,                227367,,                  7385,                -70314,                 -5278,                  7989,                  1404,                -16432,,                  1151,                   -476,                -74571,                152796,                 44285,                 18491,                     54,                 -9026,                 -1745,                  7774,,,                              0,                  6589,                              0,                 -2362,                    771,                  2127,                              0,                              0,                              0,                  7125,,                -12173,                -40293,                    -18,                              0,                -52484,                  5508,                -32077,                138190,                106113,                106113,,,,,,,,,,,,,,,,,,,
3043,2014年度,,               -165049,               -165049,,,                 37631,                  3340,                -15421,                              0,                   -340,                 11009,                    371,                 -1004,                 24861,                -16566,                 20618,,,,                 -6979,                 64109,                 15903,                 27960,                              0,                 18881,                   -833,                  3050,                              0,                122091,,                -95561,                109908,,                188565,                     20,                  1024,,                 -1269,,                201597,                323688,                388187,                223138,                    340,                -20618,                -55070,                147790,,                  2589,,,                  3210,                 -3429,                     25,                 -2675,,                 -6548,,                -11195,,                -18190,               -119158,                    -60,                              0,               -137408,                -19039,                -19852,                158042,                138190,                138190,,                 64499,                              0,                 -1090,                              0,                 -4367,                              0,,,,,,,,,,,,
3043,2014年01月01日至2014年09月30日,,                -61515,                -61515,,,                 26444,                  2566,                -38415,                              0,                   -301,                  2435,                     13,                 -1004,                 15746,                -16566,                 15776,                  6694,,,                 -4003,                137490,                    482,                   -672,                              0,               -131155,                 -3897,                  5102,                              0,                  3347,,                -94247,                102433,                              0,                147478,                  1028,                -33832,                  1982,                    -27,                   -763,                124052,                127399,                134093,                 72578,                    301,                -14288,                -35961,                 22630,,                  2589,                              0,                  3049,                  3210,                 -3832,                              0,                              0,                 -1688,                 -7781,                              0,                 -4453,,                  5312,                -96209,                    -95,                              0,                -90992,                 -4571,                -77386,                158042,                 80656,                 80656,,,,,,,,,,,,,,,,,,,
3043,2014年01月01日至2014年06月30日,,                -25435,                -25435,,,                 15055,                  1717,                -25692,                              0,                   -279,                  1725,                      5,                   -292,                  7016,                -16566,                 10713,                 -6598,,,                  1875,                180699,                              0,                 12299,                              0,               -117799,                -22348,                    891,                  1982,                 57599,,                -18996,                -14341,                              0,                 79652,                              0,                  7761,,                   -782,                   -444,                 52850,                110449,                103851,                 78416,                    279,                 -9711,                -29964,                 39020,,,                 -2159,                              0,                  3212,                 -1493,                              0,                 -8310,                              0,                 -6851,                              0,                -15601,,                 -9770,                -76608,                    -16,                              0,                -86394,                  3378,                -59597,                158042,                 98445,                 98445,,,,,,,,,,,,,,,,,,,
3043,2014年01月01日至2014年03月31日,,                 49700,                 49700,,,                  7695,                  1309,                -13854,,                 -2047,,                      3,,                              0,,                -11133,,,,                 -5918,                126200,,                   -290,,                -24808,                -39306,                 -5660,,                 50218,,                -33402,                 25289,,                -55027,,                -21280,,                  5112,,                -79308,                -29090,                -46451,                  3249,                  2047,                 -4932,                 -5724,                 -5360,,,,,,                   -502,,,                    253,,,                  1965,,                 15360,                -49756,,,                -33988,                 -2436,                -39819,                158042,                118223,                118223,,                -17361,,                              0,,                    233,,,,                    666,                              0,                              0,                              0,                  1981,                    369,                     39,,,
3043,2013年度,,               -477501,               -477501,,,                 44650,                  5605,                 60134,                 -1287,                 -2047,                  4346,                    135,                              0,                 44709,                              0,                 25350,,,,                 10395,                104020,                 13872,                -10467,                  3600,                507170,                 25175,                 -1435,                 12551,                664881,,                  2296,                 51366,,               -107973,                              0,                 12505,,                    822,,                -42539,                622342,                803937,                326436,                  2047,                -20470,                  8033,                316046,,                              0,,,                              0,                 -6191,                  1085,                 -6440,,                   -553,,                233469,,                -83714,               -169074,                   -500,                    269,               -552019,                -11355,                -13859,                171901,                158042,                158042,,                181595,                              0,                 -1555,                              0,                245568,               -299000,,,,,,,,,,,,
3043,2013年01月01日至2013年12月31日,,               -477501,               -477501,,,                 44650,                  5605,                 60134,,                 -2047,,                    135,                              0,                 43422,,                 25350,,,,                 10395,                117892,,                 11137,                -18004,                507170,                 25410,                 -1435,,                652565,,                  2296,                 51366,,               -107973,,                 12505,,                    822,,                -42539,                610026,                791621,                314120,                  2047,                -20470,                  8033,                303730,,,,,                              0,                 -6191,                  1085,,,,,                245285,,                -83714,               -169074,,,               -551519,                -11355,                -13859,                171901,                158042,                158042,,                181595,,                 -1555,,                245568,               -299000,,,                  4346,                              0,,                              0,                 12551,,                    269,                              0,                 -7728,
3043,2013年01月01日至2013年09月30日,,               -328878,               -328878,,,                 34885,                  4198,                 16881,                  1563,                 -1506,                  2444,                   -932,                              0,                 28610,                              0,                 23799,,,,                  1711,                160219,                 14359,               -402068,                327298,                235261,                -41685,                 -5547,                              0,                289548,,                  1333,                270269,,               -173954,                 85512,                 -3900,,                 -3928,,                165640,                455188,                565130,                236252,                    175,                -19153,                  2776,                220050,,                              0,,,                              0,                 -2473,,                 -5205,,                    -87,,                -54313,,,               -221365,                   -250,                    228,               -202688,                -27265,                -64216,                171901,                107685,                107685,,                109942,,                 -9692,                -46548,,,                 18700,                     -1,,,,,,,,,,
3043,2013年01月01日至2013年06月30日,,               -242187,               -242187,,,                 24058,                  2923,                 28510,                  1293,                   -967,                  1442,                    178,                              0,                  9958,                              0,                 19175,,,,                 10212,                196752,                  7970,               -333012,                321639,                203243,                  6482,                 -6854,                              0,                406432,,                 -6162,                 96465,,               -180255,                 11257,                 -8092,,                 -4414,,               -100705,                305727,                392297,                150110,                    967,                -16637,                  8573,                143013,,,,,                              0,                 -1888,,                              0,                    737,,                    -88,                -39743,,                -60161,               -104797,                   -513,                    366,               -165105,                 -3399,                -65234,                171901,                106667,                106667,,                 86570,,                 -9504,                -38504,,,,,,,,,,,,,,
