證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 非控制權益變動,　　　　 其他項目,　　　　　 應付建造合約款（增加）減少
3052,2015年01月01日至2015年09月30日,,                101801,                101801,,,                  9636,                  1724,                              0,                    863,                 24178,                -11939,                 -1990,                   -887,                              0,                    984,                              0,                 22569,,,                              0,                  4860,                446204,                271389,               -643463,               -836216,               -271054,               -417138,                              0,                 14535,             -1430883,,                -13411,                164898,                              0,                -93331,                  1929,                              0,                 20100,                 80185,             -1350698,             -1328129,             -1226328,                  2506,                -61090,                -40798,             -1325710,,                              0,                              0,                 -3573,                  1771,                104280,                 -2411,                100067,,                 42913,                440000,                600280,                -62565,                              0,                              0,              1020628,                     64,               -204951,                383178,                178227,                178227,,,,,,
3052,2015年01月01日至2015年06月30日,,                 67443,                 67443,,,                  6498,                  1125,                              0,                    807,                 15763,                 -7739,                 -1585,                   -542,                              0,                              0,                              0,                 14327,,,                              0,                  6198,                524712,                421931,               -421099,               -374629,               -224678,               -421393,                              0,                 14215,               -474743,,                -62053,               -351996,                              0,                 34351,                  7051,                              0,                -54439,               -427086,               -901829,               -887502,               -820059,                  2067,                -34622,                -37528,               -890142,,                              0,                              0,                 -1823,                    476,                 72246,                 -1094,                 69805,,                 56256,                350000,                375280,                -47331,                              0,                              0,                734205,                    -43,                -86175,                383178,                297003,                297003,,,,,,
3052,2015年01月01日至2015年03月31日,,                  9673,                  9673,,,                  3289,                    612,                              0,                    227,                  7186,                 -3108,                   -840,                   -243,                              0,                              0,                              0,                  7123,,,                              0,                 -3874,                245934,                282952,               -205557,               -224033,                -26385,               -256036,                              0,                              0,               -186999,,                104998,               -276073,                              0,                -32580,                 -5629,                              0,                  6854,               -202430,               -389429,               -382306,               -372633,                    819,                -16004,                   -629,               -388447,,                              0,                              0,                   -809,                     29,,                   -334,                -79618,,                306467,                100000,                135000,                -28030,                              0,                              0,                513437,                    -19,                 45353,                383178,                428531,                428531,                -78504,,,,,
3052,2014年度,,                229426,                229426,,,                 14332,                  2231,                              0,                 -1137,                 26369,                -11262,                 -4002,                 -1002,                 -3866,                    326,                              0,,,,                  1065,                    921,              1332694,               -112824,             -1548163,                284199,                127621,               -120311,                              0,                    338,                -34460,,                -58756,                206144,                              0,                316099,               -199609,                              0,               -635297,               -371419,               -405879,               -383890,               -154464,                  5938,                -33005,                -25538,               -207069,,                              0,                 41191,                 -9740,                  1604,,                    566,                104237,,                134704,               -135000,                653030,               -145747,                              0,               -187092,                319895,                    104,                217167,                166011,                383178,                383178,                 70616,,                 21989,,,
3052,2014年01月01日至2014年09月30日,,                122221,                122221,,,                 10986,                  1708,                              0,                   -504,                 18231,                 -7589,                 -3283,                   -783,                 -3866,                    326,                              0,                 15226,,,                  1065,                 17925,              1818142,               -145226,               -712401,                 99837,                 21572,                229224,                              0,                  2266,              1332404,,                -94280,                -25418,                              0,                -26299,               -208263,                              0,               -501600,               -855860,                476544,                491770,                613991,                  5737,                -18536,                 -9661,                591531,,                              0,                 41191,                 -8780,                  1603,                196748,                 -2157,                228605,,                -72361,               -435000,                 20000,               -145747,                              0,                              0,               -633108,                     35,                187063,                166011,                353074,                353074,,,,,,
3052,2014年01月01日至2014年06月30日,,                158582,                158582,,,                  8500,                  1212,                              0,                   -639,                 11744,                 -5686,                 -2409,                   -524,                 -3866,                              0,                              0,                  8332,,,                  1065,                  2886,              1658781,               -324588,               -576664,                113381,                 24721,                331963,                              0,                   -108,              1231437,,                -86405,                -37452,                              0,                237422,               -126117,                              0,               -509579,               -522131,                709306,                717638,                876220,                  3884,                -15937,                 -5618,                858549,,                              0,                 41191,                 -6242,                    110,                128728,                  2984,                166771,,                137899,               -435000,                 20000,               -142066,                              0,                              0,               -419167,                      4,                606157,                166011,                772168,                772168,,,,,,
3052,2014年01月01日至2014年03月31日,,                156812,                156812,,,                  3961,                    733,                              0,                   -625,                  5886,                 -2405,                   -987,                   -299,                              0,                              0,                              0,                  6264,,,                  1065,                    368,              1771493,                 -8299,               -344025,                167569,               -101669,                338306,                              0,                    -54,              1824754,,                -35491,                -13889,                              0,                 -8273,               -103025,                              0,               -511618,               -672296,              1152458,              1158722,              1315534,                  1287,                -10119,                   -946,              1305756,,                              0,                              0,                 -2286,                    111,,                  2795,                125783,,               -270811,                -50000,                 20000,               -122066,                              0,                              0,               -422877,                     39,              1008701,                166011,              1174712,              1174712,                125163,,,,,
3052,2013年度,,              1303756,              1303756,,,                 14689,                  2978,                 -1423,                  1871,                 29782,                 -3156,                 -2982,                 -1012,                              0,                  2991,                -22703,,,,                  3677,                  2741,             -1689604,               -310899,               -173552,              3140548,                -96671,                124179,                              0,                   -211,              1000208,,                 83776,                174888,                              0,               -448572,                192907,                              0,               -214053,               -211054,                789154,                810189,              2113945,                  3074,                -83986,                -51180,              1981853,,                              0,                              0,                -10000,                    935,,                 -5668,                115852,,                 47351,                170100,                615922,             -2900968,                              0,                -73997,             -2141592,                     46,                -43841,                209852,                166011,                166011,                130585,,                 21035,,,
3052,2013年01月01日至2013年12月31日,,              1251357,              1251357,,,                 14689,                  2978,                 -1395,                  1871,                 29782,                 -3156,                 -2982,                 -1012,,                  2991,                -22703,,,,                  3677,                  2741,             -1689632,               -310899,               -173552,              3088492,                -95225,                -35639,                 11762,                 -5879,                795846,,                 83776,                174888,                              0,,                190472,               -587179,                373126,               -213489,                582357,                751476,              2002833,                  3074,                -30941,                  1219,              1976185,,                              0,,                -10000,                    935,,,                121520,,                 47351,                170100,                615922,             -2900968,                              0,                -69599,             -2141592,                     46,                -43841,                209852,                166011,                166011,                130585,,                169119,                 -4398,                148056,               -448572
3052,2013年01月01日至2013年09月30日,,                187357,                187357,,,                 10874,                  2236,                              0,                  1780,                 22232,                 -2214,                 -1669,                   -751,                              0,                  1144,                              0,,,,                    590,                 -3402,                 34790,               -314968,                -18437,                648048,                -29851,                 41463,                              0,                 -5274,                352959,,                 -4697,                 13551,                              0,               -295090,                    856,                              0,                153773,               -131607,                221352,                254984,                442341,                  2217,                -22505,                  1237,                423290,,                              0,                              0,                -10182,                    614,,,                199437,,                 47605,                120100,                602261,             -1278737,                  1724,                              0,               -511445,                     29,                111311,                209852,                321163,                321163,                209005,,                 33632,                 -4398,,
