證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付款項（增加）減少,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 發放現金股利,　　 員工購買庫藏股,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　 其他籌資活動,　　　　 其他項目
3059,2015年01月01日至2015年09月30日,,                246634,                246634,,,                311605,                 11581,                              0,                 -1754,                 14802,                -37957,                   -267,                  2451,                 10739,                 -3469,                307731,,,                 28585,                 31135,               -756591,                 -2643,               -224660,                 13077,                -13333,               -924430,,               -642054,                 -4588,                 -9087,                 25973,                    353,               -629403,             -1553833,             -1246102,               -999468,                 36422,                    267,                -14715,                -53941,             -1031435,,                -20374,                  5806,                -46657,                  3469,                  1293,                 -8839,                -65302,,                140000,                 -6022,                  4071,                -33255,                              0,                104794,                106377,               -885566,              5441850,              4556284,              4556284,,,,,,,,,,,,
3059,2015年01月01日至2015年06月30日,,                 53206,                 53206,,,                199386,                  7633,,                  4232,                  9585,                -25511,,                  1739,                  5084,                              0,                202148,,,                -47215,                  7709,                -60046,                  5564,               -653326,                 -3282,                -17266,               -767862,,               -525640,                -56147,                  3033,                 96361,                              0,               -482393,             -1250255,             -1048107,               -994901,                 25824,,                 -9737,                -45768,             -1024582,,                -20355,,                -21275,                              0,                  1348,                 -6591,                -46873,,                132000,                              0,                  4071,,,                136071,               -159726,             -1095110,              5441850,              4346740,              4346740,,,,,,,,,,,,
3059,2015年01月01日至2015年03月31日,,                  3204,                  3204,,,                101425,                  3840,,                  1377,                  4958,                -14011,,                  1026,                  1534,                              0,                100149,,,                -98114,                 -7424,                352738,                 -4780,               -296359,,                 -7424,                -55473,,               -843349,                -83954,                 -2011,                 -9889,                              0,               -939203,               -994676,               -894527,               -891323,                 13947,,                 -4859,                -10852,               -893087,,,,                -17920,                              0,                              0,                 -5091,                -23154,,                263000,                              0,                  4071,,,                267071,                -81548,               -730718,              5441850,              4711132,              4711132,                  5890,                   -143,,,,,,,,,,
3059,2014年01月01日至2014年09月30日,,                293633,                293633,,,                278052,                 14422,                              0,                  4289,                 13332,                -55423,                   -572,                  5614,                 70764,                 -2136,                328342,,,               -819269,                 15492,               -530940,                 16798,                250103,                -24674,                  6138,             -1086352,,                -23788,               -113795,                -66433,                -84498,                    346,               -288168,             -1374520,             -1046178,               -752545,                 66000,                    572,                -10101,                -14375,               -710449,,                              0,                              0,               -105471,                  2236,                  3367,                 -5533,               -105401,,                608551,                 -2339,                197372,                              0,                   -921,                802663,                 98012,                 84825,              4619412,              4704237,              4704237,,,,                328342,                              0,                              0,                              0,                              0,,,,
3059,2014年01月01日至2014年06月30日,,                254322,                254322,,,                184825,                  9515,,                  4519,                  7115,                -42392,,                  3952,                 27897,                 -2079,                193352,,,               -120799,                 16359,             -1780396,                -23460,                193719,                -64383,                  6327,             -1772633,,                788113,               -109982,                -77904,                -32717,                    346,                567856,             -1204777,             -1011425,               -757103,                 54256,,                 -7023,                 -3919,               -713789,,                              0,,                -91143,                  2079,                  2736,                 -4156,                -90484,,                              0,                   -906,                197372,,,                196466,                 -4519,               -612326,              4619412,              4007086,              4007086,,,,,,,,,,,,
3059,2014年01月01日至2014年03月31日,,                 97982,                 97982,,,                 92542,                  4871,,                 -5445,                  3383,                -24693,,                  2290,                 14217,                 -1893,                 85272,,,                -40670,                -62935,               -235961,                  5393,                195027,,                  6798,               -165741,,               -187991,               -105061,                -26080,                156091,                    346,               -162695,               -328436,               -243164,               -145182,                 23337,,                 -3335,                 -2422,               -127602,,,,                -24137,                    535,                    740,                 -3369,                -26231,,                200000,                   -906,                  6119,,,                205213,                120742,                172122,              4619412,              4791534,              4791534,                -33393,                              0,,,,,,,,,,
3059,2013年01月01日至2013年12月31日,,               -367501,               -367501,,,                321504,                 16408,                              0,                -11003,                 10972,                -63991,                   -477,                 17233,                 42087,                 30462,,,,                 -2882,               -101802,                564475,                -31946,                372692,                 55162,                 -7438,                848261,,               -633847,               -524764,                -19560,                -99677,                   -626,             -1278611,               -430350,                -42786,               -410287,                 62915,                    477,                -10726,                -48563,               -406184,,,                 55797,               -643643,                 31660,,                -43491,               -606576,,              1000000,                              0,                              0,                              0,                 -4072,                692092,                241280,                -79388,              4698800,              4619412,              4619412,,                 -6899,,                387564,                    -40,                    -97,               -373001,                 69165,                              0,                 24369,                              0,
3059,2013年01月01日至2013年09月30日,,                 38297,                 38297,,,                239505,                 11208,,                 -7385,                  7946,                -47681,                   -534,                 14310,                 32812,                   -491,,,,                 79018,                 -6680,             -1422538,                -66031,                148882,                 26023,                 -8006,             -1249332,,                325778,               -444045,                -35617,                -22142,                   -626,               -176789,             -1426121,             -1176431,             -1138134,                 48681,                    534,                 -7789,                -43550,             -1140258,,,,               -639813,                  2336,                 -7350,                -43139,               -687966,,                600000,                              0,                              0,,                 -3259,                292905,                172854,             -1362465,              4698800,              3336335,              3336335,,,,                249690,                    -40,                    -97,               -373001,                 69165,,,,
3059,2013年01月01日至2013年06月30日,,                -29184,                -29184,,,                155027,                  6036,                              0,                 -4519,                  5167,                -31785,                              0,                 10747,                 17164,                   -401,,,,                 49527,                              0,               -728146,                  1614,               -853300,               -157545,                 -9640,             -1697490,,              1912411,               -288090,                 11860,                -91328,                   -626,              1544090,               -153400,                  4036,                -25148,                 22584,                              0,                 -4818,                -38750,                -46132,,,,               -398131,                    513,                 -7911,                -20348,               -425877,,                450000,                              0,                              0,,                 -2192,                516973,                253135,                298099,              4698800,              4996899,              4996899,,,,                157436,                    -40,                    -97,,                 69165,,,,
3059,2013年01月01日至2013年03月31日,,                -45730,                -45730,,,                 73100,                  2026,                              0,                 -4447,                  2555,                -16372,                              0,                  6241,                  8488,                   -248,,,,                 58059,                              0,                256256,                 -1624,               -103518,                  9129,                 -4590,                213712,,               -187681,               -103027,                 10617,                 42634,                   -626,               -238123,                -24411,                 46932,                  1202,                 11461,                              0,                 -2155,                -32634,                -22126,,,,               -248536,                    281,                    320,                -11331,               -259266,,                250000,                              0,                              0,,                              0,                287834,                180482,                186924,              4698800,              4885724,              4885724,,,,                 71343,                              0,                    -40,                              0,                 37834,                              0,,,
