證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　　　　 其他流動負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 處分子公司,　　 其他非流動資產減少,　　 存入保證金減少,　　 員工執行認股權,　　 員工購買庫藏股,　　 其他籌資活動,　　 庫藏股票處分,　　 應付短期票券增加,　　 取得以成本衡量之金融資產,　　 預付設備款增加,　　 庫藏股票買回成本
3090,2015年01月01日至2015年09月30日,,                351488,                351488,,,                 10555,                  1391,                  2069,                 17501,                 25795,                 -7372,                -22068,                              0,                              0,                              0,                              0,                  1457,                    455,                 29783,,,                 37532,                136184,                              0,                196112,                 76115,                 12081,                    552,                458576,,                    188,               -187870,                              0,                -45459,                 25493,               -207648,                250928,                280711,                632199,                  7395,                -26145,                -90208,                523241,,                              0,                              0,                -58861,               -112233,                              0,                              0,                    958,                 -1883,                              0,                 22068,               -149951,,                              0,               -610910,                              0,                368000,                -76299,                  2431,               -238528,                 -8663,               -563969,                  6262,               -184417,                832335,                647918,                647918,,,,,,,,,,,,,,,,,,,
3090,2015年01月01日至2015年06月30日,,                201473,                201473,,,                  6861,                  1026,                  3152,                 -2224,                 17849,                 -5087,,                              0,                              0,                              0,                              0,                  7192,                    -61,                 28708,,,                 13491,                332884,                              0,                 33256,                 28273,                 15709,                   -120,                423493,,                  1201,               -228096,                              0,                -26538,                  4522,               -248911,                174582,                203290,                404763,                  5289,                -18180,                -54212,                337660,,                              0,,                -56846,               -108488,                              0,                              0,                    941,                 -1883,,,               -166276,,                              0,               -292430,                              0,                368000,                 -6293,                  1970,,                 -6574,                 64673,                 -2598,                233459,                832335,              1065794,              1065794,,,,,,,,,,,,,,,,,,,
3090,2015年01月01日至2015年03月31日,,                129987,                129987,,,                  3181,                    508,                    635,                 -3139,                  9063,                 -2218,,                              0,                              0,,,                              0,                   -137,                  6609,,,                 33688,                217753,                              0,                 30714,                -67287,                  4324,                   -111,                219081,,                   -154,               -189989,                              0,                  1569,,               -181249,                 37832,                 44441,                174428,                  2144,                 -8789,                 -3145,                164638,,                              0,,                              0,                -20020,                              0,                              0,                    370,                     -6,,,                -19656,,,                   -244,                              0,,                 -2766,                              0,,,                 -3010,                 -1161,                140811,                832335,                973146,                973146,                 -1284,                  7325,,,,,,,,,,,,,,,,,
3090,2014年度,,                429917,                429917,,,                 13585,                  2088,                119488,                  1897,                 37365,                 -8916,                -26012,                 -1093,                -14183,                    343,                  3431,                  7938,                 -4347,,,,                -20880,               -732413,                 31781,                 24129,               -466253,                  5624,                     74,             -1157938,,                   -313,                298776,                -16286,                 52462,                  5052,                339691,               -818247,               -686663,               -256746,                  9454,                -39138,                -47021,               -333451,,                  9847,                    933,                 33679,                 -3470,                  2145,                 -1284,,                   -777,                 -6556,                 26012,                 60529,,                576667,                              0,                -74967,,                -11067,                    184,               -129153,                   -853,                359913,                  5888,                 92879,                739456,                832335,                832335,,,,                              0,                              0,                131584,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                   -898,,,,,
3090,2014年01月01日至2014年09月30日,,                251012,                251012,,,                 10179,                  1522,                119020,                     11,                 27633,                 -6772,                -26012,                   -780,                -14183,                    343,                  3431,                 23284,                   -632,                137044,,,                -63794,               -692071,                 30052,                -23292,               -334087,                  2643,                 -1034,             -1081583,,                    -76,                344432,                -16169,                 25987,                 15500,                369674,               -711909,               -574865,               -323853,                  6666,                -28372,                -44511,               -390070,,                  9847,                    933,                 33679,                 -3414,                  3062,                 -1115,                              0,                   -777,                 -6557,                 26012,                 61670,,                497638,                              0,                -74967,                              0,                 -8300,                    183,               -129153,                   -853,                284548,                  2606,                -41246,                739456,                698210,                698210,,,,,,,,,,,,,,,,,,,
3090,2014年01月01日至2014年06月30日,,                196183,                196183,,,                  6758,                    997,                  5817,                    -11,                 17796,                 -4485,,                   -780,                -14927,                    343,                  3431,                 10292,                    178,                 25409,,,               -100223,               -186887,                 26781,                -26244,               -191937,                 -5896,                   -633,               -485039,,                   -186,                256255,                -16192,                 24312,                  8258,                272447,               -212592,               -187183,                  9000,                  4590,                -18192,                -23032,                -27634,,                  9847,,                 33679,                 -3331,                  3062,                 -1119,                              0,                   -448,,,                 41690,,                 47663,                              0,                -74967,                              0,                 -5533,                    243,,                   -853,                -33447,                  2488,                -16903,                739456,                722553,                722553,,,,,,,,,,,,,,,,,,,
3090,2014年01月01日至2014年03月31日,,                106773,                106773,,,                  3363,                    520,                  5105,                              0,                  8772,                 -2031,,                   -785,                -14927,,,                  4485,                    -12,                  4490,,,                -61584,                -71705,                 27095,                 65793,                -91044,                -15494,                   -738,               -147677,,                   -462,                104426,                -16278,                -23566,,                 69737,                -77940,                -73450,                 33323,                  2387,                 -9234,                 -1794,                 24682,,                  9847,,                 33679,                 -2859,                  3062,                   -127,                              0,                              0,,,                 43602,,,                -75463,                -44971,,                 -2766,                    247,,,               -122953,                  4137,                -50532,                739456,                688924,                688924,                              0,                  5617,,,,,,,,,,,,,,,,,
3090,2013年度,,                387014,                387014,,,                 13587,                  1542,                 10819,                    -60,                 33611,                 -6531,                -36051,                  1685,               -131624,                              0,                              0,                  3513,                   -632,,,,                -17321,               -366759,                 12892,                -34823,                -81535,                -15066,                 -3391,               -506003,,                    340,                458105,                  7191,                 48727,                -16356,                498007,                 -7996,               -102835,                284179,                  6223,                -33950,                -37242,                219210,,                236343,                              0,                414310,                -34573,                  1312,                 -2707,,                   -606,                              0,                 36051,                219899,,                              0,               -191235,                -14860,,                 -9222,                              0,                -33870,                 28755,               -162184,                  3358,                280283,                459173,                739456,                739456,,,,                  9673,                  5629,                -94839,                -15037,               -417299,                 -1235,                  3340,                 -5160,                 15243,                 48165,                              0,,,,,
3090,2013年01月01日至2013年12月31日,,                387014,                387014,,,                 13587,                  1542,                 10819,                    -60,                 33611,                 -6531,                -36051,                  1685,               -131624,,,                  3513,                   -632,,,,                -17321,               -366759,                 12892,                -34823,                -81535,                -15066,                 -3391,               -506003,,                    340,                458105,                  7191,                 48727,                -16356,                498007,                 -7996,               -102835,                284179,                  6223,                -33950,                -37242,                219210,,                236343,                              0,                414310,                -34573,                  1312,,                 -2707,                   -606,,                 36051,                219899,,               -191235,,                -14860,,                 -9222,,                -33870,                 28755,               -162184,                  3358,                280283,                459173,                739456,                739456,,,,                  9673,                  5629,                -94839,                -15037,               -417299,                 -1235,                  3340,                 -5160,                 15243,                 48165,,,,,                              0,                              0
3090,2013年01月01日至2013年09月30日,,                295172,                295172,,,                  9850,                  1042,                  3709,                    -60,                 23836,                 -4335,                -36051,                     20,               -103022,                              0,                              0,                  9717,                   -291,,,,                 -5343,               -133086,                  8303,               -148073,                -97350,                -41568,                 -4215,               -421332,,                   -111,                334914,                 -5587,                 19279,                -17433,                331062,                -90270,               -169977,                125195,                  4370,                -24839,                -31965,                 72761,,                201302,                              0,                414310,                -32322,                     17,                              0,                    142,                   -606,                              0,                 36051,                203700,,                              0,                -19536,                -14877,,                 -6455,                              0,                -33870,                 -3846,                -15643,                  2314,                263132,                459173,                722305,                722305,,,,                  9673,                  6205,                -79707,,               -417299,                 -1235,                  3340,                   -467,                 15243,,,                 48165,,,,
3090,2013年01月01日至2013年06月30日,,                157369,                157369,,,                  6190,                    589,                  1292,                    -60,                 13486,                 -2688,,                     20,                -36649,                              0,                              0,                  5325,                    133,,,,                -73767,                 45085,                 11145,                 -6464,                -31697,                -39065,                   -307,                -95070,,                      6,                185451,                 -7678,                 20789,                -18898,                179670,                 84600,                 75109,                232478,                  2843,                -14176,                -13611,                207534,,                113050,,                414310,                 -9844,                     17,                              0,                    117,                              0,,,                121591,,                              0,                -55346,                              0,,                 -3688,                  2944,,                              0,                -41573,                  4623,                292175,                459173,                751348,                751348,,,,,                  2871,                 -9491,,               -399399,,                  3340,,                  9490,,,,                  5027,,,
3090,2013年01月01日至2013年03月31日,,                 71698,                 71698,,,                  2297,                    236,                    199,                    -60,                  3590,                 -1008,,                              0,                 -8939,,,                  4624,                    -23,,,,                 -2404,                 58082,                -11908,               -123381,                 17234,                 -2644,                 -2508,                -67529,,                   -125,                144793,                 -5888,                 16221,                 -5303,                149698,                 82169,                 83863,                155561,                  1219,                 -3744,                   -875,                152161,,                 48980,,                414310,                 -2082,                              0,                              0,                     28,,,,                 89419,,                 30189,,                -14946,,                   -922,                     14,,,                 23825,                  3645,                269050,                459173,                728223,                728223,,,,,                    778,                  1694,,               -346849,,                  3340,                              0,                  9490,,,,,                -28308,,
3090,2012年01月01日至2012年12月31日,,                219091,                219091,,,                  5796,                    211,                   -928,                     60,                    394,                 -4698,                -26272,                   -211,                 -5912,,,                  3618,                   -999,,,,                 17970,                 71106,                              0,                -40887,                160106,                   -399,                    181,                208077,,                    -59,                  6586,                              0,                -18355,                     43,                -11785,                196292,                167959,                387050,                  5277,                   -631,                -46043,                345653,,                 37956,                  7527,                              0,                -24713,                    556,,                    167,                   -105,,                 26272,                -52181,,                -90853,,                              0,,                              0,,               -163213,                 -1351,               -267497,                 -2531,                 23444,                435729,                459173,                459173,,,,                    608,                              0,                -28333,                -62471,                              0,                              0,                              0,                    -14,                  2588,                              0,,,,,                -37370,                -14654
