證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 其他金融資產減少,　　 存入保證金減少,　　　　 其他項目,　　 償還公司債,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　 短期借款增加,　　 其他金融資產增加,　　 其他非流動資產減少,　　　　 未實現外幣兌換損失（利益）
3296,2015年01月01日至2015年09月30日,,                -18254,                -18254,,,                 69956,                  1291,                 -2748,                      6,                 -6908,                              0,                 -1018,                 60579,,,                              0,                    426,                108049,                 14794,                 -6440,                 80504,                -61747,                              0,                135586,,                 -2399,               -100069,                -11132,                 -4698,                 43543,                 -2122,                    221,                -76656,                 58930,                119509,                101255,                  6961,                     -6,                    199,                108409,,                -87318,                 10508,                    -62,                 -3396,                 -6168,                              0,                -86436,,                    369,                -33367,                -45354,                              0,                -78352,                 64097,                  7718,              1002575,              1010293,              1010293,,,,,,,,,,,,,,
3296,2015年01月01日至2015年06月30日,,                -59098,                -59098,,,                 44505,                  1291,                 -2475,                              0,                 -4381,,                 -1112,                 37828,,,                   -423,                 -1352,                353605,                  9126,                 49241,                 19411,                  6562,,                436170,,                 -3721,               -218205,                -42335,                 -4943,                 35694,                  1694,                    148,               -231668,                204502,                242330,                183232,                  4474,                              0,                   -408,                187298,,                -13514,                  3247,                    -60,                   -963,                -21278,,                -32568,,                    369,,,,                    369,                -26668,                128431,              1002575,              1131006,              1131006,,,,,,,,,,,,,,
3296,2015年01月01日至2015年03月31日,,                -31939,                -31939,,,                 21899,                    667,                 -1904,                              0,                 -2265,,                      7,                 18404,,,                   -356,                 -1566,                351106,                 -3627,                  6413,                 -1554,                  6451,                              0,                356867,,                 -3687,               -205447,                -33629,                 -2074,                 40229,                 -5007,                     75,               -209540,                147327,                165731,                133792,                  2401,                              0,                 -1099,                135094,,                 -6676,,,                   -526,                -20778,,                -27980,,,,,,,                -11243,                 95871,              1002575,              1098446,              1098446,,,,,,,,,,,,,,
3296,2014年度,,                 56050,                 56050,,,                 89092,                  8115,                   -832,                      1,                -14478,                  1980,                    672,,,,                  3774,                 -3139,               -308102,                 -7613,                -21061,                -13829,                 -8993,,               -358963,,                  3721,                139478,                 39498,                  4187,                 -8122,                  4231,,                183249,               -175714,                -91164,                -35114,                 14379,                     -1,                  8152,                -12584,,                -34017,                    725,,                 -5661,                 -3211,                              0,                -41770,,,                              0,                  6351,,                  6351,                 16014,                -31989,              1034564,              1002575,              1002575,,                 84550,                    256,                     13,                    381,                              0,,,,,,,,
3296,2014年01月01日至2014年09月30日,,                  3493,                  3493,,,                 66016,                  5739,                  1380,                      1,                -10105,                  1980,                    502,                 65513,,,                  2743,                 -8047,               -126453,                 -4292,                 30258,                 10212,                 -2831,                              0,                -98410,,                    978,                 72890,                 21362,                    837,                 -3478,                  5089,                    138,                 97816,                   -594,                 64919,                 68412,                 10495,                     -1,                  9352,                 88258,,                -24447,                              0,                              0,                 -3682,                -38385,                              0,                -66514,,                              0,                              0,                              0,                  6351,                  6351,                 12445,                 40540,              1034564,              1075104,              1075104,,,,,,,,,,,,,,
3296,2014年01月01日至2014年06月30日,,                -28523,                -28523,,,                 43896,                  4392,                 -1070,                      1,                 -7197,,                    474,                 40496,,,                  3774,                 -1101,                 74234,                 -6308,                 49833,                  8270,                    850,,                129552,,                  7596,                -54026,                 -3817,                   -441,                  5459,                 -4613,                     93,                -49749,                 79803,                120299,                 91776,                  7331,                     -1,                  9392,                108498,,                -19548,                              0,                              0,                 -2617,                -22432,,                -44597,,                              0,,,,                              0,                -11045,                 52856,              1034564,              1087420,              1087420,,,,,,,,,,,,,,
3296,2014年01月01日至2014年03月31日,,                -30858,                -30858,,,                 21584,                  1951,                   -539,                      1,                 -3309,,                    107,                 19795,,,                  3774,                 -2486,                 67298,                   -999,                 -1448,                -17311,                   -924,                    381,                 48285,,                  6807,                -68879,                -10191,                     86,                    741,                -14534,                     47,                -85923,                -37638,                -17843,                -48701,                  3306,                     -1,                 10005,                -35391,,                -39180,,,                 -1358,                 -4179,,                -44717,,,,,,,                 38897,                -41211,              1034564,                993353,                993353,,,,,,,,,,,,,,
3296,2013年度,,                -61557,                -61557,,,                100326,                 19528,                  2220,                              0,                 -6333,                              0,                  1062,,,,                   -759,                  1981,                 93127,                 -8468,                  4762,                -35340,                  4446,,                 59749,,                 -2008,                 72280,                 14658,                     74,                 21248,                 -8139,,                 98199,                157948,                274751,                213194,                  6604,                              0,                -24223,                195575,,                -66327,                    535,,                -12797,                              0,                 19593,                -56578,,,                -81135,                -15387,,                -96597,                 27343,                 69743,                964821,              1034564,              1034564,,                116803,                     86,                    487,                  1931,                    -75,,,,,,,,
3296,2013年01月01日至2013年12月31日,,                -61557,                -61557,,,                100326,                 19528,                  2220,                              0,                 -6333,,                  1062,,,,                   -759,                  1981,                 93127,                 -8468,                  4762,                -35340,                  4446,,                 59749,,                 -2008,                 72280,                 14658,                     74,                 21248,                 -8139,,                 98199,                157948,                274751,                213194,                  6604,                              0,                -24223,                195575,,                -66327,                    535,                              0,                -12797,,                 19593,                -56578,,,                -81135,                -15387,,                -96597,                 27343,                 69743,                964821,              1034564,              1034564,,                116803,                     86,                    487,                  1931,                    -75,                              0,                              0,,,,                              0,                              0,
3296,2013年01月01日至2013年09月30日,,                -51992,                -51992,,,                 77648,                 16107,                  1704,                              0,                 -6231,                              0,                    756,,,,                  2902,                  2061,                 92209,                    362,                 20410,                 31642,                -56020,                  2278,                 95844,,                 -1651,                 12909,                  6672,                   -320,                -30629,                  8739,,                 -3401,                 92443,                182427,                130435,                  6439,                              0,                -23986,                112888,,                -29130,                    522,,                -13351,                              0,                  6944,                -34461,,,                -81135,                -15387,                              0,                -96597,                 32951,                 14781,                964821,                979602,                979602,,                 89984,                    879,                    554,,                    -75,,,,,,,,
