證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分子公司,　　 其他非流動資產減少,　　 短期借款減少,　　 舉借長期借款,　　 現金增資,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　 其他投資活動,　　 其他應付款－關係人減少,　　 非控制權益變動
3338,2015年01月01日至2015年09月30日,,                 90067,                 90067,,,                 50106,                  2839,                   -629,                  3345,                 -4445,                    276,                 12819,                  1170,                     73,                              0,                    370,                 65924,,,                107982,                     84,                 27766,                  7582,                  8191,                 -8887,                142718,,                -28846,                    879,                  1413,                -26554,                116164,                182088,                272155,                  4524,                 -1195,                -40117,                235367,,                              0,                -47576,                     29,                -34267,                 -3917,                  3977,                -10095,                -91849,,                -59856,                294850,                -30694,                              0,               -139500,                 -3891,                 60909,                 10846,                215273,                494127,                709400,                709400,,,,,,,,,,,,,,,
3338,2015年01月01日至2015年06月30日,,                 30758,                 30758,,,                 34320,                  2012,                   -629,                  2190,                 -3191,,                  6112,                    833,,                              0,                   -220,                 41427,,,                172322,                     84,                 34881,                 10974,                  9843,                 -9956,                218148,,               -119730,                -35484,                    989,               -154225,                 63923,                105350,                136108,                  3136,                   -893,                -24161,                114190,,,                -25893,                              0,                              0,                 -1739,                  4089,                 -9040,                -32583,,                -59856,                294850,                -20191,,,,                214803,                -13942,                282468,                494127,                776595,                776595,                              0,,,,,,,,,,,,,,
3338,2015年01月01日至2015年03月31日,,                 19642,                 19642,,,                 17680,                  1025,                              0,                  1020,                 -1712,,                  1534,                    325,,,                   -634,                 19238,,,                153513,                     25,                  8097,                 10818,                  9629,                     -5,                182077,,                -83297,                -28148,                  1111,               -110334,                 71743,                 90981,                110623,                  1355,                   -584,                   -475,                110919,,,                -11343,                              0,                              0,                 -1282,                  3136,                 -1773,                -11262,,                -49856,                294850,                -10206,,,,                234788,                 -5962,                328483,                494127,                822610,                822610,,                              0,,,,,,,,,,,,,
3338,2014年度,,                188017,                188017,,,                 66683,                  5391,                    287,                  2726,                 -4751,                              0,                 13605,                  9385,,                    214,                  4332,,,,                205996,,                -34143,                 42412,                  6922,                   -574,                220613,,                -59818,                  8854,                -11189,                -65022,                155591,                253463,                441480,                  4640,                 -2625,                -21209,                422286,,                -43688,                -58336,                      9,                    -84,                 -4084,,                  4159,               -113641,,,,                -81241,,               -104625,,               -200523,                 26876,                134998,                359129,                494127,                494127,,,,                 97872,                 -2869,                              0,                -11617,                -14657,                              0,                              0,,,,,
3338,2014年01月01日至2014年09月30日,,                135562,                135562,,,                 49475,                  4351,                    285,                  2134,                 -3352,                              0,                  9111,                  8940,                    103,                    213,                  2455,                 73715,,,                193012,                              0,                -18768,                 31591,                 23628,                 -3457,                226006,,                -86588,                 -2424,                 -4622,                -93634,                132372,                206087,                341649,                  2762,                 -2157,                -15778,                326476,,                -43688,                -52920,                      8,                -25671,                 -3533,                              0,                 -1059,               -126863,,                -16206,                              0,                -29403,                 -2869,               -104625,                              0,               -153103,                  6571,                 53081,                359129,                412210,                412210,,,,,,,,,,,,,,,
3338,2014年01月01日至2014年06月30日,,                 91796,                 91796,,,                 32062,                  2162,                              0,                  1540,                 -2468,,                              0,                  2510,,                  3909,                              0,                 39715,,,                224371,                              0,                -33611,                 23220,                 44627,                              0,                258607,,                -92000,                -12295,                -11659,               -116178,                142429,                182144,                273940,                  2044,                 -1590,                -15468,                258926,,,                -30469,                      8,                -23234,                 -2881,                              0,                 -3651,                -60227,,                -74513,                              0,                -19412,,,,                -93925,                 -7395,                 97379,                359129,                456508,                456508,                   -224,,,,,,,,,,,,,,
3338,2014年01月01日至2014年03月31日,,                 33303,                 33303,,,                 16307,                  1033,                    120,                    823,                   -782,,                              0,                    502,,,                              0,                 18003,,,                307333,                              0,                -13418,                 12569,                -11397,                              0,                295087,,                -96850,                -31397,                 -7168,               -135401,                159686,                177689,                210992,                    737,                   -587,                              0,                211142,,,                -12563,                      5,                 -9014,                   -597,                              0,                   -792,                -22961,,                  1662,                              0,                 -9903,,,,                 -8241,                  3220,                183160,                359129,                542289,                542289,,                     14,,,,,,,,,,,,,
3338,2013年度,,                168546,                168546,,,                 63429,                  4298,                    180,                  3111,                   -953,                 13345,                              0,                  3369,,                              0,                  1196,,,,               -110683,,                 -6884,                -15805,                 -7897,                              0,               -141269,,                 12895,                 18654,                 13637,                 45236,                -96033,                 -8058,                160488,                    961,                 -3557,                -16063,                141829,,                              0,                -95695,                    430,                              0,                 -1484,,                              0,                -89591,,,,               -122061,,                -93000,,                 83393,                 10323,                145954,                213175,                359129,                359129,,,,                 87975,                     50,                  2976,                  4182,                -88147,                192205,                194396,,,,,
3338,2013年01月01日至2013年12月31日,,                168546,                168546,,,                 63429,                  4298,                    180,                  3111,                   -953,                 13345,,                  3369,,,                    590,,,,               -110683,,                 -6884,                -15805,                 -7897,,               -141269,,                 12895,                 18654,                 13637,                 45236,                -96033,                 -8058,                160488,                    961,                 -3557,                -16063,                141829,,,                -95695,                    430,,                 -1484,,                  4182,                -89591,,,,               -122061,,                -93000,,                 83393,                 10323,                145954,                213175,                359129,                359129,,,,                 87975,                     50,                  2976,,                -88147,                192205,                194396,                    606,                              0,                              0,                              0,                              0
3338,2013年01月01日至2013年09月30日,,                102372,                102372,,,                 47102,                  3307,                              0,                  2322,                   -590,                 10323,                              0,                  1613,                              0,,                    533,,,,                 94218,,                 -6138,                -23992,                 -5228,                              0,                 58860,,                -52065,                 19344,                 13961,                -18760,                 40100,                104710,                207082,                    537,                 -2632,                -15913,                189074,,                              0,                -71153,                    430,                              0,                 -1327,,                 -4056,                -73130,,,,               -123719,                   -932,                -93000,,               -104354,                 20467,                 32057,                213175,                245232,                245232,,,,                 64610,,                  2976,,               -118304,                192205,                 39396,,,,,
