證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得按攤銷後成本衡量之金融資產,　　 取得備供出售金融資產,　　 持有至到期日金融資產到期還本,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付款項增加,　　 現金增資,　　 員工執行認股權,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動負債增加（減少）,　　 存出保證金減少,　　 其他非流動資產增加,　　 因合併產生之現金流入,　　 取得持有至到期日金融資產,　　 庫藏股票買回成本,　　　　 未實現外幣兌換損失（利益）,　　　　 股利收入,　　 對子公司之收購（扣除所取得之現金）,　　 其他應付款－關係人減少
3383,2014年度,,                 97462,                 97462,,,              1110192,                 13708,                -76599,                 -3671,                117117,                 -9621,                 35436,                 -7758,                 11214,                              0,                              0,                              0,                 -3176,                  4170,                 24836,              1215848,,,                -41562,                 -1413,               -208029,                 36334,                              0,                  9683,               -287164,                  4241,                   -668,               -488578,,               -208261,                176705,                 66451,                 -1072,                              0,                              0,                 33823,               -454755,                761093,                858555,                  8602,               -137403,                -12927,                716827,,                -90000,                -27861,                 83690,                              0,               -137985,                  4268,                  3555,                 -7159,               -120065,               -234275,                 -1167,               -198022,                 -2107,               -727128,,                 49667,                600000,               -135600,                 86000,             -1580603,                    245,                              0,                913500,                              0,                              0,                -70137,               -136928,                 -1077,               -148306,                966126,                817820,                817820,,,,,,,,,,
3383,2014年01月01日至2014年09月30日,,                153420,                153420,,,                834809,                  7708,                -75455,                 -3293,                 95667,                 -5742,                 26781,                 -9134,                  8227,,,,                 -3121,                     15,                  2591,                879053,,,,                -77915,               -310347,                 25602,,                  9085,                -53889,                 11011,,               -396453,,               -209532,                212843,                 74652,                   -583,,                              0,                 77380,               -319073,                559980,                713400,                  5431,               -115856,                -12925,                590050,,                              0,                  8951,                 83690,                              0,               -124438,                  4251,,                 -1524,               -200215,                 47337,,               -137462,                    180,               -318521,,               -216730,                600000,               -135600,                 56000,             -1577422,                     73,                              0,                913500,                              0,                              0,                -70137,               -430316,                 -2161,               -160948,                966126,                805178,                805178,                              0,                  2545,                 -1836,,,,,,,
3383,2014年01月01日至2014年06月30日,,                 97509,                 97509,,,                563719,                  7051,                -74102,                 -3593,                 67315,                 -4413,                 12532,                 -5142,                    877,                              0,                              0,                              0,,                  4155,                -16625,                551774,,,,                -55723,               -355682,                 60850,,                 15930,                171960,                 30261,,               -132404,,                -73297,                109554,                 -5365,                   -504,                              0,                 -3958,                 26430,               -105974,                445800,                543309,                  5214,                -66047,                -12924,                469552,,,                 -1096,                 83690,                              0,               -101347,                  3792,                  2949,                 -1524,                 -5275,                              0,                  1093,                -80289,                 -1252,                -99259,,                 -4586,,                -69737,                 26000,               -684286,                     -5,                              0,                575000,,                              0,,               -157614,                 -2535,                210144,                966126,              1176270,              1176270,,,,                              0,,,,,,
3383,2014年01月01日至2014年03月31日,,                 35000,                 35000,,,                291053,                  3339,                -37983,                 -3593,                 36233,,                 10993,                   -209,                    172,,,,,                  4155,                  5387,                309547,,,,                  7377,               -336391,                124738,,                 22299,                 66935,                 11886,,               -103156,,                -73139,                 37796,                -48301,                     77,,                 -1197,                -84764,               -187920,                121627,                156627,,                -33169,,                123458,,,                  2952,                 68989,                              0,                -80280,                  3794,                 -2396,,                  2208,                              0,                    463,                -35359,                 -1907,                -41536,,                236102,,                -69737,                              0,               -671615,                     77,,                575000,,,,                 69827,                 -4159,                147590,                966126,              1113716,              1113716,,,,,,,,,,
3383,2013年度,,               -491319,               -491319,,,              1116174,                 16246,                -60981,                 -2712,                130021,                -11379,                  7365,                 17864,                 -2912,                  4709,                              0,                  3142,                              0,                  5509,                 32541,              1255587,,,                              0,                -13507,                229441,                133172,                              0,                -11939,                -12233,                 -8778,                   -789,                315367,,                 16276,               -120163,                 86833,                   -769,                              0,                100700,                 82877,                398244,              1653831,              1162512,                  9964,               -121344,                   -290,              1050842,,                   -621,                 -6904,                -83690,                -12000,               -412722,                 31203,                 -4834,                 -4279,                -64990,                110045,                  2012,               -248020,                -20169,               -714969,,                228994,                              0,               -184100,                517571,               -969221,                    122,                              0,                              0,                    270,                 29085,               -152409,               -529688,                -19832,               -213647,              1179773,                966126,                966126,,,,,,,,,,
3383,2013年01月01日至2013年12月31日,,               -491319,               -491319,,,              1116174,                 16246,                -60981,                 -2712,                130021,,                  7365,                 17864,                 -2912,                  4709,                              0,                  3142,,                  5509,                 30889,              1265314,,,,                -13507,                229441,                133172,                              0,                -12555,                -12233,                 -8778,                   -789,                314751,,                 16276,               -120163,                 86833,                   -769,,                102352,                 84529,                399280,              1664594,              1173275,,               -121344,                   -290,              1051641,,                   -621,                 -6904,,                -12000,               -412722,                 31203,                 -4834,                 -4279,                -64990,                110045,                  2012,               -248020,                -20968,               -700852,,                228994,,               -336509,                517571,               -969221,                    122,                              0,,                    270,                 29085,,               -529688,                -34748,               -213647,              1179773,                966126,                966126,                              0,,,                 14916,                -83690,                              0,,,,
3383,2013年01月01日至2013年09月30日,,               -477161,               -477161,,,                811369,                 10154,                -17152,                 -2594,                 97948,                 -8298,                  6799,                 14807,                -12992,,,,                              0,                              0,                132526,              1032567,,,,                  6823,                168955,                 12035,,                -15605,                -82960,                 -9742,,                 79506,,                -49847,                 -3752,                 51237,                  6757,,                105077,                115204,                194710,              1227277,                750116,                  8617,                -80248,                    -12,                678473,,                   -621,                 -4000,                              0,                -12000,               -263248,                 20260,,                 -1630,                110045,               -296883,,               -151347,                -16450,               -635728,,              1048529,                              0,               -184100,                 59000,               -963124,                     90,                  3000,                              0,                    270,                 29085,               -152409,               -159659,                -20584,               -137498,              1179773,              1042275,              1042275,                  5732,                -21395,                  1541,,,,,,,
3383,2013年01月01日至2013年06月30日,,               -353002,               -353002,,,                536247,                  8573,                  6378,                 -2787,                 62870,                 -5517,                  4044,                 19130,                -14458,                              0,                              0,                              0,,                  5509,                 76586,                696575,,,,               -104193,                272588,                109541,,                -11413,               -147930,                  2442,,                121035,,                 12119,                 67254,                 87636,                 56068,                  4376,                   -369,                227084,                348119,              1044694,                691692,                  6021,                -54729,                   -388,                642596,,,                -13486,                              0,                -12000,               -132116,                  2081,                -21280,                   -740,                -47541,                 51445,                  1284,                -88158,                -11677,               -257272,,                548470,,               -336509,                 59000,               -364697,                    152,                 10000,                              0,,                 29085,,                -54499,                -35491,                295334,              1179773,              1475107,              1475107,,,,                 14916,,,,,,
3383,2013年01月01日至2013年03月31日,,               -156970,               -156970,,,                267896,                  4236,                  7087,                 -3223,                 30776,,                  1289,                 16188,                    597,,,,,                  5509,                 35803,                366158,,,,                  4856,                239273,                 61568,,                 -6653,                -75842,                 -7018,,                216184,,                  7605,                -46563,                 35364,                  7182,,                    -59,                  3529,                219713,                585871,                428901,,                -24756,,                404145,,,                 -7000,                              0,                -12000,                -52149,                     14,                -14806,,                -15056,                 -6432,                    509,                -44545,                 -7129,               -158594,,                524065,,               -152409,                 59000,               -357431,                    127,,                              0,,,,                 73352,                  6192,                325095,              1179773,              1504868,              1504868,,,,,,,,,,
3383,2012年01月01日至2012年12月31日,,               -688551,               -688551,,,                967400,                 19242,                186073,                -44417,                103537,,                  5856,                 25410,                  5568,                              0,                  4173,                              0,,                              0,                 48711,              1321553,,,,                -36061,                101451,                -43136,                    491,                 -1759,               -349926,                 20226,                   -837,               -309551,,                -14791,                115141,                -53158,                    415,,                 -5408,                 36199,               -273352,              1048201,                359650,,                -84770,                -46105,                228775,,                              0,                 42953,,                -49720,               -752988,                 19807,                  1912,                -21720,                  5551,                 85007,                  3963,             -1157554,                -36396,             -1859185,,                -20309,,                              0,                976713,               -339899,                   -172,                              0,,                 12787,                307435,,                864465,                  4637,               -761308,              1941081,              1179773,              1179773,                 -6000,,,                              0,                              0,                -72090,,,,
