證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人增加,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金減少,　　 現金增資,　　 現金減資,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 存出保證金減少,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 償還公司債,　　 舉借長期借款,　　 發放現金股利,　　 庫藏股票處分,　　　　　 其他應收款－關係人（增加）減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 買回應付公司債損失（利益）,　　 其他金融資產減少,　　　　　 預付款項（增加）減少
3419,2015年01月01日至2015年09月30日,,                -53826,                              0,                -53826,,,                 72513,                  6641,                  8539,                 -6946,                  9054,                 18296,                    965,                 19576,                    964,                129602,,,                -19240,                -82623,                    384,                 91430,                 92333,                 82284,,                    913,               -125787,                -39540,                   -381,               -164795,                -82511,                 47091,                 -6735,                 -8598,                  2615,                -12718,,                124245,                              0,                              0,                -53016,                 11535,                 -1941,                    907,                 -8484,                  7068,                 80314,,                 77443,                -25480,                      1,                              0,                   -880,                -37400,                 13684,                 13215,                 94495,                409550,                504045,                504045,                              0,,,,,,,,,,,,,,,,,,
3419,2015年01月01日至2015年06月30日,,                -59465,                              0,                -59465,,,                 49117,                  4528,                  5680,                 -5745,                  6067,                 13507,                    587,                 -2704,                    641,                 71678,,,                 28696,                -43924,                115927,                 77403,                  5070,                183172,,                  1136,               -202281,                -22762,                   -253,               -224160,                -40988,                 30690,                -28775,                 -5464,                  2592,                -31647,,                 49650,                              0,                              0,                -34871,                 11455,                   -889,                 -1027,                 -8472,                  5391,                 21237,,                 83223,                -16986,                     -2,                              0,                   -600,                -32566,                 33069,                -12617,                 10042,                409550,                419592,                419592,                              0,,,,,,,,,,,,,,,,,,
3419,2015年01月01日至2015年03月31日,,                 -7773,                              0,                 -7773,,,                 24996,                  2269,                  3071,                 -2787,                  3134,                  3019,                    460,                 -4203,                    323,                 30282,,,                 56004,                -44509,                 81560,                 18466,                  5802,                117323,,                   -864,               -103317,                 -5585,                   -124,               -109890,                  7433,                 37715,                 29942,                 -2775,                              0,                 27167,,                 48585,,,                -24529,                 11464,                              0,                   -511,                 -8210,                  3030,                 29840,,                 91450,                 -8493,,,,,                 82957,                 -2866,                137098,                409550,                546648,                546648,                              0,                     11,                              0,,,,,,,,,,,,,,,,
3419,2014年度,,                -58054,                 -2948,                -61002,,,                103622,                 11985,                 15626,                -10981,                 11099,                 15533,                 -1373,                -12585,                  1260,,,,                -66164,                 19841,               -128926,                  3710,                 33376,               -138163,,                -13836,                108721,                 25918,,                120280,                -17883,                116303,                 55301,                -16015,                 -5849,                 33437,,,               -276200,                276200,                -61798,                  3889,                              0,                -90907,                 -6678,                 10758,               -191951,,                -20337,                -26174,                    -63,                 52000,                   -300,,                  3951,                 23447,               -131116,                628431,                497315,                409550,                 87765,                  1665,,,                              0,                134186,                   -523,                              0,                              0,                -48880,                              0,                              0,                              0,                 -1175,,,,,
3419,2014年01月01日至2014年09月30日,,                -58603,                 -2948,                -61551,,,                 80481,                 10111,                 12779,                 -8873,                  6551,                  5254,                   -794,                  1602,                    939,                108050,,,                 -9842,                 28133,               -145260,                 33945,                 30211,                -62813,,                -13867,                 77778,                 11536,                   -394,                 75053,                 12240,                120290,                 58739,                -13028,                 -5761,                 39950,,                -66069,               -276200,                276200,                -47939,                  2575,                  1658,                -90000,                 -6675,                  8887,               -197563,,                  4068,                -17681,                    -65,                 52000,                   -200,                              0,                 38122,                  3207,               -116284,                628431,                512147,                424382,                 87765,,,,,,,,,,,,,,,,,,
3419,2014年01月01日至2014年06月30日,,                -48204,                 -2948,                -51152,,,                 57329,                  9178,                  9156,                 -6002,                  1128,                 -4094,                   -813,                  4534,                    628,                 71044,,,                              0,                -31979,                -12916,                 61383,                 54248,                 70736,,                -13323,                 36302,                  2573,                   -262,                 25290,                 96026,                167070,                115918,                 -9102,                 -6213,                100603,,                -65991,               -276200,                276200,                -41207,                  2282,                   -340,                              0,                 -5821,                  5874,               -105203,,                 42274,                 -9188,                    -67,                 52000,                              0,                              0,                 85019,                -11365,                 69054,                628431,                697485,                609720,                 87765,,,,,,,,,,,,,,,,,,
3419,2014年01月01日至2014年03月31日,,                -17417,                 -6358,                -23775,,,                 29991,                  5188,                  4242,                 -2369,                              0,                              0,                   -743,                 -3395,                    318,                 33232,,,                              0,                 12207,                 46561,                 37400,                  6618,                102786,,                -14542,                -40302,                 -4375,                   -127,                -59346,                 43440,                 76672,                 52897,                 -3967,                 -1150,                 47780,,               -131143,,,                -20093,                  2081,                   -341,                              0,                 -4827,                  2432,               -151891,,                 62840,                   -417,,,,,                 62439,                    219,                -41453,                628431,                586978,                503596,                 83382,                              0,                     16,,,,,,,,,,,,,,,,
3419,2013年度,,                -29657,                -91595,               -121252,,,                115296,                 21325,                 15017,                 -3525,                              0,                              0,                  1213,                 -2134,                  1237,,,,                              0,                  3711,                298775,                -53260,                -14392,                234834,,                 13296,                -86885,                 -6516,,                -80688,                154146,                302121,                180869,                -10741,                -10059,                160069,,,                              0,                              0,                -85397,                 10533,                 -1178,                              0,                -18374,                  3369,               -164698,,                -31487,                              0,                    -16,                              0,                              0,,                -41126,                 35582,                -10173,                638604,                628431,                628431,                              0,                              0,,,                   -454,                147975,                   -583,                 -3000,                  3454,                -74105,                -98300,                 96632,                 -7955,                              0,,,,,
3419,2013年01月01日至2013年12月31日,,               -121252,,               -121252,,,                115296,                 21325,                 15017,                 -3525,,,                  1213,                 -2134,                  1237,,,,,                  3711,                298775,                -53260,                -14392,                234834,,                 13296,                -86885,                 -6516,,                -80688,                154146,                302121,                180869,                -10741,                -10059,                160069,,,,,                -85397,                 10533,                 -1178,,                -18374,                  3369,               -164698,,                -31487,,                    -16,,,,                -41126,                 35582,                -10173,                638604,                628431,                628431,,                              0,                              0,,                   -454,                147975,                   -583,                 -3000,                  3454,                -74105,                -98300,                 96632,                 -7955,,,                              0,                              0,,
3419,2013年01月01日至2013年09月30日,,                -22838,                -99122,               -121960,,,                 86298,                 16294,                 11450,                 -2267,                              0,                              0,                  1136,                    706,                    927,,,,                              0,                 13537,                318011,                 -1705,                 11856,                342210,,                 -3189,               -156047,                -13620,,               -173304,                168906,                283450,                161490,                 -8455,                 -9627,                143408,,,                              0,                              0,                -65304,                 10276,                    -71,                              0,                -12863,                  2251,                -65711,,               -120270,                 -1251,,                              0,                              0,,               -121540,                 23460,                -20383,                638604,                618221,                618221,                              0,,                    -19,,,                114544,                   -448,,,                              0,,,,,                    511,,,,
