證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　　　　 其他應付款增加（減少）,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款
3443,2015年度,,                582274,                582274,,,                 73497,                151193,                              0,                     43,                -15034,                    170,                 -4717,                 -1196,                203956,,,                -74827,                -44980,                -27150,               -101443,                     37,               -248363,,                -50960,                138695,                -93250,                416351,                 27551,                   -760,                437627,                189264,                393220,                975494,                -41419,                934075,,             -4480000,              4484717,                -15746,                -78261,                              0,                 -1155,                  2097,               -145800,                 14942,               -219206,,                -15146,               -402036,                    -43,               -417225,                  2824,                300468,              2852856,              3153324,              3153324,,,,,,,,
3443,2015年01月01日至2015年09月30日,,                385828,                385828,,,                 54283,                113030,                              0,                     43,                -11453,                    170,                 -3828,                 -1058,                151187,,,                -68092,                  3304,               -135817,                -76359,                   -146,               -277110,,                143492,                232919,                -93250,                 84306,                 23710,                   -559,                390618,                113508,                264695,                650523,                -38329,                612194,,             -3520000,              3523828,                 -6298,                -66434,                              0,                 -1087,                  1926,               -138694,                 11030,               -205177,,                -15146,               -402036,                    -43,               -417225,                  3741,                 -6467,              2852856,              2846389,              2846389,                 -9448,,,,,,,
3443,2015年01月01日至2015年06月30日,,                239832,                239832,,,                 35887,                 74844,                              0,                     16,                 -7607,                    170,                 -3058,                 -4893,                 95359,,,               -178283,                -11801,               -253372,                -28949,                   -148,               -472553,,                  3618,                490740,                -97476,                -81025,                 58745,                   -348,                398010,                -74543,                 20816,                260648,                 -4391,                256257,,             -2490000,              2493058,,                -27845,                              0,                   -641,                  1097,                -71698,                  7475,                -88554,,,,                    -16,                -15162,                 -4008,                148533,              2852856,              3001389,              3001389,,                 23756,                -15146,,,,,
3443,2015年01月01日至2015年03月31日,,                131595,                131595,,,                 17890,                 37199,                              0,                      9,                 -3810,,                 -1555,                 -3266,                 46467,,,                -18223,                -30149,               -133253,                -19458,                   -486,               -201569,,                 19684,                403330,,                -21587,                 21952,                   -156,                423223,                221654,                268121,                399716,                 -2227,                397489,,             -1270000,              1271555,,                 -9315,,                   -561,                    180,                -35535,                  3347,                -40329,,,,                     -5,                     -5,                 -2024,                355131,              2852856,              3207987,              3207987,,,,,,,,
3443,2014年度,,                513670,                513670,,,                 70275,                154939,                -21382,                     72,                -14423,                   -166,                 -4599,                  7407,                192123,,,                270726,                 -3304,                -19635,                 69057,                  1714,                318558,,                117478,                    600,                 97476,                183904,                 27119,                    100,                426677,                745235,                937358,              1451028,               -122840,              1328188,,             -4765000,              4769599,                              0,                -80152,                    168,                 -5929,                  2475,               -151597,                 14280,               -216156,,                              0,               -402036,                    -72,               -402108,                  6852,                716776,              2136080,              2852856,              2852856,,,,,,,,
3443,2014年01月01日至2014年09月30日,,                417730,                417730,,,                 52192,                116347,                -13422,                     72,                -10685,                   -166,                 -3262,                  1429,                142505,,,                296374,                    -32,                 54803,                -26118,                -12268,                312759,,                 16893,                356031,                              0,                206337,                -27304,                     85,                552042,                864801,              1007306,              1425036,               -120661,              1304375,,             -3665000,              3668262,                              0,                -36546,                    168,                 -5622,                  2260,               -105587,                 10041,               -132024,,                              0,               -402036,                    -72,               -402108,                  1956,                772199,              2136080,              2908279,              2908279,                              0,,,,,,,
3443,2014年01月01日至2014年06月30日,,                305360,                305360,,,                 35419,                 77937,                -11303,                     62,                 -6900,                    -23,                 -1994,                    -22,                 93176,,,                197910,                -43000,                 35097,                 -6071,                 -5731,                178205,,                  9229,                 85608,                              0,                144180,                -24869,                     39,                241028,                419233,                512409,                817769,                -67248,                750521,,             -2175000,              2176994,,                -32197,                     25,                   -179,                  2148,                -70651,                  6807,                -92053,,,,                    -62,                    -62,                    524,                658930,              2136080,              2795010,              2795010,,                 26841,                              0,,,,,
3443,2014年01月01日至2014年03月31日,,                167319,                167319,,,                 17789,                 38583,                -10922,                     18,                 -3474,,                   -950,                  2749,                 43793,,,               -157976,                              0,                 65511,                  3000,                    997,                -88468,,                -16263,                403692,,                 11746,                -42568,                     13,                356620,                268152,                311945,                479264,                   -984,                478280,,               -900000,                900950,,                -27407,,                              0,                  2061,                -39087,                  2957,                -60526,,,,                    -18,                    -18,                  3360,                421096,              2136080,              2557176,              2557176,,,,,,,,
3443,2013年度,,                348382,                348382,,,                 71144,                153937,                  1977,                    281,                -14446,                  1182,                 -3279,                  1647,,,,                248233,                 26528,               -132838,                 28045,                 -1696,                168272,,               -265653,                -98764,                              0,                 92203,                -71489,,               -344721,               -176449,                 35994,                384376,                -84352,                300024,,             -3170000,              3173279,,                -47385,                  1569,                 -3266,                  1609,               -132668,                 14450,               -162412,,                -13273,               -402036,                   -281,               -387962,                  1842,               -248508,              2384588,              2136080,              2136080,,,                 27628,,                212443,                 -1018,,
3443,2013年01月01日至2013年12月31日,,                348382,                348382,,,                 71144,                153937,                  1977,                    281,                -14446,                  1182,                 -3279,                  1647,,,,                248233,                 26528,               -132838,                 28045,                 -1696,                168272,,               -265653,                -98764,,                 92203,                -71489,,               -344721,               -176449,                 35994,                384376,                -84352,                300024,,             -3170000,              3173279,,                -47385,                  1569,                 -3266,                  1609,               -132668,                 14450,               -162412,,                -13273,               -402036,                   -281,               -387962,                  1842,               -248508,              2384588,              2136080,              2136080,,,                 27628,,                212443,                 -1018,,
