證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）
3504,2015年度,,                174343,                174343,,,                242803,                 11659,                   -366,                 -4857,                  5748,                -32831,                   -854,                    723,                222025,,,                  5137,                168779,                107928,                -11573,                -33850,                   -743,                -10607,                225071,,                -59922,                -52106,                -66530,                  3353,                  2524,                -51148,                    -55,                 -2846,               -226730,                 -1659,                220366,                394709,                 37900,                 -6620,                -66375,                359614,,                -52288,                  1544,                 -5419,                 -5768,                    -15,                 -4140,                -66086,,                              0,               -175000,                   -575,               -168808,                    218,               -344165,                -42766,                -93403,              1847927,              1754524,              1754524,,,,,,,
3504,2015年01月01日至2015年09月30日,,                131950,                131950,,,                184197,                  8812,                   -365,                 -4880,                  4218,                -25758,                   -882,                    592,                165934,,,                 97259,                 37392,                 47744,                    461,                -35675,                  3952,                 -1423,                149710,,                -67919,                -36698,                -95911,                   -130,                  4369,                -47690,                    536,                 -2162,               -245605,                -95895,                 70039,                201989,                 30218,                 -5047,                -47946,                179214,,                -44665,                  1544,                 -1605,                 -3830,                 -3627,,                -52183,,                              0,               -175000,                   -516,               -168808,                    218,               -344106,                 -3191,               -220266,              1847927,              1627661,              1627661,                              0,,,,,,
3504,2015年01月01日至2015年06月30日,,                 50384,                 50384,,,                122176,                  5970,                   -274,                 -8507,                  3003,                -17590,                      1,                    592,                105371,,,                  5868,                 95657,                 70093,                   -107,                 77968,                   -585,                 -6795,                242099,,               -126230,                -31409,               -145974,                 82296,                  2814,                -40018,                     44,                 -1448,               -259925,                -17826,                 87545,                137929,                 19811,                 -3762,                -38949,                115029,,                -28023,                    104,                   -686,                 -3332,                    -10,                 -2052,                -33999,,                              0,               -275000,                   -527,,                    218,               -275309,                -50323,               -244602,              1847927,              1603325,              1603325,                              0,,,,,,
3504,2015年01月01日至2015年03月31日,,                 18591,                 18591,,,                 61105,                  3098,                   -347,                 -5195,                  1393,                 -9246,                      1,                    592,                 51401,,,                 96354,                110769,                 19092,                 -5192,                -16338,                  3142,                  4311,                212138,,                -63193,                 -4985,                -85884,                    388,                    567,                -34646,                 -1076,                   -718,               -189547,                 22591,                 73992,                 92583,                  9999,                 -1880,                -20669,                 80033,,                -16012,                    104,                              0,                   -114,,                   -217,                -14337,,                              0,,                   -523,,,                   -523,                -30639,                 34534,              1847927,              1882461,              1882461,                              0,                  1907,                     -5,,,,
3504,2014年度,,                280026,                280026,,,                246013,                 13239,                    322,                  7489,                 10524,                -42898,                    585,                  1902,                237176,,,                 81780,               -249198,                -56700,                     61,                 -4830,                  6502,                 10618,               -211767,,                -50679,                     42,                 -1787,                -11321,                 -5072,                 38438,                -12085,                -19937,                -62401,               -274168,                -36992,                243034,                 38764,                 -9864,                -91321,                180613,,               -118240,                  1221,                 -2894,                -10302,                    -14,                              0,               -130229,,                100000,                              0,                 -1294,               -214432,                              0,               -115726,                121146,                 55804,              1792123,              1847927,              1847927,,,,,,,
3504,2014年01月01日至2014年09月30日,,                168914,                168914,,,                187866,                  9979,                    -44,                  4090,                  7519,                -32571,                  1654,                              0,                178493,,,                146455,                -34511,               -109107,                 -3021,                -47708,                 -3303,                 11669,                -39526,,                -91329,                  8461,               -105670,                -10534,                   -812,                 13278,                -11397,                 -1614,               -199617,               -239143,                -60650,                108264,                 27414,                 -7311,                -45616,                 82751,,                -84794,                              0,                 -4580,                 -5031,                    -10,,                -94415,,                284546,                              0,                              0,               -214432,                              0,                 70163,                 22882,                 81381,              1792123,              1873504,              1873504,                     49,,,,,,
3504,2014年01月01日至2014年06月30日,,                 90361,                 90361,,,                125270,                  6142,                    -28,                  9097,                  5247,                -21876,                  1647,                              0,                125499,,,                122588,                -31055,               -264248,                 -7054,                 -6342,                 -7772,                 -4399,               -198282,,               -118977,                 88865,               -136915,                100130,                 -2678,                 10561,                -11104,                 -1063,                -71181,               -269463,               -143964,                -53603,                 16215,                 -3263,                -28631,                -69282,,                -31566,                              0,                 -4279,                 -3150,                    -10,                              0,                -39005,,                327496,                              0,                              0,,                              0,                327528,                -14980,                204261,              1792123,              1996384,              1996384,                     32,,,,,,
3504,2014年01月01日至2014年03月31日,,                 35221,                 35221,,,                 62491,                  3164,                    165,                 11593,                  1652,                 -9563,                  1687,                              0,                 71189,,,                153752,                -28831,               -140592,                     60,                 62832,                 -2035,                 -9774,                 35412,,               -115349,                 33092,                -63848,                 -7268,                  1502,                     74,                -12766,                   -519,               -165082,               -129670,                -58481,                -23260,                  4688,                 -1638,                -17513,                -37723,,                -13158,                              0,                 -4287,                 -1619,,                              0,                -19069,,                197307,,                              0,,,                197318,                 25137,                165663,              1792123,              1957786,              1957786,                     11,                              0,                     -5,,,,
3504,2013年度,,                350802,                350802,,,                235085,                 13157,                    -28,                 -4407,                  6445,                -27278,                   -334,                              0,,,,                 10661,                401949,                226679,                  2944,                172181,                 15793,                  7496,                837817,,                -94722,                -69579,                 17575,                  8478,                -14788,                -34347,                  1987,,               -187586,                650231,                872871,              1223673,                 25337,                 -6621,               -102616,              1139773,,               -201246,                    465,                 -5926,                -21752,,                    -14,               -228473,,                              0,                -42504,                 -3957,               -239526,,               -285987,                 92800,                718113,              1074010,              1792123,              1792123,,,,,                222640,                    114,                 -2190
3504,2013年01月01日至2013年12月31日,,                350802,                350802,,,                235085,                 13157,                    -28,                 -4407,                  6445,                -27278,                   -334,,,,,                 10661,                401949,                226679,                  2944,                172181,                 15793,                  7496,                837817,,                -94722,                -69579,                 26053,,                -14788,                -34347,                  1987,,               -187586,                650231,                872871,              1223673,                 25337,                 -6621,               -102616,              1139773,,               -201246,                    465,                 -5926,                -21752,,                    -14,               -228473,,                              0,                -42504,                 -3957,               -239526,,               -285987,                 92800,                718113,              1074010,              1792123,              1792123,                              0,,,,                222640,                    114,                 -2190
