證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據（增加）減少,　　 存出保證金增加,　　 發行公司債,　　 短期借款增加
3514,2015年01月01日至2015年09月30日,,               -485250,               -485250,,,              1362008,                  4694,                  8284,                 84301,                -13264,                 -6767,                 13658,                108143,                              0,                 50744,                 41921,              1653722,,,             -1055608,                  7441,               -156423,                -89918,                244123,                161522,                 -9265,               -898128,,                    228,                840618,                 54144,                 78505,                193152,                 12336,                              0,              1178983,                280855,              1934577,              1449327,                 13471,                -71997,                   -417,              1390384,,                              0,                -94500,               -186827,                              0,                324971,                              0,               -270754,                  6767,               -220343,,                603935,                -89387,                982500,             -2147700,                  9099,                712407,                 70854,                -64050,              1176845,              2384333,              3561178,              3561178,,,,,,,,,
3514,2015年01月01日至2015年06月30日,,               -627783,               -627783,,,                914053,                  3381,                  6428,                 57612,                 -4533,,                  9105,                 98618,,                 83489,,              1168153,,,                -48340,                  1420,                 -7787,                 49723,                276405,                 41534,                   -677,                312278,,                     -1,                448385,                 79030,                 -7851,                 -8864,                    903,                              0,                511602,                823880,              1992033,              1364250,                  4065,                -48393,                   -318,              1319604,,                              0,                -94500,               -119831,,                228238,                              0,               -144566,,               -130659,,                361346,,                931200,             -1746450,                   -297,,               -454201,                -76262,                658482,              2384333,              3042815,              3042815,,,,,,,,,
3514,2014年01月01日至2014年09月30日,,               -159618,               -159618,,,              1310792,                  6341,                 10239,                 85967,                 -4289,                 -5989,                 35875,                223901,                    116,                 73123,                              0,              1736076,,,                262600,                              0,               -227906,                145929,               -699084,                111085,                -12557,               -419933,,                              0,               -325426,                -99987,                -73158,                 10869,                  5374,                  1401,               -480927,               -900860,                835216,                675598,                  3882,                -77513,                   -443,                601524,,                   -149,               -602016,                -77173,                     44,                248480,                 -6440,               -884572,                  5989,             -1315837,,                406974,                              0,              1500650,             -1564704,                     30,                              0,                342950,                -74571,               -445934,              2881447,              2435513,              2435513,,,,,,,,,
3514,2014年01月01日至2014年06月30日,,                328674,                328674,,,                888148,                  4486,                  4851,                 58927,                 -3318,,                 23917,                149941,,                 77894,,              1204846,,,                620110,                    -77,                -12596,                -43115,               -430590,                257547,                 -5325,                385954,,                              0,               -262397,               -148683,                -86174,                 10036,                  4218,                  1508,               -481492,                -95538,              1109308,              1437982,                  2950,                -53106,                   -343,              1387483,,                   -149,               -599816,                 -6399,,                110956,                 -6440,               -762476,,             -1264324,,                531074,,                              0,             -1172304,                     30,,               -641200,                -86132,               -604173,              2881447,              2277274,              2277274,,,,,,,,,
3514,2013年01月01日至2013年12月31日,,               -536137,               -536137,,,              1912500,                 12853,                 -9208,                139595,                 -4053,                 -8512,                 18424,                184330,                              0,                 73735,,,,,               -969942,                    174,                 30652,               -158351,                106312,                169517,                 42369,               -779269,,                   -125,                719885,                173479,                 46770,                 -1933,                    530,                   -167,                938439,                159170,              3021786,              2485649,                  3685,               -129478,                 -4296,              2355560,,                 -3102,                -45500,               -325993,                              0,,                 -6761,               -103330,                  8512,               -143683,,             -1362818,,              2220277,             -4359805,                -45773,              1152598,             -1898321,                -78522,                235034,              2646413,              2881447,              2881447,,                              0,                 -2462,                545414,              2862616,                              0,                332491,                497200,
3514,2013年01月01日至2013年09月30日,,               -831309,               -831309,,,              1424157,                  9494,                 -1488,                107827,                 -1837,                 -8512,                 12918,                139447,                              0,                 68161,,,,,               -728561,                    165,               -142470,                     70,                -69834,                520234,                 38557,               -381839,,                   -125,                553281,                198329,                -22348,                  1316,                  1020,                  1673,                733146,                351307,              2644426,              1813117,                  1752,               -102400,                 -4022,              1708447,,                 -3102,                -45500,               -301523,                              0,,                 -6761,                -42631,                  8512,               -256396,,               -918303,,              1538992,             -3710620,                -46010,              1152598,             -1486143,                -74154,               -108246,              2646413,              2538167,              2538167,,                              0,                 -2462,                545414,              2293119,                              0,                134609,                497200,
3514,2013年01月01日至2013年06月30日,,               -436768,               -436768,,,                941916,                  6041,                 -8624,                 71702,                 -1447,,                  8613,                 96122,,                 51629,,,,,               -332639,                -29029,               -174528,                     70,                303304,                220677,                 38007,                 25862,,                              0,                704060,                              0,                -46962,                 32953,                  1292,                     73,                691416,                717278,              1883230,              1446462,                  1388,                -68316,                 -3986,              1375548,,                 -3102,                -33000,               -142785,,,                 -6064,               -152474,,               -280783,,               -433519,,              2452526,             -3046705,                -45951,,             -1073649,                -55264,                -34148,              2646413,              2612265,              2612265,,                              0,,,              1165952,                              0,                 56642,,
3514,2013年01月01日至2013年03月31日,,               -576950,               -576950,,,                466942,                  3058,                 -6662,                 35137,                   -322,,                  4306,                 52129,,                -19180,,,,,                544042,                    174,               -218383,                   -760,                 60934,               -187489,                 32478,                230996,,,                 95402,                              0,                -86177,                 -3219,                  1263,                  8365,                 15634,                246630,                782038,                205088,                    357,                -33898,                    -31,                171516,,                 -3102,                              0,                -10854,,,                   -164,               -192770,,               -201111,,                              0,,              1945070,             -2077410,                 -1403,,                  7148,                 50121,                 27674,              2646413,              2674087,              2674087,,,,,                535408,                              0,                  5779,,                140891
3514,2012年01月01日至2012年12月31日,,             -1961024,             -1961024,,,              1636728,                 12577,                  1821,                137155,                 -6327,                 -8025,                              0,                214505,                     21,                 71733,,,,,              1012585,                 19253,                -18518,                -19747,                464532,                404001,                -45263,              1817743,,                              0,                381473,               -291171,                 40098,               -190961,                   -201,                    167,                -60595,              1757148,              3821675,              1860651,                  5661,               -152637,                -11031,              1702644,,                 -2519,               -274480,               -487337,                     19,,                 -5600,               -795475,                  8025,             -1565561,,               -739032,,              3168030,             -3662500,                -17612,                              0,               -638109,                -68489,               -569515,              3215928,              2646413,              2646413,,                  4339,                              0,                              0,              2064527,                    900,                 -8194,                613005,
3514,2012年01月01日至2012年09月30日,,               -749668,               -749668,,,              1181669,                  9245,                  2467,                100520,                 -4365,                 -8025,                              0,                140489,                     21,                 41635,,,,,                722612,                 19427,               -146444,                -19692,                 15639,                509582,                -51585,              1050439,,                    264,              1043963,               -135022,                 31697,               -185852,                   -270,                              0,                754780,              1805219,              3273214,              2523546,                  3802,               -117678,                -10796,              2398874,,                 -2519,               -271866,               -353682,                     19,,                 -5453,               -631264,                  8025,             -1264934,,             -1001625,,              1524050,             -2632500,                -18265,                              0,             -1515335,                -62770,               -444165,              3215928,              2771763,              2771763,,                  4339,                              0,                              0,              1467995,                    900,                 -8194,                613005,
3514,2012年01月01日至2012年06月30日,,               -387497,               -387497,,,                739701,                  5947,                              0,                 61360,                 -3015,,                              0,                 86320,,                 33845,,,,,                227849,                -12504,                  2667,                -39698,                363945,                444031,                  1649,                988839,,                     17,                946307,                -83644,                  6665,               -192307,                   -546,                  1423,                677915,              1666754,              2595251,              2207754,                  2794,                -77350,                   -748,              2132450,,                              0,               -267890,               -122183,,,                 -3893,               -685040,,             -1087276,,               -287690,,                828850,             -1312500,                -16449,,               -787789,                -46256,                211129,              3215928,              3427057,              3427057,,                  4339,,,                928497,                    900,                 -8270,,
3514,2012年01月01日至2012年03月31日,,               -242963,               -242963,,,                333242,                  2941,                              0,                 27768,                 -1612,,                              0,                 35351,,               -110792,,,,,                386519,                 19427,               -126117,                    356,               -138499,                359041,                 -1043,                500584,,,              1480873,               -157455,                -13979,               -193058,                   -418,                              0,              1115963,              1616547,              1903445,              1660482,                  1619,                -40624,                   -549,              1620928,,                              0,               -267890,                 -1179,,,                   -184,               -540606,,               -812812,,             -1069268,,                665490,             -1606250,                 -4874,,             -2014902,                 59702,             -1147084,              3215928,              2068844,              2068844,,,,,                286898,                    900,                 -2953,,                              0
