證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 其他金融資產減少,　　 應付短期票券減少,　　 償還公司債,　　　　　 其他應收款（增加）減少,　　 存出保證金增加,　　 短期借款減少,　　 預付投資款增加,　　 預付設備款增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損損失,　　 取得採用權益法之投資,　　 應付短期票券增加
3535,2015年01月01日至2015年09月30日,,                  8269,                  8269,,,                 39565,                  4665,                   -686,                    180,                  7264,                   -902,                    -19,                              0,                 -7669,                  2233,                 44631,,,                  9167,               -162174,                 -4827,               -157834,,                 37380,                 -4863,                    579,                    -70,                 33026,               -124808,                -80177,                -71908,                    913,                 -3823,                              0,                -74818,,                 -4995,                 -2481,                     19,                    708,                 -2936,                 -9685,,                 63500,                              0,                 64000,                -26225,                     54,                   -114,                101215,                   -186,                 16526,                247407,                263933,                263933,,,,,,,,,,,,,,,,,,,,
3535,2015年01月01日至2015年06月30日,,                  1727,                  1727,,,                 27242,                  3407,                   -516,                    160,                  4737,                   -695,                    -19,,                   -881,                    378,                 33813,,,                 75702,                  4784,                 -1708,                 78778,,                -92112,                -19560,                  5702,                    -35,               -106005,                -27227,                  6586,                  8313,                    720,                 -2496,                              0,                  6537,,                 -4995,                 -2481,                     19,                  3567,                              0,                 -3890,,                 13500,,                 30000,                 -4150,                     54,                    -60,                 39344,                   -697,                 41294,                247407,                288701,                288701,,,,,,,,,,,,,,,,,,,,
3535,2015年01月01日至2015年03月31日,,                  8028,                  8028,,,                 13790,                  1869,                    -81,                     60,                  2351,                   -301,,,                 -2336,                  2733,                 18085,,,                 42111,                102272,                  2488,                146871,,               -120960,                -22814,                    444,                              0,               -143330,                  3541,                 21626,                 29654,                    329,                   -964,                              0,                 29019,,                 -4995,                   -471,,                  4509,,                   -957,,                 70000,,                 30000,                 -2075,,,                 97925,                   -422,                125565,                247407,                372972,                372972,,,,,,,,,,,,,,,,,,,,
3535,2014年度,,                -30713,                -30713,,,                 48490,                 10681,                   -330,                    288,                  6525,                 -1023,,                 -5540,                 -5235,                  2707,,,,               -261033,                 -8231,                -21465,               -291499,,                145319,                  7689,                -11271,,                140328,               -151171,                -94608,               -125321,                    949,                 -5364,                    -10,               -129746,,                 -4995,                 -1965,,                 -4654,                    -78,                -14363,,                  7000,                200000,                              0,                -43206,                     60,,                163854,                    459,                 20204,                227203,                247407,                247407,,                              0,                              0,                 56563,                   -770,                 -1291,                   -118,                 -2671,                              0,                              0,                              0,,,,,,,,,
3535,2014年01月01日至2014年09月30日,,                 12181,                 12181,,,                 35747,                  8537,                   -170,                    128,                  4312,                   -578,                              0,                 -5540,                   -985,                  1071,                 42522,,,               -143745,                -66351,                -12254,               -222350,,                102021,                 -5797,                -11565,                    -10,                 84649,               -137701,                -95179,                -82998,                    627,                 -4248,                    -10,                -86629,,                 -4995,                   -472,                              0,                 -4492,                    -78,                -10037,,                 47500,                200000,                              0,                -41048,                              0,                              0,                206452,                    102,                109888,                227203,                337091,                337091,,,,,,,,,,,,,,,,,,,,
3535,2014年01月01日至2014年06月30日,,                 15928,                 15928,,,                 23587,                  6025,                  1857,                              0,                  2770,                   -435,                              0,,                    176,                    880,                 34860,,,               -136542,                 58701,                 -7670,                -85511,,                -39351,                 -1376,                -13315,                    -10,                -54052,               -139563,               -104703,                -88775,                    457,                 -2696,                    -51,                -91065,,                 -4995,                   -797,                              0,                   -480,                    -75,                 -6347,,                115000,,                              0,                -18950,                              0,                              0,                 96050,                   -213,                 -1575,                227203,                225628,                225628,,,,,,,,,,,,,,,,,,,,
3535,2014年01月01日至2014年03月31日,,                  4329,                  4329,,,                 11821,                  3301,                  1287,                              0,                  1303,                   -180,,,                 -1877,                    489,                 16144,,,               -107776,                 62452,                 -2943,                -48267,,                -31963,                -11280,                  3657,                    -10,                -39596,                -87863,                -71719,                -67390,                    216,                 -1251,                    -18,                -68443,,                              0,                   -728,,                   -529,,                 -1257,,                 84000,,                              0,                 -8075,,,                 75925,                     18,                  6243,                227203,                233446,                233446,,,,,,,,,,,,,,,,,,,,
3535,2013年度,,               -130703,               -130703,,,                 42293,                 14592,                   -526,                              0,                  9954,                 -1814,,                              0,                   -315,                    494,,,,                110471,                -81386,                 -6393,                 22726,,                125579,                 -2956,                 17028,,                141356,                164082,                237633,                106930,                  2234,                 -8086,                   -221,                100857,,                 -9990,                -12132,,                   -866,                 -1038,                -23991,,               -121500,                              0,                368591,               -173840,                              0,,               -156749,                    879,                -79004,                306207,                227203,                227203,,                  5222,                  3651,                 73551,                     34,                  1859,                   -154,                              0,                     35,                -30000,               -200000,,,,,,,,,
3535,2013年01月01日至2013年12月31日,,               -130703,               -130703,,,                 42293,                 14592,                   -526,,                  9954,                 -1814,                              0,,,                 12090,,,,                110178,                -93476,                 -6358,                 10378,,                125579,,                 14544,,                141828,                152206,                237668,                106965,                  2234,                 -8086,                   -221,                100892,,                 -4995,                 -9555,,,                 -1038,                -24026,,,,                368591,               -173840,,                              0,               -156749,                    879,                -79004,                306207,                227203,                227203,,                  5222,,                 85462,                     34,                  1859,                   -154,,,,               -200000,,                   -866,               -121500,                 -4995,                 -2577,,                  3651,                              0,                -30000
3535,2013年01月01日至2013年09月30日,,               -122288,               -122288,,,                 31269,                 10917,                   -519,                              0,                  8555,                 -1315,,                              0,                     24,                    262,,,,                107031,                -24245,                 -6437,                 76574,,                103642,                 -7940,                 32917,,                129020,                205594,                258848,                136560,                  1703,                 -3368,                   -168,                134727,,                 -4995,                 -6759,,,                   -604,                -12454,,                              0,                              0,                358565,               -119095,,,                -81530,                    734,                 41477,                306207,                347684,                347684,,                  4061,,                 53254,                    113,                    517,                   -116,,,                -30000,               -200000,                    112,                    -96,                -91000,,,,,,
3535,2013年01月01日至2013年06月30日,,                -91760,                -91760,,,                 20717,                  7284,                   -192,,                  6009,                   -897,,,,                  6345,,,,                104775,                -34486,                 -2196,                 68194,,                 78065,,                -10969,,                 67904,                136098,                178264,                 86504,                  1325,                 -2279,                   -132,                 85418,,                 -4995,                 -2638,,,                    -48,                 -9734,,                -61000,,                158600,                -90490,,,                -22868,                    877,                 53693,                306207,                359900,                359900,,                  2900,,                 42166,                    101,                    885,                    -77,,,                -29978,,,                    -31,,                              0,                 -2022,                              0,,,
3535,2013年01月01日至2013年03月31日,,                -38935,                -38935,,,                 10422,                  3656,                    276,,                  2980,                   -393,,,,                  2374,,,,                 78449,                -27751,                 -6218,                 44574,,                 32459,,                -10818,,                 22625,                 67199,                 88253,                 49318,                    834,                 -1110,                    -83,                 48959,,,                 -1587,,,                    -21,                 -2555,,                 39000,,                 29600,                -58552,,,                -19930,                    591,                 27065,                306207,                333272,                333272,,                  1739,,                 21054,                     94,                  1023,                    -39,,,                -29978,,,                   -921,,,                    -26,,,,
3535,2012年01月01日至2012年12月31日,,               -228230,               -228230,,,                 39969,                 15897,                 -1771,,                 11689,                 -1961,                  7679,,,                 16820,,,,                203069,                 35535,                  9731,                248291,,                -19459,,                  1727,,                -45097,                203194,                342458,                114228,                  1454,                 -4458,                   -138,                111086,,                -12915,                -15958,,,                   -719,                -70543,,,,                 47150,                -18166,,                   -144,                 69840,                   -586,                109797,                196410,                306207,                306207,,                 50942,,                139264,                    -44,                -27240,                   -125,,,,                              0,,                  2450,                 41000,                              0,                -32403,,                              0,                -10998,                              0
3535,2012年01月01日至2012年09月30日,,               -115143,               -115143,,,                 29610,                 12180,                 -1550,,                  8788,                 -1496,,,,                 12663,,,,                123453,                 49764,                  8113,                181330,,                  6821,,                   -335,,                -19604,                161726,                230822,                115679,                  1115,                 -3292,                   -105,                113397,,                              0,                -23539,,,                   -572,                -66634,,,,                 64300,                -32722,,,                 21578,                   -593,                 67748,                196410,                264158,                264158,,                  8901,,                 69096,                              0,                -26274,                    184,,,                              0,                              0,,                  2573,                -10000,,                -34098,                              0,,                -10998,
