證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分無活絡市場之債券投資,　　 處分不動產、廠房及設備,　　 短期借款增加,　　 償還公司債,　　 其他非流動負債減少,　　 現金增資,　　 其他籌資活動,　　　　 金融資產減損損失,　　 處分備供出售金融資產,　　　　　 應付票據增加（減少）,　　 預付投資款增加,　　　　 非金融資產減損迴轉利益
3584,2015年01月01日至2015年09月30日,,             -1159199,             -1159199,,,                394447,                  4228,                    389,                              0,                 63368,                 -1965,                 29150,                 29458,                120163,                  1431,                640669,,,                 -6678,              1687515,                 20328,                128963,                 44135,              1874263,,             -1366014,               -168524,                -34038,                 -6253,                  5206,             -1569623,                304640,                945309,               -213890,                  1966,                -60939,                 -2568,               -275431,,                              0,                -10379,                   -641,               -103272,                   -562,                 -3810,                              0,               -118664,,               -310809,                              0,               -321464,                              0,               -632273,                  7528,             -1018840,              1988655,                969815,                969815,,,,,,,,,,,,,,
3584,2015年01月01日至2015年06月30日,,               -738412,               -738412,,,                264576,                  2782,                    439,                              0,                 43509,                 -1607,                 23869,                 18650,                    112,                    953,                353283,,,                -31745,              1222744,                 24506,                124561,                 13234,              1353300,,               -988289,               -160416,                -19345,                 -7564,                  5206,             -1170408,                182892,                536175,               -202237,                  1607,                -41286,                   -384,               -242300,,                              0,                 -6617,                   -118,,                   -511,                 -3319,                              0,                -10565,,               -226724,                              0,               -312143,                              0,               -538867,                 46043,               -745689,              1988655,              1242966,              1242966,,,,,,,,,,,,,,
3584,2015年01月01日至2015年03月31日,,               -389394,               -389394,,,                134355,                  1437,                    379,                              0,                 22897,                   -651,                  8608,                 18343,                 22011,                    481,                207860,,,               -224160,              1425411,                 23992,                 44396,                 35222,              1304861,,             -1145332,               -149688,                 -1097,                 -5821,,             -1301938,                  2923,                210783,               -178611,                    651,                -18779,,               -196739,,,                 -5045,                   -118,,                     77,                   -528,                              0,                 -5614,,               -189014,                              0,                -34793,,               -223807,                 26311,               -399849,              1988655,              1588806,              1588806,,,,,,,,,,,,,,
3584,2014年度,,               -445693,               -445693,,,                495298,                  7672,                -19847,                    196,                 99527,                 -5085,                  9439,                -76139,                  5573,                  1638,,,,                 -9436,             -1165681,                -57964,                -53807,                 39406,             -1247482,,              1527442,                 93692,                 34225,                 -5074,                   -900,              1649385,                401903,                920175,                474482,                  5088,                -94805,                 -3106,                381659,,,               -120788,                 -1712,,                 -2129,                 -8818,                -20526,               -149020,,,                344700,               -627933,,                 63102,                -78232,                217509,              1771146,              1988655,              1988655,,                518272,                  4953,                              0,                346365,                              0,                    -30,                              0,                              0,,,,,
3584,2014年01月01日至2014年09月30日,,               -472767,               -472767,,,                361276,                  5800,                -19833,                    196,                 72511,                 -3500,                  1483,                -57879,                -13863,                  1167,                347358,,,               -140422,             -1551730,               -100074,               -461667,                  2128,             -2251765,,              2126777,                195120,                              0,                 -1543,                    185,              2320539,                 68774,                416132,                -56635,                  3503,                -58786,                 -2683,               -114601,,                  4953,               -675003,                   -787,                -17930,                   -403,                551465,                -20526,               -158231,,                619935,                304700,               -321895,                    -30,                602710,                 -8760,                321118,              1771146,              2092264,              2092264,,,,,,,,,,,,,,
3584,2014年01月01日至2014年06月30日,,               -512761,               -512761,,,                228668,                  3922,                -19051,                    196,                 44989,                 -2718,                  1483,                -67319,                -31694,                    711,                159187,,,               -109262,             -1355865,                -60636,               -485086,                -40520,             -2051369,,              1973147,                 90997,                              0,                 -2470,                     27,              2061701,                 10332,                169519,               -343242,                  2717,                -41968,                   -587,               -383080,,                  4953,               -624536,                   -612,,                   -414,                526235,                -20526,               -114900,,                370143,                304700,               -287197,                    -30,                387616,                 32180,                -78184,              1771146,              1692962,              1692962,,,,,,,,,,,,,,
3584,2014年01月01日至2014年03月31日,,               -315457,               -315457,,,                105215,                  1978,                 21019,                    196,                 22293,                 -1221,                  1483,                -74121,                 19322,                    305,                 96469,,,                 -3379,                -10825,                -34708,               -182847,                 -5222,               -236981,,                328316,                -29798,                              0,                 -3552,,                294966,                 57985,                154454,               -161003,                  1222,                -10767,,               -170548,,,                -24376,                   -228,,                   -216,                   -667,                -20526,                -46013,,                112626,                304700,                -26757,,                390569,                    562,                174570,              1771146,              1945716,              1945716,,,,,,,,,,,,,,
3584,2013年度,,               -367566,               -367566,,,                382798,                  8591,                124143,                  3451,                 72902,                 -3891,                  3690,                 71415,                -71651,                  1185,,,,                 86058,               -353059,                 48918,                212864,                -53781,                -59000,,                 54724,                 30459,                              0,                 11786,                 15270,                112239,                 53239,                645872,                278306,                  3992,                -71156,                 -4023,                207119,,,               -502331,                 -3765,,                -24318,               -528897,                              0,             -1056376,,,                              0,               -531742,,               -115782,                -65507,             -1030546,              2801692,              1771146,              1771146,,                592633,                              0,                  2935,                808605,             -1197557,                    -88,                810000,                 -5000,,,,,
3584,2013年01月01日至2013年12月31日,,               -367566,               -367566,,,                382798,                  8591,                124143,                  3451,                 72902,                 -3891,                  3690,                -14804,                -71651,                 87404,,,,                 86058,               -353059,                 48918,                212864,                -53781,                -59000,,                 54724,                 30459,,                 11786,                 15270,                112239,                 53239,                645872,                278306,                  3992,                -71156,                 -4023,                207119,,,               -502331,                 -3765,,                -24318,               -528897,,             -1056376,,,,               -531742,,               -115782,                -65507,             -1030546,              2801692,              1771146,              1771146,,                592633,                              0,                  2935,                808605,             -1197557,                    -88,                810000,                 -5000,                              0,                              0,,,
3584,2013年01月01日至2013年09月30日,,               -202888,               -202888,,,                283964,                  6565,                 61945,                  3648,                 53933,                 -2497,                  2480,                 17951,                -14955,                    872,,,,                 80543,               -613693,                 37651,                 93896,                 17784,               -383819,,                165417,                 56202,,                 14753,                 17161,                253533,               -130286,                283620,                 80732,                  2600,                -44775,                 -4226,                 34331,,,               -445564,                 -3018,,                     46,               -392481,                              0,               -841017,,                740518,                              0,               -288499,                    -90,                 59372,                  5452,               -741862,              2801692,              2059830,              2059830,,                413906,                              0,,,             -1197557,,                810000,                 -5000,,,,,
3584,2013年01月01日至2013年06月30日,,                -74022,                -74022,,,                187523,                  4383,                 24898,                  4145,                 33945,                 -2154,                  1141,                  7262,                 -4697,                    578,,,,                 80857,             -1584260,                -20071,               -399565,                 -9460,             -1932499,,              1420934,                121289,,                 22009,                 17452,              1581684,               -350815,                -93791,               -167813,                  2255,                -32106,                   -729,               -198393,,,               -237993,                 -3025,,                   -615,               -390215,                              0,               -631848,,                743838,                              0,               -267418,                      4,                 88867,                -50469,               -791843,              2801692,              2009849,              2009849,,                257024,                              0,,,             -1192557,,                810000,                 -5000,,,,,
3584,2013年01月01日至2013年03月31日,,               -117874,               -117874,,,                 92863,                  2214,                 23125,                  4300,                 17152,                   -458,                   -240,                 35278,                -18268,                    286,,,,                 78693,               -837750,                -10513,               -263163,                -28056,             -1060789,,                828368,                  7293,,                  5343,                 17453,                858457,               -202332,                -46080,               -163954,                    556,                 -9417,,               -172815,,,               -148998,                 -2231,,                   -857,               -251704,                              0,               -403790,,               -204223,                 12605,                              0,                      3,               -574172,                -41097,             -1191874,              2801692,              1609818,              1609818,,                156252,,,,             -1192557,,                810000,,,,,,
3584,2012年01月01日至2012年12月31日,,             -1034538,             -1034538,,,                321071,                  7843,                  4325,                 19546,                 71587,                 -6396,                  9113,                 81066,                -12622,                 48662,,,,                -88264,                696440,                 -2642,                238028,                 35813,                879375,,               -222132,               -265927,,                 -3799,                  8774,               -483084,                396291,                946566,                -87972,                  6357,                -52589,                 -5590,               -139794,,,               -506468,                 -6181,,                 -2449,                178998,,               -332353,,,,               -515250,,                -79683,                 25030,               -526800,              3328492,              2801692,              2801692,,                550275,                    547,                              0,                466482,                -30788,                   -127,                              0,                              0,                  6080,                  3200,,,
3584,2012年01月01日至2012年09月30日,,               -827227,               -827227,,,                229411,                  5830,                  1074,                 14827,                 52324,                 -4225,                  6468,                144503,                  3019,                 22633,,,,                    356,                748113,                -20293,                203601,                 26138,                957915,,               -480760,               -327757,,                 -2566,                  4738,               -807270,                150645,                629509,               -197718,                  4197,                -37437,                              0,               -230958,,,               -451577,                 -3943,,                 -1606,                185011,,               -271004,,               -375091,,               -299825,                   -216,               -681290,                 31423,             -1151829,              3328492,              2176663,              2176663,,                478864,                    547,,,                 -6158,,                              0,                              0,                  3000,                  3200,                   -925,                 -2636,
3584,2012年01月01日至2012年06月30日,,               -628162,               -628162,,,                153563,                  3910,                  4606,                  9373,                 35603,                 -3387,                  3913,                 85666,                -12524,                 22633,,,,                    350,              1058160,                  8960,                 91623,                 31334,              1190427,,               -566759,               -361589,,                 -2519,                  4770,               -927022,                263405,                566761,                -61401,                  3312,                -27143,                              0,                -85232,,,               -425061,                 -2884,,                 -1013,                184220,,               -244191,,               -473434,,                -65144,                     61,               -542173,                 12147,               -859449,              3328492,              2469043,              2469043,,                303356,                    547,,,                 -3656,,                              0,                              0,,,                   -925,,                              0
3584,2012年01月01日至2012年03月31日,,               -362788,               -362788,,,                 79580,                  2001,                   -661,                 -5636,                 19314,                 -1197,                  2992,                 34290,                -14426,                              0,,,,                    358,              1068422,                 12045,                 51331,                 35609,              1167765,,               -602361,               -265338,,                  4259,                  4734,               -859656,                308109,                424366,                 61578,                  1194,                 -7212,,                 55560,,,               -155779,                 -2638,,                   -457,                 -9277,,               -168151,,               -367711,                              0,                -63574,                    171,               -434770,                 30705,               -516656,              3328492,              2811836,              2811836,,                116257,,,,                 -3656,,                              0,,,,                   -950,,                              0
