證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 無活絡市場之債務工具投資到期還本,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　 存出保證金減少,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 處分備供出售金融資產,　　 無活絡市場之債務商品投資到期還本,　　 其他金融資產減少,　　 短期借款減少,　　　　 非金融資產減損迴轉利益,　　 取得無活絡市場之債券投資,　　 停業單位稅前淨利（淨損）
3617,2015年01月01日至2015年09月30日,,                578633,                578633,,,                 51951,                  2215,                  7419,                 -1625,                  5947,                -14462,                    234,                    787,                    263,                 30541,                -34317,                  7070,                 56023,,,                 -1428,               -192680,                 -2955,               -317168,                -43783,                 -6340,               -564354,,                   -246,                309663,                 39443,                 -1829,                   -105,                346926,               -217428,               -161405,                417228,                 16037,                 -6010,               -100682,                326573,,                 85757,                -52283,                    657,                 -6467,                 -2800,                 24864,,               -300000,               -341987,                 28026,               -613961,                  2015,               -260509,              1831298,              1570789,              1570789,,,,,,,,,,,,,,,
3617,2015年01月01日至2015年06月30日,,                212450,                212450,,,                 34388,                  1465,                  6175,                 -1625,                  4007,                -11198,                    234,                    958,                    263,                 12636,                -16468,                  6447,                 37282,,,                 -5361,               -223087,                -15448,                -86736,                  3939,                 -4128,               -330821,,                   -249,                 87274,                 20995,                 -5352,                   -289,                102379,               -228442,               -191160,                 21290,                 11111,                 -3957,                -48388,                -19944,,                 85757,                -37999,                    120,,                 -2800,                 40423,,                100000,,                 26874,                126874,                 -7940,                139413,              1831298,              1970711,              1970711,                              0,                 -4655,,,,,,,,,,,,,
3617,2015年01月01日至2015年03月31日,,                 50215,                 50215,,,                 17265,                    741,                    833,                 -1625,                  1879,                 -5589,                    234,                    113,,                  5970,                -27407,                  6826,                   -760,,,                 -1875,                162066,                -23223,               -144748,                -10176,                              0,                -17956,,                   -256,                 68113,                -21632,                 -3384,                   -330,                 42511,                 24555,                 23795,                 74010,                  5091,                 -1875,                 -9505,                 67721,,                    808,                -20855,                    110,                 -5979,,                -68916,,                              0,,                 19424,                 19424,                 -5173,                 13056,              1831298,              1844354,              1844354,                              0,,                -43000,,,,,,,,,,,,
3617,2014年度,,                563404,                563404,,,                 67482,                  1361,                 23899,                     65,                  7448,                -29189,                  4091,                    123,,                 39866,                -21091,                  1406,,,,                   -303,                -45522,                 14386,                -83336,                -28730,                   -192,               -143697,,                     70,                 35002,                 32006,                  3020,,                 70519,                -73178,                 22283,                585687,                 27998,                 -7906,               -128222,                477557,,,                -45179,                     87,                 -9721,                -13952,                 45531,,                              0,               -320642,                 33599,               -337043,                  1437,                187482,              1643816,              1831298,              1831298,,                              0,,,                              0,                 95461,                    421,                              0,                              0,                114296,                              0,                -50000,,,
3617,2014年01月01日至2014年09月30日,,                351635,                351635,,,                 51317,                     11,                 18198,                  1923,                  5956,                -22747,                  4075,                     90,                              0,                 24985,                 -9147,                  1527,                 76188,,,                   -817,                -70764,                  7535,               -173202,                -37386,                   -189,               -274823,,                   -136,                339269,                 54900,                  3362,                   -186,                397209,                122386,                198574,                550209,                 20502,                 -6473,               -108035,                456203,,                 49816,                -45874,                     86,                 -8690,                              0,                 -4662,,               -200000,               -320642,                 33195,               -487447,                    318,                -35588,              1643816,              1608228,              1608228,,,,,,,,,,,,,,,
3617,2014年01月01日至2014年06月30日,,                163853,                163853,,,                 34093,                      8,                  2636,                 -2673,                  4236,                -15853,                  2826,                     84,                              0,                  8507,                 -5670,                  1243,                 29437,,,                 -1183,                -20239,                 17176,                144178,                 -8625,                   -191,                131116,,                   -174,                 36441,                 13913,                  2651,                     -3,                 52828,                183944,                213381,                377234,                 13858,                 -4598,                -48612,                337882,,                              0,                -33358,                     88,,                              0,               -224606,,               -137925,,                 32229,               -105696,                  1592,                  9172,              1643816,              1652988,              1652988,               -188793,                 -2543,,,,,,,,,,,,,
3617,2014年01月01日至2014年03月31日,,                 79755,                 79755,,,                 16889,                      4,                 -5217,                 -1212,                  1919,                 -8329,                  1589,                      8,,                  9881,                -17527,                  1866,                   -129,,,                 -1202,                169683,                    629,                 49092,                -29170,                  5043,                194075,,                   -188,                -98978,                -15580,                  1828,                     97,               -112821,                 81254,                 81125,                160880,                  7910,                 -2438,                 -1786,                164566,,                              0,                 -6985,                     91,                 -1997,,               -155729,,                 49303,,                 28937,                 78240,                  5424,                 92501,              1643816,              1736317,              1736317,               -146838,,                              0,,,,,,,,,,,,
3617,2013年度,,                481690,                481690,,,                 69774,                     90,                 -7008,                  2107,                    744,                -10182,                 12036,                  2606,,                 10441,                -11666,                  3550,,,,                 -1040,               -107963,                -26375,               -152683,                -23798,                  7164,               -304695,,                    -93,               -256889,                  5897,                  6705,,               -242803,               -547498,               -475392,                  6298,                  8934,                   -147,               -109155,                -94070,,,                -64411,                 17625,                              0,                              0,                136212,,                650000,               -301142,                    148,                349006,                 29111,                420259,              1223557,              1643816,              1643816,,                    433,,,                   -386,                 72106,                  3684,                 -2107,                 30386,                149947,                  2232,                              0,,,
3617,2013年01月01日至2013年12月31日,,                481690,                481690,,,                 69774,                     90,                 -7008,                  2107,                    744,                -10182,                 12036,                  2606,,                 10441,                -11666,                  3550,,,,                 -1040,               -107963,                -26375,               -152683,                -23798,                  7164,               -304695,,                    -93,               -256889,                  5897,                  6705,,               -242803,               -547498,               -475392,                  6298,                  8934,                   -147,               -109155,                -94070,,,                -64411,                 17625,,                              0,                136212,,                650000,               -301142,                    148,                349006,                 29111,                420259,              1223557,              1643816,              1643816,,                    433,,,                   -386,                 72106,                  3684,                 -2107,                 30386,                149947,                  2232,,,,
3617,2013年01月01日至2013年09月30日,,                330283,                330283,,,                 52987,                     77,                 -7271,                 -2503,                              0,                 -7082,                  9544,                  1027,,                  8796,                 10178,                  3632,,,,                 -3724,                -51164,                -17111,               -385056,                -24755,                              0,               -481810,,                    246,                 69405,                 -1822,                  7890,,                 73595,               -408215,               -339216,                 -8933,                  6975,                              0,                -89982,                -91940,,,                -46810,                 13887,,,                 98851,,,               -301142,                     94,               -301048,                  4639,               -289498,              1223557,                934059,                934059,,                  1471,                    -83,,                   -386,                 68999,                    -17,                 -2107,                 30386,                100000,,                              0,,,
