證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 存出保證金減少,　　 預付設備款增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預收款項增加（減少）,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 現金增資,　　 其他籌資活動,　　 處分無活絡市場之債券投資,　　 其他非流動資產增加
3661,2015年01月01日至2015年09月30日,,                 91025,                 91025,,,                397354,                128777,                  3939,                  3652,                -27293,                  2648,                 -4717,                 53347,                 11970,                 66649,                636326,,,               -376858,                  6489,               -180404,                 66721,                -19150,               -503202,,                223660,                -41147,                -38207,                144306,               -358896,                277430,                368455,                 -3193,                -81949,                283313,,               -839773,                -11051,                -31444,               -344678,                  4717,                   -577,                -44936,               -251532,                 20204,             -1499070,,                667134,                -39433,                 21436,               -113335,                535802,                 11122,               -668833,              1356724,                687891,                687891,,,,,,,,,,,,,
3661,2015年01月01日至2015年06月30日,,                 -6551,                 -6551,,,                261651,                 89940,                  4462,                  1541,                -14136,                  1106,                 -4677,,                 -1014,                 44775,                426895,,,                -65192,                  8173,               -160482,                 79462,                -13460,               -151499,,                 21615,                -67062,                  8799,                -36648,               -188147,                238748,                232197,                 -1086,                -58067,                173044,,               -832693,                -35510,                -31179,               -191527,                  4677,                              0,                -42631,               -249411,                 15548,             -1361806,,                664294,,                 21436,               -113335,                572395,                -29194,               -645561,              1356724,                711163,                711163,                 43247,                    920,                              0,,,,,,,,,,
3661,2015年01月01日至2015年03月31日,,                -52697,                -52697,,,                127691,                 48738,                     -6,                    183,                 -2170,                              0,                              0,                 32209,                    928,                 22852,                230425,,,                305473,                 11566,               -103092,                -17003,                  9604,                206548,,                 26580,                -26842,                 -7990,                 -8252,                198296,                428721,                376024,,                 -5006,                371018,,               -326304,                -40618,                -31523,                 -2114,,                   -985,                -35941,               -315229,                  1471,               -914201,,                326304,,                 21436,                 -3942,                343798,                -13657,               -213042,              1356724,              1143682,              1143682,,                  1912,               -164870,                              0,,,,,,,,,
3661,2014年度,,                299508,                299508,,,                469731,                177056,                  4951,,                 -7085,                  2038,                   -328,                 40879,                  8679,                 76938,,,,               -142378,                 16768,               -129652,               -205497,                 -7977,               -468736,,                 37426,                 86571,                   -277,                237878,               -230858,                544894,                844402,,                -56664,                787738,,,,,               -534670,                  1260,                 -1635,               -163133,,                  7060,               -810474,,,                 -9746,                125947,,                769815,                 53093,                800172,                556552,              1356724,              1356724,                  2893,                    539,                -54550,,,                775752,                114158,               -206815,                141470,                660566,                 -6952,,
3661,2014年01月01日至2014年09月30日,,                227096,                227096,,,                323791,                128127,                  4046,                              0,                 -5801,                    106,                   -371,                 28072,                  2576,                 57157,                537703,,,               -129931,                 22681,               -319902,               -234202,                 -1652,               -663006,,                202177,                 58993,                232612,                493782,               -169224,                368479,                595575,                              0,                -27784,                567791,,                              0,                -75667,                              0,               -388606,                  1298,                   -796,               -128593,                              0,                  5786,               -586578,,                              0,                 -4698,                 55439,                              0,                 50741,                  8574,                 40528,                556552,                597080,                597080,,,,,,,,,,,,,
3661,2014年01月01日至2014年06月30日,,                134974,                134974,,,                200768,                 81590,                  6502,                              0,                 -2969,                    106,                   -436,,                  4889,                 37902,                353317,,,                 34411,                 20385,               -187686,                -93801,                 -1649,               -228340,,                175623,                 76264,                112477,                364364,                136024,                489341,                624315,                              0,                -18832,                605483,,                              0,                -25850,                              0,               -109857,                  1217,                   -896,               -107663,                              0,                  2959,               -476447,,                              0,,                 21133,                              0,                 21133,                 -1959,                148210,                556552,                704762,                704762,                 24965,                              0,               -236357,,,,,,,,,,
3661,2014年01月01日至2014年03月31日,,                 62209,                 62209,,,                 83155,                 37831,                    741,                              0,                 -1006,                     86,                     17,                 20340,                  4879,                 18585,                164628,,,                 78070,                -17843,               -136509,               -169414,                  7589,               -238107,,                 68186,                 -6197,                197836,                259825,                 21718,                186346,                248555,,                -10004,                238551,,                              0,                -59376,                              0,                -48619,,                 -1037,                -45285,                              0,                    983,               -274984,,                              0,,                 12334,                              0,                 12334,                 10216,                -13883,                556552,                542669,                542669,,                    175,               -121825,                              0,,,,,,,,,
3661,2013年度,,                152175,                152175,,,                246045,                 99074,                  7316,,                 -6029,                  1212,                  1063,                 42468,                 -5408,                 85964,,,,                -71428,                 -5597,                120852,               -106649,                 -8935,                -71757,,                -89391,                 14882,                 -4563,                -79072,               -150829,                314051,                466226,,                   -436,                465790,,,,,               -351053,                    235,                              0,               -156938,,                  6076,               -513055,,,                              0,                     90,,                     90,                 16660,                -30515,                587067,                556552,                556552,                 -6825,                    171,                              0,,,                464880,                              0,                -47936,                 36390,                              0,                              0,,
3661,2013年01月01日至2013年12月31日,,                152175,                152175,,,                246045,                 99074,                  7316,,                 -6029,                  1212,                  1063,                 42468,                 -5408,                 85964,,,,                -71428,                 -5597,                120852,               -106649,                 -8935,                -71757,,                -89391,                 14882,                 -4563,                -79072,               -150829,                314051,                466226,,                   -436,                465790,,,,,               -351053,                    235,                              0,               -156938,,                  6076,               -513055,,,                              0,                     90,,                     90,                 16660,                -30515,                587067,                556552,                556552,                 -6825,                    171,,,,                464880,,                -47936,                 36390,,,,
3661,2013年01月01日至2013年09月30日,,                 23443,                 23443,,,                166012,                 59775,                  6503,,                 -4278,                  1009,                    727,                 39379,                 -3217,                 68665,,,,                  4966,                 -8314,                 29427,                -44077,                 -1878,                -19876,,                -26583,                -17829,                 27522,                -16890,                -36766,                297809,                321252,,                   -469,                320783,,,,,               -201641,                    234,                     -6,                -95241,,                  4327,               -285596,,,                              0,                              0,,                              0,                 13334,                 48521,                587067,                635588,                635588,,                    146,,,,                334575,,                -29734,                 36319,,,,
