證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 償還長期借款,　　 存入保證金減少,　　 庫藏股票買回成本,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得投資性不動產,　　 處分投資性不動產,　　　　 其他項目,　　 存出保證金增加,　　 其他籌資活動
3679,2015年度,,                516432,                516432,,,                250177,                 18968,                  6872,                -11878,                 16585,                -66844,                 -1411,                  9101,                221570,,,                301992,               -251170,                -58798,                 -6141,                  6138,                 -7979,,                -19075,                 44392,                 25317,                 17338,                238908,                755340,                 66844,                -16231,                -59674,                746279,,               -320671,                  9247,                 -8247,               -319671,,                138138,                -49578,                     88,               -277562,               -188914,                -48605,                189089,              3146671,              3335760,              3335760,,,,,,,,,,,,
3679,2015年01月01日至2015年09月30日,,                288039,                288039,,,                186357,                 14408,                  5771,                 -8943,                 12622,                -50921,                    223,                 15670,                175187,,,               -420599,               -330802,               -129542,                 -1300,                  5396,               -876847,,                 89124,                 10362,                 99486,               -777361,               -602174,               -314135,                 48412,                -12540,                -29297,               -307560,,               -289566,                  7054,                 -7281,               -289793,,                 58430,,                     62,               -277562,               -256253,                 70641,               -782965,              3146671,              2363706,              2363706,                              0,                -37183,,,,,,,,,,
3679,2015年01月01日至2015年06月30日,,                 41860,                 41860,,,                122695,                  9828,                  3330,                 -4393,                  8357,                -35041,                  2198,                 19440,                126414,,,                  6501,                 31289,               -123361,                -16329,                  4393,                -97507,,                 60663,                   -585,                 60078,                -37429,                 88985,                130845,                 35041,                 -8181,                -17844,                139861,,               -199926,                  4909,                 -3454,               -198471,,                 87445,,,,                 62641,               -102404,                -98373,              3146671,              3048298,              3048298,,                -24789,                    -15,                              0,,,,,,,,
3679,2015年01月01日至2015年03月31日,,                 -4661,                 -4661,,,                 66859,,                  1136,                 -2071,                  4260,                -15389,                  1667,                 25299,                 81761,,,               -194787,                324060,                -74303,                 -6973,                     63,                 48060,,                -21630,                -58210,                -79840,                -31780,                 49981,                 45320,                 15389,                 -3815,                -18412,                 38482,,                -81848,                  2378,                 -5615,                -85085,,                 -2275,,,,                -14675,                -41713,               -102991,              3146671,              3043680,              3043680,,                -12394,                     -6,,                              0,,,,,,,
3679,2014年度,,                443766,                443766,,,                248189,                 22771,                    -66,                              0,                 16693,                -65211,                -15185,                 -6411,                200780,,,               -702763,                 90069,                -10102,                 -6630,                 -3960,               -633386,,                -60956,                  1636,                -59320,               -692706,               -491926,                -48160,                 65211,                -16645,                -94482,                -94076,,               -161193,                 28680,                 -9439,               -141952,,                 76895,               -124091,                    612,               -237910,               -284494,                161796,               -358726,              3505397,              3146671,              3146671,,,,,,,,,,,,
3679,2014年01月01日至2014年09月30日,,                291621,                291621,,,                185037,                 17517,                  1063,                              0,                 12500,                -35731,                -10369,                              0,                166895,,,                              0,                134892,                -35271,                 -2723,                 -2663,                 94235,,                -13578,                 -6886,                -20464,                 73771,                240666,                532287,                 35731,                -11628,                -68291,                488099,,               -117408,                 23453,                 -7943,               -101898,,                 68900,,                    592,               -237910,               -280114,                 25769,                131856,              3505397,              3637253,              3637253,                 -3122,               -111696,,,,,,,,,,
3679,2014年01月01日至2014年06月30日,,                162782,                162782,,,                124377,                 12267,                    126,                              0,                  8583,                -24151,                 -9803,                     61,                111460,,,                              0,                317236,                 18568,                -10215,                 -3232,                322357,,               -190685,                -24365,               -215050,                107307,                218767,                381549,                 24151,                 -7942,                -45124,                352634,,               -102500,                 20894,                 -3609,                -85215,,                 15293,,,,               -134009,                -66082,                 67328,              3505397,              3572725,              3572725,,               -149302,                              0,                              0,,,,,,,,
3679,2014年01月01日至2014年03月31日,,                 84721,                 84721,,,                 69304,,                    198,                              0,                  4449,                 -5683,                 -7320,                 11542,                 72490,,,                              0,                470784,                 -4535,                  2063,                 -3996,                464316,,               -200372,                -66555,               -266927,                197389,                269879,                354600,                  5683,                 -3705,                 -5630,                350948,,                -63827,                 14335,                   -382,                -49874,,                 80165,,,,                -56742,                  3020,                247352,              3505397,              3752749,              3752749,,               -136907,                              0,,                              0,,,,,,,
3679,2013年度,,                374619,                374619,,,                264383,                 25958,                   -776,,                 17977,                -50778,                    756,                 13834,,,,                              0,                 65232,                 71152,                 -6103,                  6148,                136429,,                -84571,                  4687,                -79884,                 56545,                327899,                702518,                 50778,                -18069,               -135677,                599550,,               -198253,                  3904,                -16189,               -210538,,                              0,                155215,                              0,               -243492,               -208993,                177586,                357605,              3147792,              3505397,              3505397,,,                   -140,                -95166,                -25410,,                271354,,,,,
3679,2013年01月01日至2013年12月31日,,                374619,                374619,,,                264383,                 25958,                   -776,,                 17977,                -50778,                    756,                 63589,,,,,                 65232,                 21397,                 -6103,                  6148,                 86674,,                -84571,                  4687,                -79884,                  6790,                327899,                702518,                 50778,                -18069,               -135677,                599550,,               -198253,                  3904,                -16189,               -210538,,                              0,                155215,,               -243492,               -208993,                177586,                357605,              3147792,              3505397,              3505397,,,                   -140,                -95166,                -25410,,                321109,,,,,
