證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他營業資產（增加）減少,　　 其他金融資產增加,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 償還長期借款,　　 庫藏股票買回成本,　　 預付投資款增加,　　　　　 其他流動負債增加（減少）,　　 採用權益法之被投資公司減資退回股款,　　 其他投資活動,　　　　 處分其他資產損失（利益）,　　　　　 其他流動資產（增加）減少
3682,2015年01月01日至2015年09月30日,,             -2456663,             -2456663,,,              1668033,                987281,                118765,                 -5668,                      5,                -88928,                  6561,                 26565,              2712614,,,                953956,                 -1676,                 97175,                -38326,                 18088,                402414,               -211541,              1220090,,                  5939,               -463918,                  2376,                263433,                  3887,                 84167,                 -4901,                 -3130,               -112147,              1107943,              3820557,              1363894,                -10573,              1353321,,             -2301408,                     73,             -1072183,                 48433,                -10322,                114132,                -64143,                   -156,                 97134,             -3188440,,                106508,               -109355,                              0,                              0,                     -5,                 -2852,             -1837971,             16663946,             14825975,             14825975,,,,,,,,,,,,,,,,,,,,
3682,2015年01月01日至2015年06月30日,,             -1357315,             -1357315,,,              1102319,                652669,                 74409,                 -3925,                      4,                -62046,                  4464,                 24313,              1792207,,,                250887,                 -5907,                 89787,                -44853,                  5055,                247026,               -114975,                427020,,                  1929,               -297328,                  2574,                626855,                  2591,                 74124,                 -3426,                 -2087,                405232,                832252,              2624459,              1267144,                 -6251,              1260893,,             -1612454,                     19,                -57847,                 21682,                 -6025,                114132,                -39652,,                 62560,             -1517355,,                 93959,                -91850,,,                     -4,                  2105,               -254357,             16663946,             16409589,             16409589,                              0,                              0,                    230,,,,,,,,,,,,,,,,,
3682,2015年01月01日至2015年03月31日,,               -394306,               -394306,,,                537837,                325710,                 36051,                 -2021,                      1,                -31535,                  2384,                  8724,                877151,,,                800887,                 -1729,                 61505,                -26923,                 -6957,                288222,               -148684,                966321,,                  2336,               -754631,                    596,                278820,                  1295,                 52569,                 -1804,                 -1043,               -421862,                544459,              1421610,              1027304,                 -1661,              1025643,,               -910221,,                -41194,                  9452,                 -5528,,                -34510,,                 16647,               -964738,,                 45882,                 -9256,,,                     -1,                 36625,                 97530,             16663946,             16761476,             16761476,                              0,,,                    616,,,,,,,,,,,,,,,,
3682,2014年度,,            -10206189,            -10206189,,,              2802445,              1501498,                190846,                 -6414,                      7,                -82797,                  8815,                 77402,,,,             -1499733,                  2399,                 57141,                  2674,                 30553,               -385722,                 -4930,             -1797618,,                  1392,              1005706,               -250060,               -240483,                 47274,                 -9751,,                 -4174,                541587,             -1256031,             13602759,              3396570,                 -5283,              3391287,,             -2477970,                     11,                -60844,                 52524,               -110361,,               -177702,,                 53167,             -2681637,,                 33068,                -33352,             -1520589,             11657770,                     -7,             10090670,             10800320,              5863626,             16663946,             16663946,                              0,,,                 39538,,                              0,                    762,                              0,             10366226,             14858790,                 -8317,                              0,                              0,                -46220,,,,,,
3682,2014年01月01日至2014年09月30日,,                494530,                494530,,,              2071981,              1093087,                157078,                 -3693,                      4,                -50624,                  7269,                 23949,              3299051,,,             -1499733,                    836,                 63264,                  2672,                 38133,                101552,               -165955,             -1459231,,                  3434,                232509,               -250598,                -45249,                  3888,                -11230,                 -6599,                 -3131,                -76976,             -1536207,              1762844,              2257374,                 -3642,              2253732,,             -1753496,                     11,                -45430,                 41783,                -89947,                              0,               -152476,                 39922,                 36569,             -1923064,,                 25449,                -28388,             -1520589,             11657770,                     -4,             10134238,             10464906,              5863626,             16328532,             16328532,,,,,,,,,,,,,,,,,,,,
3682,2014年01月01日至2014年06月30日,,                460205,                460205,,,              1362594,                724304,                102345,                 -1275,                      3,                -22614,                  4929,                 10334,              2180620,,,                              0,                   -761,                 39838,                  1768,                 23627,                 43491,               -104552,                  3411,,                  4320,                -67010,                -66442,                203359,                  2592,                -10410,                 -4861,                 -2087,                 59461,                 62872,              2243492,              2703697,                 -1768,              2701929,,             -1156276,                     11,                -36555,                 33003,                -52065,                              0,                -40465,,                 17800,             -1214314,,                 13640,                -22687,,,                     -3,                 -9050,              1478565,              5863626,              7342191,              7342191,                              0,                              0,                 20233,,,,,,,,,,,,,,,,,
3682,2014年01月01日至2014年03月31日,,                377852,                377852,,,                673354,                360163,                 46667,                   -649,                      2,                 -9868,                  2770,                  5167,              1077606,,,                              0,                  1516,                 87655,                  1683,                 10706,                -25215,               -119596,                -43251,,                  2936,               -102272,                -50660,                 -8305,                  1296,                 -8907,                 -3098,                 -1043,               -170053,               -213304,                864302,              1242154,                   -821,              1241333,,               -542505,,                -16449,                 21529,                -25003,,                -18348,,                  8300,               -551864,,                  6596,                -10873,,,                     -2,                 -4279,                685190,              5863626,              6548816,              6548816,                              0,,,                 20612,,,,,,,,,,,,,,,,
3682,2013年度,,              1855462,              1855462,,,              2498469,              1369527,                207661,                 -9678,                  5880,                -74519,                              0,                251005,,,,              1580618,                 10270,                370364,                  1482,                 49684,                 58090,                 -2186,              2073496,,                 -2312,               -387440,               -203461,               -352338,                 56814,                -96995,,                -22680,             -1000586,              1072910,              5340059,              7195521,                 -5549,              7189972,,             -2087099,                 12192,             -1060549,              1063439,             -6417655,,               -254013,,                 81996,             -8477389,,                 31357,                -28493,             -2298800,                266012,                 -6601,             -3460378,             -4747795,             10611421,              5863626,              5863626,                  5174,,,                214300,,                  6166,                 12283,                    355,                              0,              4267149,                  7826,                -30000,             -1423853,                              0,,,,,,
3682,2013年01月01日至2013年12月31日,,              1855462,              1855462,,,              2498469,              1369527,                207661,                 -9678,                  5880,                -74519,                              0,                251005,,,,              1580618,                 10270,                370364,                  1482,                 49684,                 58090,                 -2186,              1820483,,                 -2312,               -387440,               -203461,               -352338,                 56814,                -96995,,                -22680,             -1000586,                819897,              5087046,              6942508,                 -5549,              6936959,,             -2087099,                 12192,                  2890,,             -6417655,,,,                 81996,             -8224376,,                  2864,,             -2298800,                266012,                 -6601,             -3460378,             -4747795,             10611421,              5863626,              5863626,                  5174,               -253013,                214300,,,                  6166,                 12283,                    355,,              4267149,                  7826,                -30000,             -1423853,,,,                              0,                 -1000,,
3682,2013年01月01日至2013年09月30日,,              1643062,              1643062,,,              1838075,              1018538,                167398,                 -7609,                  5780,                -60032,                              0,                240415,,,,                832496,                  9805,                183306,                  3303,                 27775,                 59700,               -158029,                963530,,                  1323,               -151228,               -182425,               -335176,                -79748,                -83072,,                 -5271,               -841517,                122013,              3331154,              4974216,                 -2981,              4971235,,             -1714088,                 12190,             -1045242,                 54754,                 -2339,,               -187778,,                 56090,             -2620666,,                 14665,                -13908,             -2298800,                266012,                 -6601,             -3462485,             -1111916,             10611421,              9499505,              9499505,                  5174,,,                235747,,                  6166,                     55,                    355,,              3209141,                 -5920,,             -1423853,,                -30000,,,,,
