證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 收取之股利,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 現金增資
3694,2015年01月01日至2015年09月30日,,                -23031,                -23031,,,                229518,                  9033,                  9429,                              0,                   -150,                    868,                   -325,                     18,                248391,,,                  1505,               -862872,               -190981,                 -2115,               -276615,                   -143,                 -9606,             -1340827,,                    237,                818828,                 16801,                 46679,                   -389,                882156,               -458671,               -210280,               -233311,                    150,                 -9429,                 -1861,               -244451,,                              0,                -10000,               -195020,                    724,                 -1500,                  1069,                   -435,                              0,                              0,               -205162,,                421345,                              0,                              0,                421345,                  1240,                -27028,                352505,                325477,                325477,,,,,,,,,,,
3694,2015年01月01日至2015年06月30日,,               -101803,               -101803,,,                151483,                  5972,                  5872,,                   -136,,                     17,                     12,                163220,,,                    704,                -42966,                -27189,                   -150,                -35746,                   -129,                -10991,               -116467,,                    315,                218682,                  1255,                 13717,                 -2419,                231550,                115083,                278303,                176500,                    136,                 -5872,                 -1861,                168903,,,                -10000,                -54850,                     14,                 -1500,                    906,                              0,                              0,,                -65430,,               -167899,                              0,                              0,               -167899,                  2959,                -61467,                352505,                291038,                291038,,,,,,,,,,,
3694,2015年01月01日至2015年03月31日,,                -78588,                -78588,,,                 77264,                  3066,                  2674,,                    -15,                              0,                     -9,                      6,                 82986,,,                    484,                278709,                 58735,                 -2612,                 48524,                    -65,                -14420,                369355,,                  6335,               -179046,                     60,                 -9457,                    944,               -181164,                188191,                271177,                192589,                     15,                 -2674,                     36,                189966,,,,                -27163,                     14,                -23859,                  2097,                              0,                              0,,                -48911,,,,                              0,                -82522,                 18254,                 76787,                352505,                429292,                429292,                              0,                -82522,,,,,,,,,
3694,2014年度,,               -534424,               -534424,,,                296888,                 11321,                 14043,,                 -1629,                              0,                  9193,                     23,,,,                 -1191,                426254,                 -5467,                    752,                307336,                   -251,                 23664,                751097,,                              0,               -478800,                -24132,                -11492,                   -576,               -515000,                236097,                548919,                 14495,                  1629,                -14021,                 -7294,                 -5191,,                 31920,,                -90913,                  7652,                   -645,                  3060,                 -5280,                -39622,                 39622,                -54206,,                              0,                -80000,                    580,                113179,                    641,                 54423,                298082,                352505,                352505,                              0,                341623,,                              0,                -17017,                312822,                              0,                              0,               -149024,                              0,                              0
3694,2014年01月01日至2014年09月30日,,               -411171,               -411171,,,                222191,                  8537,                  7692,                -17017,                 -1151,                              0,                  6705,                     17,                226974,,,                    611,                420202,               -167817,                   -346,                 45084,                   -187,                -12969,                284578,,                     57,                 42429,                 -1923,                -17035,                 -1970,                 21558,                306136,                533110,                121939,                  1151,                 -7670,                 -4048,                111372,,                 31920,                              0,                -75081,                  7280,                   -645,                  2877,                 -3680,                -39622,                 39622,                -37329,,                300537,                -80000,                    114,                220651,                  6192,                300886,                298082,                598968,                598968,,,,,,,,,,,
3694,2014年01月01日至2014年06月30日,,               -435619,               -435619,,,                148128,                  5851,                  5285,,                   -248,,                  6174,                     11,                165201,,,                    268,                650651,                -11935,                   -499,                255176,                   -125,                 10027,                903563,,                    114,               -470646,                -23948,                -45705,                    -42,               -540227,                363336,                528537,                 92918,                    248,                 -5263,                 -4048,                 83855,,,                              0,                -39450,                  7009,                   -254,                  2338,                 -3680,                -39622,,                -73659,,                 17239,                -80000,                     15,                -62746,                  4645,                -47905,                298082,                250177,                250177,,,,,,,,,,,
3694,2014年01月01日至2014年03月31日,,                -92273,                -92273,,,                 74909,                  2996,                  2590,,                    -71,                              0,                  5844,                      6,                 86274,,,                    317,                459548,                 24838,                      9,                 12968,                    -63,                  9719,                507336,,                     57,               -353303,                -16781,                -52361,                  3647,               -418741,                 88595,                174869,                 82596,                     71,                 -2578,                     -6,                 80083,,,,                -13470,                  4582,                   -225,                     76,                 -2800,                -39622,,                -51459,,,,                     15,               -197668,                  7334,               -161710,                298082,                136372,                136372,                              0,               -197683,,,,,,,,,
3694,2013年度,,               -268835,               -268835,,,                294853,                 10287,                 13184,,                   -349,                              0,                  2275,                     22,,,,                   -361,             -1016316,                851684,                     48,               -103534,                   -236,                 54897,               -213818,,                              0,                715174,                  7815,                  3461,                  2939,                729389,                515571,                835370,                566535,                    349,                -13199,                 -6291,                547394,,                 10469,,               -206382,                  2944,                   -238,                  2450,                -23107,                              0,                              0,               -213864,,                              0,                -20000,                              0,               -446139,                 -2405,               -115014,                413096,                298082,                298082,                              0,               -415204,,                              0,                   -473,                319799,                              0,                              0,                -10695,                   -240,                              0
3694,2013年01月01日至2013年12月31日,,               -268835,               -268835,,,                294853,                 10287,                 13184,,                   -349,                              0,                  2275,                     22,,,,                   -361,             -1016316,                851684,                     48,               -103534,                   -236,                 54897,               -213818,,                              0,                715174,                  7815,                  3461,                  2939,                729389,                515571,                835370,                566535,                    349,                -13199,                 -6291,                547394,,                 10469,,               -206382,                  2944,                   -238,                  2450,                -23107,,,               -213864,,                              0,                -20000,,               -446139,                 -2405,               -115014,                413096,                298082,                298082,                              0,               -415204,,                              0,                   -473,                319799,                              0,                              0,                -10695,                   -240,                              0
3694,2013年01月01日至2013年09月30日,,               -203358,               -203358,,,                222447,                  7211,                  9138,                              0,                   -188,,                  2341,                     17,,,,                      2,               -831061,                646749,                    691,                -77747,                   -176,                 17812,               -243730,,                     57,                333542,                  3543,                 48550,                 -4517,                381175,                137445,                378411,                175053,                    188,                 -9161,                 -5595,                160485,,                              0,,               -159800,                  2944,                   -157,                  2438,                -14839,                              0,                              0,               -169414,,               -196787,                              0,                              0,               -208878,                   -577,               -218384,                413096,                194712,                194712,,,,,,                240966,                              0,                              0,                -11869,                   -222,                              0
3694,2013年01月01日至2013年06月30日,,               -142013,               -142013,,,                147932,                  4374,                  6379,,                   -158,,                     85,                     10,,,,                   -873,               -911798,                706261,                    694,               -123317,                   -116,                 38031,               -291118,,                              0,                425309,                  6192,                -25939,                 -2134,                403428,                112310,                270932,                128919,                    158,                 -6421,                 -5299,                117357,,,,                -94640,                              0,                   -182,                  2427,                 -8312,                              0,,               -100707,,               -300739,                              0,                              0,               -310682,                 -1507,               -295539,                413096,                117557,                117557,,,,,,                158622,,,                 -9719,                   -224,
3694,2013年01月01日至2013年03月31日,,                -68929,                -68929,,,                 73350,                  2100,                  3388,,                    -37,                              0,                     81,                      5,,,,                   -650,                -22479,                203210,                    593,                -53461,                    -58,                 -8135,                119020,,                     57,                165594,                  2327,                -52896,                 -2819,                112263,                231283,                310170,                241241,                     37,                 -3387,                 -2262,                235629,,,,                -60806,                              0,                   -194,                    898,                   -209,                              0,,                -60311,,,,                    124,               -373544,                 -4574,               -202800,                413096,                210296,                210296,                              0,               -370530,,,,                 78887,,,                 -3138,,                              0
3694,2012年01月01日至2012年12月31日,,               -133670,               -133670,,,                289492,                 12213,                 17602,,                   -615,                    809,                    114,                     22,,,,                  3087,                656601,               -490316,                   -628,                 56113,                   -231,                 35290,                259916,,                -14036,               -491736,                -15891,                -27589,                    515,               -548737,               -288821,                 42931,                -90739,                    615,                -17544,                 -6619,               -114287,,                              0,,               -591454,                  3079,                 -9928,                  7258,                -14432,,,               -602843,,                158627,               -120000,,                591659,                 -8590,               -134061,                547157,                413096,                413096,                  3615,                              0,,                  8500,                              0,                331752,                  2634,                114306,                              0,                 -1274,                440000
