證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 其他金融資產增加,　　 應付短期票券減少,　　 其他非流動負債減少,　　　　　 其他營業負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　 其他非流動資產增加,　　　　　 應計退休金負債增加（減少）,　　 支付之股利,　　　　　 其他營業資產（增加）減少
3702,2015年01月01日至2015年09月30日,,              5567872,              5567872,,,                174552,                 88823,                299851,                -43301,                896592,                -25063,                -46654,                -25385,                -15341,                -72692,                  3275,                              0,              1234657,,,                 38916,               -778165,             -9181587,                -54335,             -2719059,                 80310,            -12501681,             -1084128,                -21611,            -26221340,,                              0,                444876,             13546932,                 -1999,              1078622,                175090,             15243521,            -10977819,             -9743162,             -4175290,                 51874,                 87164,               -924295,             -1102200,             -6062747,,                -32700,                 86441,                -75000,                 29201,                              0,                 -3000,                              0,                              0,                -51299,                              0,                -88682,                 30345,                 14588,             -1161723,                -28471,             -1280300,,            628932874,           -620959182,                528314,                              0,             13234599,            -12852395,                 13469,             -4139274,                  8418,              4766823,              1586862,               -989362,             11184859,             10195497,             10195497,,,,,,,,,,,,,
3702,2015年01月01日至2015年06月30日,,              3608886,              3608886,,,                121525,                 71786,                210850,                -27071,                542829,                -16540,                -31495,                -10905,                    842,                -83532,                  3275,                 39488,                821052,,,                 16046,               -625881,              2116195,                -10484,             -1199930,                 66360,             -7639228,               -400470,                 -2415,             -7679807,,,                246009,              4557471,                 -2058,               -486780,                211542,              4526184,             -3153623,             -2332571,              1276315,                 39958,                 28097,               -557815,               -688995,                 97560,,                 -9912,                 85500,                -75000,                 29201,,                 -3000,,,                -56400,,                -69573,                    459,,                              0,                  7040,               -142305,,            433115081,           -432496917,                              0,,              7381019,             -8339556,                              0,,                  8418,             -1152298,             -1487217,             -2684260,             11184859,              8500599,              8500599,                 88023,               -138643,               -779455,                -40888,,,,,,,,,
3702,2015年01月01日至2015年03月31日,,              1754735,              1754735,,,                 55567,                 42549,                 21314,                 -5609,                275774,                 -7323,                -27020,                 -6457,                     15,                -36070,                              0,                 19710,                332450,,,                 -5197,                616114,              9356799,                 44690,             -1048077,                 66360,             -7789481,               -756573,                 -4046,                480589,,                              0,                148444,              4017292,                 -1183,               -431994,                -63133,              3669426,              4150015,              4482465,              6237200,                 15524,                 30245,               -289866,                -11949,              5981154,,                 -4972,                 48045,                -50000,                 24500,                              0,                 -3000,                              0,                -22000,                              0,                              0,                -47360,                     15,                              0,                 96495,                  3702,                 95932,,            214092665,           -220495724,                              0,,              3193747,             -4133810,                 14002,,                  8418,             -7365320,               -612344,             -1900578,             11184859,              9284281,              9284281,                 50507,,                -44618,,                              0,,,,,,,,
3702,2014年度,,              7104755,              7104755,,,                239793,                141605,                114623,                 61506,              1044921,                -26515,                -18315,                -30401,               -106962,                -52023,,                 34203,,,,                -43110,               -333441,            -10308825,                 -4481,               -672952,                230127,            -12317018,               -405089,                -67029,            -23921818,,                              0,                -17645,              2854874,                 -9194,                997361,                 68128,              3866703,            -20055115,            -18610769,            -11506014,                 63807,                 68208,             -1034613,             -1044284,            -13452896,,                -24071,                174622,                -59953,                 37726,                              0,                              0,                              0,                 -3000,                              0,                              0,               -103446,                310450,                -55899,                -77826,                 64244,                262847,,          1533596388,         -1527268240,               -792153,              6000000,             15759591,            -11401464,                 65360,             -3808131,                 -2573,             12143516,              2772789,              1726256,              9458603,             11184859,             11184859,,,,                 -5262,                -26821,,                 41911,              1444346,                              0,,,,
3702,2014年01月01日至2014年09月30日,,              5469787,              5469787,,,                179416,                105228,                106239,                 29005,                782411,                -15798,                -14392,                 -7775,                  1726,                -86657,                 17298,                              0,              1096701,,,                -10988,               -304965,             -8181067,                 22989,                132720,                165025,            -12681604,               -853650,                -53037,            -21764577,,                              0,                 50127,              7832284,                 -7288,                721122,                306184,              8902429,            -12862148,            -11765447,             -6295660,                 56898,                 45887,               -770276,               -454360,             -7417511,,                -19107,                170186,                -16500,                 37726,                              0,                              0,                              0,                              0,                              0,                              0,                -67245,                  9963,                 -7081,                 33058,                 80215,                221215,,          1070962586,         -1065840665,                107829,              6000000,              8311288,             -8079684,                 63217,             -3808131,                 -2573,              7713867,                693336,              1210907,              9458603,             10669510,             10669510,,,,,,,,,,,,,
3702,2014年01月01日至2014年06月30日,,              3612856,              3612856,,,                120644,                 59913,                 29813,                  9909,                515946,                 -9711,                              0,                 -7963,                  1861,                -79248,                 17098,                              0,                658262,,,                -12407,               -587593,             -1038901,                 69573,                295338,               -120807,             -7089902,             -1167710,                -39917,             -9692326,,,               -106712,              2211239,                  2256,                317535,                 31921,              2456239,             -7236087,             -6577825,             -2964969,                 39764,                 35150,               -476477,               -314661,             -3681193,,                -19107,                166334,                              0,                              0,,                              0,,,                              0,,                -43423,                  9688,,                200345,                 67885,                397233,,            730793534,           -727333750,                 80367,,              3138855,             -3252321,                 69196,,                 -2574,              3493307,                -23449,                185898,              9458603,              9644501,              9644501,                 15511,                              0,                              0,                              0,,,,,,,,,
3702,2014年01月01日至2014年03月31日,,              1732655,              1732655,,,                 67938,                 30179,                 11357,                 26851,                252352,                 -4528,                              0,                 -2092,                  1579,                -87703,                 15030,                              0,                310963,,,                -23398,                122306,              1496882,                 -1189,               -411178,                -83525,             -6240422,               -478013,                -10708,             -5629245,,                              0,               -154624,              2064682,                 -6873,                143530,                102694,              2149409,             -3479836,             -3168873,             -1436218,                  7304,                              0,               -242740,                -64983,             -1736637,,                              0,                164064,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -27097,                  7168,               -102284,               -380973,                 70043,               -269079,,            371029283,           -369634226,                 69776,,              1446472,             -1235349,                 29548,,                 -2574,              1702930,                922394,                619608,              9458603,             10078211,             10078211,                              0,,                              0,,                              0,,,,,,,,
3702,2013年度,,              5806385,              5806385,,,                233829,                124938,                483254,                 35488,                786926,                -22292,                 -8869,                -38257,                 13044,               -176226,,                              0,,,,                -12617,             -1133091,            -11344677,               -118862,               -423301,               -394919,             -1751309,                -58050,                -71741,            -15308567,,                              0,                112073,              4962212,                 -4125,                -79290,                104527,              5069867,            -10238700,             -8725448,             -2919063,                 31183,                 45595,               -785612,             -1075870,             -4703767,,                              0,                 58908,               -105739,                  2990,                    984,               -119904,                292354,                -40851,                              0,                 -6391,             -1147503,                 17507,                -38365,              1051139,                -45510,                -80381,,            354070024,           -346895016,                878216,                              0,             10790339,            -10325735,                              0,             -3973703,                   -745,              4505313,                865260,                586425,              8872178,              9458603,              9458603,,,,                -38067,                -25530,,                 81417,              1513252,                              0,,,,
3702,2013年01月01日至2013年12月31日,,              5806385,              5806385,,,                233829,                124938,                483254,                -15696,                786926,                -22292,                 -8869,                -38257,                 13044,               -176226,,                 81417,,,,                 38567,             -1133091,            -11344677,               -118862,               -423301,               -394919,             -1751309,                -58050,                -71741,            -15257383,,                              0,                112073,              4962212,                 -4125,                -79290,                104527,              5064291,            -10193092,             -8731024,             -2924639,                 31183,                 45595,               -785612,             -1075870,             -4709343,,,                 58908,               -105739,                  2990,                    984,               -119904,                292354,                -40851,                              0,                 -6391,             -1147503,                 17507,                -38365,              1051139,                -45510,                -80381,,            354070024,           -346895016,                878216,,             10790339,            -10325735,,             -3973703,                   -745,              4543380,                832769,                586425,              8872178,              9458603,              9458603,,,,,                -31106,,,              1462068,,,,,
3702,2013年01月01日至2013年09月30日,,              4578669,              4578669,,,                170563,                 82361,                408343,                 21202,                557994,                -16588,                 -8518,                -27260,                  8390,               -159427,,                              0,,,,                 25300,               -760540,             -9313656,                -90562,               -287685,               -333910,             -6889294,               -571923,                 -7431,            -18229701,,,               -293692,              7848608,                 -5756,                 68692,                 20929,              7643434,            -10586267,             -9498547,             -4919878,                 21068,                 39433,               -556442,               -701170,             -6116989,,                              0,                 14306,                -89260,                  1463,,               -119904,                292354,,,                 -6391,             -1065652,                 14359,                -77847,                640651,                              0,               -411419,,            254905468,           -246330186,                311095,                              0,              3696106,             -3182405,                              0,             -3973703,                              0,              5410396,                556005,               -562007,              8872178,              8310171,              8310171,,,,                -15979,                  4653,,                 50660,              1087720,,                -15498,,,
