證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 短期借款減少,　　 處分持有至到期日金融資產,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 支付之股利,　　 處分備供出售金融資產,　　　　 非金融資產減損損失,　　 取得備供出售金融資產,　　 非控制權益變動,　　　　　 持有供交易之金融負債增加（減少）,　　 其他非流動負債增加
3704,2015年01月01日至2015年09月30日,,               -518685,               -518685,,,                187252,                 35472,                 26128,                 -2572,                 22183,                -12780,                              0,                  3389,                   -116,                -15176,                 31604,                284589,                559973,,,                 20580,                 27496,               -367773,               -123314,               -443011,,                 85756,                 -9260,                -36582,                -96552,                 -3141,                -59779,               -502790,                 57183,               -461502,                  9405,                -21454,                -51476,               -525027,,                              0,                 37813,                 29522,                -32958,               -258291,                  1649,                 12286,                -50551,                -10882,                              0,                -29902,               -301314,,              1003596,                              0,                              0,                   -326,                -71544,               -316383,                615343,                   -193,               -211191,              3213678,              3002487,              3002487,,,,,,,,,,,,,,,,
3704,2015年01月01日至2015年06月30日,,               -679956,               -679956,,,                120706,                 21696,                 69950,                   -896,                 12887,                 -8588,                              0,                  7221,                   -177,                -13959,                 30833,                155369,                395042,,,                    931,                -32576,               -243253,                -95437,               -370335,,                -49556,                 -1732,                 40634,               -119834,                 -1793,               -132281,               -502616,               -107574,               -787530,                  6330,                -12693,                -48802,               -842695,,                              0,                 37340,                              0,                -32958,                -92693,                  1628,                  6078,                -50215,                 -7535,                              0,                -15581,               -153936,,                630161,,                              0,                 -2172,,               -174117,                453872,               -143888,               -686647,              3213678,              2527031,              2527031,                              0,                              0,,,,,,,,,,,,,,
3704,2015年01月01日至2015年03月31日,,               -460477,               -460477,,,                 60559,                 10473,                  5005,                 -2293,                  6270,                 -3189,                              0,                 -2465,                   -151,,                 30833,                 66422,                171464,,,                 10165,                907098,               -272693,                 17735,                662305,,                -23541,                -10573,                166689,               -156539,                 -1094,                -25058,                637247,                808711,                348234,                  3198,                 -6221,                -16685,                328526,,                              0,,,                -29850,                -37907,                  1275,                  7325,,                 -7798,,                              0,                -64025,,                483435,,                     58,,                              0,,                483493,               -154385,                593609,              3213678,              3807287,              3807287,,,                              0,                  2930,,,,,,,,,,,,
3704,2014年度,,                387043,                387043,,,                229585,                 54258,                118861,                -29250,                 16806,                -18739,                  1141,                 70943,                    258,                  6153,                  3053,                168610,,,,                 -9452,             -1214106,             -1405118,                 44694,             -2583982,,                724818,                 10573,,                363797,,              1094109,             -1489873,               -868194,               -481151,                 22786,                -16939,                -92465,               -710950,,                -44995,                              0,                  5478,                -25000,               -357921,                     16,                              0,                              0,,                289509,                -30874,               -132020,,                283465,                150000,                              0,                    -16,                              0,,                433449,                  9114,               -400407,              3614085,              3213678,              3213678,                 -9054,,                              0,,,                              0,                621679,                 -5079,                              0,               -143181,                 40821,,,,,
3704,2014年01月01日至2014年09月30日,,                439763,                439763,,,                167814,                 42244,                 95729,                -23815,                 12604,                -13465,                    934,                 -7258,                    168,                              0,                              0,                 91050,                366005,,,                -14549,             -1641869,             -1111089,                -39366,             -2806873,,                587248,                              0,                -69982,                239832,                 -3671,                753427,             -2053446,             -1687441,             -1247678,                 15801,                -12862,                -72516,             -1317255,,                -44995,                              0,                  5479,                -25000,               -230757,                     16,                  1210,                              0,                              0,                289740,                -17287,                -21594,,                660432,                150000,                      6,                              0,               -143181,                              0,                667257,                -16630,               -688222,              3614085,              2925863,              2925863,,,,,,,,,,,,,,,,
3704,2014年01月01日至2014年06月30日,,                396806,                396806,,,                110952,                 30066,                 89227,                -16518,                  8130,                -11454,                    622,                 -3266,                    103,                              0,                              0,                 38328,                246190,,,                -24374,               -879199,               -846527,                 68453,             -1681647,,                534306,                              0,                 13056,                 32432,                 -2478,                577316,             -1104331,               -858141,               -461335,                 12812,                 -8603,                -68411,               -525537,,                -15145,                              0,                  2321,                -25000,               -152644,                      3,                              0,                              0,                              0,                314268,                -10547,                109639,,                              0,,                     60,                              0,,                              0,               -113410,                 -2135,               -531443,              3614085,              3082642,              3082642,                 -3617,               -113470,,,,,,,,,,,,,,
3704,2014年01月01日至2014年03月31日,,                 84559,                 84559,,,                 54426,                 17166,                 30677,                -10508,                  4084,                 -5154,                    311,                  2353,                     80,,                              0,                 34123,                127558,,,                -23888,                465015,               -561424,                 36476,                -83821,,               -214835,                              0,                 -3530,               -116866,                 -1258,               -336489,               -420310,               -292752,               -208193,                  6124,                 -4130,                -44357,               -250556,,                -15145,,,                              0,                -32229,                              0,                  2934,,                 -9974,,                 -7490,                -61904,,                324747,,                     64,,                              0,,                324811,                 10398,                 22749,              3614085,              3636834,              3636834,,,                              0,                              0,,,,,,,,,,,,
3704,2013年度,,                464342,                464342,,,                286074,                 44500,                 29112,                 -4357,                 11515,                -18791,                  3249,                 27581,                 25034,                -56643,                              0,                201425,,,,                 32574,             -1193255,                556313,               -163304,               -767672,,              1189057,                              0,,               -173637,,                989587,                221915,                728899,              1193241,                 16290,                -11133,                -85845,              1154268,,                              0,                 34785,                  7866,                              0,               -457207,                  4357,                    769,                -77671,,                  9781,                -30747,               -444027,,                 97257,                              0,                     75,                              0,                -17640,,                 79692,                 62741,                852674,              2761411,              3614085,              3614085,                              0,,                  3157,,,                -41715,                506984,                -25833,                 41715,                              0,                 60883,,,,,
3704,2013年01月01日至2013年12月31日,,                464342,                464342,,,                286074,                 44500,                 29112,                 28217,                 11515,                -18791,                  3249,                 27581,                 25034,                -56643,,                201425,,,,,             -1193255,                556313,               -163304,               -800246,,              1189057,,,               -173637,,                989587,                189341,                728899,              1193241,                 16290,                -11133,                -85845,              1154268,,,                 34785,                  7866,                              0,               -457207,                  4357,                    769,                -77671,                              0,                  9781,                -30747,               -444027,,                 97257,,                     75,                              0,                -17640,                              0,                 79692,                 62741,                852674,              2761411,              3614085,              3614085,,,                  3157,,,                -41715,                539558,                -25833,                 41715,,                 60883,                              0,                              0,                              0,,
3704,2013年01月01日至2013年09月30日,,                147702,                147702,,,                213803,                 68069,                 41856,                -30626,                  7299,                -12562,                  2573,                    373,                 22977,,                  1382,                240612,,,,                 36528,               -981695,                 89433,               -145767,             -1001501,,              1068131,,               -154705,               -225949,,                683779,               -317722,                196257,                343959,                 11834,                 -6741,               -120982,                252207,,                              0,,                  7866,                              0,               -322326,                  2086,                              0,,                 -2302,                              0,                -59736,               -372017,,                385359,                              0,                     96,,,,                385455,                 48871,                314516,              2761411,              3075927,              3075927,                   -522,,                  2917,,,                -41777,                513979,                 -3698,                 41777,                -17640,,,,,,
