證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 現金增資,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他籌資活動,　　　　 未實現銷貨利益（損失）,　　　　　 其他營業資產（增加）減少,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 支付之利息,　　 支付之股利,　　　　 利息費用,　　 因合併產生之現金流入
4108,2015年度,,               -237173,               -237173,,,                 33543,                 14971,                   -663,                     24,                -12220,                -12036,                  3290,                              0,                  1842,                  1070,                              0,                 29821,,,                 22165,                 60508,                  8570,                  2513,                -17708,                  7464,                  1265,                 24000,                108777,,                    518,                -48444,                 -6418,                   -290,                    205,                 -1608,                -56037,                 52740,                 82561,               -154612,                 12256,                 12036,                   -897,               -131217,,                              0,                              0,                              0,                              0,                              0,                -16604,                              0,                -11035,                              0,                    -50,                   -510,                              0,                     89,                 -9164,                -37274,,                     33,                182400,                    700,                183133,                              0,                 14642,                792605,                807247,                807247,,,,,,,,,,,,,,,
4108,2015年01月01日至2015年09月30日,,               -191427,               -191427,,,                 25029,                 11248,                   -583,                     22,                 -9061,                -12036,                  3049,                              0,                  1868,                              0,                              0,                 19536,,,                  9139,                 52145,                 12240,                  2334,                     16,                  7012,                    277,                133000,                216163,,                    -60,                -43927,                -16461,                   -584,                    154,                 -1608,                -62486,                153677,                173213,                -18214,                  9097,                 12036,                   -582,                  2337,,                              0,                              0,,,                              0,                -16604,,                 -4131,                              0,                    -50,                   -434,                              0,                     61,                 -6770,                -27928,,                     33,                182400,,                182433,                              0,                156842,                792605,                949447,                949447,                              0,                              0,,,,,,,,,,,,,
4108,2015年01月01日至2015年06月30日,,               -148987,               -148987,,,                 16737,                  7479,                   -522,                     -6,                 -5942,                    -73,                  2807,,                  1927,,,                 22407,,,,                 47806,                 10460,                      5,                  4644,                  7862,                     41,                 73000,                143818,,                    -60,                -41837,                -17602,                   -291,                    103,                              0,                -59687,                 84131,                106538,                -42449,                  5978,                     73,                   -270,                -36668,,,,,,,                 -9918,,                 -3154,,                    -50,                   -434,,                     21,                 -2963,                 -8418,,                     33,                182400,,                182433,                              0,                137347,                957605,              1094952,              1094952,                -53000,                 61080,,,,,,,,,,,,,
4108,2014年度,,               -347260,               -347260,,,                 31843,                 21501,                    -56,                    -24,                -11510,                 -7975,                    713,                    436,                   -332,                 25765,                              0,                 60361,,,                 27983,                 -3221,                 15711,                    495,                 54825,                -10999,                   -377,                629480,                713897,,                     55,                 12997,                  7019,                 -2108,                   -123,                 -2987,                 14853,                728750,                789111,                441851,                 11583,                  7975,                 -1169,                460240,,                              0,                              0,                -22615,                              0,                  4932,                              0,                              0,                -12951,                     29,                              0,                 -4996,                    -43,                              0,                 -6181,                -41825,,                              0,                              0,                              0,                              0,                    -27,                418388,                374217,                792605,                792605,,,,,,,,,,,,,,,
4108,2014年01月01日至2014年09月30日,,               -243141,               -243141,,,                 23692,                 16133,                     29,                   -193,                 -8717,                 -7975,                    470,                    456,                    -76,                 25765,                              0,                 49584,,,                -20250,                  1751,                 -9488,                    473,                 24835,                 -8601,                   -723,                633980,                621977,,                     55,                 23914,                -10547,                 -2043,                    -92,                 -1387,                  9900,                631877,                681461,                438320,                  8782,                  7975,                   -889,                454188,,                              0,                              0,,,                  4932,                              0,,                 -3616,                              0,                              0,                 -4914,                    -69,                              0,                 -5501,                 -9168,,                              0,                              0,,                              0,                    -57,                444963,                374217,                819180,                819180,                              0,                              0,,,,,,,,,,,,,
4108,2014年01月01日至2014年06月30日,,               -157394,               -157394,,,                 15625,                 10765,                    149,                   -125,                 -5971,                              0,                    135,,                    -28,,,                 20550,,,,                -22445,                 19558,                    -56,                 24358,                 -9761,                    103,                749000,                760757,,                      5,                 25072,                -10751,                 -1984,                    -61,                   -181,                 12100,                772857,                793407,                636013,                  6037,                              0,                   -614,                641436,,,,,,,                              0,,                 -1868,,                              0,                   -394,,                     19,                 -4180,                -38333,,                              0,                              0,,                              0,                     -3,                603100,                579197,              1182297,              1182297,                -92000,                 60090,,,,,,,,,,,,,
4108,2014年01月01日至2014年03月31日,,                -39184,                -39184,,,                  7745,                  5392,                     91,                    -39,                 -2969,,                              0,,                    -18,,                              0,,,,,                  8108,                -16554,                    154,                -28365,                -10015,                 -1647,                 65980,                 17661,,                              0,                 40703,                -17323,                    422,,                     28,                 23799,                 41460,                 51662,                 12478,                  2969,                              0,                   -307,                 15140,,                              0,                              0,                              0,,,,,                 -1116,,,                              0,,                     30,                 -1180,                 10881,,,,,                              0,                    -61,                 25960,                 94217,                120177,                120177,                -40000,                 53147,,                 10202,                    -31,                              0,,                              0,,,,                              0,                              0,,
4108,2013年度,,               -192239,               -192239,,,                 29920,                 18345,                    -58,                     86,                -11339,                 -6613,                     16,                    -44,                -42125,                 18190,                 -1436,,,,,                -18877,                 20677,                   -174,                -39392,                 -4879,                  1210,                104585,                 63150,,                 -1807,                 -8072,                 -6800,                  2388,,                 -1740,                -16173,                 46977,                 51919,               -140320,                 11475,                  6613,                   -948,               -123180,,               -111349,                 59566,                              0,                  2388,                              0,                -71840,                 44865,                -10222,                    600,,                -11272,,                    258,                 -3610,                -91748,,,                161800,                 34999,                196799,                     -5,                -18134,                112351,                 94217,                 94217,               -606474,                615342,,                  4942,                   -142,,,,,,,,,,
4108,2013年01月01日至2013年12月31日,,               -192239,               -192239,,,                 29920,                 18345,                    -58,                     86,                -11339,                 -6613,                     16,                    -44,                -42125,                 18190,                 -1436,,,,,                -18877,                 20677,                   -174,                -39392,                 -4879,                  1210,                104585,                 63150,,                 -1807,                 -8072,                 -6800,                  2388,,                 -1740,                -16173,                 46977,                 51919,               -140320,                 11475,                  6613,                   -948,               -123180,,               -111349,                 59566,                              0,                  2388,,                -71840,                 44865,                -10222,                    600,,                -11272,,                    258,                 -3610,                -91748,,,                161800,                 34999,                196799,                     -5,                -18134,                112351,                 94217,                 94217,               -606474,                615342,,                  4942,                   -142,                              0,,                              0,,,,                              0,,                              0,                              0
4108,2013年01月01日至2013年09月30日,,                -67057,                -67057,,,                 22320,                 13281,                     -5,                   -322,                 -8488,                 -6613,                              0,                    -44,                -41239,                              0,                 -1436,,,,,                    993,                 -9324,                 -2437,                -56911,                 -4716,                 -4335,                357225,                280495,,                 -1512,                -13467,                -20551,                    411,,                   -998,                -36224,                244271,                221725,                154668,                  8734,                  6613,                   -856,                169159,,               -111349,                 59566,,,                              0,,,                 -8798,                    600,,                -11166,,                    211,                 -3055,               -214595,,,,                 28988,                 34999,                     15,                -10422,                112351,                101929,                101929,               -462000,                321396,,                -22546,                   -107,                  6011,,,,,,,,,
