證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債增加,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分無活絡市場之債券投資,　　 處分無形資產,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　 取得無活絡市場之債券投資,　　 預付投資款增加,　　 存出保證金減少,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　 存出保證金增加
4720,2015年01月01日至2015年09月30日,,                114586,                114586,,,                 34416,                  5569,                  2719,                    -68,                  2376,                   -999,                 -8532,                     -7,                  2887,                   -362,                 -5545,                 -3276,                 29178,,,                     63,                -18123,                -23582,                -40930,                -10148,                  1305,                 -3953,                 -2231,                  2153,                -10221,               -105667,,                 -4071,                 41802,                 -6493,                  1770,                     -7,                    822,                  3027,                  2474,                 -7198,                 32126,                -73541,                -44363,                 70223,                  1022,                 -2409,                 -8808,                 60028,,                              0,                              0,                              0,                -12197,                     12,                   -659,                 -1754,                 -9066,                  9356,                -14308,,                 -9082,                 60000,                -12208,                   -225,                -22615,                  1881,                 17751,                  9500,                 72971,                254133,                327104,                327104,,,,,,,,,,,,,,,,,,,,
4720,2015年01月01日至2015年06月30日,,                 61930,                 61930,,,                 22971,                  3686,                    914,                    -66,                  1562,                   -707,                 -5313,                     -7,                    358,                   -421,                  4617,                 -2178,                 25416,,,                     63,                 -8356,                 -2639,                 11152,                 -5314,                  1162,                -23535,                 -2635,                 -3050,                -31623,                -64775,,                 -3982,                 92010,                -11367,                 -3566,                      3,                    570,                  6659,                 -5453,                 -7030,                 67844,                  3069,                 28485,                 90415,                    734,                 -1699,                 -2026,                 87424,,                              0,                              0,,                 -8193,                     12,                   -500,                    268,,                  4156,                 -4257,,                -73474,,                 -7500,,,                              0,                -81129,                -12005,                 -9967,                254133,                244166,                244166,                   -155,,,,,,,,,,,,,,,,,,,
4720,2015年01月01日至2015年03月31日,,                 20987,                 20987,,,                 11547,                  1834,                  1542,                     -2,                  1067,                   -462,                 -2587,                              0,                    577,                   -348,                  5991,                 -1098,                 18061,,,                              0,                  1133,                  3993,                 23620,                     35,                    791,                  8456,                 -2819,                 -2319,,                 32890,,                 -1572,                 29074,                -29632,                -21185,,                     41,                     -1,                 -3467,                   -676,                -27418,                  5472,                 23533,                 44520,                    451,                 -1082,                 -1496,                 42393,,                              0,,,                 -5831,                              0,                   -500,                              0,                              0,,                 -6037,,                -30452,,                 -3750,,,                              0,                -34281,                 -3845,                 -1770,                254133,                252363,                252363,                    -79,                    294,,,,,,,,,,,,,,,,,,
4720,2014年度,,                112061,                112061,,,                 45836,                  6994,                  2501,                    -64,                  5060,                 -3232,                -13124,                -15223,                  2115,                    373,                  2505,                 -4278,,,,                  2356,                 -5491,                -32223,                -41901,                    498,                 -1049,                -39984,                 -1421,                  3010,,               -116205,,                 -3000,                -20219,                 11927,                    802,                      7,                     -4,                  4402,                  6300,,                 -2540,               -118745,                -88994,                 23067,                  3338,                 -5003,                -22048,                   -646,,,                -10000,                 -5800,                -22408,                 24221,                 -1816,                 -3421,                -12916,                  9118,                 19312,,                 12232,,                -39227,,                -45229,                  1886,                -70043,                 10796,                -40581,                294714,                254133,                254133,                    295,,,                    288,                 29751,                 -2755,                              0,                 42334,                              0,,,,,,,,,,,
4720,2014年01月01日至2014年09月30日,,                 71704,                 71704,,,                 34342,                  6232,                  2321,                    -62,                  3823,                 -2544,                 -9314,                -13642,                  2802,                     49,                   -984,                 -3188,                 19835,,,                  2355,                 -1851,                -27073,                -35811,                -14853,                   -301,               -123746,                 -7465,                 -1905,                -32097,               -242747,,                 -6419,                 47860,                 17563,                 -9121,                     50,                    -85,                 24346,                  1365,                 -1725,                 73834,               -168913,               -149078,                -77374,                  2621,                 -3821,                -17913,                -96487,,                 42334,                -10000,                 -5800,                 -9056,                     56,                 -1558,                 -4170,                 -7753,                  9118,                 13171,,                 63783,                              0,                -32061,                   -517,                -45229,                  1886,                -12138,                  2322,                -93132,                294714,                201582,                201582,,,,,,,,,,,,,,,,,,,,
4720,2014年01月01日至2014年06月30日,,                 25417,                 25417,,,                 23084,                  3297,                  1760,                    -61,                  2581,                 -1638,                 -3584,                     92,                   -649,                     52,                 -1759,                 -2114,                 21061,,,                  2356,                  2641,                 17548,                 -9768,                 -2059,                    934,                -68350,                 -6494,                  3787,                -31233,                -90638,,                 -4632,                 26495,                -10802,                -22798,                              0,                    -40,                  7662,                    514,                 -1069,                 -4670,                -95308,                -74247,                -48830,                  1713,                 -2596,                -10542,                -60255,,                 42334,                -10000,,                 -6252,                     54,                 -1124,                -15379,,                  4007,                 13640,,                 57600,,                -21816,,,                  1886,                 37199,                 -4387,                -13803,                294714,                280911,                280911,                   -471,,,,,,,,,,,,,,,,,,,
4720,2014年01月01日至2014年03月31日,,                  6604,                  6604,,,                 11777,                  1987,                  1326,                    -24,                  1266,                   -843,                   -885,                     74,                   -532,                     97,                   -501,                 -1081,                 12661,,,                 -7801,                 -3402,                 34748,                 11109,                   -800,                    412,                -58463,                 -2164,                 -6520,,                -32881,,                 -3703,                  8248,                -21395,                -22821,,                     25,                     10,                   -301,                   -365,                -40302,                -73183,                -60522,                -53918,                    761,                 -1253,                 -2348,                -56758,,                    626,,,                 -2941,                     39,                 -1124,                   -434,                 -2885,,                 -6719,,                 40620,,                -10897,,,                  1886,                 31202,                 -1802,                -34077,                294714,                260637,                260637,                   -407,                              0,,,,,,,,,,,,,,,,,,
4720,2013年度,,                 77161,                 77161,,,                 51151,                  7708,                  2317,                   -127,                  4912,                 -2428,                -16597,                  1856,                 -2121,                      6,                  1611,                 -4203,,,,                  2300,                 -4406,                -30622,                 -8026,                    280,                   -400,                  1480,                 -3230,                  3971,,                -38653,,                  5479,                 17749,                 11386,                  1950,                              0,                 -5072,                    510,                 -5184,,                 23751,                -14902,                 68203,                145364,                  2298,                 -4901,                -20268,                122493,,,                              0,                 -9229,                -44066,                    545,                   -481,                 -6185,                 -9878,                  5930,               -105017,,                 92932,,                -42947,,                -51231,                              0,                 -1108,                 19959,                 36327,                258387,                294714,                294714,                    138,,,                 39020,                 83105,                 -3067,                -41774,                              0,                    121,,,,,,,,,,,
4720,2013年01月01日至2013年12月31日,,                 77161,                 77161,,,                 51151,                  6173,                  2317,                   -127,                  4912,                 -2428,                -16597,                  1856,,                      6,                  1611,                 -2668,,,,                  2300,                 -4406,                -30622,                 -8026,                    280,                   -400,                  1480,                 -3230,                  3971,,                -38653,,                  5479,                 17749,                 11386,                  1950,,                 -5072,                    510,                 -5184,,                 23751,                -14902,                 68203,                145364,                  2298,                 -4901,                -20268,                120195,,,,                 -9229,                -53944,                    545,                   -481,,,                  5930,               -102719,,                 92932,                              0,                -42947,,                -51231,,                 -1108,                 19959,                 36327,                258387,                294714,                294714,                    138,                 -6185,,                 36899,                 83105,                 -3067,,                              0,                    121,,,,                -41774,,,                              0,                              0,                              0,                              0,                              0
4720,2013年01月01日至2013年09月30日,,                 65284,                 65284,,,                 39618,                  3868,                  4656,                   -123,                  3637,                 -1845,                -11976,                  1911,                 -4629,                    -17,                   -475,                 -1997,,,,                  4300,                 -1007,                -23145,                -24520,                 -4569,                   -228,                -25053,                 -4915,                  7353,,                -71784,,                   -822,                 29859,                  1772,                -12459,,                 -5104,                  1791,                 -3659,,                  9072,                -62712,                  3154,                 68438,                  1451,                 -3362,                -11985,                 54542,,,                              0,                              0,                -21301,                    473,                   -389,                 -5977,                -20499,                  5930,               -134348,,                129268,,                -32070,                   -177,                -51231,                              0,                 45790,                 10649,                -23367,                253729,                230362,                230362,,,,                 28112,                 65866,                 -2306,,                              0,                    193,                  5198,                    -72,                              0,                -83549,                 -9229,,,,,,
