證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 應付租賃款減少,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　 退還（支付）之所得稅,　　 償還長期借款,　　 發放現金股利,　　　　 非金融資產減損迴轉利益,　　　　　 應收票據（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 存出保證金減少
4725,2015年01月01日至2015年09月30日,,             -1376621,             -1376621,,,                576152,                              0,                148687,                 -1037,                 -6581,                -93175,                 22701,                646747,,,                788956,                 43729,              1033971,                 18877,                  2797,              1888330,,               -264843,                -70771,                 -3282,               -338896,              1549434,              2196181,                819560,                  1001,                -43915,                776646,,               -253887,                  6581,                -75986,               -323292,,              9045372,             -8405687,                698527,             -1500000,                700000,               -303300,                -15145,                219767,                673121,                140138,                813259,                813259,,,,,,,,,,,,
4725,2015年01月01日至2015年06月30日,,               -982851,               -982851,,,                397025,                              0,                 99134,                   -835,,               -105889,                  6114,                395549,,,               -158077,                 26220,              1190351,                 21030,                -19526,              1059998,,                495233,                 13368,                 -3569,                505032,              1565030,              1960579,                977728,                    816,                -29378,                949166,,               -217533,,                -94616,               -312149,,              6084296,             -6466422,                399129,             -1100000,                700000,               -202200,,               -599449,                 37568,                140138,                177706,                177706,                -14252,,,,,,,,,,,
4725,2015年01月01日至2015年03月31日,,               -657059,               -657059,,,                217041,                              0,                 49647,                   -214,,                -79068,                    223,                187517,,,                -77666,                 21695,                963764,                -12367,                -19966,                875460,,                271908,                 27316,                 12969,                312193,              1187653,              1375170,                718111,                    189,                -13803,                704497,,                -25512,,                -45867,                -71379,,              2837046,             -3438608,                299424,               -800000,                700000,               -101100,                 -9387,               -512625,                120493,                140138,                260631,                260631,,                   -112,,,,,,,,,,
4725,2014年度,,               -680382,               -680382,,,                794742,                    -23,                208239,                 -3925,                -25486,                153784,                    904,,,,                817010,                -17965,               -874543,                -55250,                 18255,               -112493,,               -931631,                 26552,                -21472,               -926551,             -1039044,                 89191,               -591191,                  3925,                -59691,               -646957,,               -244153,                 25486,                -97959,               -316626,,             14628086,            -14708138,              2693582,             -2400000,                450000,               -404400,,                255467,               -708116,                848254,                140138,                140138,                 -3663,,,              1128235,                              0,                              0,                              0,                              0,,,,
4725,2014年01月01日至2014年09月30日,,               -255608,               -255608,,,                599488,                    -23,                155057,                 -2640,                -25486,                 12278,                 -3352,                735322,,,               -270179,                -50212,               -359490,                -67165,                 13144,               -733902,,               -330092,                 17480,                 -4692,               -317304,             -1051206,               -315884,               -571492,                  2558,                -43824,               -612758,,               -208197,                 25486,                -30882,               -213593,,             10521130,             -9623595,              1895277,             -1600000,                450000,               -303300,                 -3663,              1335849,                509498,                848254,              1357752,              1357752,,,,,,,,,,,,
4725,2014年01月01日至2014年06月30日,,               -150690,               -150690,,,                403566,                    -23,                104551,                 -1915,,                 45545,                 -7237,                544487,,,                -11231,                -59715,               -369952,                -75638,                    978,               -515558,,                 10641,                 41550,                  1204,                 53395,               -462163,                 82324,                -68366,                  1915,                -27378,                -93829,,               -144561,,                 21911,               -122650,,              6426235,             -6399995,              1247065,             -1300000,                450000,               -202200,,                217827,                  1348,                848254,                849602,                849602,                 -3278,,,,,,,,,,,
4725,2014年01月01日至2014年03月31日,,                -61113,                -61113,,,                201610,                    -23,                 51520,                   -710,,                 54990,                 -1740,                305647,,,               -381204,                -53656,               -425577,                -38833,                  6477,               -892793,,                426929,                  3818,                 -3322,                427425,               -465368,               -159721,               -220834,                    657,                -13213,               -233390,,                -81955,,                  7323,                -74632,,              3771816,             -3218352,                498832,               -500000,                              0,               -101100,                 -1395,                449801,                141779,                848254,                990033,                990033,,                              0,,,,,,,,,,
4725,2013年度,,               -767653,               -767653,,,                852253,                     23,                 66205,                 -4064,                -12242,                  9548,                  2381,,,,                473792,                   -928,                -57240,                  4932,                 14342,                435714,,                -41724,                 29024,                 25848,                 13148,                448862,              1362966,                595313,                  4064,                -51889,                548151,,               -303587,                 12242,                -21382,               -312727,,             11844134,            -11324718,              1795825,             -1300000,              1450000,                -74400,,                171634,                407058,                441196,                848254,                848254,                    783,,,                914104,                    816,                    663,             -2103200,               -116790,,,,
4725,2013年01月01日至2013年12月31日,,               -767653,               -767653,,,                852253,                     23,                 66205,                 -4064,                -12242,                  9548,                  2381,,,,                473792,                   -928,                -57240,                  4932,                 14342,                435714,,                -41724,                 -2476,                 25848,                -18352,                417362,              1331466,                563813,                  4064,                -51889,                516651,,               -272087,                 12242,                -21382,               -281227,,             11844134,            -11324718,              1795825,             -1300000,              1450000,                -74400,,                171634,                407058,                441196,                848254,                848254,                    783,,,                914104,                    816,                    663,             -2103200,               -116790,                              0,,                              0,
4725,2013年01月01日至2013年09月30日,,               -452104,               -452104,,,                641438,                              0,                 39611,                 -3088,                -12242,                 20931,                  1029,,,,                467149,                -10174,               -458106,                -34970,                 14763,                -20522,,                 39287,                -33410,                  8231,                 14108,                 -6414,                681265,                229161,                  3044,                -31561,                201307,,               -201246,                 12242,                 41534,               -147470,,              8167491,             -7003303,                997575,               -700000,                              0,                -33300,,                676326,                730163,                441196,              1171359,              1171359,                  3853,,,                687679,                    816,                    663,               -639200,               -116790,,,,
4725,2013年01月01日至2013年06月30日,,               -181768,               -181768,,,                426527,                              0,                 25285,                 -2252,,,                  1661,,,,,                 -4417,               -693488,                -48477,                 24337,             -1127401,,                120261,                -29732,                  1865,                 94134,             -1033267,               -577276,               -759044,                  2252,                -19472,               -775601,,               -198253,,                 48816,               -149437,,              2454577,             -1437594,                698162,               -400000,                              0,                -22200,,                755422,               -169616,                441196,                271580,                271580,                  1677,,,                455991,                    816,                    663,               -539200,,                  4770,               -406172,                  1740,                              0
