證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他金融資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 按攤銷後成本衡量之金融負債增加,　　 發放現金股利,　　 員工購買庫藏股,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　 取得待出售非流動資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 處分待出售非流動資產,　　 其他非流動負債增加,　　　　　 應收帳款－關係人（增加）減少,　　 預收款項增加－處分資產,　　 其他金融負債減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付投資款增加,　　 其他應收款減少,　　 取得投資性不動產,　　　　　 應收票據－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 取得以成本衡量之金融資產,　　 其他應收款增加,　　 其他投資活動,　　 員工執行認股權,　　 庫藏股票買回成本,　　　　 其他項目
4733,2015年度,,              1379318,              1379318,,,                 57595,                  6677,                 53970,                  7330,                129086,                -12228,                 -1097,                 49770,                  1516,                              0,                              0,                292619,,,                   -910,             -1123300,               -203942,                 -7446,                 94980,                 25923,               -104184,             -1318879,,                 23808,               -192821,                154659,                 -8505,                -59902,                -82761,             -1401640,             -1109021,                270297,                 12228,                -88736,               -258041,                -64252,,                              0,               -670575,                  2935,                 -2607,                              0,                 -2621,                              0,                  8372,                -49566,                              0,                  1097,               -712965,,              3786535,             -2823909,                 30000,                              0,                696510,                116000,                 -4500,                122126,               -596630,                 15777,                 52731,               -216224,              1178416,                -25606,                375593,                915313,              1290906,              1290906,,,,,,,,,,,,,,,,,,,,,,,,,
4733,2015年01月01日至2015年09月30日,,              1078539,              1078539,,,                 42355,                  4982,                 14479,                 10136,                 91795,                 -9985,                 -1097,                 22316,                  1304,,                              0,                176285,,,                   -910,             -1154518,               -733759,                -11539,                -50648,                 81132,                -43279,             -1913521,,                 72073,                -31963,                126435,                 -4034,                -73964,                 88547,             -1824974,             -1648689,               -570150,                  9985,                -76167,               -191380,               -827712,,                              0,                -45057,                  3028,                 -3846,                              0,                 -2341,,,                -27342,                              0,                  1097,               -592160,,              2385192,             -1416371,                 35000,                              0,                696510,                110000,                              0,                121964,               -596630,                  9157,                              0,,              1344822,                 21068,                -53982,                915313,                861331,                861331,                              0,                              0,               -125372,               -392327,,,,,,,,,,,,,,,,,,,,,
4733,2015年01月01日至2015年06月30日,,                566578,                566578,,,                 28758,                  3337,                  5591,                  1571,                 56030,                 -7113,                   -967,                 22316,                    120,,                              0,                109643,,,                   -913,                 10364,               -798697,                 -6288,               -126572,                -26876,                -17551,               -966533,,                215001,                 -4894,                231748,                   -903,                -36426,                404526,               -562007,               -452364,                114214,                  7113,                -42681,                -87584,                 -8938,,                              0,                -20695,                  1381,,                    380,                 -1364,,,                -29832,                              0,,               -463345,,                596772,                              0,                 60000,                              0,,                 20000,                              0,,,                  9157,                              0,,              1385929,                -46301,                867345,                915313,              1782658,              1782658,                              0,,                -64093,               -349122,                              0,                700000,,,,,,,,,,,,,,,,,,,
4733,2015年01月01日至2015年03月31日,,                220303,                220303,,,                 14517,                  1720,                  6680,                  3355,                 14586,                 -3259,,                 22344,                    -74,,,                 59869,,,                              0,                -19956,,,               -136987,               -134714,                -19592,               -576786,,                -46504,                 -8027,,                   -121,                 67356,                 12704,               -564082,               -504213,               -283910,                  3259,                -15550,                -31556,               -327757,,,                -10189,                  1607,                              0,                    445,                 -1328,,,                 -1850,,,                -40163,,                172248,,                 50000,,,                 20000,                              0,,,                  9129,                              0,,                701377,                -42666,                290791,                465313,                756104,                756104,,,                -28848,,,,               -265537,                              0,                450000,                              0,,,,,,,,,,,,,,,
4733,2014年度,,                862280,                862280,,,                 58586,                  7265,                -32635,                 -6974,                 41294,                -21273,                   -878,                  6294,                    319,               -184273,                  1268,               -131007,,,                 -3419,               -492687,             -1441633,                -14689,               -120901,               -111884,                -42965,             -2228178,,                -93618,                899204,                -24919,                   -743,                165493,                945417,             -1282761,             -1413768,               -551488,                 21273,                -31557,                -46021,               -607793,,                  2632,               -186697,                  1692,                              0,                    790,                 -4851,                473119,                 78829,                              0,                  1389,                    878,                367781,,              1699022,             -1152261,                              0,                -20000,                              0,                447186,               -538947,                111247,               -294754,                  8254,                  6690,                              0,                266437,                 45450,                 71875,                843438,                915313,                915313,,,,,,,,,,,,,,,,,,,,,,,,,
4733,2014年01月01日至2014年09月30日,,                660307,                660307,,,                 44508,                  5487,                -15687,                 -2236,                 22267,                 -9122,                   -878,                  6294,                    252,,                  1268,               -132120,,,                 -3419,                 51610,               -786888,                -12973,               -123636,                 27721,                -12693,               -860278,,                 18265,                379415,                 87122,                   -590,                 -9123,                475089,               -385189,               -517309,                142998,                  9122,                -13907,                -55527,                 82686,,                  2632,                -36310,                  1568,                              0,                  1270,                 -4672,,,                              0,                  1447,                    878,                263368,,              1004886,               -687042,                              0,                 -2000,                              0,                 10000,               -174430,                              0,               -294754,                  8254,                  6690,,               -128396,                 14931,                232589,                843438,              1076027,              1076027,               -184273,                473119,                -63126,               -113438,,,,,,,,,,,,,,,,,,,,,
4733,2014年01月01日至2014年06月30日,,                360210,                360210,,,                 29968,                  3627,                 51707,                 -4652,                 15674,                 -5482,                   -806,                  6294,                    231,,                  1268,                -86444,,,                    331,                150821,               -437896,                 -1077,                -62187,                 35667,                 -8783,               -323124,,               -100502,                310132,                 14226,                   -400,                  1866,                225322,                -97802,               -184246,                175964,                  5482,                 -9509,                -25857,                146080,,                  2632,                -16429,                  1569,,                    185,                 -3689,,,                              0,                  1634,,                397646,,                              0,                -25195,                              0,                -85000,,                              0,               -176359,,,                  8254,                  6690,,               -271610,                -14069,                258047,                843438,              1101485,              1101485,               -184273,,                -42565,                -18810,                473119,                              0,,,,,,,,,,,,,,,,,,,
4733,2014年01月01日至2014年03月31日,,                 33577,                 33577,,,                 15118,                  1788,                 33260,                 -3138,                  8383,                 -1780,,                  6317,                    139,,,                 60087,,,                    165,                -78130,,,                -39002,                 40936,                 -6686,               -151266,,               -113216,                198701,,                   -224,                 -8046,                 77215,                -74051,                -13964,                 19613,                  1780,                 -4878,                 -9149,                  7366,,,                 -4358,                    301,                   -225,                              0,                 -3089,,,                  1052,,,                 12013,,                 -9911,,                 40000,,,                              0,                 -6975,,,                  8231,                  6690,,                 38035,                 15903,                 73317,                843438,                916755,                916755,,,                -11668,,,,                -68549,                 30000,                              0,                              0,,,,,,,,,,,,,,,
4733,2013年度,,                275976,                275976,,,                 62876,                  7061,                 38776,                 -6023,                 30107,                 -5060,                 -1338,                    562,                     57,                              0,                              0,,,,                   -821,                -70619,               -311339,                  1364,               -101437,               -132328,                 14041,               -601139,,                126140,                 76263,                 16710,,                -21873,                196725,               -404414,               -277396,                 -1420,                  5060,                -25070,                -46857,                -68287,,                              0,                -43922,                    271,,                    871,                 -1618,                              0,                              0,                 -7209,                              0,                  1338,                -58946,,                150468,,                -14925,,                705069,                              0,                -84045,                              0,               -142885,                  6518,                              0,,                620200,                 48697,                541664,                301774,                843438,                843438,,,                -24385,,,,,,,                              0,,                127018,                   -515,                              0,                 15708,                              0,,,,,,,,,
4733,2013年01月01日至2013年12月31日,,                275976,                275976,,,                 62876,                  7061,                 38776,                 -6023,                 30107,                 -5060,                 -1338,                    545,                     57,,,,,,                   -821,,,                  1364,               -101437,               -132328,                 14041,               -601139,,,,,,                 -5163,                196725,               -404414,               -277413,                 -1437,                  5060,                -25070,                -46857,                -68304,,,                -43922,                    271,,                    871,                 -1618,,,                 -7209,,                  1338,                -58946,,                150468,                              0,                -14925,                              0,                705069,                              0,                -84045,,               -142885,                  6535,                              0,,                620217,                 48697,                541664,                301774,                843438,                843438,,,,,,,               -311339,,,,,                127001,                   -515,,,,                -70619,                126140,                 76263,                              0,                 15708,                -24385,                              0,                              0,
