證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 備供出售金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款增加（減少）,　　 償還長期借款,　　　　 處分無形資產損失（利益）,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 現金增資
4915,2015年01月01日至2015年09月30日,,              1737581,              1737581,,,                911282,                158163,                    375,                119963,               -137461,                 35132,                  3127,                              0,                    940,                231830,              1323351,,,                -95565,                              0,             -2610930,                  7385,               -106119,             -2288713,                 79562,                 47825,                 19234,             -4947321,,                 59434,              3427459,                258016,                192802,                 -2355,              3935356,             -1011965,                311386,              2048967,                137461,                -54885,               -291478,              1840065,,                  1599,                -39041,             -1320170,                 38264,                 20284,                              0,                    -17,                -47728,                              0,             -1346809,,              1635710,               -202606,                -54176,                              0,                -21408,               -791107,                 17499,                583912,                 58154,              1135322,              6814023,              7949345,              7949345,,,,,,,,,
4915,2015年01月01日至2015年06月30日,,                976345,                976345,,,                583232,                103331,                  1892,                 34704,                -91290,                 19992,                  1992,,                    940,                 93752,                748545,,,               -275397,,               -376402,                 -8333,                -42038,               -616675,                 55091,                 15861,                  9859,             -1238034,,                -51073,,               -563206,                 77743,                  1787,             -1453839,             -2691873,             -1943328,               -966983,                 91290,                -34672,               -223060,             -1133425,,                              0,                -39041,               -631956,                  6801,,                 20559,                    -17,                -22408,                              0,               -666062,,              1917861,                  4217,                -24136,,,,                 14093,              1912035,                -55391,                 57157,              6814023,              6871180,              6871180,               -919090,                              0,,,,,,,
4915,2015年01月01日至2015年03月31日,,                491597,                491597,,,                291967,                 47630,                  1497,                 16956,                -51775,                  5545,                  2814,,                              0,                 35055,                349689,,,               -343232,,                759119,                 39795,               -152163,               -310202,                 22707,                 15935,                 11822,                 43781,,                -74723,,               -677076,                  7220,                 93382,             -1958087,             -1914306,             -1564617,             -1073020,                 51775,                -16940,               -111290,             -1149475,,,                -39099,               -561262,                 21665,,                  3610,                    -17,                 -5002,                              0,               -580105,,              1754271,                 -6534,                              0,                 35998,,,                 14093,              1802892,                -23636,                 49676,              6814023,              6863699,              6863699,             -1306890,,                              0,                  5064,,,,,
4915,2014年度,,              2047581,              2047581,,,              1018214,                174671,                  2835,                 66560,               -275451,                 30974,                -15870,                              0,,                    229,,,,                -61430,,             -1400687,                -60581,                159723,                111714,                -94880,                -31788,                 60757,             -1317172,,                 42609,,                663041,                -60316,                159969,              1758749,                441577,              1476917,              3524498,                275451,                -66497,               -379257,              3354195,,                  4616,             -2329526,             -1131498,                 36818,                -12583,                              0,                 -1306,                -77700,                              0,             -3756779,,              1083965,              1419722,                 74431,                              0,,               -347105,                 48589,              2279602,                150140,              2027158,              4786865,              6814023,              6814023,                953446,,,,,                 33178,              1035340,               -245600,                              0
4915,2014年01月01日至2014年09月30日,,              1622148,              1622148,,,                762689,                132854,                    932,                 57562,               -244621,                 25113,                  6420,                              0,                  8030,                -90298,                658681,,,                -51639,                              0,             -1193168,                -36373,                243574,                344813,               -169369,                  1444,                 55495,               -805223,,                  4652,               -156470,                296964,                 41899,                 22459,                209504,               -595719,                 62962,              1685110,                244621,                -57515,               -319655,              1552561,,                  4616,             -2329526,               -552912,                  2364,                  4826,                              0,                 -1136,                -11761,                              0,             -2883529,,              2143119,              1419722,                 62117,                              0,                              0,               -347105,                  9685,              3287538,                 35942,              1992512,              4786865,              6779377,              6779377,,,,,,,,,
4915,2014年01月01日至2014年06月30日,,                994498,                994498,,,                509902,                 90329,                    858,                 42450,               -175062,                 17449,                  5680,,                  8030,                -62313,                437323,,,                 24285,,                -80009,                -54617,                149922,                301866,               -158973,                  1181,                 43126,                226781,,                -33611,,                  9343,                 10718,                 -9111,             -1033787,               -807006,               -369683,                624815,                175062,                -42418,               -211994,                545465,,                  4616,             -2329526,               -325032,                  2107,,                  4964,                 -1136,                -10195,                              0,             -2654202,,              2094189,              1800000,                -18309,,,,                  1026,              3796628,                -16270,              1671621,              4786865,              6458486,              6458486,             -1011126,                -80278,,,,,,,
4915,2014年01月01日至2014年03月31日,,                446482,                446482,,,                250818,                 44165,                  1290,                 20343,                -79093,                  8605,                 -1044,,                  4530,               -121955,                127659,,,                 20013,,              1399154,                -23984,                203487,                601265,               -170596,                    804,                 32921,              2063064,,                 71744,,               -308973,                -86084,                 -3768,             -2299734,               -236670,               -109011,                337471,                 79093,                -20327,                -54457,                341780,,,             -2329526,               -144104,                  1613,,                  3983,                 -1120,                 -5312,                              0,             -2474466,,              1861074,              1719722,                              0,                 -2003,,,                    571,              3579364,                 30655,              1477333,              4786865,              6264198,              6264198,             -1972653,,                              0,                              0,,,,,
4915,2013年度,,                910752,                910752,,,              1032902,                 80400,                 -5741,                 17382,               -161252,                 15466,                 18695,                              0,,                345675,,,,                  4778,,               -671547,                              0,                107575,                522118,                 61262,                  9261,                -47782,                -14335,,                  7932,,               -137237,               -133746,                 -1875,                639321,                624986,              2089461,              3000213,                161252,                -17292,               -153161,              2991012,,                              0,                              0,               -865411,                164879,                 -9885,                              0,                              0,                -16666,                  4803,               -722280,,                658900,                              0,                 38020,                              0,,               -647019,                 37731,                 87632,                 17063,              2373427,              2413438,              4786865,              4786865,                904247,,,,,                120948,              1464475,                              0,                              0
4915,2013年01月01日至2013年12月31日,,                910752,                910752,,,              1032902,                 80400,                 -5741,                 17382,               -161252,                 10048,                 18695,                              0,,                351093,,,,                  4778,,               -671547,,                107575,                522118,                 61262,                  9261,                -47782,                -14335,,                  7932,,               -137237,               -133746,                 -1875,                639321,                624986,              2089461,              3000213,                161252,                -17292,               -153161,              2991012,,                              0,,               -865411,                164879,                 -9885,                              0,,                -16666,                  4803,               -722280,,                658900,,                 38020,                              0,,               -647019,                 37731,                 87632,                 17063,              2373427,              2413438,              4786865,              4786865,                904247,,,,,                120948,              1464475,,                              0
4915,2013年01月01日至2013年09月30日,,                928831,                928831,,,                788557,                 61316,                 -4982,                 12722,               -119375,                  6524,                 13105,                              0,                              0,                222043,,,,                 -9664,                              0,               -284583,                              0,                 67736,                374922,                 -3908,                  9026,                   -620,                152909,,                  6195,               -679743,               -241136,                -93305,                -38587,             -1046576,               -893667,                 86243,              1015074,                119375,                -12648,               -139787,                982014,,                              0,                              0,               -645719,                157950,                 -8720,                              0,                              0,                -10073,                  4035,               -502527,,              2610960,                              0,                 43304,                              0,,               -647019,                 33934,              2041179,                 -7414,              2513252,              2413438,              4926690,              4926690,,,,,,,                979910,,
