證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款－關係人（增加）減少,　　 存出保證金減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存出保證金增加,　　 其他非流動資產減少,　　 停業單位稅前淨利（淨損）
4935,2015年01月01日至2015年09月30日,,                746984,                746984,,,                242935,                  1516,                              0,                  5921,                -15569,                    586,                 -8806,                   -115,                              0,                  1504,                 -2814,                225158,,,                -16838,                -91973,               -126519,                108813,                 96791,                 52414,                   -987,                -92747,                 -3258,                -74304,,                      6,                 22392,                 -4423,                 45073,                  4050,                    758,                 -1127,                    475,                 67204,                 -7100,                218058,                965042,                 14930,                 -5707,               -122161,                852104,,                              0,                              0,                              0,                              0,               -492750,                    344,                              0,                 -4003,                              0,                 -2495,                  9178,               -489726,,                606514,               -235847,                              0,                              0,               -259151,                  5905,                              0,                117421,                 71279,                551078,              1986042,              2537120,              2537120,,,,,,,,
4935,2015年01月01日至2015年06月30日,,                387399,                387399,,,                160671,                  1184,,                  3296,                 -9722,                    586,                 -3622,                    -66,,                    363,                 -1873,                150817,,,                -84164,                126257,               -136421,                118802,                -36832,                 53313,                 -3097,               -251143,                   -422,               -222885,,,                 43317,                -11155,                -10386,                 -3837,                 -1678,                 22941,                    317,                 39519,               -183366,                -32549,                354850,                  7956,                 -3010,                -88091,                271705,,,,,,               -141660,                     66,,                  8700,,                      8,,               -132886,,                374014,               -109087,                              0,,,                  4005,                              0,                268932,                -72114,                335637,              1986042,              2321679,              2321679,                 -9178,,,,,,,
4935,2015年01月01日至2015年03月31日,,                171883,                171883,,,                 81365,                    313,,                  1451,                 -4245,                    439,                 -2745,                    -67,,                 -2001,                   -946,                 73564,,,                -72382,                270173,                -74729,                108750,                -10851,                 58190,                 -1596,               -220356,                   -217,                 56982,,,                -99978,                -13002,                -31678,                     30,                 -3157,                 -1197,                    159,               -148823,                -91841,                -18277,                153606,                  3860,                 -1331,                -28559,                127576,,,,,,                -29013,                     67,,,                  8700,,,                -20242,,                220659,                -78807,                              0,,,                  4005,                              0,                145857,                -35749,                217442,              1986042,              2203484,              2203484,,                      4,                              0,,,,,
4935,2014年度,,                658301,                658301,,,                316169,                   -736,                              0,                  7145,                -14892,                  2502,                -15655,                 -3035,                              0,                 21716,                 -3635,,,,                -45892,               -467487,                 60477,                -38082,                 16278,                -19428,                    235,                 57637,                 -1110,               -437372,,,                318266,                 41932,                 -7415,                   -354,                  3199,                 -4315,                   -187,                351126,                -86246,                223333,                881634,                 15893,                 -6944,                -79895,                810688,,                              0,                              0,                              0,,               -146858,                  7147,,,                -17470,,                  6608,               -150692,,                682839,               -591662,                -79165,,               -128733,                 18477,               -213459,               -311703,                131921,                480214,              1505828,              1986042,              1986042,,,,,                309579,                   -119,,
4935,2014年01月01日至2014年09月30日,,                467205,                467205,,,                233652,                    905,                              0,                  5477,                -11594,                  1975,                -13435,                 -3015,                              0,                 24037,                 -2708,                235294,,,                -47118,               -333596,                 61039,                -18790,                 -1732,                -30624,                    567,                158152,                   -843,               -212945,,                              0,                125995,                 43745,                    439,                  1520,                   -992,                 -5648,                    537,                165596,                -47349,                187945,                655150,                 12711,                 -4961,                -68848,                594052,,                              0,                              0,                              0,                              0,               -123579,                  7126,                 -6608,                 -8770,                              0,                 -1607,                              0,               -133438,,                470006,               -335040,                -79166,                    609,               -128733,                  1121,               -213459,               -284662,                 29344,                205296,              1505828,              1711124,              1711124,,,,,,,,
4935,2014年01月01日至2014年06月30日,,                258940,                258940,,,                158030,                    276,,                  3867,                 -8000,                  1559,                 -6171,                 -2997,,                 10619,                 -1827,                155356,,,                -56832,               -110111,                 27823,                 -8375,                 18485,                -56417,                    369,                 76148,                   -577,               -109487,,,                130751,                  8814,                -47476,                  1824,                 -4142,                  3303,                    358,                 93432,                -16055,                139301,                398241,                  6270,                 -3164,                -46095,                355252,,,,,,                -90894,                  7107,,                 -8705,,                 -1939,,                -94431,,                322621,                -75464,                -79165,,,                              0,               -213459,                -45467,                -28594,                186760,              1505828,              1692588,              1692588,                              0,,,,,,,
4935,2014年01月01日至2014年03月31日,,                137225,                137225,,,                 82731,                    577,,                  1738,                 -3813,                  1003,                 -3771,                 -2972,,                 -6763,                   -911,                 67819,,,                -12397,                -80507,                -22757,                  8822,                -54194,                -14854,                    396,                  7035,                   -379,               -168835,,,                153006,                 25671,                -20964,                   -457,                 -5205,                    968,                    179,                153198,                -15637,                 52182,                189407,                  3676,                 -1334,                -12790,                178959,,,,,,                -50895,                  5639,,,                 -8700,,,                -53572,,                200032,                -75676,                 -4166,,,                              0,               -213459,                -93269,                 31021,                 63139,              1505828,              1568967,              1568967,,                    384,                              0,,,,,
4935,2013年度,,                247756,                247756,,,                292553,                  3568,                   -936,                  9407,                -14288,                  6095,                -19789,                    126,                 -1345,                -24707,                 -3531,,,,                -16458,                404318,                -15712,                -36176,                102393,                 -4591,                   -419,               -111071,                 -1258,                321026,,,                -94431,                 27235,                 31177,                  5612,                 -5640,                  1969,                   -307,                -34385,                286641,                533794,                781550,                 15511,                 -9486,                -64121,                723454,,                -55717,                 57062,                -98000,,               -282879,                  8286,,,                 79866,,                 44053,               -250840,,                796785,               -821919,                -61666,,               -166480,                              0,               -117053,               -370333,                107514,                209795,              1296033,              1505828,              1505828,,,,,                247153,                 -3511,,
4935,2013年01月01日至2013年12月31日,,                247756,                247756,,,,,,,,,,,,,,,,,,,,,,,,,,                321026,,,,,,,,,,                -34385,                286641,                533794,                781550,                 15511,                 -9486,                -64121,                723454,,                -55717,                 57062,                -98000,,               -282879,                  8286,,,                 79866,,                 44053,               -250840,,                796785,               -821919,                -61666,,               -166480,,               -117053,               -370333,                107514,                209795,              1296033,              1505828,              1505828,,,,,                247153,                 -3511,,
4935,2013年01月01日至2013年09月30日,,                181533,                181533,,,                217903,                   -792,                   -934,                  7359,                -10375,                  5090,                -17643,                    745,                 -1346,                 -1550,                 -2643,,,,                  2304,                417276,                -27529,                -57131,                 69451,                -41722,                     18,                -39928,                   -944,                321795,,,                -59453,                 34752,                -26456,                  4835,                 -2346,                  7076,                    675,                -40917,                280878,                476692,                658225,                 22971,                 -6640,                -57415,                617141,,                -55717,                 57063,                   -980,               -107800,               -162903,                  7654,                              0,                              0,                 69866,                 -3514,                 44053,               -152278,,                675119,               -380275,                -57498,                              0,               -166480,                              0,                              0,                 70866,                 77671,                613400,              1296033,              1909433,              1909433,,,,,                195814,,,
