證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 因合併產生之現金流入,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 短期借款增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　 存出保證金減少,　　　　 處分投資損失（利益）,　　 處分子公司,　　 其他非流動資產減少
4958,2015年01月01日至2015年09月30日,,              6319348,              6319348,,,              3428816,                 87167,                 -1841,                325229,               -572859,                 -5635,                              0,                 20235,                              0,                124657,                 24336,              3430105,,,                              0,               -138942,             -1609785,              3579302,                749914,             -3389553,               -551455,                    324,             -1360195,,                -25534,                261310,                -52075,                576255,                 31330,                791286,               -568909,              2861196,              9180544,             -1542403,              7638141,,             -5233038,                 63078,                -22572,                              0,                267351,                -71295,                -23019,                491839,                  5635,             -4522021,,              1346221,                              0,                -51626,                              0,             -2477600,                -57179,                              0,             -2954524,               -139659,             -4334367,                165619,             -1052628,             17903172,             16850544,             16850544,,,,,,,,,,,
4958,2015年01月01日至2015年06月30日,,              3527639,              3527639,,,              2274129,                 58864,                 -1826,                224598,               -392636,                              0,                              0,                 22497,                              0,,                 16168,              2201794,,,                 -5703,                -56477,              2438431,              3266916,                722199,                 54600,               -181916,                     40,              6238090,,                -37419,             -3507732,               -188736,               -888229,                 37423,             -4584693,              1653397,              3855191,              7382830,             -1347652,              6035178,,             -2781978,                 20669,                -20856,                              0,,                -38437,                    -61,                329795,                              0,             -2826024,,,                              0,                -51626,                              0,             -2477600,,                              0,,                -93715,              1215963,               -526847,              3898270,             17903172,             21801442,             21801442,               -335156,              3855278,                -16374,,,,,,,,
4958,2015年01月01日至2015年03月31日,,              1732500,              1732500,,,              1146477,                 29679,                              0,                127356,               -174656,                              0,                              0,                 11685,                              0,,                  8147,              1148688,,,                -10101,                -64058,              5675843,              2433563,                439932,                946161,               -122126,                     34,              9299248,,                -37419,             -4921431,               -191054,             -1213567,                 15937,             -6347534,              2951714,              4100402,              5832902,               -643986,              5188916,,               -920706,                  7589,                -22771,                              0,,                 -2948,,                 96142,                              0,             -1292403,,                306466,                              0,,                              0,                              0,,                              0,                              0,                -43322,                253524,               -212112,              3937925,             17903172,             21841097,             21841097,               -449709,,                 -9620,,,,,,,,
4958,2014年度,,              7984006,              7984006,,,              4196155,                 96697,                  1692,                497296,               -227863,                 -3681,                 10967,                 15704,                 -3346,                228984,                 25357,,,,                 50725,                  3040,             -5240735,              8568050,                 24119,               -870980,               -303077,                              0,              2231142,,,              1307966,                167972,               -416060,                 -5563,              1054315,              3285457,              8123419,             16107425,             -1164835,             14942590,,             -5344378,                135124,                 -1746,                555617,,               -161447,               -235447,                223946,                  3681,            -10179623,,             -5198725,              8937705,,              2856988,             -1964200,                102133,                -32042,             -2215790,               -245826,              2240243,                884231,              7887441,             10015731,             17903172,             17903172,             -5354973,,,,                              0,              4837962,                              0,,,,
4958,2014年01月01日至2014年09月30日,,              4056114,              4056114,,,              3054980,                 69102,                     73,                372513,               -182997,                 -3681,                 10967,                  6897,                -52122,                              0,                 18405,              3294137,,,                -11031,                 11664,             -2703798,              7424685,                283404,             -1630156,               -603678,                 -2690,              2768400,,                              0,               -712796,                -21758,               -149016,                 -1863,               -885433,              1882967,              5177104,              9233218,               -995885,              8237333,,             -3805636,                 50115,                 -1970,                555617,                    500,                -70435,                              0,                167186,                  3681,             -3100942,,             -6114712,              8937705,                              0,              2851875,             -1977300,                 -1904,                -32042,             -2215790,               -224985,              1222847,                430873,              6790111,             10015731,             16805842,             16805842,,,,,,,,,,,
4958,2014年01月01日至2014年06月30日,,              2090768,              2090768,,,              1985402,                 64003,                     73,                238799,               -134782,                              0,                 10967,                    616,                -52122,,                 11796,              2124752,,,                  7356,                -44112,                303865,              6913649,                255288,                 58754,               -133437,                 -2145,              7359218,,                              0,             -3470937,               -129254,               -712347,                 -8115,             -4320653,              3038565,              5163317,              7254085,               -819154,              6434931,,             -2236398,                 22608,                 -6829,                555617,,                -45167,                              0,                119408,                              0,             -1590261,,,              8937705,                              0,              2800313,             -1941550,,                -32042,,               -157982,              4174184,               -191285,              8827569,             10015731,             18843300,             18843300,                    500,             -5420857,                -11403,,,,,,,,
4958,2014年01月01日至2014年03月31日,,              1043424,              1043424,,,                981407,                 36588,                    -83,                126266,                -61514,                              0,                 10967,                 -2204,                -52122,,                  5445,              1044750,,,                 10634,                -22519,              3603372,              4973715,                400311,                883610,               -125971,                 -2449,              9720703,,                 38751,             -4317139,               -128334,             -1192260,                -12086,             -5611068,              4109635,              5154385,              6197809,               -328990,              5868819,,             -1093993,                 21720,                   -421,                434943,,                 -5416,,                 45047,                              0,               -598120,,             -2296662,                              0,,              2856563,             -1980550,,                -32464,                              0,                -69343,             -1533491,                 13659,              3750867,             10015731,             13766598,             13766598,                              0,,                -11035,,,,,,,,
4958,2013年度,,              6069931,              6069931,,,              3658630,                 83127,                 10391,                382761,               -129044,                 -3535,                 87275,                 38953,                  1764,                345866,                 21205,,,,                -14712,                -26040,             -2589226,             -5704469,                420660,               -354328,                147734,                              0,             -8120381,,,              3817149,                 34170,                707492,                -42847,              4515964,             -3604417,                917714,              6987645,               -913704,              6073941,,             -4012255,                 51531,                   -105,                              0,,                 17630,                              0,                124180,                  3535,             -3468947,,               -265348,                              0,,              5491002,             -5067700,                -31512,               -126435,             -1406851,               -179633,             -1586477,                240750,              1259267,              8756464,             10015731,             10015731,                337219,,,,                 24738,              4522131,                  9318,,,,
4958,2013年01月01日至2013年12月31日,,              6069931,              6069931,,,              3658630,                 83127,                 10391,                382761,               -129044,                 -3535,                 87275,                 38953,,                345866,                 21205,,,,                -14712,                -26040,             -2589226,             -5704469,                420660,               -354328,                147734,,             -8120381,,,              3817149,                 34170,                707492,                -42847,              4515964,             -3604417,                917714,              6987645,               -913704,              6073941,,             -4012255,                 51531,,,,,,                124180,                  3535,             -3468947,,               -265348,                              0,,              5491002,             -5067700,                -31512,               -126435,             -1406851,               -179633,             -1586477,                240750,              1259267,              8756464,             10015731,             10015731,                337219,,,,                 24738,              4522131,                  9318,                   -105,                  1764,                              0,                 17630
4958,2013年01月01日至2013年09月30日,,              3565360,              3565360,,,              2713956,                 60055,                 -5714,                281684,                -96370,                 -3529,                 70230,                  5138,                              0,,                 15866,,,,                 -3945,                              0,             -1099509,               -480930,                932646,               -521503,               -190168,                              0,             -1363409,,,              1293343,                -35468,               -513561,                -12503,                731811,               -631598,              2409718,              5975078,               -886390,              5088688,,             -2809704,                 46200,,                              0,,                 29379,,                 89504,                  3529,             -3129202,,               -611566,                              0,,              3044232,             -3008748,                -43014,                -94603,             -1406851,               -135698,             -2256248,                120859,               -175903,              8756464,              8580561,              8580561,               -488142,,,,,              3041316,,                     32,,,
