證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他金融資產減少,　　　　　 其他金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 應付短期票券減少
4968,2015年01月01日至2015年09月30日,,                146452,                146452,,,                 22113,                 10740,                  1823,                    507,                    -66,                              0,                 19148,                              0,                 -2249,                 52016,,,                -66496,                 -3795,               -141069,                 -2838,                   -762,               -214960,,                              0,                 66511,                 10191,                  5449,                  6428,                   -452,                 88127,               -126833,                -74817,                 71635,                    132,                   -559,                     -2,                 71206,,                -27655,                 -1468,                              0,                -13791,                              0,                 -6292,                -49206,,                100000,               -150000,                              0,                -16000,                              0,                 -4256,                  1394,                -68862,                  3098,                -43764,                106434,                 62670,                 62670,                              0,,,,,,
4968,2015年01月01日至2015年06月30日,,                 84868,                 84868,,,                 14798,                  7019,                  1823,                    436,                    -60,                              0,                 13541,                              0,                 10345,                 47902,,,                -21183,                  1951,                -93268,                 -1443,                 -1625,               -115568,,                              0,                 51301,                  6851,                  4349,                  1367,                   -314,                 63554,                -52014,                 -4112,                 80756,                    132,                   -478,,                 80410,,                -22009,                 -2373,                              0,                -13612,                              0,,                -40044,,                 90000,               -120000,                              0,                -16000,                              0,                 -4336,                  1394,                -48942,                 -1017,                 -9593,                106434,                 96841,                 96841,                              0,                 -2050,,,,,
4968,2015年01月01日至2015年03月31日,,                 31725,                 31725,,,                  7144,                  3421,                              0,                    263,                    -15,                              0,                  5880,                              0,                 10896,                 27589,,,                  4659,                 -1253,                -51645,                 -1741,                    321,                -49659,,,                 20875,                  2758,,                     71,                   -176,                 24496,                -25163,                  2426,                 34151,                     15,                   -295,,                 33871,,                 -6101,                              0,                     28,                -10239,                 -2072,,                -18384,,                 60000,                -80000,                              0,                 -3000,                              0,                    -57,                              0,                -23057,                   -588,                 -8158,                106434,                 98276,                 98276,,,                    968,,,,
4968,2014年度,,                 68584,                 68584,,,                 25660,                 16852,                              0,                  2650,                    -86,                  1537,                  4641,                              0,                 -7737,,,,                 50643,                 -6997,                 17158,                   -753,                  6069,                 66120,,,                -19429,                  4880,,                    311,,                -11240,                 54880,                 98397,                166981,                    102,                 -2744,,                164339,,                -32205,                              0,                      2,                -10099,                  3195,,                -39107,,                788481,               -838751,                 20000,                -68973,                              0,                 -1180,                 33763,                -66660,                  3107,                 61679,                 44755,                106434,                106434,,,                  3381,,                 43517,                   -383,
4968,2014年01月01日至2014年09月30日,,                 43343,                 43343,,,                 18815,                 13178,                              0,                  2139,                    -52,                  1537,                              0,                 -1149,                   -759,                 33709,,,                    527,                 -9134,                 35944,                   -742,                  5223,                 31818,,                              0,                 -4252,                  2210,                    928,                    214,                   -314,                 -1214,                 30604,                 64313,                107656,                     58,                 -2192,                              0,                105522,,                -26334,                              0,                    103,                 -9753,                  3207,                              0,                -32777,,                678481,               -688751,                 20000,                -50341,                              0,                 -1411,                  8518,                -33504,                    672,                 39913,                 44755,                 84668,                 84668,                              0,,,,,,
4968,2014年01月01日至2014年06月30日,,                 37715,                 37715,,,                 12635,                  8931,                              0,                  1419,                    -48,                    777,                              0,                 -4222,                  4677,                 24169,,,                -22238,                 -3848,                 45154,                 -3852,                  4771,                 19987,,                              0,                -30868,                  5712,                 -3508,                    171,                   -206,                -28699,                 -8712,                 15457,                 53172,                     54,                 -1565,,                 51661,,                -10153,                     -4,                              0,                 -9759,                  2206,,                -17710,,                528481,               -498751,                              0,                -33464,                              0,                 -1504,                  8518,                  3280,                   -388,                 36843,                 44755,                 81598,                 81598,                              0,                              0,,,,,
4968,2014年01月01日至2014年03月31日,,                 11527,                 11527,,,                  6292,                  4922,                              0,                    654,                    -22,                    266,                  2523,                              0,                 -3200,                 11435,,,                 20622,                 -6211,                 15154,                 -1682,                  5132,                 33015,,,                -33526,                  7213,,                    899,                    -60,                -28474,                  4541,                 15976,                 27503,                     22,                   -800,,                 26725,,                 -6172,                     -4,                              0,                -10404,                     -5,,                -16585,,                278929,               -248929,                              0,                -17324,                    128,                              0,                              0,                 12804,                  2852,                 25796,                 44755,                 70551,                 70551,,,                 -3000,,,,
4968,2013年度,,                 20417,                 20417,,,                 29538,                 17700,                   -495,                  4207,                    -82,                  1487,                  7811,                              0,                 -5114,,,,               -121718,                  4937,                 -6776,                     88,                 -5348,               -128817,,,                141277,                 -8589,,                    108,,                136639,                  7822,                 62874,                 83291,                     77,                 -4061,,                 79307,,                -10859,                              0,                    234,                 -8484,                 -1032,,                -20141,,                921074,               -991251,                 30000,                -22647,                    209,                              0,                 16405,                -46210,                  2303,                 15259,                 29496,                 44755,                 44755,,,                  4232,,                 55052,                   -389,
4968,2013年01月01日至2013年12月31日,,                 20417,                 20417,,,                 29538,                 17700,                   -495,                  4207,                    -82,                  1487,                  7811,                              0,                 -5114,,,,               -121718,                  4937,                 -6776,                     88,                 -5348,               -128817,,,                141277,                 -8589,,                   -281,,                136639,                  7822,                 62874,                 83291,                     77,                 -4061,,                 79307,,                -10859,                              0,                    234,                 -8484,                 -1032,,                -20141,,                921074,               -991251,                 30000,                -22647,                    209,,                 16405,                -46210,                  2303,                 15259,                 29496,                 44755,                 44755,,,                  4232,,                 55052,,
4968,2013年01月01日至2013年06月30日,,                  5463,                  5463,,,                 17142,                  8683,                   -727,                  1908,                    -37,                    917,                  2735,                              0,                 -1954,,,,                -29212,                  1210,                -33418,                    390,                 -4194,                -65224,,                    480,                 95114,                -11132,                 -3905,                    377,,                 80948,                 15724,                 44391,                 49854,                     35,                 -1628,,                 48261,,                 -6328,                              0,                      3,                 -2828,                     -7,,                 -9160,,                400757,               -436949,                  1000,                -10387,                    221,                              0,                  1581,                -43777,                  1620,                 -3056,                 29496,                 26440,                 26440,,,,,                 28667,                     14,
