證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　　　 應收票據（增加）減少,　　 現金增資,　　　　　 其他營業負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　 利息費用,　　 支付之利息,　　 短期借款增加,　　　　　 持有供交易之金融負債增加（減少）
5269,2015年01月01日至2015年09月30日,,                153620,                153620,,,                 44658,                 18347,                    -15,                 -8325,                 44518,                    292,                 -7026,                 92449,,,                 43498,                -50380,                    328,                 -1419,                 51854,                 -2081,                 41800,,                  4193,                 35908,                -10342,                    305,                 30064,                 71864,                164313,                317933,                  8577,                -25737,                300773,,                -61517,                   -152,                -18539,                -80208,,               -171360,                  7030,               -164330,                 56235,                602626,                658861,                658861,,,,,,,,,,
5269,2015年01月01日至2015年06月30日,,                 50298,                 50298,,,                 29405,                 13073,                    -14,                 -5753,                 28885,                    292,                    228,                 66116,,,                 -1648,                 52828,                 22544,                   -975,                  9195,                  3210,                 85130,,                 -4421,                  2090,                -33747,                     20,                -36058,                 49072,                115188,                165486,                  5927,                -10665,                160748,,                -37152,                   -155,                 -2209,                -39516,,,,                  7320,                128552,                602626,                731178,                731178,                              0,                    -24,                  7320,,,,,,,
5269,2015年01月01日至2015年03月31日,,                 40425,                 40425,,,                 14365,                  6377,                    430,                 -2777,                 14517,                    292,                  1688,                 34892,,,                 10181,                 21052,                 12317,                 -1703,                  6267,                  2715,                 50829,,                 -2300,                 30442,                -36933,                      2,                 -8789,                 42040,                 76932,                117357,                  2918,                   -289,                119986,,                -16150,                   -464,                 -1798,                -18412,,,,                  7320,                108894,                602626,                711520,                711520,,,                  7320,                              0,,,,,,
5269,2014年度,,                262471,                262471,,,                 63023,                 23264,                    282,                 -5754,,,                 -7616,,,,                201243,                -66697,                 16074,                  5066,                -26766,                 -2350,                126570,,                    407,                -60411,                 41776,                    152,                -18356,                108214,                181413,                443884,                  1679,                -26531,                419032,,                -54285,                 -2776,                -27181,                -84242,,                -70485,,                -70485,                264305,                338321,                602626,                602626,                              0,,                              0,                   -280,,                 73199,,,,
5269,2014年01月01日至2014年09月30日,,                198157,                198157,,,                 47398,                 17203,                    697,                 -3466,                              0,                              0,                 -2920,                 58912,,,                238480,                -48283,                 15531,                 -2281,               -114126,                 -3106,                 86215,,                  4350,                -16183,                 33421,                    933,                 22521,                108736,                167648,                365805,                  1585,                -26262,                341128,,                -39916,                 -2774,                -25257,                -67947,,                -70485,                              0,                -70485,                202696,                338321,                541017,                541017,,,,,,,,,,
5269,2014年01月01日至2014年06月30日,,                133300,                133300,,,                 31623,                 11162,                 -1930,                 -1451,                              0,                              0,                  1316,                 40720,,,                 80000,                -43561,                  2795,                    128,                -69443,                  3917,                -26164,,                 -4507,                  1327,                  8059,                     64,                  4943,                -21221,                 19499,                152799,                  1190,                -15234,                138755,,                -22889,                   -170,                -10393,                -33452,,,,                              0,                105303,                338321,                443624,                443624,                              0,                              0,                              0,,,,,,,
5269,2014年01月01日至2014年03月31日,,                 55658,                 55658,,,                 15482,                  5411,                 -1350,                   -553,                              0,                              0,                   -762,                 18228,,,                              0,                   -864,                 24796,                 -5855,                -67397,                    480,                -48840,,                 -2070,                -29236,                -17841,                     20,                -49127,                -97967,                -79739,                -24081,                    318,                     -1,                -23764,,                 -2863,                              0,                 -2250,                 -5113,,,,                              0,                -28877,                338321,                309444,                309444,,,                              0,                              0,,,,,,
5269,2013年度,,                114847,                114847,,,                 68805,                 18296,                 -1687,                 -1714,,,                 -1815,,,,               -223650,                 36995,                  5542,                 -4159,                -22249,                  1335,               -206186,,                              0,                 57399,                 -2553,                    -34,                 54508,               -151678,                -65164,                 49683,                  1447,                -25122,                 26008,,                -65273,                 -2822,                -26327,                -94422,,               -140970,,               -140970,               -209384,                547705,                338321,                338321,                  4629,,                              0,                   -304,,                 86514,,,,
5269,2013年01月01日至2013年12月31日,,                114847,                114847,,,                 68805,                 18296,                  4174,                 -1714,                              0,,                 -1815,,,,               -229511,                 36995,                  5542,                 -4159,                -22249,                  1335,               -212047,,                              0,                 57399,                 -2553,                    -34,                 54508,               -157539,                -65164,                 49683,                  1447,                -25122,                 26008,,                -65273,                 -2822,                -26327,                -94422,,               -140970,,               -140970,               -209384,                547705,                338321,                338321,                  4629,,                              0,                   -304,,                 92375,                              0,                              0,                              0,
5269,2013年01月01日至2013年09月30日,,                 94460,                 94460,,,                 51920,                 13373,                 -2207,                 -1304,                              0,,                  1570,,,,               -250158,                 22034,                 11488,                 -4259,                 31442,                  6328,               -183125,,                 -5852,                 11694,                -14280,                    786,                 -7652,               -190777,               -127425,                -32965,                    892,                -25088,                -57161,,                -57678,                     -3,                -26034,                -83715,,               -140970,,               -140970,               -281846,                547705,                265859,                265859,                              0,,,,,                 63352,,,,
5269,2013年01月01日至2013年06月30日,,                 78160,                 78160,,,                 34403,                  8645,                 -1422,                   -729,,,                 -1314,,,,               -300000,                 -6819,                 23256,                 -2935,                 13875,                  5318,               -267305,,                 -4941,                 24525,                -33244,                    181,                   -324,               -267629,               -228046,               -149886,                    431,                -25041,               -174496,,                -38643,                              0,                 -4542,                -43185,,,,,               -217681,                547705,                330024,                330024,,,,                 13155,,                 39583,,,,
5269,2013年01月01日至2013年03月31日,,                 37800,                 37800,,,                 16483,                  4263,                    595,                   -168,,,                 -1233,,,,               -300000,                  6672,                 40381,                   -657,                 18845,                    727,               -234032,,                 -2471,                 29791,                -24794,                    -58,                  2468,               -231564,               -211624,               -173824,                     18,                              0,               -173806,,                -19042,,                 -1000,                -20042,,,,,               -193848,                547705,                353857,                353857,,,,,,                 19940,,,,
5269,2012年01月01日至2012年12月31日,,                259341,                259341,,,                 60539,                 16831,                    296,                   -778,                      1,,                    196,,,,               -200000,                  6338,                 -6250,                  1450,                 75033,                  6042,               -117387,,                    313,                -75956,                 25779,                    -13,                -50161,               -167548,                -88138,                171203,                    778,                -26751,                145170,,                -61879,                   -156,                -21717,                -83752,,                 -9497,,                277889,                339307,                208398,                547705,                547705,                  2280,,                316386,                   -284,,                 79410,                     45,                    -60,                -29000,
5269,2012年01月01日至2012年09月30日,,                232400,                232400,,,                 44648,                 10764,,                   -447,,,                  4260,,,,                   -291,                -34098,                 14577,                 -6680,                 -3394,                   -685,                -30571,,                  2783,                -76109,                 17508,                  1324,                -54494,                -85065,                -23515,                208885,                    357,                -26705,                182477,,                -51980,                   -156,                -21552,                -73688,,                              0,,                -29000,                 79789,                208398,                288187,                288187,                  2280,,,                              0,,                 61550,                     45,                    -60,                -29000,                              0
5269,2012年01月01日至2012年06月30日,,                149391,                149391,,,                 29227,                  5921,,                   -418,,,                 -1820,,,,                              0,                 -2760,                 15921,                 -3066,                -40427,                 13925,                -16407,,                 -4732,                 29357,                 19794,                     62,                 44973,                 28566,                 63801,                213192,                    337,                -26704,                186765,,                -31656,,                 -4873,                -36529,,,,                -29000,                121236,                208398,                329634,                329634,                  2280,,,                              0,,                 35235,                     45,                    -60,                -29000,                    492
5269,2012年01月01日至2012年03月31日,,                 67127,                 67127,,,                 14639,                  3013,,                   -114,,,                    459,,,,                              0,                 14915,                -27982,                   -375,                 55626,                  9771,                 51955,,                 -2417,                -22738,                 -8801,                  1133,                -32823,                 19132,                 37174,                104301,                     36,                    -24,                104253,,                -24118,,                 -4874,                -28992,,,,                -29000,                 46261,                208398,                254659,                254659,,,,,,                 18042,                     45,                    -60,                -29000,                              0
