證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得投資性不動產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　　　　 應付建造合約款（增加）減少,　　　　　 應收票據－關係人（增加）減少
5525,2015年01月01日至2015年09月30日,,                670049,                670049,,,                  4006,                    420,                 11869,                -11206,                    238,                 26593,                 31920,,,                 55885,                -31358,                    100,                -10735,                 -3089,                422616,                -12362,                142681,                563738,,                 23675,               -207459,                   -820,               -124099,                -33757,               -532670,                -82007,                 -5103,               -962240,               -398502,               -366582,                303467,                 11221,                -13898,                -64263,                236527,,                   -872,                  4500,                   -516,                    -94,                  3018,,             -1367531,                810100,                  2143,                184500,               -370788,                              0,               -131243,                191867,                 60624,                 60624,,,,,,,,,,,,,,
5525,2015年01月01日至2015年06月30日,,                537720,                537720,,,                  2669,                    280,                  9332,                 -7000,                    151,                 16243,                 21675,,,                 64620,                -54346,                    100,                 -5281,                     -7,                281135,                -17532,                298764,                567453,,                156967,               -195942,                   -820,                -66176,                -38096,               -395647,                -78634,                 -4857,               -623205,                -55752,                -34077,                503643,                  7014,                -13511,                -47528,                449618,,                   -439,                  2900,                   -344,,                  2117,,             -1502564,                837700,                  2069,                184500,               -478295,                              0,                -26560,                191867,                165307,                165307,,,,,,,,,,,,,,
5525,2015年01月01日至2015年03月31日,,                221064,                221064,,,                  1332,                    140,                  6065,                 -3086,                     37,                  8240,                 12728,,,                 63275,                -87472,                              0,                     81,                 -7610,                462176,                -18285,               -284182,                127983,,                -25695,               -114657,                              0,                 64509,                 -4300,               -179986,                 85138,                 -4617,               -179608,                -51625,                -38897,                182167,                  3093,                 -7114,                 -8920,                169226,,                   -428,,                   -172,,                  2300,,               -358299,                145000,                  2076,                 67500,               -143723,                              0,                 27803,                191867,                219670,                219670,                  2900,,,,,,,,,,,,,
5525,2014年度,,                630302,                630302,,,                  5313,                    526,                  6277,                 -2629,                    558,                 21296,,,,                -66477,               -166355,                    -23,                    457,                  7346,                327416,                 19257,             -1868531,             -1746910,,                 42404,                240928,                    191,                138457,                 27424,               -139186,                 23027,,                332296,             -1414614,             -1377442,               -747140,                  2628,                 -4751,                -39476,               -788739,,                   -223,,                 -1753,                   -117,                 -2093,,,               -629500,                  1123,                              0,                895843,                              0,                105011,                 86856,                191867,                191867,,,                              0,                      6,                  5825,                 37172,                   -949,                              0,                              0,              1915988,                              0,               -391768,,
5525,2014年01月01日至2014年09月30日,,                142923,                142923,,,                  3985,                    378,                  2822,                 -1697,                    365,                 23177,                 29030,,,               -159389,                -57493,                     77,                    -67,                  7201,                 46998,                 -2183,               -389829,               -554685,,                 39515,                -91356,                   -629,                213782,                -51269,                125401,                  3626,                   -615,                238455,               -316230,               -287200,               -144277,                  1698,                 -1873,                -26417,               -170869,,                   -212,                              0,                 -1580,                   -117,                 -1909,,                663552,               -444500,                    172,                              0,                219224,                              0,                 46446,                 86856,                133302,                133302,,,,,,,,,,,,,,
5525,2014年01月01日至2014年06月30日,,                160673,                160673,,,                  2657,                    251,                  1994,                 -1023,                     96,                 15656,                 19631,,,                -26864,                -90977,                     77,                 -1190,                  7114,                212099,                -81203,               -190446,               -171390,,                 38340,               -106521,                   -629,                204742,                -41955,                 31405,                -20070,                   -394,                104918,                -66472,                -46841,                113832,                    990,                 -2038,                -23390,                 89394,,                   -200,                              0,                   -407,,                   -607,,                267069,               -294500,                    770,                              0,                -26661,                              0,                 62126,                 86856,                148982,                148982,,,,,,,,,,,,,,
5525,2014年01月01日至2014年03月31日,,                 96939,                 96939,,,                  1328,                    126,                  1403,                   -329,                     41,                  8034,                 10603,,,                  4055,                 -9519,                     77,                   -122,                  7062,                114984,                -26953,               -121766,                -32182,,                 -6100,               -108909,                   -629,                112865,                -12047,                 -4482,                -14163,                   -188,                -33653,                -65835,                -55232,                 41707,                    324,                 -1253,                 -3957,                 36821,,                   -188,,                   -236,,                   -424,,                212532,               -102200,                    859,                              0,                111191,                              0,                147588,                 86856,                234444,                234444,                              0,,,,,,,,,,,,,
5525,2013年度,,                656976,                656976,,,                  5427,                    511,                  9773,                 -3261,                    794,                 38412,,,,                 25426,                 -7967,                    -77,                   -130,                   -191,               -352572,                 17983,                143254,               -174274,,                 -6450,                128510,                    629,                 -5296,                 19648,                216816,                 65999,,                419056,                244782,                298831,                955807,                  3246,                -12599,                -49288,                897166,,                   -831,,                 -1108,                   -109,                -33116,,,              1105400,                  4471,                    150,               -843277,                              0,                 20773,                 66083,                 86856,                 86856,,,                    380,                     31,                  1982,                 54049,                   -800,                    101,                -31169,             -1043974,               -728577,               -180747,,
5525,2013年01月01日至2013年12月31日,,                656976,                656976,,,                  5427,                    511,                  9773,                 -3261,                    794,                 38412,,,,                 25426,                 -7967,                    -77,                   -130,                   -191,               -352572,                 17983,                143254,               -174274,,                 -6450,                128510,                    629,,                 19648,                216816,                 65999,,                419056,                244782,                298831,                955807,                  3246,                -12599,                -49288,                897166,,                   -831,,                 -1108,                   -109,                -33116,,,              1105400,                  4471,                    150,               -843277,                              0,                 20773,                 66083,                 86856,                 86856,,,                    380,                     31,                  1982,                 54049,                   -800,                    101,                -31169,             -1043974,               -728577,               -180747,                 -5296,
5525,2013年01月01日至2013年09月30日,,                529062,                529062,,,                  4097,                    387,                  8648,                 -2676,                    819,                 26453,,,,                   -373,                 -5995,                 -6524,                    -98,                     59,                143769,                  1062,                183013,                314913,,                  5915,                -31566,                              0,                 -3731,                -16357,                250520,                 61890,,                266013,                580926,                620667,              1149729,                  2651,                -11494,                -46027,              1094859,,                   -820,,                   -936,                    -67,                -32891,,             -1099014,                984600,                  1072,                    150,             -1027770,                              0,                 34198,                 66083,                100281,                100281,,,,                     31,                  1982,                 39741,                   -658,                    101,                -31169,,               -914578,,,
