證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款增加,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款－關係人減少,　　 其他金融資產減少,　　 其他應付款－關係人減少,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 存出保證金增加,　　 其他金融資產增加,　　 應付短期票券減少,　　 其他籌資活動,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得投資性不動產,　　 短期借款增加,　　 發行公司債,　　　　　 應收建造合約款（增加）減少,　　　　 未實現外幣兌換損失（利益）,　　 其他非流動資產減少,　　 償還長期借款,　　 存入保證金減少
5531,2015年01月01日至2015年09月30日,,               -337937,               -337937,,,                  7614,                 14599,                141903,                -97566,                 66550,,,                  3533,                -20841,                   -365,               -132447,                    -41,             -2767824,                176304,                -32781,             -2774462,,                367062,                -70668,                -69183,                              0,                299112,                   -558,                    631,                797551,                   -615,                 88633,                   -294,              1411671,             -1362791,             -1296241,             -1634178,                 85826,               -123542,               -164426,             -1836320,,                   -750,               -464634,                -21593,                              0,                 52193,               -561934,               -356617,                 -2483,                   -219,                805210,               -550827,,             -1249556,                273300,                              0,                941021,                 45349,                860422,                              0,              1652184,              2522720,                103076,                238649,              2082427,              2321076,              2321076,,,,,,,,,,,,,,,,,,,,
5531,2015年01月01日至2015年06月30日,,               -343904,               -343904,,,                  4093,                 10551,                 81848,                -66614,                 29878,,,                -20933,                 -1538,                   -365,,                     -5,             -1612547,                100224,               -147669,             -1682833,,                 98798,                -17378,                -61674,                              0,                107880,                   -451,                    321,                497303,                   -528,                -16821,                     59,                607509,             -1075324,             -1045446,             -1389350,                 12516,                -71605,                -99967,             -1548406,,                   -750,,                -14571,,                 26310,,,                -38550,                   -220,,                425259,,               -317835,                313800,                              0,                671838,                 35447,,                              0,              1636375,              1325208,                -96927,                105134,              2082427,              2187561,              2187561,                384345,                 68695,             -1014417,,,,,,,,,,,,,,,,,
5531,2015年01月01日至2015年03月31日,,               -167330,               -167330,,,                  1944,                  5034,                 26058,                -26034,                  7002,,,                  6737,                  1496,                              0,,                    -28,               -839145,             -2390051,               -188125,             -3409116,,                140402,               -105641,                -32003,                              0,                142617,                   -594,                    170,                123463,                    105,                -10740,                    -32,                257747,             -3151369,             -3144367,             -3311697,                 10123,                -18350,                -13949,             -3333873,,,,                   -443,,,,                438510,,,,                631006,,               -477944,,,                868430,,             -1307406,                 13542,              2244097,              2965450,                -28660,                233923,              2082427,              2316350,              2316350,,,,                              0,                 -5551,                198490,                              0,              1624731,,,,,,,,,,,,
5531,2014年度,,              1211316,              1211316,,,                  4946,                 12887,                 93207,                -91032,,,,                 63671,                923868,                -20963,                 -9038,                     79,             -6736070,               -533052,                -16201,             -6327706,,                -92259,                780186,                -32159,                 -8049,                189059,                   -897,                    235,              1278462,                    142,                -15291,,              2099311,             -4228395,             -4208387,             -2997071,                 92326,               -100397,               -284765,             -3289907,,,,                -14414,                     10,,,             -2804967,,                   -776,,             -6889678,,,               -113400,,              2300666,,              2931700,                 57601,                209878,             10319077,                107860,                247352,              1835075,              2082427,              2082427,,,,                              0,                339501,             -4409032,,,,                 20008,                   -118,                              0,                              0,              3652632,              1280000,,,,,
5531,2014年01月01日至2014年09月30日,,              1013089,              1013089,,,                  3648,                  5443,                 68267,                -34192,                 43166,,,                 34349,                925618,                -13660,                -48536,                     50,             -4716367,               -219950,                -43193,             -4081689,,               -117379,                 92143,               -108313,                  4667,                132369,                 -1327,                     94,              1205568,                    -40,                -10937,                     51,              1196896,             -2884793,             -2841627,             -1828538,                 33516,                -75938,               -225975,             -2096935,,                              0,                              0,                -10830,                     10,                320710,                              0,             -1750711,                              0,                   -350,             -4078012,             -5519183,,              3000551,                -66500,               -200000,              1993878,                              0,              2396027,                 32946,                379750,              7536652,               -216538,               -296004,              1835075,              1539071,              1539071,,,,,,,,,,,,,,,,,,,,
5531,2014年01月01日至2014年06月30日,,                551998,                551998,,,                  2383,                  3623,                 39507,                -14389,                 31124,,,                 48038,                922555,                   -660,,                     81,             -1015178,               -949268,                -62473,             -1056905,,                -31946,               -115531,                -86873,                  5634,                250715,                   -802,                  1052,                991237,                   -101,                 -4376,                    -10,              1008999,                -47906,                -16782,                535216,                 13713,                -38747,               -133759,                376423,,                              0,,                 -7702,,                311424,,,                              0,                   -249,,             -1572377,,                364249,                -33500,               -200000,              1169312,                              0,,                  4699,                110976,              3025293,                -61424,              1767915,              1835075,              3602990,              3602990,               -737894,             -1137956,              1609557,,,,,,,,,,,,,,,,,
5531,2014年01月01日至2014年03月31日,,                -50780,                -50780,,,                  1171,                  1813,                 20595,                 -5696,                 17883,,,                 57430,                757663,                -23200,,                     82,               -765419,               -693157,                -10556,               -677157,,                -50497,               -302091,                -90268,                 18553,                226128,                 -1240,                  1113,                752365,                     66,                 -6421,                    112,                547820,               -129337,               -111454,               -162234,                  1785,                -26375,                -15202,               -202026,,,,                 -4718,,,,                              0,,,,               -645344,,               -636478,,,                599120,,                363763,                 30146,                 -6066,                313485,                 -6836,               -540721,              1835075,              1294354,              1294354,,,,                              0,                297064,               -937690,                -37000,                              0,,,,,,,,,,,,
5531,2013年度,,              2744538,              2744538,,,                  3231,                  7700,                 47725,                 -7320,,,,                -71813,               -757737,                   -820,                              0,                    -83,             -4962747,               -345534,                -70094,             -6208828,,                135080,                750135,                 80652,                              0,               -103104,                              0,                  6749,                 43489,                   -814,                 28112,,                978837,             -5229991,             -5178640,             -2434102,                  6198,                -47200,               -311979,             -2787083,,,,                 -6060,                              0,,,                              0,,                   -147,,               -447040,,,                188300,,              2100271,,              2235742,                 31177,              1186504,              4107721,                 87850,                961448,                873627,              1835075,              1835075,,,,                     15,               -349526,                -91217,,,,                 51351,                   -510,                 39048,                    -90,             -1234273,               -400000,,,,,
5531,2013年01月01日至2013年12月31日,,              2744538,              2744538,,,                  3231,                  7700,                 47725,                 -7320,,,,                -71813,               -757737,                   -820,,                    -83,             -4962747,               -345534,                -70094,             -6208828,,                135080,                750135,                 80652,,               -103104,,                  6749,                 43489,                   -814,                 28112,,                978837,             -5229991,             -5178640,             -2434102,                  6198,                -47200,               -311979,             -2787083,,,,                 -6060,,,,,                              0,                   -147,,               -447040,,,                188300,,              2100271,,              2235742,                 31177,              1186504,              4107721,                 87850,                961448,                873627,              1835075,              1835075,,,,                     15,               -349526,                -91217,,,,                 51351,                   -510,                 39048,                    -90,             -1234273,               -400000,,,,,
5531,2013年01月01日至2013年09月30日,,                830384,                830384,,,                  2136,                  5864,                214940,                 -2954,,,,                 -1265,                142967,                -18000,                              0,                              0,             -3440229,               -376962,               -110614,             -3804103,,                 47302,                -40370,                -14740,                 30476,                104197,                              0,                    338,                970957,                   -996,                 35385,,              1132827,             -2671276,             -2451275,             -1620891,                  2954,               -216445,                -15392,             -1849774,,,                -26568,                 -3891,                              0,,,                              0,,                    -46,                224996,             -1317601,,,                188300,,              3519913,,                 25334,                              0,                630976,              3163284,                  3799,                   -292,                873627,                873335,                873335,,,,                     15,             -1512001,,,,,                220001,                    278,,                    -91,             -1001239,               -200000,,,,,
