證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 預付設備款減少,　　　　　 應收建造合約款（增加）減少,　　　　 金融資產減損損失,　　　　　 應付建造合約款（增加）減少,　　 預付設備款增加
5533,2015年01月01日至2015年09月30日,,                685320,                685320,,,                 62593,                    280,                 45060,                   -598,                 -2994,                   -273,                104068,,,                  7376,                -23807,                  5757,                 33607,                  6527,                  2566,                 32026,,                 22027,                 21901,                              0,                 -5766,               -253387,                 -5710,                    200,               -220735,               -188709,                -84641,                600679,               -101721,                498958,,                -22033,                  8306,               -294354,                   -954,                 -1812,                    598,                  2994,               -307255,,                760500,               -733140,                161800,               -120848,                 -1936,               -153399,                -44491,               -131514,                 60189,                550227,                610416,                610416,,,,,,,,,,,,,,
5533,2015年01月01日至2015年06月30日,,                581062,                581062,,,                 42721,                    136,                 32568,                   -581,                 -2994,                   -273,                 71577,,,                  7376,                  2185,                108318,                 61080,                  5915,                   -680,                184194,,                  4284,                  9873,                              0,                -11929,               -188330,                 -1838,                     96,               -187844,                 -3650,                 67927,                648989,                -80368,                568621,,                -22033,                  8306,               -183454,                   -549,                    -26,                    581,                  2994,               -194181,,                581500,               -719126,                161800,                -86618,,,                -32666,                -96870,                277570,                550227,                827797,                827797,                 -1760,,,,,,,,,,,,,
5533,2015年01月01日至2015年03月31日,,                487771,                487771,,,                 21755,                     68,                 17637,                    -22,,                   -137,                 39301,,,                    236,                    467,                250661,                 66648,                  6798,                -18965,                305845,,                -15436,                 10691,                              0,                -18804,               -256272,                 -5305,                     48,               -285078,                 20767,                 60068,                547839,                -19399,                528440,,                -10033,                  5170,                -66285,                   -199,                    -27,                     22,,                -71352,,                  3500,               -276060,                 89000,                -53262,,,                -17945,               -256337,                200751,                550227,                750978,                750978,                 -1570,                              0,,,,,,,,,,,,
5533,2014年度,,              1087878,              1087878,,,                 71440,                    392,                 41004,                 -1254,                 -3226,                   -871,,,,                 -7376,                  2224,             -2757980,                152358,                 -8472,                -16276,             -2635522,,                  8685,                -26200,                -15408,                 26321,                243288,                 25458,,                262490,             -2373032,             -2266779,             -1178901,               -132721,             -1311622,,                -27829,                 25676,               -548055,                    315,                   -240,                  1254,                  3226,               -627172,,              3856500,             -2204835,                909033,               -541592,                  1550,               -121585,                -35814,              1863257,                -75537,                625764,                550227,                550227,,,,                 -1232,                106253,                    346,                     99,                  1232,                -82850,                              0,,,,
5533,2014年01月01日至2014年09月30日,,                958701,                958701,,,                 50701,                    662,                 24119,                   -627,                 -3105,                    -90,                 71660,,,                   -912,                 -5120,                666062,             -1150869,                   -669,                 -3761,               -495269,,                 15491,                -62507,                -13060,                 17738,                 93876,                  6482,                   -184,                 57836,               -437433,               -365773,                592928,               -130582,                462346,,                 -5015,                  5099,               -783505,                    492,                   -567,                    627,                  3105,               -779764,,              1724100,             -1722282,                525634,               -181424,                    -20,               -121585,                -23538,                200885,               -116533,                625764,                509231,                509231,,,,,,,,,,,,,,
5533,2014年01月01日至2014年06月30日,,                683523,                683523,,,                 33315,                    213,                 15712,                   -617,                 -3105,                    -90,                 45428,,,                              0,                 -4203,                233942,                225728,                 -1550,                 -3956,                449961,,                  5225,                -52573,                -10256,                  8441,                -39117,                  6797,                   -123,                -81606,                368355,                413783,              1097306,                -71834,              1025472,,                 -5015,                  5099,               -501287,                    104,                   -211,                    617,                  3105,               -497588,,                593600,               -812266,                282634,               -166943,,,                -16339,               -119394,                408490,                625764,              1034254,              1034254,                    -80,,,,,,,,,,,,,
5533,2014年01月01日至2014年03月31日,,                175481,                175481,,,                 16610,                    110,                  3941,                    -27,,                              0,                 20634,,,                              0,                  4293,               -190258,                168861,                 -1223,                  4173,                -14154,,                    361,                -19469,                -14186,                 -8530,                -31202,                   -374,                    -66,                -73466,                -87620,                -66986,                108495,                     -3,                108492,,                              0,                              0,                -85212,                              0,                              0,                     27,,                -84196,,                344200,               -285561,                183600,                 -7303,,,                 -3456,                231381,                255677,                625764,                881441,                881441,                    -99,                    989,,,,,,,,,,,,
5533,2013年度,,                844840,                844840,,,                 43929,                    409,                 11469,                 -1113,                 -2712,                              0,,,,                    180,                 -2247,                 45637,               -179899,                  5687,                    853,               -129789,,                -31392,                 50255,                 15408,                 15740,                 91597,                 13301,,                155212,                 25423,                 61338,                906178,                -76636,                829542,,                 -5009,                              0,               -987842,                   -426,                   -605,                  1113,                  2712,             -1253294,,                826370,               -719859,              1967500,             -1522582,                     66,               -113492,                -10032,                427971,                  4219,                621545,                625764,                625764,,,,                -16067,                 35915,                    303,                    248,                 24445,               -291504,                  3574,,,,
5533,2013年01月01日至2013年12月31日,,                844840,                844840,,,                 43929,                    409,                 11469,                 -1113,                 -2712,                              0,,,,                    180,                 -2247,                 45637,               -179899,                  5687,                    853,               -129789,,                -31392,                 50255,,                 15740,                 91597,                 13301,,                155212,                 25423,                 61338,                906178,                -76636,                829542,,                 -5009,                              0,               -987842,                   -426,                   -605,                  1113,                  2712,             -1253294,,                826370,               -719859,              1967500,             -1522582,                     66,               -113492,                -10032,                427971,                  4219,                621545,                625764,                625764,,,,                -16067,                 35915,                    303,                    248,                 24445,               -291504,                  3574,,                              0,                 15408,
5533,2013年01月01日至2013年09月30日,,                741712,                741712,,,                 29818,                    299,                  7866,                   -589,                 -2712,                              0,,,,                    180,                    992,                -50988,                 44706,                  2415,                  4204,                  1509,,                -26727,                -20292,                 10755,                 20793,                103629,                  8735,,                 96723,                 98232,                116847,                858559,                -76576,                781983,,                              0,                              0,               -833287,                   -305,                   -358,                    589,                  2712,             -1097709,,                808370,               -722333,              1878500,             -1514079,                  1266,               -113492,                 -7392,                330840,                 15114,                621545,                636659,                636659,,,,                -16067,                 18615,                   -170,,                 24445,               -291505,,,,,
