證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 現金增資,　　 舉借長期借款,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他非流動資產增加
6166,2015年01月01日至2015年09月30日,,                652055,                652055,,,                135094,                 51817,                   -940,                 14610,                 -8513,                    251,                 -1474,                              0,                 -8986,                 11450,                 59394,                 -5397,                  1366,                248672,,,                 47796,                -88680,                   -175,                 35718,               -398973,                -44803,                   -289,               -449406,,                268136,                    768,                 72721,                  7229,                  1612,                   -365,                350101,                -99305,                149367,                801422,                  8513,                -15077,               -171146,                623712,,               -172290,                122610,               -148696,                117252,                              0,                 24011,                              0,               -151788,                  6009,                 -4086,                -43913,                              0,                -54024,               -304915,,              1388079,               -946584,                              0,               -100000,                              0,               -349537,                 13959,                  5917,                 23025,                347739,              1183185,              1530924,              1530924,,,,,,,,,,,,,,
6166,2015年01月01日至2015年06月30日,,                462958,                462958,,,                 90416,                 35690,                 -1463,                  9608,                 -5395,                    167,                 -1497,                              0,                 -8946,                  5886,                 28660,                 -9677,                    910,                144359,,,                 57799,                -67510,                    376,                 27619,               -434252,                -67414,                  3996,               -479386,,                511191,                  3795,                 62051,                  3645,                  4626,                   -335,                584973,                105587,                249946,                712904,                  5395,                -10265,               -108648,                599386,,                -47560,                 47570,               -147610,,                              0,                 24011,                              0,                -97846,                  5936,                     62,                -35751,                              0,                -45479,               -296667,,                960536,               -702281,,               -100000,                              0,,                 10676,                168931,                -24419,                447231,              1183185,              1630416,              1630416,,,,,,,,,,,,,,
6166,2015年01月01日至2015年03月31日,,                247247,                247247,,,                 45515,                 19685,                 -1914,                  5388,                 -2988,                     84,                     34,,                 -8629,                    920,                 16238,                 -6905,                    459,                 67887,,,                 18355,                 83526,                    316,                 35890,               -291801,                -45118,                  3763,               -195069,,                460029,                    820,                 17353,                  1773,                  3015,                   -234,                482756,                287687,                355574,                602821,                  2988,                 -5266,                -19792,                580751,,                -10000,                 10002,               -116781,,,                 23702,                              0,                -44833,                     12,                 -3962,                -16188,,                   -267,               -158315,,                767584,               -722927,                    316,,                              0,,                  2986,                 47959,                -15793,                454602,              1183185,              1637787,              1637787,,,,,,,,,,,,,,
6166,2014年度,,                755073,                755073,,,                155121,                 79043,                  2794,                 15033,                 -6401,                  2224,                   -254,                    -15,                    -61,                  6205,                 65889,                -14945,                  1765,,,,                -16732,               -255928,                    611,                 -3954,               -413037,                -25593,                 -2584,               -717217,,                144111,                  2111,                142425,                   -196,                 15652,,                303436,               -413781,               -107383,                647690,                  8310,                -15560,               -142607,                497833,,                -15078,                 15094,,,                -15120,                     45,               -224070,               -158817,                    406,                 -3259,                -38805,                    220,                -13645,               -453431,,              1470139,             -1187512,                200000,               -100000,               -207500,               -256883,                 16087,                -65669,                 26770,                  5503,              1177682,              1183185,              1183185,,                              0,                306398,                              0,                              0,                   -667,                              0,                              0,                -15622,                 15220,                              0,,,
6166,2014年01月01日至2014年09月30日,,                607878,                607878,,,                113559,                 58836,                  2972,                  9152,                 -4300,                  2012,                   -341,                    -15,                    -45,                  4697,                 38925,                 -7577,                  1315,                219190,,,                 -3464,               -245866,                   -484,                -23394,               -540686,                -49444,                  2646,               -860692,,                430703,                  1717,                 77161,                  1414,                 -4394,                    -64,                506537,               -354155,               -134965,                472913,                  3595,                 -8574,               -111471,                356463,,                              0,                              0,                -15234,                              0,                -15120,                     45,               -224070,               -132197,                    420,                 -2986,                -33061,                    219,                -10451,               -432435,,                722836,               -408419,                100000,                              0,               -197500,               -256883,                 11781,                -28185,                  5224,                -98933,              1177682,              1078749,              1078749,,,,,,,,,,,,,,
6166,2014年01月01日至2014年06月30日,,                403897,                403897,,,                 73994,                 39140,                  2510,                  5894,                 -2658,                  1420,                   -275,                    -15,                              0,                  3158,                 18291,                   -803,                    879,                141535,,,                  4925,               -422608,                 -1399,                  3518,               -366698,                -91848,                  1630,               -872480,,                626558,                  1158,                 34951,                    611,                   -457,                   -114,                662707,               -209773,                -68238,                335659,                  2860,                 -6018,                -69272,                263229,,                              0,                              0,                -14986,,                -15075,                              0,               -224070,                -50335,                    323,                 -1845,                -26143,                    219,                -40689,               -372601,,                237741,               -180241,,                              0,               -135000,,                  4417,                -73083,                  2111,               -180344,              1177682,                997338,                997338,,,,,,,,,,,,,,
6166,2014年01月01日至2014年03月31日,,                137844,                137844,,,                 36355,                 19424,                   -737,                  2577,                   -630,                    710,                    -78,,                              0,                  1581,                 16248,                 -1593,                    442,                 74299,,,                  5070,                 33450,                   -243,                 19041,               -140744,                -41502,                  1031,               -123897,,                138789,                  4490,                 32716,                    121,                  2410,                   -109,                178417,                 54520,                128819,                266663,                    955,                 -3144,                 -9387,                255087,,                              0,                              0,                              0,,,                              0,               -224070,                -15544,                     97,                 -1768,                -17114,,                   -927,               -259326,,                147519,                -28302,                              0,,                -97500,,                  1990,                 23707,                 16324,                 35792,              1177682,              1213474,              1213474,,,,,,,,,,,,,,
6166,2013年度,,                530278,                530278,,,                133121,                 61580,                 -1717,                 19174,                 -3961,                  5642,                    -72,                              0,                              0,                 10244,                 48479,                -23581,                  1714,,,,                -38537,               -114170,                   -160,                -15869,                -62047,                 53009,                 -1692,               -179368,,                203097,                 -1361,                  6705,                 16424,                 -2473,,                220826,                 41458,                288610,                818888,                  2657,                -20117,                -67346,                734082,,                              0,                              0,,,                              0,                              0,                              0,                -59687,                    176,                   -276,                -30272,                              0,                 -1786,                   -941,,              1040254,             -1381571,                              0,                              0,               -236061,               -171000,                  7216,               -306162,                  7790,                434769,                742913,              1177682,              1177682,,                 -3471,                247152,                     98,                     -6,                 -1560,               -162957,                253466,                -94200,                 94595,                435000,,,
6166,2013年01月01日至2013年12月31日,,                530278,                530278,,,                133121,                 61580,,                 19174,                 -3961,                  5642,                    -72,,,                 10244,                 48479,,                  1714,,,,                -38537,               -135377,                   -160,                -15869,                -62047,                 53009,                 -1692,               -200575,,                213151,                 -1361,                  6705,                 16424,                 -2473,,                239410,                 38835,                311285,                841563,                  2657,                -20117,                -67346,                756757,,                              0,,,,,,,                -61473,                    176,                 -8806,                -30272,,,                 -9471,,              1040254,             -1395716,                              0,,               -236061,               -171000,                  7216,               -320307,                  7790,                434769,                742913,              1177682,              1177682,,                 -3471,                272450,                     98,                  8524,                 -1560,               -162957,                253466,                -94200,                 94595,                435000,                              0,                              0,
6166,2013年01月01日至2013年09月30日,,                415199,                415199,,,                 98479,                 48422,                 -1116,                 16159,                 -2992,                  4800,                    -67,                              0,                              0,                  7943,                 23932,                -13918,                  1283,,,,                 -9557,               -304693,                 -4026,                -15423,               -195436,                 15838,                   -122,               -513321,,                429070,                   -487,                 -3324,                 15408,                 25391,,                466692,                -46629,                132825,                548024,                  2757,                -17381,                -46729,                486671,,                              0,,,,                              0,                              0,,                -40544,                    164,                   -779,                -27728,                              0,,                 22017,,                704436,               -930162,                              0,,               -178561,               -171000,                  2422,               -137865,                  2949,                373772,                742913,              1116685,              1116685,,                 -3471,                179454,                     98,                  1954,                 -1320,               -162957,                253466,                -94200,                 94595,                435000,,,
