證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 存入保證金減少,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 存出保證金減少,　　 其他金融資產減少,　　 短期借款減少,　　　　 金融資產減損損失,　　　　　 應計退休金負債增加（減少）,　　　　　 負債準備增加（減少）
6213,2015年01月01日至2015年09月30日,,                683861,                683861,,,                538742,                  8827,                  1478,                              0,                 53548,                 -5591,                -11058,                              0,                  6597,                  1012,                   -905,                              0,                -45087,                  7413,                554976,,,                225245,                 65072,               -590838,               -120658,                 45149,                -33753,               -409783,,                -52240,               -236535,                -56836,                 26277,               -319334,               -729117,               -174141,                509720,                -52703,               -209821,                247196,,                              0,                  8221,                 51000,                -20846,                  1714,                 -9622,                -48169,                -91618,                  5591,                 11058,                -92671,,                602800,                519270,                              0,               -693462,                 -9358,                    -81,               -381549,               -217239,                              0,               -179619,                221362,                196268,              1903343,              2099611,              2099611,                              0,,,,,,,,,,,,
6213,2015年01月01日至2015年06月30日,,                355190,                355190,,,                357181,                  5885,                 -1371,,                 35127,                 -3447,,                              0,                  4826,                    612,                   -905,                              0,                 -1671,                 -3696,                392541,,,                 97199,                828752,                 39202,                 65570,                 20921,                -29389,              1022255,,                -91284,             -1134430,                -35993,                 -5348,             -1267055,               -244800,                147741,                502931,                -34827,               -154246,                313858,,                              0,                  8221,,                -14661,                  1287,                -14008,                -25106,                -43096,                  3447,,                -83916,,                227385,                119643,                              0,               -191939,,,,               -124421,                              0,                 21335,                -15837,                235440,              1903343,              2138783,              2138783,,                 -9333,,,,,,,,,,,
6213,2015年01月01日至2015年03月31日,,                206056,                206056,,,                180171,                  2943,                 -1369,,                 18332,                 -1660,,                              0,                  2851,                    545,                   -905,                  3290,                -60781,                -14391,                129026,,,               -251604,               -208420,                156460,                 36468,                 28601,                -16673,               -255168,,                -55951,               -308193,                -60151,                 30552,               -393743,               -648911,               -519885,               -313829,                -17330,                -32285,               -363444,,                              0,                  8221,,                 -3736,                              0,                    108,                -20262,                -29484,                  1660,,                -43493,,                174950,,                              0,                -90415,,,,                 -8975,                              0,                 65689,                 57334,               -283914,              1903343,              1619429,              1619429,                              0,                 -9767,                   -104,,,,,,,,,,
6213,2014年度,,                930373,                930373,,,                646567,                 11770,                    320,,                 74360,                 -5157,                 -9367,                 27150,                  5976,                  1357,                   -350,                  8174,                -29699,                 62728,,,,                -63537,                -73071,               -202999,                -32833,                -89233,                 24086,               -437587,,                 44553,               -192231,               -193225,                 -9750,               -350653,               -788240,                  5589,                935962,                -72247,               -264298,                599417,,                 -9354,                  5466,,                -66989,                  3507,                              0,                -19090,               -944890,                  5157,                  9367,               -990792,,                295450,                              0,              1300000,               -100000,                              0,,               -720203,               -221125,                 68700,                518813,                 18429,                145867,              1757476,              1903343,              1903343,,                 -4108,                -99901,,                793829,                              0,                              0,                 26034,                              0,                              0,,,
6213,2014年01月01日至2014年09月30日,,                649097,                649097,,,                465088,                  8827,                   -364,                              0,                 54447,                 -3923,                 -9367,                 27150,                  2487,                  1486,                   -348,                 30963,                 -4576,                 39788,                611658,,,               -136240,               -111435,               -122121,               -264389,               -123165,                  4793,               -752557,,                 22164,                188000,                -66606,                 -2723,                140835,               -611722,                    -64,                649033,                -52860,               -284130,                312043,,                 -5116,                  5466,                              0,               -140865,                    100,                 -8960,                -32353,               -809704,                  3923,                  9367,               -978142,,                280375,                   -216,              1100000,               -200000,                 -5994,                              0,               -720203,                              0,                 68700,                522662,                 50961,                -92476,              1757476,              1665000,              1665000,                              0,,,,,,,,,,,,
6213,2014年01月01日至2014年06月30日,,                465469,                465469,,,                297769,                  5885,                   -365,,                 33788,                 -2680,,                 27150,                  2487,                  1458,                   -348,                 17525,                 50169,                 11489,                444327,,,                 62265,                 82954,               -130023,                -48639,                -61503,                -69281,               -164227,,                103579,               -436507,               -173385,                 -6918,               -513231,               -677458,               -233131,                232338,                -33736,               -214695,                -16093,,                 -5116,                  5466,,                -44805,                    100,                 -5750,                -38453,               -793957,                  2680,,               -879835,,                204887,                      8,                300000,                              0,,,,                              0,                 68700,                566475,                -33852,               -363305,              1757476,              1394171,              1394171,,                 -7120,,,,,,,,,,,
6213,2014年01月01日至2014年03月31日,,                231040,                231040,,,                136963,                  2943,                   -971,,                 16568,                 -1283,,                 27150,                    794,                  1355,                   -348,                  8041,                -15148,                  1405,                177469,,,                 79992,               -192890,                -99820,               -273813,                -54302,                -18237,               -559070,,                111858,                102747,                -45010,                 32824,                202419,               -356651,               -179182,                 51858,                -16013,                -29529,                  6316,,                 -5116,                  5466,,                -18070,                     32,                 -6144,                -26514,               -312712,                  1283,,               -361775,,                126650,,                200000,                              0,,,,                              0,                 68700,                390116,                 -4637,                 30020,              1757476,              1787496,              1787496,                              0,                 -4904,                   -330,,,,,,,,,,
6213,2013年度,,              1475319,              1475319,,,                512836,                 11770,                -31643,,                 63665,                -11208,                 -7821,                              0,                  2698,                 19264,                 -6609,                -11109,                  3226,                -35727,,,,               -425346,               -397503,                 47237,                -69208,                105149,                  8923,               -730748,,                 42996,                357348,                 71531,                 11244,                483119,               -247629,                261713,              1737032,                -52827,               -353967,              1330238,,               -109270,                109802,,                -23833,                  6549,               -204991,               -118019,               -625484,                 15422,                  7821,               -604223,,                              0,                249921,                683333,             -1169759,                  9083,,               -810913,                              0,                              0,             -1181068,                184308,               -270745,              2028221,              1757476,              1757476,,                              0,                              0,,                509342,                106000,                   -500,                              0,                232280,               -142733,,,
6213,2013年01月01日至2013年12月31日,,              1475319,              1475319,,,                512836,                 11770,                -31643,                              0,                 63665,                -11208,                 -7821,,                  2698,                 19264,                 -6609,                -11109,                  3226,                -35727,,,,               -425346,               -397503,                 47237,                -69208,                105149,                  8923,               -730748,,                 42996,                357348,                 71531,                 11244,                483119,               -247629,                261713,              1737032,                -52827,               -353967,              1330238,,               -109270,                109802,,                -23833,                  6549,               -204991,               -118019,               -625484,                 15422,                  7821,               -604223,,               -142733,                249921,                683333,             -1169759,                  9083,                              0,               -810913,,,             -1181068,                184308,               -270745,              2028221,              1757476,              1757476,                              0,,,,                509342,                106000,                   -500,,                232280,,                              0,                              0,
6213,2013年01月01日至2013年09月30日,,              1167054,              1167054,,,                386774,                  8827,                -38266,                  1195,                 48200,                 -8427,                 -7821,                              0,                              0,                 12599,                 -8753,                  6127,                 37712,                -54366,,,,               -310737,               -463598,               -102446,               -350220,                 34086,                -43105,             -1236020,,                 47498,                504826,                264789,                 48386,                865499,               -370521,                 13280,              1180334,                -41393,               -227286,                911655,,                -89338,                 94597,,                -46502,                  3748,               -206314,               -199150,               -340408,                 13628,                  7821,               -422874,,                284328,                199735,                500000,             -1173623,                 37489,                 39139,               -810913,,                              0,               -923845,                 -3129,               -438193,              2028221,              1590028,              1590028,                              0,,,,                383801,                106000,                   -500,,                233544,,,,
