證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款減少,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 存出保證金增加,　　 應付短期票券減少,　　 應付租賃款增加,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 短期借款減少,　　 發放現金股利
6239,2015年01月01日至2015年06月30日,,              2461870,              2461870,,,              4251359,                 56195,                              0,                 -7796,                 95272,                  1180,                -39601,                 21953,                -65022,                -59942,                -20227,              4233371,,,                -37700,               -316355,               -218561,                 66257,                 -6485,                 62716,                  8778,                 20607,               -420743,,                              0,               -222380,                   -303,                299498,                -46014,                   -775,                -29730,                 -7518,               -741858,               -749080,             -1169823,              3063548,              5525418,                 39166,               -129059,               -308994,              5126531,,                              0,               -467901,               -200918,                200000,             -3226717,                 86462,                 41780,                   -440,                 14415,                  2884,             -3550435,,              1196990,              6773333,             -7918072,                  2000,                 -4740,                250277,                299788,                -74420,              1801464,             17560164,             19361628,             19361628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2015年01月01日至2015年03月31日,,              1146564,              1146564,,,              2076967,                 28232,                  4288,                 -9774,                 47084,                    683,                -17121,                 15160,                -32866,                -59286,                 53702,              2107069,,,                -15100,                412933,                410879,               -152427,                -17584,                 16713,                 30459,                 16493,                702366,,                              0,               -339606,                   -303,                 62480,                -47032,                   -185,               -438122,                 -3672,               -560351,             -1326791,               -624425,              1482644,              2629208,                 17014,                -65590,                   -663,              2579969,,                              0,,               -200917,,             -1804489,                 79366,,                   -355,               -459362,                  2905,             -2339295,,                252739,              4450000,             -5117703,                  2000,                 -2067,,               -331636,                -50825,               -141787,             17560164,             17418377,             17418377,                              0,                              0,                 43557,                              0,                              0,                 83395,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
6239,2014年度,,              4755818,              4755818,,,              8836085,                108620,                  5252,                  2112,                192667,                  2674,                -84294,                 37694,               -166531,                272272,               -233024,,,,                              0,                540116,               -190357,                -33924,                 46835,                -64265,                -14748,                -64453,                219204,,                -18327,,               -253937,                367305,                 43098,                  8310,               -782334,,             -2897961,             -3680785,             -3461581,              5628587,             10384405,                 90243,               -262334,               -220075,              9992239,,               -101000,,               -403778,                200000,            -11266646,                377905,,                -37742,                212545,                  2826,             -9237096,,                 17257,              9446476,            -11299989,                 -4378,,,             -3846857,                 77096,             -3014618,             20574782,             17560164,             17560164,                              0,,                105333,                              0,                 23053,                148580,                              0,               -649563,,                   -964,                 20215,                207884,               -110494,              9090168,               -128173,                -18766,                 79296,                              0,                              0,                  6224,                              0,                              0,                990502,                 30562,                565913,                              0,                              0,                    964,                              0,             -1528293
6239,2014年01月01日至2014年06月30日,,              2246020,              2246020,,,              4406900,                 52668,                 19261,                -27372,                100053,                  1349,                -46720,                 21845,                -97528,                -64835,                -82696,              4282925,,,                -41000,               -313833,               -537750,               -108595,                 47702,               -104804,                -11608,                -48749,             -1118637,,                              0,                 98034,               -127062,                308412,                   -652,                 -1364,                518963,                -11575,             -1861867,             -1077111,             -2195748,              2087177,              4333197,                 51240,               -135753,               -215369,              4033315,,                              0,                  6224,               -202255,                200000,             -4603960,                152610,                 84203,                 -6700,                104688,                  2812,             -4262378,,               -770574,              5800000,             -6542760,                 -4378,                              0,                              0,             -1517712,                -20202,             -1766977,             20574782,             18807805,             18807805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2014年01月01日至2014年03月31日,,                935780,                935780,,,              2209410,                 26278,                  4755,                              0,                 50570,                    717,                -19680,                 14008,                -67606,                -40695,               -157821,              2019936,,,                -11659,                479946,               -477795,               -108858,                -16985,                 45785,                -12632,                    701,               -101497,,                -21262,               -529611,               -127224,                133919,                 -3061,                              0,               -195569,                 -8068,             -1504749,             -2255625,             -2357122,               -337186,                598594,                 24195,                -67675,                 -1654,                553460,,                              0,,               -202255,,             -2043744,                 57470,,                              0,                  3861,                  2852,             -2184531,,               -148580,                500000,               -125000,                    -36,                              0,,                226384,                 29688,             -1374999,             20574782,             19199783,             19199783,                              0,                              0,                 -2715,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
6239,2013年度,,             -2786097,             -2786097,,,              9945791,                335625,               -187972,                              0,                252136,                  1530,                -95303,                 44169,               -163150,                 24661,               -166649,,,,                 -2245,                -64368,                528357,                238587,                 15962,                -75213,                -34103,                 55861,                662838,,                  2789,,                -10112,               -269943,                -18735,                  6307,               -284977,,              5959968,              5498383,              6161221,             16142811,             13356714,                 93313,               -254714,               -543323,             12651990,,               -121270,,               -403697,                              0,             -9232227,                102677,,                 -6078,                 69002,                  2777,             -9120378,,                 18213,             10402750,            -10302312,                  4692,,,             -3005092,                 15424,                541944,             20032838,             20574782,             20574782,                 25709,,                 -3845,                              0,                              0,                              0,               -656320,               -179675,,                   -193,                 -9055,                              0,                              0,              9981590,                127017,                -13931,                455138,                -48000,                 -3224,                              0,                   -163,                              0,                              0,                              0,                              0,                              0,                              0,                 42823,                              0,             -2292440
6239,2013年01月01日至2013年12月31日,,             -2786097,             -2786097,,,              9945791,                335625,               -187972,,                252136,                  1530,                -95303,                 44169,               -163150,                 24661,               -166649,,,,                 -2245,                -64368,                528357,                238587,                 15962,                -75213,                -34103,                 55861,                662838,,                  2789,,                -10112,               -269943,                -18735,                  6307,               -284977,,              5959968,              5498383,              6161221,             16142811,             13356714,                 93313,               -254714,               -543323,             12651990,,               -121270,,               -403697,                              0,             -9232227,                102677,,                 -6078,                 69002,                  2777,             -9120378,,                 18213,             10402750,            -10302312,                  4692,,,             -3005092,                 15424,                541944,             20032838,             20574782,             20574782,                 25709,,                 -3845,                              0,,,               -656320,               -179675,,                   -193,                 -9055,,,              9981590,                127017,                -13931,                455138,                -48000,                 -3224,                              0,                   -163,                              0,,                              0,,                              0,                              0,                 42823,                              0,             -2292440
6239,2013年01月01日至2013年09月30日,,              2593150,              2593150,,,              7538604,                309020,               -187972,,                186132,                    850,                -68430,                 29392,               -147560,                 28890,                -88367,,,,                 -8258,                740349,                343943,                 50396,                -34327,               -118623,                -45520,                -38264,                889696,,                -20304,,                311607,                -10631,                -19195,                  2022,               -430180,,,               -177059,                712637,              8303948,             10897098,                 66440,               -189171,               -596804,             10177563,,                -80430,,               -403697,,             -5598327,                 16197,,                 -6078,,                  2080,             -5769043,,,              9744750,             -9798958,                              0,,,             -3194043,                  7589,              1222066,             20032838,             21254904,             21254904,                 25709,,                 -2252,                              0,,,               -656320,                  1980,,                   -193,                 -9055,,                              0,              7591311,                              0,                -10378,                263872,,                 -3224,                              0,                   -163,                              0,,                              0,,,                -25553,                 42823,               -193055,             -2292440
6239,2013年01月01日至2013年06月30日,,              1916341,              1916341,,,              5013652,                206044,               -187972,,                124916,                    170,                -48307,                 14616,                -94429,                 28853,               -137193,,,,                   -995,                945684,                428302,                 45788,                 -2796,                311158,                -25981,                 58146,              1759306,,                -11634,               -215204,                              0,                245107,                 -8608,                  2950,               -416312,,                              0,               -410529,              1348777,              6269127,              8185468,                 47689,               -128508,               -527205,              7577444,,                -48430,,               -403697,                              0,             -3145234,                 17490,                              0,                 -1078,                 57732,                  1378,             -3268855,,                147490,              8444750,             -9769687,                              0,,,             -1831787,                 40061,              2516863,             20032838,             22549701,             22549701,                              0,,                 -4320,                              0,,,               -656320,                  1980,,,,,,              4920350,,                 -6828,                263691,,                 -6224,                              0,                   -163,,,                              0,,,,,,
6239,2013年01月01日至2013年03月31日,,                907900,                907900,,,              2479111,                102917,                -90000,,                 63736,                              0,                -19886,                              0,                -50837,                 20932,                -87777,,,,                -27163,                995660,                403531,                -35954,                 16538,                425362,                -35350,                 24789,              1767413,,                 -4272,               -646148,                              0,                118698,                -16167,                    -32,               -469407,,                              0,             -1020662,                746751,              3164947,              4072847,                 16692,                -65749,                 -1316,              4022474,,                              0,,                              0,,             -1935610,                 35410,,                              0,                 75355,                    680,             -1827789,,               -160423,              6064000,             -7467437,                              0,,,             -2157056,                  1462,                 39091,             20032838,             20071929,             20071929,                              0,                              0,                 -3624,                              0,,,               -595176,                  1980,,,,,,              2418196,,                 -3334,,,,,,,,,,,,,,
